day,rho_AIDC,status,Fresh_independent_execution,OpenDSS_solve_count,voltage_error_mean_pu,voltage_error_p95_pu,voltage_error_max_pu,current_error_mean_pu,current_error_p95_pu,current_error_max_pu,error_tolerances_pass,all_slots_converged,finite_arrays,slot_line_phase_mapping_identity,P_Q_sign_consistency,hidden_large_error_planning_safe_AC_violation_count,absolute_physical_feasibility_used_for_status,April_rows_used
2025-01-03,0.5,PASS,True,96,4.124492442005946e-07,6.426894129940575e-07,5.37023994962027e-06,3.1911863419827555e-06,1.8542746695725243e-05,8.185427205473217e-05,True,True,True,True,True,0,False,0
2025-01-03,1.0,PASS,True,96,1.588325148987945e-06,2.569575782429556e-06,6.431151958308234e-06,1.273956885899598e-05,7.44357185728091e-05,0.00034921670265269933,True,True,True,True,True,0,False,0
2025-01-04,0.1,PASS,True,96,1.553001856194391e-08,2.523508541019126e-08,3.552669036732681e-08,8.32684435712853e-08,4.926154661286093e-07,2.076181863513993e-06,True,True,True,True,True,0,False,0
2025-01-04,0.25,PASS,True,96,9.70735184722836e-08,1.578520915923587e-07,2.1979124020798935e-07,5.205801730583873e-07,3.0774274371848665e-06,1.3146200447483603e-05,True,True,True,True,True,0,False,0
2025-01-04,0.5,PASS,True,96,3.8830698656668525e-07,6.315274886370403e-07,8.769002731723319e-07,2.0861127862200535e-06,1.2283822247687702e-05,5.3758590817742924e-05,True,True,True,True,True,0,False,0
2025-01-04,1.0,PASS,True,96,1.5750303049143767e-06,2.553318447978681e-06,8.572063489031834e-06,8.454810516732693e-06,4.952232076699396e-05,0.0002250616326537891,True,True,True,True,True,0,False,0
2025-01-05,0.1,PASS,True,96,1.563024504362284e-08,2.5390577196304775e-08,3.541539617124556e-08,7.378763111086635e-08,4.476388294774591e-07,1.5659991941530116e-06,True,True,True,True,True,0,False,0
2025-01-05,0.25,PASS,True,96,9.768685591185424e-08,1.5875953401911502e-07,2.205707380076305e-07,4.6115160855992725e-07,2.7975270959268387e-06,9.84123911845769e-06,True,True,True,True,True,0,False,0
2025-01-05,0.5,PASS,True,96,3.9074241421384965e-07,6.350023844525765e-07,8.80983863527085e-07,1.8467204992065259e-06,1.1243392214720092e-05,4.0076896575230725e-05,True,True,True,True,True,0,False,0
2025-01-05,1.0,PASS,True,96,1.5628657984316333e-06,2.5392168427618156e-06,3.51819560695521e-06,7.424827130637661e-06,4.5278041467518285e-05,0.00016632709701691617,True,True,True,True,True,0,False,0
2025-01-06,0.1,PASS,True,96,1.5494236160590424e-08,2.515658745205762e-08,3.5148453925160084e-08,8.700342972860581e-08,5.993099734515061e-07,1.4972451144734666e-06,True,True,True,True,True,0,False,0
2025-01-06,0.25,PASS,True,96,9.685511033895162e-08,1.5726423113759935e-07,2.1750605605497242e-07,5.438648884622076e-07,3.7371854488446597e-06,9.462683280836437e-06,True,True,True,True,True,0,False,0
2025-01-06,0.5,PASS,True,96,3.874506569160465e-07,6.290115214524494e-07,8.700466485045411e-07,2.178881120790051e-06,1.4917311944077221e-05,3.857302632478965e-05,True,True,True,True,True,0,False,0
2025-01-06,1.0,PASS,True,96,1.5498608169569335e-06,2.5166263972198344e-06,3.479366411873741e-06,8.772336670903395e-06,5.8810325282364156e-05,0.0001604067793287145,True,True,True,True,True,0,False,0
2025-01-07,0.1,PASS,True,96,1.5622900098090348e-08,2.5282347465571675e-08,3.4860170639028354e-08,1.1686247478631277e-07,6.95936116944933e-07,2.607880720914557e-06,True,True,True,True,True,0,False,0
2025-01-07,0.25,PASS,True,96,9.761313938768291e-08,1.5802566785683148e-07,2.1652655135540044e-07,7.306435412576094e-07,4.359466000411474e-06,1.6572474320797337e-05,True,True,True,True,True,0,False,0
2025-01-07,0.5,PASS,True,96,3.903981305902488e-07,6.323141901465323e-07,8.648560707591457e-07,2.9287846119099052e-06,1.7522847483920907e-05,6.818877268562062e-05,True,True,True,True,True,0,False,0
2025-01-07,1.0,PASS,True,96,1.6036279431118376e-06,2.6030282335998134e-06,7.4101168567874964e-06,1.1935669039792024e-05,7.164305150852412e-05,0.00028923283046208836,True,True,True,True,True,0,False,0
2025-01-08,0.1,PASS,True,96,1.560933630437269e-08,2.5319268570633824e-08,3.492514399905389e-08,1.1025305275374575e-07,6.618557901308375e-07,2.567832755623334e-06,True,True,True,True,True,0,False,0
2025-01-08,0.25,PASS,True,96,9.763609348959792e-08,1.583234567059666e-07,2.176938785902749e-07,6.896897702708585e-07,4.147665001993233e-06,1.6298855986252025e-05,True,True,True,True,True,0,False,0
2025-01-08,0.5,PASS,True,96,3.906420496735647e-07,6.332246406670627e-07,8.714607618864889e-07,2.764597143325577e-06,1.6607366072080017e-05,6.692659332778461e-05,True,True,True,True,True,0,False,0
2025-01-08,1.0,PASS,True,96,1.5891502335347734e-06,2.586212045352365e-06,7.84012383947541e-06,1.122292924672241e-05,6.771275351081309e-05,0.0002826317012420976,True,True,True,True,True,0,False,0
2025-01-09,0.1,PASS,True,96,1.5543949667511402e-08,2.525835007816113e-08,3.529215741870928e-08,9.28977867372772e-08,6.116337144312921e-07,1.8422075852286834e-06,True,True,True,True,True,0,False,0
2025-01-09,0.25,PASS,True,96,9.712927803490995e-08,1.5781906512191135e-07,2.187319586566261e-07,5.806028246240572e-07,3.8108213921195215e-06,1.1653595718280618e-05,True,True,True,True,True,0,False,0
2025-01-09,0.5,PASS,True,96,4.2263603006286835e-07,6.39633550458818e-07,9.71693631379722e-06,2.427407592000324e-06,1.5533593742444277e-05,8.414545599666479e-05,True,True,True,True,True,0,False,0
2025-01-09,1.0,PASS,True,96,1.635127266997098e-06,2.632232707827642e-06,1.0484841457714111e-05,9.607437702208367e-06,6.207314150639108e-05,0.00019848775612610337,True,True,True,True,True,0,False,0
2025-01-10,0.1,PASS,True,96,7.221082112561781e-08,2.5850094537149815e-08,1.2203101143137829e-05,1.8358461914051306e-07,6.353444620264824e-07,5.5875809984784475e-05,True,True,True,True,True,0,False,0
2025-01-10,0.25,PASS,True,96,1.5225728264463578e-07,1.6082839926490067e-07,1.2243955466173517e-05,6.555766801695413e-07,3.872324164334511e-06,5.590388565923643e-05,True,True,True,True,True,0,False,0
2025-01-10,0.5,PASS,True,96,4.3851594039390974e-07,6.432998042593674e-07,1.2434926705218174e-05,2.360777219851966e-06,1.521120547310766e-05,5.6370575248543275e-05,True,True,True,True,True,0,False,0
2025-01-10,1.0,PASS,True,96,1.5911060699212438e-06,2.5827772600073295e-06,1.3276988649169041e-05,9.278634365338172e-06,6.025087828523539e-05,0.0001904224492243478,True,True,True,True,True,0,False,0
2025-01-11,0.1,PASS,True,96,1.5553514905080263e-08,2.5273817289006573e-08,3.52542690595925e-08,8.00811259786654e-08,4.809633958449687e-07,1.860448183121921e-06,True,True,True,True,True,0,False,0
2025-01-11,0.25,PASS,True,96,9.720954742707033e-08,1.579583960853448e-07,2.1949039852309227e-07,5.004598371989072e-07,3.0105135271673007e-06,1.1636804641473875e-05,True,True,True,True,True,0,False,0
2025-01-11,0.5,PASS,True,96,3.888445624068115e-07,6.321004119291818e-07,8.763876113704328e-07,2.004706931370268e-06,1.2124595461061843e-05,4.7570311759920214e-05,True,True,True,True,True,0,False,0
2025-01-11,1.0,PASS,True,96,1.5802334402455605e-06,2.5600768852607203e-06,7.798703305805788e-06,8.132382867888936e-06,4.913638584582713e-05,0.00020338459658386654,True,True,True,True,True,0,False,0
2025-01-12,0.1,PASS,True,96,1.544803445046157e-08,2.5136756037769104e-08,3.5019983579687164e-08,7.500666575426583e-08,4.5986861204883044e-07,1.6160342838633657e-06,True,True,True,True,True,0,False,0
2025-01-12,0.25,PASS,True,96,9.653558947884786e-08,1.569204814977354e-07,2.1779733216931163e-07,4.686130985140004e-07,2.880395667856361e-06,1.0217867544654036e-05,True,True,True,True,True,0,False,0
2025-01-12,0.5,PASS,True,96,3.861184609865784e-07,6.278856714003744e-07,8.709631325043432e-07,1.8771487010621777e-06,1.1558741185929001e-05,4.168200250120879e-05,True,True,True,True,True,0,False,0
2025-01-12,1.0,PASS,True,96,1.565819526672942e-06,2.5372992896732782e-06,8.168440194022963e-06,7.623603573553908e-06,4.682446141408975e-05,0.00017360274878980286,True,True,True,True,True,0,False,0
2025-01-13,0.1,PASS,True,96,1.5530047099876817e-08,2.5222524402401802e-08,3.5030325640228455e-08,9.499782733587032e-08,6.245456367334755e-07,1.952559886136962e-06,True,True,True,True,True,0,False,0
2025-01-13,0.25,PASS,True,96,9.711384080940095e-08,1.577227124460734e-07,2.1894175639136648e-07,5.939528935464779e-07,3.890487666739772e-06,1.2358837334053296e-05,True,True,True,True,True,0,False,0
2025-01-13,0.5,PASS,True,96,3.8852049591166424e-07,6.31013934049296e-07,8.749640295624417e-07,2.3795805290083374e-06,1.5567989582892374e-05,5.050619828086966e-05,True,True,True,True,True,0,False,0
2025-01-13,1.0,PASS,True,96,1.5837667105373756e-06,2.5723197869254033e-06,8.007508395913021e-06,9.658680540221617e-06,6.289358316637471e-05,0.00021114377342557056,True,True,True,True,True,0,False,0
2025-01-14,0.1,PASS,True,96,1.5524170457697557e-08,2.5183116120208737e-08,3.5098305151137765e-08,9.999912583134199e-08,6.295734480304607e-07,2.1574692586900923e-06,True,True,True,True,True,0,False,0
2025-01-14,0.25,PASS,True,96,1.2989122064769395e-07,1.607555457083798e-07,9.544595819255264e-06,7.186730819065093e-07,4.0387330957472595e-06,8.358306953459849e-05,True,True,True,True,True,0,False,0
2025-01-14,0.5,PASS,True,96,4.1659544981886044e-07,6.415106852397656e-07,9.380021555038809e-06,2.5872887338912175e-06,1.591687903350486e-05,8.461282470673126e-05,True,True,True,True,True,0,False,0
2025-01-14,1.0,PASS,True,96,1.5639729070116485e-06,2.534961266231761e-06,8.39749002223833e-06,1.0148001333652415e-05,6.348130477943498e-05,0.00023403631113425027,True,True,True,True,True,0,False,0
2025-01-15,0.1,PASS,True,96,1.542739180564957e-08,2.5124904490247957e-08,3.509529200584893e-08,8.856605780437644e-08,6.081774143788797e-07,1.5347590623382423e-06,True,True,True,True,True,0,False,0
2025-01-15,0.25,PASS,True,96,1.2516688386040484e-07,1.59819523892768e-07,7.464063387363495e-06,6.409249079078571e-07,3.932210569647023e-06,6.175419196718934e-05,True,True,True,True,True,0,False,0
2025-01-15,0.5,PASS,True,96,4.0840093396054714e-07,6.380418960671985e-07,7.253006956808861e-06,2.2936398945279633e-06,1.5384833612879646e-05,6.230955081953926e-05,True,True,True,True,True,0,False,0
2025-01-15,1.0,PASS,True,96,1.5640746707661013e-06,2.551416351748159e-06,7.416558504891313e-06,9.029784984054688e-06,6.02803643631855e-05,0.00016438980085717314,True,True,True,True,True,0,False,0
2025-01-16,0.1,PASS,True,96,1.5582312181058636e-08,2.5241495782424295e-08,3.4918377633808007e-08,1.0489231753357217e-07,6.651409633753874e-07,2.167126948976472e-06,True,True,True,True,True,0,False,0
2025-01-16,0.25,PASS,True,96,1.6133216170472472e-07,1.6437124841783834e-07,8.965764327184544e-06,7.840767515168342e-07,4.436511568066375e-06,5.4451039407321655e-05,True,True,True,True,True,0,False,0
2025-01-16,0.5,PASS,True,96,4.490325110862049e-07,6.567502808252357e-07,9.190192740815561e-06,2.7508516101303785e-06,1.7225280686271326e-05,5.9116262730696256e-05,True,True,True,True,True,0,False,0
2025-01-16,1.0,PASS,True,96,1.6011402978955749e-06,2.5997989430981416e-06,1.0114021145257723e-05,1.0709269592350221e-05,6.774173090682775e-05,0.00023745709391950753,True,True,True,True,True,0,False,0
2025-01-17,0.1,PASS,True,96,1.5503018757766205e-08,2.514308877765714e-08,3.471722143100209e-08,1.1893716727716563e-07,7.102856642316259e-07,2.8351827869310675e-06,True,True,True,True,True,0,False,0
2025-01-17,0.25,PASS,True,96,1.4457606356011404e-07,1.6355119350497382e-07,5.924427254111464e-06,8.441676211898876e-07,4.6659413951946575e-06,5.324140049323134e-05,True,True,True,True,True,0,False,0
2025-01-17,0.5,PASS,True,96,4.5002681794470877e-07,6.70632265553639e-07,6.11891791590935e-06,3.133681524893661e-06,1.8303350841808094e-05,7.429957081440952e-05,True,True,True,True,True,0,False,0
2025-01-17,1.0,PASS,True,96,1.611519264281065e-06,2.6251334545590588e-06,8.320522079552362e-06,1.22278871018711e-05,7.138245616483402e-05,0.0003161064488882148,True,True,True,True,True,0,False,0
2025-01-18,0.1,PASS,True,96,1.5663973128369966e-08,2.5359135402691635e-08,3.491468747451876e-08,1.0986969203648001e-07,5.807086651366669e-07,3.551601436155294e-06,True,True,True,True,True,0,False,0
2025-01-18,0.25,PASS,True,96,9.791035646259163e-08,1.5856891583121424e-07,2.170245028132456e-07,6.872525251286624e-07,3.6293488002759355e-06,2.2661485704428275e-05,True,True,True,True,True,0,False,0
2025-01-18,0.5,PASS,True,96,3.9166203574270646e-07,6.343568299260749e-07,8.678486606017444e-07,2.7567774833698186e-06,1.4644974845703924e-05,9.389753069970197e-05,True,True,True,True,True,0,False,0
2025-01-18,1.0,PASS,True,96,1.5666822014661844e-06,2.5380510498274056e-06,3.4753007420729176e-06,1.1152183543331075e-05,5.8525802064014725e-05,0.00040431754650258056,True,True,True,True,True,0,False,0
2025-01-19,0.1,PASS,True,96,1.551284348210064e-08,2.5225745020618362e-08,3.527101566369595e-08,8.948990727867267e-08,5.186814226947055e-07,2.36993798477525e-06,True,True,True,True,True,0,False,0
2025-01-19,0.25,PASS,True,96,1.1836707721809749e-07,1.6095565535945155e-07,6.833159955643708e-06,6.287243243165316e-07,3.453086625149204e-06,5.371831205458477e-05,True,True,True,True,True,0,False,0
2025-01-19,0.5,PASS,True,96,4.034807263499882e-07,6.354087460913593e-07,6.491782186479611e-06,2.298519112570775e-06,1.3300560563833654e-05,6.158726566138362e-05,True,True,True,True,True,0,False,0
2025-01-19,1.0,PASS,True,96,1.550435276146141e-06,2.525633499173008e-06,5.26315232596275e-06,9.07062325687573e-06,5.186957133261476e-05,0.00026013632251176144,True,True,True,True,True,0,False,0
2025-01-20,0.1,PASS,True,96,1.558825137827725e-08,2.5357916821899806e-08,3.546472171489512e-08,8.597650626280108e-08,5.79374936125059e-07,1.5465871797126773e-06,True,True,True,True,True,0,False,0
2025-01-20,0.25,PASS,True,96,9.744517530109995e-08,1.5853151763556284e-07,2.1937395744409116e-07,5.374593234695906e-07,3.6172503676559704e-06,9.765995429955598e-06,True,True,True,True,True,0,False,0
2025-01-20,0.5,PASS,True,96,4.36206624528882e-07,6.594824633610052e-07,7.0260899760477e-06,2.258113302809298e-06,1.4859649336000626e-05,5.792270725468729e-05,True,True,True,True,True,0,False,0
2025-01-20,1.0,PASS,True,96,1.5670427326279722e-06,2.5757293310724183e-06,5.8024905080777955e-06,8.721607785676442e-06,5.79021879128172e-05,0.00016477282423657535,True,True,True,True,True,0,False,0
2025-01-21,0.1,PASS,True,96,1.560636312956952e-08,2.5366621303479775e-08,3.5235959261470384e-08,9.035927765188047e-08,5.956510053112262e-07,1.7691398681851656e-06,True,True,True,True,True,0,False,0
2025-01-21,0.25,PASS,True,96,9.756130191207784e-08,1.5856135010539063e-07,2.1866123089964162e-07,5.649598276115431e-07,3.7240667192808784e-06,1.1179517453191457e-05,True,True,True,True,True,0,False,0
2025-01-21,0.5,PASS,True,96,4.2223691135263667e-07,6.489387839314631e-07,6.052523106703234e-06,2.3098243843619184e-06,1.4992443939928348e-05,4.708846613110662e-05,True,True,True,True,True,0,False,0
2025-01-21,1.0,PASS,True,96,1.5956025717942716e-06,2.6131220349501216e-06,6.957604616220081e-06,9.190493464242675e-06,5.916108903313978e-05,0.00018933687902739083,True,True,True,True,True,0,False,0
2025-01-22,0.1,PASS,True,96,1.557481400082514e-08,2.5254461549772955e-08,3.491752254003444e-08,1.0602471837506197e-07,6.673694310746491e-07,2.288589888099768e-06,True,True,True,True,True,0,False,0
2025-01-22,0.25,PASS,True,96,9.736984988439732e-08,1.5775675149543034e-07,2.1682494666386276e-07,6.630613806585819e-07,4.167676417364539e-06,1.4522677359435354e-05,True,True,True,True,True,0,False,0
2025-01-22,0.5,PASS,True,96,4.4748395369936924e-07,6.715879699581428e-07,6.817729413466367e-06,2.7945855164750723e-06,1.7384443811952587e-05,5.960850157613051e-05,True,True,True,True,True,0,False,0
2025-01-22,1.0,PASS,True,96,1.5827003112847313e-06,2.5947906080736605e-06,8.246511726595074e-06,1.0826035925883756e-05,6.77822317408864e-05,0.0002515207142543274,True,True,True,True,True,0,False,0
