day,slot,timestamp,violation_type,asset,phase,value,limit,Vmax_pu,Vmin_pu,rho_AC,current_A,rating_A,gV_high,gV_low,gI
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.1,A,1.0559448236325346,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.005944823632534568,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.2,B,1.055950160431173,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.005950160431172913,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.3,C,1.0559490591262104,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.005949059126210354,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.1,A,1.0562217197374673,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.006221719737467213,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.2,B,1.0562270551354798,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.00622705513547972,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.3,C,1.0562259541176975,1.05,1.0562272884914041,0.970526883456288,0.9841874226086988,,,0.006225954117697441,0.0,0.0
2025-02-03,64,2025-02-03T16:15:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.1669353031720429,1.0,1.0562272884914041,0.970526883456288,0.9841874226086988,809.7721291024717,693.9306120067616,0.0,0.0,0.16693530317204286
2025-02-03,64,2025-02-03T16:15:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.0330981453689159,1.0,1.0562272884914041,0.970526883456288,0.9841874226086988,809.7721291024717,KVA_AUTHORITY,0.0,0.0,0.033098145368915866
2025-02-03,64,2025-02-03T16:15:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,B,1.0330981453689159,1.0,1.0562272884914041,0.970526883456288,0.9841874226086988,641.3637187890652,KVA_AUTHORITY,0.0,0.0,0.033098145368915866
2025-02-03,64,2025-02-03T16:15:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.0083775629489589,1.0,1.0562272884914041,0.970526883456288,0.9841874226086988,699.7440593910579,693.9306120067617,0.0,0.0,0.008377562948958861
2025-02-03,64,2025-02-03T16:15:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.0330981453689159,1.0,1.0562272884914041,0.970526883456288,0.9841874226086988,699.7440593910579,KVA_AUTHORITY,0.0,0.0,0.033098145368915866
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,149.1,A,1.0562215304744977,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006221530474497694,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,149.2,B,1.0562271816319788,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006227181631978773,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,149.3,C,1.056225972051037,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006225972051036921,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,150r.1,A,1.056221790992903,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006221790992902987,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,150r.2,B,1.0562273840556495,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.0062273840556494875,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,150r.3,C,1.0562261982513805,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006226198251380488,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.1,A,1.0559446039580056,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.0059446039580055565,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.2,B,1.055950256594538,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.0059502565945379615,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.3,C,1.055949046698862,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.005949046698861871,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.1,A,1.0562215001081299,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006221500108129829,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.2,B,1.0562271512654484,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006227151265448372,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,VOLTAGE_HIGH,mess_idc01_pcc.3,C,1.0562259416845414,1.05,1.0562273840556495,0.9685220781968075,0.997683767559975,,,0.006225941684541381,0.0,0.0
2025-02-03,65,2025-02-03T16:30:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.1727014963710571,1.0,1.0562273840556495,0.9685220781968075,0.997683767559975,813.7734670780129,693.9306120067617,0.0,0.0,0.17270149637105714
2025-02-03,65,2025-02-03T16:30:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,A,1.0340506679071302,1.0,1.0562273840556495,0.9685220781968075,0.997683767559975,813.7734670780129,KVA_AUTHORITY,0.0,0.0,0.03405066790713018
2025-02-03,65,2025-02-03T16:30:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,B,1.0340506679071302,1.0,1.0562273840556495,0.9685220781968075,0.997683767559975,639.251501313529,KVA_AUTHORITY,0.0,0.0,0.03405066790713018
2025-02-03,65,2025-02-03T16:30:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.008497137882011,1.0,1.0562273840556495,0.9685220781968075,0.997683767559975,699.8270360975314,693.9306120067617,0.0,0.0,0.008497137882010897
2025-02-03,65,2025-02-03T16:30:00+10:00,TRANSFORMER_OVERLOAD,transformer.reg1a,C,1.0340506679071302,1.0,1.0562273840556495,0.9685220781968075,0.997683767559975,699.8270360975314,KVA_AUTHORITY,0.0,0.0,0.03405066790713018
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,149.1,A,1.0562210085712966,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.0062210085712965935,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,149.2,B,1.056226772463824,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.00622677246382386,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,149.3,C,1.0562255376183767,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006225537618376631,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,150r.1,A,1.0562212757480853,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.0062212757480852865,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,150r.2,B,1.0562269791751617,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006226979175161684,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,150r.3,C,1.0562257689812797,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.006225768981279689,0.0,0.0
2025-02-03,66,2025-02-03T16:45:00+10:00,VOLTAGE_HIGH,idc_idc01_pcc.1,A,1.0559440819107704,1.05,1.0562269791751617,0.9665600248189756,1.0209179820572165,,,0.005944081910770338,0.0,0.0
