day,label,case,source_ready,Stage1_solved,schedule_frozen,planning_voltage_complete,Fresh_complete,Fresh_convergence_count,exact_matched,status,reason
2025-02-17,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-18,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-19,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-20,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-21,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-22,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-23,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-24,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-25,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-26,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-27,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-02-28,CALIBRATION_CANDIDATE,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-01,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-02,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-03,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-04,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-05,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-06,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-07,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-08,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-09,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-10,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-11,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
2025-03-12,PROSPECTIVE_VALIDATION,B1,False,False,False,False,False,0,False,BLOCKED_PREFLIGHT_PLANNING_MODEL,CANONICAL_AIDC_P_G_W_PREDICTOR_APRIL_ONLY_AND_NO_FROZEN_JANMAR_CAUSAL_MODELS
