mess_id,origin,destination,departure_slot,connection_ready_slot,safe_energy_kwh,status
MESS01,STA01,IDC02,24,28,65.62861875583106,FEASIBLE
MESS01,STA01,IDC02,25,29,70.22904259775653,FEASIBLE
MESS01,STA01,IDC02,26,31,69.96866836661363,FEASIBLE
MESS01,STA01,IDC02,27,32,64.90306024633433,FEASIBLE
MESS01,STA01,IDC02,28,33,69.57150257017292,FEASIBLE
MESS01,STA01,IDC02,29,34,69.47180626503446,FEASIBLE
MESS01,STA01,IDC02,30,35,69.47744893354928,FEASIBLE
MESS01,STA01,IDC02,31,36,69.38148609800928,FEASIBLE
MESS01,STA01,IDC02,32,37,69.75726101584961,FEASIBLE
MESS01,STA01,IDC02,33,37,65.33324339329184,FEASIBLE
MESS01,STA01,IDC02,34,39,68.94437097036392,FEASIBLE
MESS01,STA01,IDC02,35,39,65.67277954882107,FEASIBLE
MESS01,STA01,IDC02,36,41,63.50798093589375,FEASIBLE
MESS01,STA01,IDC02,37,41,66.36365382974596,FEASIBLE
MESS01,STA01,IDC02,38,43,69.78402675603509,FEASIBLE
MESS01,STA01,IDC02,39,43,66.08512589060027,FEASIBLE
MESS01,STA01,IDC02,40,44,70.1327293055689,FEASIBLE
MESS01,STA01,IDC02,41,45,71.59549575801387,FEASIBLE
MESS01,STA01,IDC02,42,46,71.49468783411942,FEASIBLE
MESS01,STA01,IDC02,43,47,66.6467091845043,FEASIBLE
MESS01,STA01,IDC02,44,48,70.70737043075499,FEASIBLE
MESS01,STA01,IDC02,45,49,71.63555119589549,FEASIBLE
MESS01,STA01,IDC02,46,50,70.599940186787,FEASIBLE
MESS01,STA01,IDC02,47,51,71.76280960054436,FEASIBLE
MESS01,STA01,IDC02,48,52,72.27393488651906,FEASIBLE
MESS01,STA01,IDC02,49,53,72.52979184856623,FEASIBLE
MESS01,STA01,IDC02,50,54,67.46108703702527,FEASIBLE
MESS01,STA01,IDC02,51,55,72.34472879633422,FEASIBLE
MESS01,STA01,IDC02,52,56,71.9746104233776,FEASIBLE
MESS01,STA01,IDC02,53,57,71.78097460819411,FEASIBLE
MESS01,STA01,IDC02,54,58,64.942477244519,FEASIBLE
MESS01,STA01,IDC02,55,59,65.1227241487128,FEASIBLE
MESS01,STA01,IDC02,56,60,71.02723015123503,FEASIBLE
MESS01,STA01,IDC02,57,62,69.81986803825875,FEASIBLE
MESS01,STA01,IDC02,58,63,64.47675618687656,FEASIBLE
MESS01,STA01,IDC02,59,63,71.69189160423193,FEASIBLE
MESS01,STA01,IDC02,60,64,72.83176632170643,FEASIBLE
MESS01,STA01,IDC02,61,65,64.82688055097216,FEASIBLE
MESS01,STA01,IDC02,62,67,63.93249958652749,FEASIBLE
MESS01,STA01,IDC02,63,68,69.68930886860124,FEASIBLE
MESS01,STA01,IDC02,64,69,69.70658383628066,FEASIBLE
MESS01,STA01,IDC02,65,70,69.35146716734788,FEASIBLE
MESS01,STA01,IDC02,66,71,69.83145480302025,FEASIBLE
MESS01,STA01,IDC02,67,72,63.820724697056946,FEASIBLE
MESS01,STA01,IDC02,68,73,65.23602739335891,FEASIBLE
MESS01,STA01,IDC02,69,74,76.99830886606127,FEASIBLE
MESS01,STA01,IDC02,70,75,63.87704538821152,FEASIBLE
MESS01,STA01,IDC02,71,76,64.30087306475528,FEASIBLE
MESS01,STA01,IDC02,72,77,69.56802565562242,FEASIBLE
MESS01,STA01,IDC02,73,78,69.0743250146545,FEASIBLE
MESS01,STA01,IDC02,74,79,63.42355357353497,FEASIBLE
MESS01,STA01,IDC02,75,80,63.66218050178083,FEASIBLE
MESS01,STA01,IDC02,76,81,64.68567937903956,FEASIBLE
