Fresh_effect_direction,Fresh_rho_delta,Planning_effect_direction,Planning_rho_delta,active_cell_count,active_sign_match_rate,cell_count,comparison,day,effect_MAE,effect_RMSE,fresh_max_abs_effect,fresh_mean_abs_effect,planning_max_abs_effect,planning_mean_abs_effect
-1.0,-1.5755943483242163e-07,-1.0,-4.1152369489871887e-07,23321,0.9509454997641611,25248,B1-B0,2025-04-06,1.4091216008597248e-07,1.0441818505340629e-06,0.0044560065389446235,5.07024156810141e-05,0.004456458601007324,5.0617972748721633e-05
1.0,0.02646604590366619,1.0,0.005716492341217627,23974,0.9064403103361975,25248,B3-B2,2025-04-06,0.0009500562879815454,0.010033701417619058,0.2705964476513708,0.0035062075344927538,0.2902744464895802,0.003985477732895511
1.0,4.1061305910972123e-08,-1.0,-6.2845645354414614e-09,22392,0.9465880671668453,25248,B1-B0,2025-04-07,1.1453203115237767e-07,3.2307894418925446e-07,0.002498749646352938,4.446682414872067e-05,0.0024963847974234232,4.440898031201703e-05
1.0,0.020823611097950057,-1.0,-0.01675804474349052,24535,0.9029142041980843,25248,B3-B2,2025-04-07,0.0034066120484598124,0.021808316291549727,0.2417403473650247,0.008300082609172067,0.2365291910219326,0.007593829470534908
-1.0,-5.861049681032959e-06,-1.0,-6.4220842965756475e-06,23356,0.9725124165096763,25248,B1-B0,2025-04-08,3.1284168779892885e-07,9.10554744468283e-07,0.004366322326285477,0.00010266912897417101,0.0043641151821700586,0.00010248218223060153
-1.0,-9.83099294615819e-06,1.0,0.00013560863883721463,24193,0.9193981730252553,25248,B3-B2,2025-04-08,0.0019907771633280737,0.01574493636808234,0.23881478462075015,0.006029665515192147,0.23633633839588464,0.005374823269184661
-1.0,-2.2171403084914054e-05,-1.0,-2.7977059920747394e-05,23491,0.9633476650632157,25248,B1-B0,2025-04-09,4.266081683666555e-07,2.1762817870978284e-06,0.004269624089520585,0.00012314833603995233,0.004202582065507721,0.00012287011864246523
1.0,0.0018038664040267438,1.0,0.0014817769833396222,24377,0.9229601673708824,25248,B3-B2,2025-04-09,0.0025517224560733472,0.018981105993906237,0.23890374843221293,0.00730120139412649,0.23604219107546298,0.006555697661393829
1.0,5.156862692423658e-08,-1.0,-6.349752057488445e-09,22862,0.9394628641413699,25248,B1-B0,2025-04-10,3.271024641053273e-07,1.7007802950886338e-06,0.0029866860258745964,7.406417748884625e-05,0.002973303744390976,7.385787035067655e-05
1.0,2.8858417544519455e-08,1.0,0.00016668323548052477,24065,0.9184292541034698,25248,B3-B2,2025-04-10,0.0012324822973190442,0.01246280678030945,0.23399744666344502,0.003185457045137284,0.23157350712596703,0.0028079990574038194
