Fresh_effect_direction,Fresh_rho_delta,Planning_effect_direction,Planning_rho_delta,active_cell_count,active_sign_match_rate,cell_count,comparison,day,effect_MAE,effect_RMSE,fresh_max_abs_effect,fresh_mean_abs_effect,planning_max_abs_effect,planning_mean_abs_effect
1.0,0.005197621408373876,-1.0,-0.08149558002162782,25150,0.936182902584493,25248,B3-B1,2025-04-09,0.007074866444904138,0.026017957426035354,0.25225976117902105,0.01590413975745309,0.23636520420942597,0.011437038434032073
1.0,0.0018765283777503194,-1.0,-0.056958644154385674,25152,0.9351145038167938,25248,B2-B0,2025-04-10,0.007573710800703176,0.027587395066427205,0.25176040984611564,0.014939989099178562,0.2765180665988901,0.010282690774500199
1.0,0.0018765056675409397,-1.0,-0.05679195456915309,25151,0.9248936423999046,25248,B3-B1,2025-04-10,0.007694709995030548,0.02882825160930737,0.2517604235087759,0.014051901217673676,0.23721155428493665,0.00953079354390463
1.0,0.006248792246567492,-1.0,-0.028525417886993476,25152,0.9542382315521628,25248,B2-B0,2025-04-11,0.004566673127110159,0.018836177020366076,0.22600686692728045,0.009144108375232638,0.19723919372074789,0.004999702990341431
1.0,0.03106119605936175,-1.0,-0.028391415559231525,25150,0.9174155069582505,25248,B3-B1,2025-04-11,0.007529090888991129,0.028536563702457687,0.24689755022526333,0.014737437268653382,0.2373340554462149,0.010307750639822968
1.0,0.04499486079605064,-1.0,-0.08415657049077696,25148,0.9457213297280102,25248,B2-B0,2025-04-12,0.007802703052106478,0.03091555771939454,0.26609713976546745,0.016373926919187567,0.267190892534139,0.011695288281548121
1.0,0.03670738350166536,-1.0,-0.07946222315852192,25152,0.9436227735368957,25248,B3-B1,2025-04-12,0.007300108992098277,0.027900083206219624,0.2518788825510354,0.014782820643477131,0.23679736079650257,0.010067185386123924
-1.0,-0.006131147486054034,-1.0,-0.09827472919884706,25151,0.9310166593773608,25248,B2-B0,2025-04-13,0.007308802735687168,0.025463419942222204,0.25243972772781503,0.017158954205433875,0.22242021439575405,0.012397772626947412
-1.0,-0.005865533409348589,-1.0,-0.09703400903704029,25148,0.9299745506600923,25248,B3-B1,2025-04-13,0.00792693844658759,0.02813443526878998,0.25238836858700237,0.018814996907718998,0.23853870692649898,0.01400429143863455
1.0,0.02767981473756831,-1.0,-0.07958650266659217,25148,0.9460792110704629,25248,B2-B0,2025-04-14,0.007485789985711106,0.027684462430201288,0.2521373138310434,0.016438893696392044,0.23654353823297158,0.012156722818217029
1.0,0.027728593871980012,-1.0,-0.07949494230393006,25145,0.9425333068204415,25248,B3-B1,2025-04-14,0.007830603441399358,0.02869564979755945,0.2521388726732087,0.0170225696020166,0.2629248951699963,0.012724963497768688
1.0,0.002739421190271485,-1.0,-0.09920893097038619,25147,0.9219389986877162,25248,B2-B0,2025-04-15,0.007092471437297203,0.025802215553927785,0.24460008012270412,0.016737870173669435,0.24986844479263276,0.012298484751255502
1.0,0.00727393251142594,-1.0,-0.09843659755803058,25151,0.9196453421335136,25248,B3-B1,2025-04-15,0.007097506383117382,0.02578243272579565,0.2536493103759833,0.01669697609743347,0.2461333486202537,0.012140687783910602
-1.0,-0.07188656062705245,-1.0,-0.09567059510867326,25149,0.9268360570996859,25248,B2-B0,2025-04-16,0.0067326675282507525,0.023040772364548195,0.247487661236857,0.01558189375233037,0.2337401902882133,0.010917670258874001
-1.0,-0.06376255091250627,-1.0,-0.09364162811064303,25150,0.9254870775347912,25248,B3-B1,2025-04-16,0.0073758492611287856,0.02644463134493084,0.24158071116327634,0.017239523122872347,0.23623122098601157,0.012610481721081255
-1.0,-0.07759843258861265,-1.0,-0.09563607288991116,25152,0.9421517175572519,25248,B2-B0,2025-04-17,0.007453316975972151,0.02776456753194136,0.2501086449862844,0.017846859351959312,0.2373719161822968,0.013038738228128377
-1.0,-0.07486915749516021,-1.0,-0.09606805484844416,25151,0.945409725259433,25248,B3-B1,2025-04-17,0.006407603314060398,0.022590264370742304,0.24239237363170754,0.016116014358960276,0.20819776108471294,0.011397356659405805
1.0,0.0036596506209441992,-1.0,-0.0631332363583591,25150,0.94389662027833,25248,B2-B0,2025-04-18,0.007079241394689925,0.02651564250351322,0.2519645533553208,0.014786975595985146,0.23735163095908018,0.010231442067916374
-1.0,-0.026858066859336782,-1.0,-0.04795093456624666,25151,0.9502604270207944,25248,B3-B1,2025-04-18,0.005239044246365897,0.022265414522288057,0.2572771541461004,0.010847334200437672,0.264077979535056,0.006852928182829972
1.0,0.05156669416274984,-1.0,-0.07427346164713022,25143,0.9543809410173806,25248,B2-B0,2025-04-19,0.0063667244778563645,0.026357180568781436,0.24474603434416914,0.014735105591474906,0.23887573140528298,0.010797937210940444
1.0,0.0013033501579325923,-1.0,-0.075718076842335,25142,0.9589133720467743,25248,B3-B1,2025-04-19,0.006256521423500272,0.025687879936918852,0.25558318022056964,0.014630121313615609,0.29078787413051727,0.010769997098780886
-1.0,-0.015638175139697286,-1.0,-0.05522537211773887,25148,0.9521631938921584,25248,B2-B0,2025-04-20,0.005906021804081317,0.02383013009633732,0.2453439172861478,0.012764060886539851,0.23908980202456698,0.008403946795239947
-1.0,-0.0068346022142251606,-1.0,-0.04311688598148389,25152,0.9505804707379135,25248,B3-B1,2025-04-20,0.005874081133615544,0.02420557355584213,0.37072794131355924,0.011324256778203208,0.38799071435354787,0.007148201058609361
