fold_id,date,predicted_mass_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,aggregate_unmapped_boundary_score,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio,normalized_boundary_score
1,2024-11-20,785.0686222081713,482.27781679389244,628.8809298148934,872.8916543042544,False,True,14091.427738904986,17.52888888888889,0.0,50.765134678394155
1,2024-11-21,117.94216692049089,1105.6044487914041,1347.965277436473,0.9528933470164987,False,True,2116.9786634132897,22561.88333333334,0.0,0.05541782746679488
1,2024-11-22,1555.1664021471759,415.17686012378573,492.16208919080344,0.2922210372924915,False,True,27914.139424131587,35882.076111111106,0.0,0.01699482431853177
1,2024-11-23,1606.934825350791,940.9134662982092,1223.521897762218,19.227507173261525,False,True,28843.346087211496,1712.9366666666667,0.0,1.1182223891903391
1,2024-11-24,2700.036012795954,1891.961977521074,2516.399158151169,0.5355600266047139,False,True,48463.74099086915,108694.34666666703,0.0,0.031146794387240304
1,2024-11-25,1190.454826690958,2344.949675147524,2984.105652917026,0.7596608085280236,False,True,21367.8240248126,82810.13555555552,0.0,0.04417991976972319
1,2024-11-26,1487.18572954382,518.6917754157256,720.0558275201415,1.3434555909658468,False,True,26693.93432545125,2228.3227777777774,0.0,0.07813192355949691
1,2024-11-27,1062.9712034655875,611.8021304144795,917.3845165443787,0.5235864906283407,False,True,19079.582954215148,39905.74722222223,0.0,0.03045044431513237
1,2024-11-28,3357.0517711866655,2511.6897135223294,3268.321681853404,0.5504336609206146,False,True,60256.710192266706,136356.74666666667,0.0,0.032011806723514405
1,2024-11-29,1940.9836667840427,1830.760612230755,2438.8112092091715,0.6107591903920983,False,True,34839.28704977542,96027.04666666668,0.0,0.03552018443919579
1,2024-11-30,1200.011991082652,724.1640631077397,942.0906781883277,48.797723310869614,False,True,21539.36838106977,618.4133333333334,0.0,2.83795014382375
2,2024-12-01,1748.3396066247149,1989.533624237235,2445.48243838327,0.6454588104143786,False,True,32586.037710855053,67768.91222222222,0.0,0.03753822513764215
2,2024-12-02,3119.7665949092157,1437.9183018451906,1872.223648583514,0.4214852913248971,False,True,58147.07367239735,100403.55611111088,0.0,0.024512501034421114
2,2024-12-03,676.677768765249,2122.653714627709,2691.849358341004,0.8310835618464065,False,True,12612.107629164282,68041.20777777777,0.0,0.048333683496791235
2,2024-12-04,6379.965731599106,362.66395746559573,601.6658795497589,0.10600096473019655,False,True,118911.56794486388,126901.65777777761,0.0,0.006164743612833862
2,2024-12-05,6107.251704885004,496.0158256619687,674.890231390243,0.15063087947297513,False,True,113828.64839930652,96662.61500000014,0.0,0.008760304724491247
2,2024-12-06,5186.3597156489495,1694.3347100160574,2174.083537036395,1.0471236744744332,False,True,96664.80850506348,50608.92111111112,0.0,0.060898021074561756
2,2024-12-07,3975.3522743401636,2500.721102673249,3272.0452558307843,239.63722126144987,False,True,74093.71648090117,46.59777777777781,0.0,13.936684754982597
2,2024-12-08,3064.934493619515,1936.2553058989095,2531.0214633848886,2224.0625597319417,False,True,57125.09778532066,27.546666666666667,0.0,129.3457610932915
2,2024-12-09,2749.0210303863546,1737.0092873011347,2270.5841907945846,3901.828632524286,False,True,51237.01517981561,13.824444444444444,0.0,226.92032286640278
2,2024-12-10,3001.5239624466108,1897.0390793185536,2479.781107929778,4376.820187248331,False,True,55943.234746677525,0.0,0.0,254.54461063197374
2,2024-12-11,2989.4029794167127,1889.3783113969373,2469.767066695012,4359.145378091949,False,True,55717.32050861517,0.0,0.0,253.5166891679361
2,2024-12-12,2989.4973828957573,1889.437976783991,2469.8450603964734,4359.283037180465,False,True,55719.08002679831,0.0,0.0,253.524695066645
2,2024-12-13,2891.0161998080043,1822.681673909862,2383.6866556216655,451.83544272401883,False,True,53883.560466555384,27.08222222222231,0.0,26.27758781889051
2,2024-12-14,3273.6742443458716,1948.1495143225711,2545.8758378670773,16.070512157487233,False,True,61015.64706027259,3633.920000000001,0.0,0.9346196747359985
2,2024-12-15,3076.389433962781,718.4440647517308,880.3414758839484,0.553748837466466,False,True,57338.59813535957,41796.44666666666,0.0,0.032204608869121965
2,2024-12-16,3253.207125635085,1975.7156834877824,2597.5286005457233,26.531550518066442,False,True,60634.17523430979,768.3033333333333,0.0,1.5430067736754811
2,2024-12-17,328.14077295279657,76.39005543135237,103.22638039562412,0.5415026705667063,False,True,6115.978589853102,388.8,0.0,0.031492403283360115
2,2024-12-18,480.3374444654571,2400.297149831801,2524.061637618412,0.8807237481979078,False,True,8952.662297403944,17622.403333333325,0.0,0.05122062912534479
2,2024-12-19,3200.137225308434,1423.0182011772124,1833.399860471992,2.309483843591568,False,True,59645.043736743275,20248.404444444463,0.0,0.13431364337072216
2,2024-12-20,519.4240638669502,220.6788608356436,309.00982429923084,2.281911747411615,False,True,9681.16953305812,779.9727777777778,0.0,0.13271012113627417
2,2024-12-21,1752.8691096448786,1107.8576228377522,1448.174912862578,2556.0325357003303,False,True,32670.459842383258,0.0,0.0,148.65228150291887
2,2024-12-22,1351.2235068950133,854.0074407349657,1116.345751995134,1970.3531927300996,False,True,25184.477880976163,0.0,0.0,114.59067651720576
2,2024-12-23,619.9540142925728,391.82662114573833,512.1898980859111,904.0165192316495,False,True,11554.874586256577,0.0,0.0,52.57527681011774
2,2024-12-24,640.205778109629,324.3532561560599,429.6291764139819,0.4494757579122345,False,True,11932.332568077378,23004.51555555555,0.0,0.026140354616260946
2,2024-12-25,469.4908690805667,295.5073290520483,386.23740705813924,237.82945394608998,False,True,8750.500821918053,40.41333333333333,0.0,13.831549655134962
2,2024-12-26,465.78511960738297,2464.4441959121286,3215.5595745551996,0.9002483919257499,False,True,8681.432037099252,76135.6261111111,0.0,0.05235613221270285
2,2024-12-27,4572.778970323835,413.46941708938766,585.4250972523373,0.17600469077089723,False,True,85228.72067060735,69321.65722222225,0.0,0.010235980361314546
2,2024-12-28,430.35382001361523,1211.8100964154298,1423.2775267212498,0.8348791688653839,False,True,8021.053664194873,20052.90833333334,0.0,0.04855442624367685
2,2024-12-29,444.82526132586463,167.17638006036532,237.86119204089695,1.662672680351517,False,True,8290.776394575485,1505.0344444444445,0.0,0.09669676886922204
2,2024-12-30,1220.480131574628,1576.6818689032273,2311.415597965404,0.7258175774276896,False,True,22747.64664836481,83853.38527777762,0.0,0.04221168444946473
2,2024-12-31,4159.731124088237,1271.5427688091866,1536.8919214292102,0.31648118279278975,False,True,77530.22053778403,103024.17111111112,0.0,0.01840573201545747
3,2025-01-01,4778.5527900677325,445.70423603493754,594.5150738735111,0.16741138659885454,False,True,85278.03260714888,85375.84333333328,0.0,0.009736215881410265
3,2025-01-02,1877.1994592094811,4791.6071074925485,6009.668216562871,0.797925016772674,False,True,33500.4935019917,150465.06000000006,0.0,0.046405267755722755
3,2025-01-03,4254.194813075176,2060.8479069115965,2703.098446932107,3.3176664949625363,False,True,75920.34239752457,14264.290555555557,0.0,0.19294695464697853
3,2025-01-04,2435.6536578404803,1065.6234019692326,1375.7880078545452,0.4110389187569811,False,True,43466.66473681416,78178.42444444452,0.0,0.023904966860281686
3,2025-01-05,1217.5701432173544,1050.5328706126995,1397.9906241205397,0.5833785889692849,False,True,21728.751556453717,57562.863333333364,0.0,0.033927799047548925
3,2025-01-06,457.76289407078895,289.8829747598245,374.59458564813787,251.10158163739717,False,True,8169.234645278086,36.92,0.0,14.603422483103609
3,2025-01-07,776.8295092410909,1435.8557429213479,2023.2867054973947,0.7727492711098608,False,True,13863.296091852573,68148.34388888883,0.0,0.044941111107071566
3,2025-01-08,3578.479345376321,1753.3503853789277,2213.6044801354396,0.434112316186619,False,True,63861.52705758539,112269.10499999998,0.0,0.025246856340182023
3,2025-01-09,5063.597174069762,198.59661654469042,332.49645522257646,0.07498724100869218,False,True,90364.93346213878,88687.17888888894,0.0,0.004361065167935018
3,2025-01-10,4875.279651103663,1079.3717836036237,1458.622666066288,0.26322513505616996,False,True,87004.21975455349,123517.95555555564,0.0,0.015308497184012806
3,2025-01-11,5053.107551101278,578.2605098947241,745.3929457730493,0.2138463923013954,False,True,90177.73569560943,84360.92000000007,0.0,0.012436756442953813
3,2025-01-12,4054.6708519365634,2779.0353128041365,3686.250505850152,0.5224750595743638,False,True,72359.63864235167,159456.52444444457,0.0,0.030385806342180435
3,2025-01-13,4465.87436109731,1748.4784659210716,2310.044475760276,0.38527925083553205,False,True,79697.97470411294,136768.37333333326,0.0,0.022406850794152746
3,2025-01-14,2571.5712793264147,415.68512769528417,513.8206566133987,0.2393587767283193,False,True,45892.25002720901,46405.74388888891,0.0,0.013920491136730967
3,2025-01-15,4644.158657212782,1995.9089177499454,2618.092783162889,2.139688444949232,False,True,82879.63548833177,22939.209444444445,0.0,0.12443877947742467
3,2025-01-16,3379.464806619083,195.0623927863547,284.9274827828336,0.10668600836192861,False,True,60309.91445204675,47054.86833333335,0.0,0.006204583989418941
3,2025-01-17,836.7853111281212,257.40583813309985,359.5882208620624,1.0240555064986876,False,True,14933.267075313746,5123.758333333335,0.0,0.059556435726256476
3,2025-01-18,872.6913836873326,172.2584690527617,188.68669809730648,0.3959512064370115,False,True,15574.046692285545,14065.343333333332,0.0,0.023027504297619638
3,2025-01-19,2720.675464408728,847.2010427519308,971.1032696907708,0.8470268676744734,False,True,48553.16267501753,36658.548888888894,0.0,0.04926090517841649
3,2025-01-20,4332.85786453952,1881.7426195452917,2531.7101260607583,0.4148667321374978,False,True,77324.16287674941,148335.11999999997,0.0,0.02412758264636177
3,2025-01-21,5373.0687314469715,1218.2893657023094,1555.661819584575,0.2626497040760909,False,True,95887.76154846919,132405.3294444444,0.0,0.015275031597467454
3,2025-01-22,5260.203382012002,676.671481841738,889.3484657554314,0.25649556982693683,False,True,93873.56700627682,72931.0916666666,0.0,0.014917122969922793
3,2025-01-23,5198.135902325865,1624.6093035498143,2031.6569589535002,0.9328942834024846,False,True,92765.91102986499,53689.336111111144,0.0,0.05425473333844465
3,2025-01-24,4151.7095599711365,1607.6889914069554,2065.2818490115233,1.543125103723993,False,True,74091.39100995721,29906.632222222222,0.0,0.08974418913261185
3,2025-01-25,4718.634496670111,1158.561786567925,1477.7629128270758,0.2792413166757403,False,True,84208.7310000289,121767.0716666668,0.0,0.01623995713433066
3,2025-01-26,4774.660829745744,1287.7364006229006,1897.453432219357,0.8441627501922497,False,True,85208.57669992647,26675.74166666666,0.0,0.049094335468415407
3,2025-01-27,3276.142043291184,2082.4162464706865,2691.311329509496,4773.727575980182,False,True,58466.01686061459,12.088888888888887,0.0,277.6277240338107
3,2025-01-28,1157.101391263508,3239.958482545217,4319.860651824305,0.8194714453217574,False,True,20649.626468299015,126325.72777777779,0.0,0.04765835265089734
3,2025-01-29,1028.5064083205195,356.1168345110024,483.0608784095387,1.223126448400492,False,True,18354.720953951342,3636.6311111111104,0.0,0.07113388995710812
3,2025-01-30,814.5136839144449,999.0708797091887,1653.8481164626191,0.8095015350635777,False,True,14535.807711531095,56516.08666666664,0.0,0.04707852829985413
3,2025-01-31,4692.10333939145,1460.8203531950578,1818.222767943019,0.327075041926214,False,True,83735.25608096602,126854.57222222222,0.0,0.01902184362910427
4,2025-02-01,3500.619244481915,361.0705669527365,485.06684365461047,0.14396295097632916,False,True,62816.65997158049,78083.75888888889,0.0,0.008372515144319423
4,2025-02-02,1392.3612323093373,201.64847219353408,261.30518097740327,0.2956860685041369,False,True,24985.145763983513,19269.046666666665,0.0,0.01719634162627167
4,2025-02-03,839.2785063570269,518.4303393600652,666.494069008348,31.549588712077743,False,True,15060.384712901809,846.2666666666665,0.0,1.8348429752065327
4,2025-02-04,4147.251468267608,199.0402208623683,342.12234285546856,0.0878251962275917,False,True,74420.11458671515,82785.33611111101,0.0,0.0051076876410323085
4,2025-02-05,3924.51099535317,1528.0757866609245,2043.786403070969,0.38607042501604183,False,True,70423.16102741823,123426.91333333359,0.0,0.02245286345062574
4,2025-02-06,4975.712133845591,1355.5496383049376,1885.2093094249049,0.3110351774281101,False,True,89286.37918017947,146762.21444444446,0.0,0.0180890063434523
4,2025-02-07,4130.740639575794,1412.8341206219854,1800.1803043818975,1.1459631936979686,False,True,74123.83697428486,36938.603333333325,0.0,0.06664627342660173
