phase,horizon,candidate,N,positive_N,zero_fraction,positive_fraction,positive_coverage,overall_coverage_DIAGNOSTIC,positive_pinball,positive_normalized_pinball,overall_pinball,positive_MAE,positive_WAPE,overall_MAE,overall_WAPE,under_GPUh,over_GPUh,positive_under_GPUh,positive_over_GPUh,mean_supported_day_coverage,supported_days,safe_actual_ratio_median,safe_actual_ratio_P90,safe_actual_ratio_P95,safe_actual_ratio_P99
CAL_FIT,H8,U0,975,975,0.0,1.0,0.8061538461538461,0.8061538461538461,2371.544109188033,0.5966440020376701,2371.544109188033,4002.6869159259245,1.0070144304587803,4002.6869159259245,1.0070144304587803,2402491.915194444,1500127.8278333328,2402491.915194444,1500127.8278333328,0.8061538461538462,15,3.0615897043885947,19.901281805091916,30.9349342218261,94.14995186728453
CAL_FIT,H8,U1,975,975,0.0,1.0,0.6964102564102564,0.6964102564102564,2658.736852100881,0.6688972765282569,2658.736852100881,3573.837082094718,0.899122411862573,3573.837082094718,0.899122411862573,2804774.144117655,679717.0109246948,2804774.144117655,679717.0109246948,0.6964102564102563,15,1.7814678021833463,10.864958909556444,14.395433251973392,69.10491993012478
CAL_FIT,H8,U2,975,975,0.0,1.0,0.8994871794871795,0.8994871794871795,2256.3316062061162,0.5676583092995142,2256.3316062061162,6558.291960560488,1.6499653313300608,6558.291960560488,1.6499653313300608,1950612.3123703948,4443722.349176081,1950612.3123703948,4443722.349176081,0.8994871794871795,15,6.481747587928769,39.56059187863371,52.38415930461907,251.44577207899403
CAL_FIT,H24,U0,15,15,0.0,1.0,0.6666666666666666,0.6666666666666666,5874.1065146296305,0.524819209946753,5874.1065146296305,8682.836405555554,0.7757638257173977,8682.836405555554,0.7757638257173977,93859.17888888887,36383.36719444444,93859.17888888887,36383.36719444444,0.6666666666666666,15,1.467678549663434,3.1162460144200574,4.444753929361222,6.164041990586404
CAL_FIT,H24,U1,15,15,0.0,1.0,0.6666666666666666,0.6666666666666666,5978.960462315577,0.5341873352688399,5978.960462315577,9055.97405777354,0.8091016290668448,9055.97405777354,0.8091016290668448,95125.55731009168,40714.05355651141,95125.55731009168,40714.05355651141,0.6666666666666666,15,2.06671267428011,3.5607247445366292,5.246729308461382,7.141926454288612
CAL_FIT,H24,U2,15,15,0.0,1.0,0.8666666666666667,0.8666666666666667,4654.110486475984,0.4158192539467819,4654.110486475984,19294.904325162606,1.723893909432881,19294.904325162606,1.723893909432881,51086.62601174481,238336.9388656943,51086.62601174481,238336.9388656943,0.8666666666666667,15,6.467940300069122,11.14376150356834,16.420567711841663,22.35222229478183
CAL_SELECT,H1,U0,1023,878,0.14173998044965788,0.8582600195503421,0.7300683371298405,0.7683284457478006,223.6671600006328,0.6153105245183104,194.78042674866956,404.893237060238,1.1138652186076254,375.6621338926903,1.2041224652208635,201037.67533333343,183264.6876388888,201037.6753333334,154458.5868055555,0.7248866421215139,11,3.016230493126299,66.08779669434149,200.999217850209,2095.040796741492
CAL_SELECT,H1,U1,1023,878,0.14173998044965788,0.8582600195503421,0.6913439635535308,0.7350928641251222,230.0906629244794,0.6329816433061815,199.11087868779833,358.042523816247,0.9849784524854309,323.62620176922076,1.037329942856935,213229.33557078303,117840.26883912977,213229.33557078306,101132.00033988182,0.688187723199658,11,2.631368748466562,57.23146247046301,186.80315396025972,1571.0370894940686
CAL_SELECT,H1,U2,1023,878,0.14173998044965788,0.8582600195503421,0.8473804100227791,0.8690127077223851,196.36619728371616,0.5402053115350843,172.19549382838323,523.9361386482952,1.4413533944136843,486.2958156857634,1.5587403242973645,158009.91030222806,339470.7091443079,158009.91030222806,302006.0194309752,0.8474740539650285,11,5.898339319483174,127.96437500878227,417.92094142998764,3517.948187987677
CAL_SELECT,H4,U0,891,885,0.006734006734006734,0.9932659932659933,0.7728813559322034,0.7744107744107744,536.6319822473323,0.44288994764168954,533.408358361392,1227.7487989956055,1.013278409212842,1223.3817252774659,1.01651945047194,457829.4194722225,632203.6977499997,457829.4194722225,628728.2676388886,0.773063973063973,11,2.6456538466314803,22.9601531302768,40.38455335633371,116.28962574454
CAL_SELECT,H4,U1,891,885,0.006734006734006734,0.9932659932659933,0.7028248587570621,0.7048260381593715,613.8889319315518,0.5066511984290688,610.036483802494,1025.4186272236293,0.8462924632631583,1021.3282920077432,0.8486313410539869,565677.6953126653,344325.8128662339,565677.6953126653,341817.78978024644,0.704287317620651,11,1.8779892221293149,16.398633456874343,26.466301742455936,84.52193975206137
CAL_SELECT,H4,U2,891,885,0.006734006734006734,0.9932659932659933,0.8666666666666667,0.867564534231201,515.8228509672387,0.42571587794775534,512.9033356080008,1570.9265139953895,1.2965078201613627,1565.8882761988157,1.3011113842337798,396845.2832717678,998361.1708213767,396845.2832717678,993424.6816141519,0.867564534231201,11,3.693526657404742,32.26448871655049,52.087578072332214,166.4176815490811
CAL_SELECT,H8,U0,715,715,0.0,1.0,0.7944055944055944,0.7944055944055944,888.1379214024868,0.3729186039263093,888.1379214024868,2188.9791555944053,0.9191264454050045,2188.9791555944053,0.9191264454050045,598133.2552222225,966986.8410277774,598133.2552222225,966986.8410277774,0.7944055944055944,11,2.003985846460644,8.753893885941375,21.375315353248478,35.76490737651733
CAL_SELECT,H8,U1,715,715,0.0,1.0,0.6741258741258741,0.6741258741258741,1139.7689134513869,0.4785754799566512,1139.7689134513869,1740.0744132312507,0.7306366559434616,1740.0744132312507,0.7306366559434616,863149.315714634,381003.8897457101,863149.315714634,381003.8897457101,0.6741258741258741,11,1.3012583718368074,6.104706783724893,13.509594367319547,27.311977006482785
CAL_SELECT,H8,U2,715,715,0.0,1.0,0.9062937062937063,0.9062937062937063,862.2906126549979,0.36206562483253896,862.2906126549979,4788.738426138854,2.0107346003466944,4788.738426138854,2.0107346003466944,342678.73822424427,3081269.2364650364,342678.73822424427,3081269.2364650364,0.9062937062937063,11,4.735383467615185,22.20856798633778,49.161791771696386,99.37177983853846
CAL_SELECT,H24,U0,11,11,0.0,1.0,0.7272727272727273,0.7272727272727273,2090.2572565656583,0.28496761945959037,2090.2572565656583,3650.6373535353555,0.4976963638707748,3650.6373535353555,0.4976963638707748,23721.410916666682,16435.59997222222,23721.410916666682,16435.59997222222,0.7272727272727273,11,1.3080706436894676,1.7371013861845892,2.344737881716613,2.8308470781422326
CAL_SELECT,H24,U1,11,11,0.0,1.0,0.5454545454545454,0.5454545454545454,2226.0707672219505,0.30348326039355006,2226.0707672219505,4218.68684160524,0.5751393244642855,4218.68684160524,0.5751393244642855,24807.778642094618,21597.776615563027,24807.778642094618,21597.776615563027,0.5454545454545454,11,1.59275041389843,2.5281314554664407,2.6105990539760846,2.6765731327837994
CAL_SELECT,H24,U2,11,11,0.0,1.0,1.0,1.0,1470.7587839884693,0.20051054871642823,1470.7587839884693,14707.5878398847,2.005105487164283,14707.5878398847,2.005105487164283,0.0,161783.4662387317,0.0,161783.4662387317,1.0,11,4.984597667753812,7.912104167042471,8.170183760709229,8.376647435642635
EXPOSED_EVALUATION,H1,U0,8184,6343,0.22495112414467253,0.7750488758553274,0.7378212202427873,0.7967986314760508,278.98813480258224,0.6722772030227565,221.42727579321453,488.8369655919913,1.1779495504167716,430.8508960335887,1.3395550345168723,1824440.5647222237,1701643.168416666,1824440.5647222237,1276252.3080277774,0.7451449598419693,83,3.2465800387947508,102.34926052068184,321.78102166021745,6249.3229951851745
EXPOSED_EVALUATION,H1,U1,8184,6343,0.22495112414467253,0.7750488758553274,0.7531136686110673,0.8086510263929618,270.16079547525146,0.6510059794371728,212.42789792118958,459.239318100354,1.1066281528748598,386.33368812139526,1.201146943619542,1777918.032785582,1383836.8707999168,1777918.032785582,1135036.9619249636,0.7577343699856756,83,3.316099737631237,103.32589235569293,306.65460102010763,4263.002976965438
EXPOSED_EVALUATION,H1,U2,8184,6343,0.22495112414467253,0.7750488758553274,0.8879079300015765,0.9131231671554252,253.75456803322774,0.6114719228914217,203.48412202809243,736.4313370176728,1.7745772587027158,638.8895732080337,1.9863664023213214,1428058.5349555672,3800613.73217898,1428058.5349555672,3243125.4357475312,0.8903951436181826,83,7.438866518191085,231.45310675102434,685.525482412032,9531.58180730772
EXPOSED_EVALUATION,H4,U0,7128,6403,0.10171156004489337,0.8982884399551067,0.7621427455880057,0.7863355780022446,758.4650223081203,0.5153637173720477,695.6334373713996,1506.3779362711928,1.0235574616762968,1496.2926435730772,1.1318242965777883,4864897.181555561,5800676.781833331,4864897.181555561,4780440.744388887,0.7690644783421182,83,2.466936131476864,35.07912237377023,78.4216693103571,779.6239897039729
EXPOSED_EVALUATION,H4,U1,7128,6403,0.10171156004489337,0.8982884399551067,0.7388724035608308,0.7654320987654321,785.762953072574,0.5339121838952916,710.5766620265784,1386.3725318583934,0.9420158882300904,1292.7112662046698,0.9778314595308143,5179432.320468452,4035013.585038434,5179432.320468452,3697511.001020842,0.7454973220646439,83,2.1933256080538803,30.034371724960288,70.63558183216493,846.4007304927305
EXPOSED_EVALUATION,H4,U2,7128,6403,0.10171156004489337,0.8982884399551067,0.8608464782133375,0.875,682.856384827534,0.4639889705724506,622.7204540345313,2139.7784827596647,1.4539420550625628,2015.3228490719027,1.5244286442397053,3752786.586924609,10612434.681259915,3752786.5869246083,9948215.038185528,0.8647388495782071,83,4.314154671492874,59.11989295195837,138.9922557032701,1665.1157238377114
EXPOSED_EVALUATION,H8,U0,5720,5235,0.08479020979020979,0.9152097902097902,0.7279847182425979,0.7510489510489511,1295.364708265416,0.43483363128023383,1211.713754899477,2609.830995802824,0.8760793633572771,2650.375798178906,0.9721154948337632,6768734.651833342,8391414.913749997,6768734.651833343,6893730.611194441,0.7344094326022037,83,1.9791880236838486,10.162645400020631,27.270723252165613,137.49773781958513
EXPOSED_EVALUATION,H8,U1,5720,5235,0.08479020979020979,0.9152097902097902,0.6506208213944603,0.6802447552447553,1421.9413165404135,0.477323414937421,1307.121984495142,2304.1829659300583,0.7734781099224861,2166.2845137893937,0.7945585465729278,7797028.761780849,4594118.657094483,7797028.761780849,4265369.064863006,0.6590412933786428,83,1.507777754349584,7.8912206905350955,20.404077718194397,144.7648169117993
EXPOSED_EVALUATION,H8,U2,5720,5235,0.08479020979020979,0.9152097902097902,0.9243553008595988,0.9307692307692308,1055.0778166380437,0.3541730875980744,986.5425921310328,6433.692790706186,2.1596898393738053,6097.4290783637025,2.236439560684215,2694117.742706839,32183176.585533537,2694117.7427068385,30986264.016640045,0.924956235197199,83,5.486618412318232,28.7110263631067,74.23089056758995,526.7260096756163
EXPOSED_EVALUATION,H24,U0,88,83,0.056818181818181816,0.9431818181818182,0.5783132530120482,0.6022727272727273,2773.9932304216895,0.3424728974310568,2653.757243434347,4808.280601405625,0.5936228578952242,4908.85548737374,0.642548091455324,237915.88641666697,194063.39647222223,237915.88641666697,161171.4035,0.5783132530120482,83,1.1358079806790367,2.960712085236645,4.4131332639645695,202.98407732268285
EXPOSED_EVALUATION,H24,U1,88,83,0.056818181818181816,0.9431818181818182,0.6265060240963856,0.6477272727272727,2711.998433074795,0.33481911600138303,2596.569810975838,4988.693678691246,0.6158963763143975,5091.867153841261,0.6665035322510923,229612.14051508828,218472.1690229427,229612.14051508828,184449.43481628504,0.6265060240963856,83,1.2723680041644254,3.526275810621375,3.8913971608855062,155.7288924797079
EXPOSED_EVALUATION,H24,U2,88,83,0.056818181818181816,0.9431818181818182,0.9518072289156626,0.9545454545454546,1783.7497562344524,0.22021897552240607,1803.398505763222,16004.758305893503,1.9759226120641593,16305.378713479555,2.13430401439823,19014.66978567934,1415858.6570005214,19014.66978567934,1309380.2696034815,0.9518072289156626,83,3.9819296579814853,11.035890765212745,12.178596908543206,487.37678700051106
