date,jobs_1d,requested_GPU_1d,requested_GPU_h_1d,requested_nodes_1d,unique_accounts_1d,full_requested_GPU_h_1d,jobs_7d,requested_GPU_7d,requested_GPU_h_7d,requested_nodes_7d,unique_accounts_7d,full_requested_GPU_h_7d,jobs_28d,requested_GPU_28d,requested_GPU_h_28d,requested_nodes_28d,unique_accounts_28d,full_requested_GPU_h_28d,account_entropy_28d,full_share_7d,full_share_28d,dow_sin,dow_cos,month_sin,month_cos,holiday
2024-09-18,478.0,2078.0,23013.033333333333,743.0,21.0,10184.0,5837.0,18770.0,171672.86666666664,7091.0,40.0,86943.33333333334,15453.0,53699.0,651331.3999999999,20003.0,70.0,291073.26666666666,3.0415949947472978,0.5064477282956384,0.4468896581166925,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0.0
2024-09-19,515.0,1823.0,17906.199999999997,736.0,25.0,4216.0,6054.0,18360.0,148315.15,7167.0,44.0,68829.33333333333,15355.0,51889.0,643509.5333333333,19580.0,69.0,281368.2,3.01147781641587,0.4640748658065837,0.4372401424148806,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.0
2024-09-20,1604.0,5567.0,33114.416666666664,1841.0,25.0,11994.0,6127.0,18340.0,156286.56666666668,7325.0,43.0,60886.66666666667,16466.0,55858.0,657278.45,20783.0,71.0,288967.5333333333,2.989540956309124,0.38958349374023826,0.4396424884055355,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,0.0
2024-09-21,616.0,1060.0,22550.333333333332,682.0,25.0,8368.0,5000.0,16720.0,155345.93333333335,6134.0,47.0,58902.666666666664,16741.0,56225.0,670327.45,21121.0,72.0,294310.86666666664,2.9825613504403328,0.3791709599521755,0.4390553701279377,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0.0
2024-09-22,1216.0,4175.0,19851.933333333334,1286.0,24.0,12473.599999999999,4898.0,16371.0,138087.86666666667,5903.0,49.0,57736.93333333333,17661.0,59290.0,678659.7166666667,22015.0,72.0,304724.8,2.9806369921694214,0.41811735329872085,0.44900970621432934,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.0
2024-09-23,286.0,944.0,15399.999999999998,366.0,14.0,6730.666666666666,5039.0,16739.0,144191.1666666667,6074.0,48.0,57614.26666666666,17691.0,59499.0,685297.7166666667,22104.0,72.0,309287.4666666667,3.0077224304499834,0.39956862822156225,0.4513183965810675,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0
2024-09-24,631.0,1210.0,16495.0,721.0,12.0,3508.0,5346.0,16857.0,148330.91666666666,6375.0,46.0,57474.26666666666,18165.0,60043.0,697550.7166666667,22642.0,72.0,310203.4666666667,3.006855443948443,0.38747327905904083,0.4447038175933826,0.7818314824680298,0.6234898018587336,-1.0,-1.8369701987210297e-16,0.0
2024-09-25,959.0,1338.0,21745.916666666668,986.0,26.0,8256.0,5827.0,16117.0,147063.8,6618.0,47.0,55546.26666666666,18532.0,57358.0,668380.6333333333,22311.0,71.0,311441.4666666666,2.9893484146186204,0.3777018319033417,0.46596422926477166,0.9749279121818236,-0.22252093395631434,-1.0,-1.8369701987210297e-16,0.0
2024-09-26,691.0,1429.0,18641.166666666664,786.0,28.0,5025.333333333333,6003.0,15723.0,147798.76666666666,6668.0,49.0,56355.59999999999,17098.0,50112.0,598503.2833333333,20421.0,69.0,279582.79999999993,2.945580352974592,0.38129952820986546,0.4671366186044592,0.43388373911755823,-0.900968867902419,-1.0,-1.8369701987210297e-16,0.0
2024-09-27,956.0,3790.0,31253.833333333332,1585.0,24.0,4696.666666666666,5355.0,13946.0,145938.18333333332,6412.0,49.0,49058.26666666666,17292.0,52062.0,589445.6166666668,21123.0,69.0,273183.4666666667,2.9058906509970717,0.3361578549639339,0.4634583054693453,-0.433883739117558,-0.9009688679024191,-1.0,-1.8369701987210297e-16,1.0
2024-09-28,1313.0,3527.0,33166.33333333333,1723.0,25.0,4776.0,6052.0,16413.0,156554.18333333335,7453.0,50.0,45466.26666666666,18350.0,54703.0,615652.9500000001,22574.0,70.0,274311.4666666667,2.877392578466105,0.29041872723298884,0.4455618488738934,-0.9749279121818236,-0.2225209339563146,-1.0,-1.8369701987210297e-16,0.0
2024-09-29,1354.0,4164.0,44614.0,1560.0,22.0,31132.0,6190.0,16402.0,181316.25,7727.0,51.0,64124.666666666664,18604.0,57271.0,634748.9500000001,23004.0,70.0,295259.4666666667,2.8865109920332164,0.353661994811092,0.46515944085715566,-0.7818314824680299,0.6234898018587334,-1.0,-1.8369701987210297e-16,0.0
2024-09-30,904.0,1515.0,22105.466666666667,926.0,9.0,649.4666666666666,6808.0,16973.0,188021.71666666667,8287.0,50.0,58043.46666666667,19398.0,58488.0,649258.4166666666,23792.0,69.0,295596.93333333335,2.879083554868317,0.30870618402856476,0.45528394510608966,0.0,1.0,-1.0,-1.8369701987210297e-16,0.0
2024-10-01,726.0,1433.0,7887.0,817.0,14.0,1590.0,6903.0,17196.0,179413.71666666667,8383.0,50.0,56125.46666666667,19954.0,59156.0,646449.0833333334,24346.0,70.0,293882.93333333335,2.895126806860798,0.31282706645524966,0.4546111069072339,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.0
2024-10-02,1522.0,5391.0,15166.05,1766.0,18.0,11586.0,7466.0,21249.0,172833.84999999998,9163.0,47.0,59455.46666666667,21189.0,63786.0,651660.8,25780.0,69.0,303252.93333333335,2.892431766453665,0.3440036003749652,0.4653539591967682,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.0
2024-10-03,0.0,0.0,0.0,0.0,0.0,0.0,6775.0,19820.0,154192.68333333332,8377.0,41.0,54430.13333333333,20723.0,62586.0,635571.6333333333,25212.0,67.0,297197.6,2.8715615798018286,0.3530007530621049,0.4676067722552543,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.0
2024-10-04,0.0,0.0,0.0,0.0,0.0,0.0,5819.0,16030.0,122938.84999999999,6792.0,35.0,49733.46666666667,20076.0,60490.0,606755.6333333333,24359.0,67.0,286946.6,2.838178926191208,0.40453824536886973,0.47291954822669136,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.0
2024-10-05,0.0,0.0,0.0,0.0,0.0,0.0,4506.0,12503.0,89772.51666666668,5069.0,30.0,44957.46666666667,19713.0,59126.0,575546.0499999999,23828.0,67.0,266810.6,2.8524803360977167,0.5007932086119156,0.4635781967402956,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0
2024-10-06,0.0,0.0,0.0,0.0,0.0,0.0,3152.0,8339.0,45158.51666666666,3509.0,22.0,13825.466666666667,19358.0,57529.0,535385.85,23284.0,67.0,239169.06666666665,2.873853730685919,0.3061541362998711,0.4467228012594406,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.0
2024-10-07,0.0,0.0,0.0,0.0,0.0,0.0,2248.0,6824.0,23053.05,2583.0,22.0,13176.0,19343.0,57223.0,532613.85,23202.0,67.0,237633.06666666665,2.8757683698029743,0.5715512697885963,0.4461638890289215,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0
2024-10-08,0.0,0.0,0.0,0.0,0.0,0.0,1522.0,5391.0,15166.05,1766.0,18.0,11586.0,19274.0,56963.0,505955.85,23117.0,67.0,212145.06666666665,2.8776634637906997,0.7639431493368412,0.41929560981786584,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.0
2024-10-09,9.0,14.0,2.333333333333333,14.0,1.0,0.0,9.0,14.0,2.333333333333333,14.0,1.0,0.0,19139.0,56150.0,491572.85,22886.0,67.0,201945.06666666665,2.885975945122248,0.0,0.41081411771758075,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.0
2024-10-10,1249.0,5557.0,26021.666666666668,1905.0,4.0,2486.3333333333335,1258.0,5571.0,26024.0,1919.0,4.0,2486.3333333333335,20090.0,59474.0,476330.6,24131.0,65.0,182101.4,2.8451789996536245,0.09554001434573214,0.38230044427126875,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.0
2024-10-11,731.0,24338.0,14564.5,6119.0,6.0,2788.0,1989.0,29909.0,40588.5,8038.0,9.0,5274.333333333334,19290.0,78225.0,465752.1,28567.0,65.0,164952.73333333334,2.846723726891483,0.12994649551802442,0.35416422885336074,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.0
2024-10-12,671.0,20958.0,26746.01666666667,5527.0,16.0,4777.333333333333,2660.0,50867.0,67334.51666666666,13565.0,20.0,10051.666666666668,18218.0,96503.0,469007.14999999997,32221.0,66.0,159378.06666666665,2.8084509665869004,0.1492795547404984,0.33982012143453816,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0
2024-10-13,786.0,1593.0,106237.25,797.0,20.0,83132.66666666666,3446.0,52460.0,173571.76666666666,14362.0,25.0,93184.33333333333,17686.0,93572.0,538134.3999999999,31501.0,67.0,228871.4,2.7222578773892874,0.5368634261370848,0.42530527689736997,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.0
2024-10-14,2410.0,2628.0,29966.0,2449.0,12.0,246.0,5856.0,55088.0,203537.76666666666,16811.0,26.0,93430.33333333333,19951.0,95624.0,558803.7,33755.0,67.0,222264.06666666665,2.7621270829093167,0.4590319274080666,0.3977498120836828,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0
2024-10-15,74.0,871.0,4808.666666666667,244.0,9.0,456.0,5930.0,55959.0,208346.43333333335,17055.0,27.0,93886.33333333333,19701.0,95403.0,551257.1166666667,33579.0,67.0,219072.06666666665,2.7596907950041105,0.4506260646330558,0.3974045142334821,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.0
2024-10-16,69.0,124.0,890.3333333333334,73.0,7.0,613.3333333333334,5990.0,56069.0,209234.43333333335,17114.0,27.0,94499.66666666667,19292.0,93449.0,529134.4166666666,32909.0,67.0,209501.40000000002,2.7278623668236204,0.451644909306674,0.3959322875268147,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.0
2024-10-17,777.0,2900.0,32904.16666666667,1262.0,19.0,3348.0,5518.0,53412.0,216116.93333333335,16471.0,28.0,95361.33333333334,19554.0,94526.0,544132.3833333333,33435.0,68.0,208633.40000000002,2.7018090698305257,0.44124878075264196,0.3834239725302143,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.0
2024-10-18,712.0,2026.0,34438.58333333333,979.0,20.0,1813.3333333333335,5499.0,31100.0,235991.01666666666,11331.0,31.0,94386.66666666667,18662.0,90985.0,545456.55,32573.0,68.0,198452.73333333334,2.78938774958822,0.399958727242513,0.363828674040734,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.0
2024-10-19,538.0,883.0,16257.25,579.0,18.0,5870.666666666667,5366.0,11025.0,225502.25,6383.0,35.0,95480.0,18584.0,90808.0,539163.4666666667,32470.0,69.0,195955.4,2.788626520819543,0.42341040943050456,0.36344339354347943,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0
2024-10-20,176.0,366.0,9284.0,200.0,15.0,5232.0,4756.0,9798.0,128549.0,5786.0,31.0,17579.333333333336,17544.0,86999.0,528595.5333333333,31384.0,67.0,188713.8,2.7729804084465743,0.13675200377547345,0.3570098271734671,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.0
2024-10-21,162.0,1748.0,9361.0,452.0,10.0,7208.0,2508.0,8918.0,107944.0,3789.0,30.0,24541.333333333336,17420.0,87803.0,522556.5333333333,31470.0,66.0,189191.13333333336,2.7651980333146846,0.22735245435905038,0.36204912055448424,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0
2024-10-22,745.0,3393.0,16107.916666666666,1307.0,11.0,2530.666666666666,3179.0,11440.0,119243.24999999999,4852.0,30.0,26616.0,17534.0,89986.0,522169.45,32056.0,65.0,188213.8,2.767353512625794,0.22320760294607875,0.3604458284566437,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.0
2024-10-23,668.0,2574.0,27801.666666666664,997.0,17.0,12356.666666666668,3778.0,13890.0,146154.58333333334,5776.0,32.0,38359.333333333336,17243.0,91222.0,528225.2,32067.0,65.0,192314.46666666667,2.7175067818418226,0.2624572726935807,0.36407666023254226,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.0
2024-10-24,962.0,4997.0,30429.666666666664,1783.0,23.0,5438.666666666667,3963.0,15987.0,143680.08333333334,6297.0,34.0,40450.0,17514.0,94790.0,540013.7,33064.0,65.0,192727.8,2.6576520653885187,0.2815282331522404,0.35689427879329727,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.0
2024-10-25,223.0,837.0,5759.0,333.0,18.0,655.0,3474.0,14798.0,115000.5,5651.0,33.0,39291.66666666667,16781.0,91837.0,514518.86666666664,31812.0,62.0,188686.13333333336,2.6197741990293792,0.341665181165879,0.36672344894900527,-0.433883739117558,-0.9009688679024191,-0.8660254037844386,0.5000000000000001,0.0
2024-10-26,1138.0,5115.0,24297.583333333336,1852.0,21.0,13090.2,4074.0,19030.0,123040.83333333333,6924.0,36.0,46511.200000000004,16606.0,93425.0,505650.11666666664,31941.0,60.0,197000.3333333333,2.6522997821668928,0.378014344831323,0.389598117037911,-0.9749279121818236,-0.2225209339563146,-0.8660254037844386,0.5000000000000001,0.0
2024-10-27,1177.0,2184.0,54126.0,1256.0,22.0,23024.666666666668,5075.0,20848.0,167882.8333333333,7980.0,36.0,64303.86666666667,16429.0,91445.0,515162.1166666667,31637.0,58.0,188893.0,2.5514052225465322,0.383028242911475,0.366667101265566,-0.7818314824680299,0.6234898018587334,-0.8660254037844386,0.5000000000000001,0.0
2024-10-28,196.0,1514.0,5764.583333333334,417.0,10.0,3437.9999999999995,5109.0,20614.0,164286.4166666667,7945.0,37.0,60533.86666666667,15721.0,91444.0,498821.23333333334,31128.0,59.0,191681.53333333335,2.5479547045590225,0.3684654391694992,0.38426899362811145,0.0,1.0,-0.8660254037844386,0.5000000000000001,0.0
2024-10-29,159.0,1687.0,7572.0,424.0,8.0,6654.0,4523.0,18908.0,155750.5,7062.0,38.0,64657.200000000004,15154.0,91698.0,498506.23333333334,30735.0,57.0,196745.53333333335,2.5365813251094185,0.4151331777426076,0.3946701569161255,0.7818314824680298,0.6234898018587336,-0.8660254037844386,0.5000000000000001,0.0
2024-10-30,1236.0,14655.0,13549.5,3777.0,18.0,4314.0,5091.0,30989.0,141498.3333333333,9842.0,39.0,56614.53333333333,14868.0,100962.0,496889.68333333335,32746.0,50.0,189473.53333333333,2.4755003456994884,0.40010742175997366,0.3813191130519547,0.9749279121818236,-0.22252093395631434,-0.8660254037844386,0.5000000000000001,0.0
2024-10-31,1276.0,2042.0,39780.65,1344.0,18.0,4264.933333333334,5405.0,28034.0,150849.31666666665,9403.0,35.0,55440.8,16144.0,103004.0,536670.3333333334,34090.0,50.0,193738.46666666667,2.426437775771827,0.3675243695170866,0.3610008875715756,0.43388373911755823,-0.900968867902419,-0.8660254037844386,0.5000000000000001,0.0
2024-11-01,975.0,2030.0,22251.616666666665,1113.0,22.0,3830.333333333333,6157.0,29227.0,167341.93333333335,10183.0,37.0,58616.13333333333,17119.0,105034.0,558921.95,35203.0,53.0,197568.8,2.411320720449838,0.3502776152141981,0.35348191281448155,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0
2024-11-02,638.0,1405.0,9484.833333333332,713.0,24.0,2288.333333333333,5657.0,25517.0,152529.18333333335,9044.0,40.0,47814.26666666667,17757.0,106439.0,568406.7833333332,35916.0,57.0,199857.13333333336,2.4271255307667383,0.31347618614186507,0.3516093389338218,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0
2024-11-03,2112.0,3558.0,64716.00000000001,2355.0,19.0,6294.333333333334,6592.0,26891.0,163119.18333333335,10143.0,37.0,31083.933333333334,19869.0,109997.0,633122.7833333332,38271.0,57.0,206151.46666666667,2.3251212339442664,0.19055964294410088,0.3256105641646604,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0.0
2024-11-04,179.0,1135.0,3882.416666666667,326.0,9.0,1964.3333333333335,6575.0,26512.0,161237.01666666666,10052.0,36.0,29610.266666666663,20048.0,111132.0,637005.2,38597.0,57.0,208115.80000000002,2.329005444168302,0.1836443471779278,0.3267097348655867,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0
2024-11-05,492.0,870.0,11708.166666666666,520.0,10.0,1512.0,6908.0,25695.0,165373.18333333332,10148.0,36.0,24468.266666666666,20540.0,112002.0,648713.3666666666,39117.0,57.0,209627.80000000002,2.3180089204471503,0.1479578863602533,0.32314395042782385,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,1.0
2024-11-06,3686.0,5385.0,118054.66666666666,3993.0,19.0,4618.666666666666,9358.0,16425.0,269878.35,10364.0,37.0,24772.933333333334,24217.0,117373.0,766765.7,43096.0,57.0,214246.46666666667,2.1439124145159423,0.09179296276760747,0.27941581980866737,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0.0
2024-11-07,399.0,864.0,10845.666666666666,448.0,20.0,2895.3333333333335,8481.0,15247.0,240943.3666666667,9468.0,35.0,23403.333333333336,23367.0,112680.0,751589.7000000001,41639.0,57.0,214655.46666666667,2.06557811597264,0.09713209231325591,0.28560192704432574,0.43388373911755823,-0.900968867902419,-0.5000000000000004,0.8660254037844384,0.0
2024-11-08,155.0,925.0,7538.333333333334,265.0,19.0,6145.333333333334,7661.0,14142.0,226230.08333333334,8620.0,34.0,25718.333333333332,22791.0,89267.0,744563.5333333333,35785.0,57.0,218012.80000000002,2.0764943229868154,0.11368219891180106,0.29280617467790754,-0.433883739117558,-0.9009688679024191,-0.5000000000000004,0.8660254037844384,0.0
2024-11-09,191.0,947.0,12266.5,285.0,23.0,8600.0,7214.0,13684.0,229011.75,8192.0,33.0,32030.000000000004,22311.0,69256.0,730084.0166666666,30543.0,57.0,221835.46666666667,2.0862829699129017,0.13986181931713113,0.30384923050294604,-0.9749279121818236,-0.2225209339563146,-0.5000000000000004,0.8660254037844384,0.0
2024-11-10,247.0,2690.0,29920.666666666668,754.0,21.0,9384.666666666666,5349.0,12816.0,194216.4166666667,6591.0,33.0,35120.333333333336,21772.0,70353.0,653767.4333333333,30500.0,56.0,148087.46666666667,2.116980841974633,0.18083092014621147,0.22651398512100862,-0.7818314824680299,0.6234898018587334,-0.5000000000000004,0.8660254037844384,0.0
2024-11-11,119.0,776.0,5470.300000000001,213.0,11.0,2436.6666666666665,5289.0,12457.0,195804.3,6478.0,33.0,35592.66666666667,19481.0,68501.0,629271.7333333334,28264.0,55.0,150278.13333333336,2.0288844385869753,0.1817767366021414,0.23881278209858678,0.0,1.0,-0.5000000000000004,0.8660254037844384,0.0
2024-11-12,137.0,1027.0,10133.333333333334,267.0,8.0,7731.333333333334,4934.0,12614.0,194229.46666666667,6225.0,33.0,41812.0,19544.0,68657.0,634596.4,28287.0,55.0,157553.46666666667,2.0382328921727066,0.21527114663686456,0.24827349582611352,0.7818314824680298,0.6234898018587336,-0.5000000000000004,0.8660254037844384,0.0
2024-11-13,1036.0,2193.0,32832.66666666667,1160.0,21.0,9038.666666666666,2284.0,9422.0,109007.46666666667,3392.0,36.0,46232.0,20511.0,70726.0,666538.7333333334,29374.0,57.0,165978.8,2.046662746633724,0.4241177362773926,0.24901598616774556,0.9749279121818236,-0.22252093395631434,-0.5000000000000004,0.8660254037844384,0.0
