fold_id,seed,date,actual_GPU_h,mean_GPU_h,Q50_GPU_h,Q90_GPU_h,CRPS,alpha,selected_config
2,20260903,2024-12-29,275.5077777777778,5820.941235598171,1568.7590163248246,6723.965805555561,746.9443347135493,0.5894938494272695,F4
2,20260903,2024-12-30,25406.009166666667,5218.147085427501,1436.0422961597253,6723.965805555561,19816.9226039494,0.5617507615630992,F4
2,20260903,2024-12-31,1169.9105555555557,5051.234205679062,1671.661462826392,8254.268513303423,720.599265948722,0.6517637727888622,F4
3,20260901,2025-01-01,2538.885,7194.730086120743,1453.5070833333334,14165.88788471446,1552.1333164157722,0.7485190959228942,F2
3,20260901,2025-01-02,361.5311111111111,4686.019129977136,1453.5070833333334,10020.62444166095,859.1716360239398,0.5406674951924411,F2
3,20260901,2025-01-03,1410.8011111111111,2435.7525872214455,1211.2412957049478,3159.1228431951818,522.7322669482521,0.7620889653831088,F2
3,20260901,2025-01-04,332.95,5937.795688998715,960.5354510651591,9116.357031554498,701.5750861137731,0.021221792749776418,F2
3,20260901,2025-01-05,2.9344444444444444,3022.587803202552,1146.5653152633602,5273.429247122587,568.9077891427619,0.735514499593222,F2
3,20260901,2025-01-06,0.7022222222222222,4083.9671931344305,1222.3737500000002,8423.175678632078,700.3625893946114,0.450664932661686,F2
3,20260901,2025-01-07,8552.032777777778,4303.135146945455,1123.5633650800614,6099.131526616471,5304.778585981892,0.46461022633909194,F2
3,20260901,2025-01-08,25097.630555555555,3778.496240652219,1453.5070833333334,8475.892051381132,19723.353615888802,0.6725214389624198,F2
3,20260901,2025-01-09,4180.303888888889,5048.303677698092,1161.108477094398,7448.44725646289,2078.88669899256,0.22214024324673295,F2
3,20260901,2025-01-10,4239.068333333334,4164.629628265842,1364.8187500000001,8475.892051381132,2084.9349170626624,0.5069108792002599,F2
3,20260901,2025-01-11,2867.1608333333334,4168.160224950891,1219.3774572678426,8475.892051381132,1365.0669339973356,0.37383824395274146,F2
3,20260901,2025-01-12,1196.9533333333334,3375.0647347559434,1230.5503310412678,5325.234829158906,567.4286801014177,0.6350705901944725,F2
3,20260901,2025-01-13,2625.076111111111,3879.868047307295,1073.4692604846668,7931.0873207062195,1303.091080719601,0.49421468776112154,F2
3,20260901,2025-01-14,3371.748611111111,4255.293323711984,1222.3737500000002,5807.559911896171,1617.0025918869455,0.43512411604970536,F2
3,20260901,2025-01-15,5120.106666666667,3594.17523021582,1812.3484722222224,7998.193679519396,2298.1750980866755,0.6902053628007635,F2
3,20260901,2025-01-16,1552.3119444444444,3566.7702810847136,1453.5070833333334,5692.891502371134,647.2059390458785,0.5253063755356842,F2
3,20260901,2025-01-17,1078.0766666666666,3223.5194903719175,1453.5070833333334,5471.044191206569,589.1856088376717,0.7842240047490951,F2
3,20260901,2025-01-18,882.2744444444444,6489.729350519128,1011.5628338016985,9623.6921049858,743.09482349069,0.0554824360926901,F2
3,20260901,2025-01-19,13419.589722222225,4178.183733660625,990.4600470946826,10736.817329158906,8968.965825226369,0.4226825563751237,F2
3,20260901,2025-01-20,5296.009722222222,6071.662395464127,1000.4262138111485,9707.299608885018,2872.2260643203954,0.015459311477854397,F2
3,20260901,2025-01-21,2228.683611111111,4427.003432481892,1074.8201705331394,7652.049040720265,1104.4549802464117,0.5029693389189234,F2
3,20260901,2025-01-22,5470.154444444444,2939.79660217402,1364.8187500000001,4959.022329158906,2823.283828651826,0.7718743739418009,F2
3,20260901,2025-01-23,2366.793333333333,3555.7826839358895,1812.3484722222224,8475.892051381132,914.5528537028804,0.7174025065546321,F2
3,20260901,2025-01-24,15893.229166666666,4099.592318123288,1376.888622122877,8475.892051381132,11300.231802162803,0.5251848085502351,F2
3,20260901,2025-01-25,1319.206111111111,4059.7834187334006,1364.8187500000001,8475.892051381132,700.6766193940907,0.5939102577088363,F2
3,20260901,2025-01-26,1846.6297222222224,3626.6536800059193,1364.8187500000001,4861.242766141451,803.0533443698087,0.6644379849889557,F2
3,20260901,2025-01-27,1.56,5712.872497758628,1812.3484722222224,2852.04316249224,1208.3320731598214,0.69006183267604,F2
3,20260901,2025-01-28,255.0663888888889,4910.577724093484,1359.0186112776341,8757.120113309886,726.1658481024415,0.36243973506043753,F2
3,20260901,2025-01-29,420.6133333333333,5471.771992248725,954.4220657373261,8330.34747527744,629.2734932912381,0.2401852975264731,F2
3,20260901,2025-01-30,15001.173888888889,3978.507190575723,782.9492592760739,5165.692360527877,11164.40954989519,0.37487932264983104,F2
