time_utc,P_consumption_W,Q_raw_var,S_sum_VA,PF_magnitude,Q_abs_over_P_abs
2024-05-17 05:16:02.611000+00:00,36507.6634,12162.692,38497.237,0.9483190546895611,0.3331544905171882
2024-05-17 05:26:03.613000+00:00,36475.936,12012.3108,38419.301,0.9494169610217531,0.32932152309950313
2024-05-17 05:36:03.612000+00:00,36443.3503,11962.7904,38372.849,0.9497170851192205,0.32825715258127625
2024-05-17 05:46:03.602000+00:00,36510.349,12023.5167,38455.244,0.9494244530082816,0.32931804349501015
2024-05-17 05:56:03.596000+00:00,36831.0274,12198.226,38814.103,0.9489083748760082,0.33119429082230817
2024-05-17 06:06:04.592000+00:00,36925.53200000001,12293.4695,38934.012,0.9484132280022928,0.33292599548734997
2024-05-17 06:16:04.587000+00:00,37087.545,12315.645100000002,39094.758,0.9486577458798952,0.3320695694471015
2024-05-17 06:26:04.575000+00:00,36963.864,12289.7711,38969.564,0.9485316284267384,0.33248069249470236
2024-05-17 06:36:03.577000+00:00,36906.876000000004,12079.664,38847.765999999996,0.9500385684983792,0.3273011782411494
2024-05-17 06:46:03.570000+00:00,36860.749299999996,12024.207600000002,38787.395000000004,0.9503280460056673,0.326206271666865
2024-05-17 06:56:02.557000+00:00,36887.367,12098.9463,38835.547000000006,0.9498351342907567,0.32799701588893565
2024-05-17 07:06:03.546000+00:00,36832.221399999995,12279.1042,38840.327000000005,0.948298437343228,0.3333794089324192
2024-05-17 07:16:03.532000+00:00,36714.161,11998.3377,38639.678,0.9501673642311409,0.3268040824901324
2024-05-17 07:26:03.506000+00:00,36517.451,12063.428899999999,38472.69,0.9491785211795691,0.3303469593209011
2024-05-17 07:36:03.501000+00:00,36752.16099999999,12085.7176,38703.037,0.9495937230972339,0.3288437270396155
2024-05-17 07:46:03.498000+00:00,37160.2567,12323.8855,39164.951499999996,0.9488140614702408,0.33164155994648986
2024-05-17 07:56:03.493000+00:00,37243.141,12451.1762,39283.387,0.9480633887296939,0.33432132375730605
2024-05-17 08:06:03.483000+00:00,37228.534700000004,12788.1293,39378.844,0.9453943010617581,0.34350342829904607
2024-05-17 08:16:04.484000+00:00,37115.236,12531.392,39187.104999999996,0.947128806784783,0.3376347115238605
2024-05-17 08:26:04.483000+00:00,36981.558999999994,12296.545699999999,38986.175,0.9485813624958076,0.33250479516020404
2024-05-17 08:36:04.462000+00:00,36939.0813,12125.6397,38892.331999999995,0.9497779999409653,0.3282604567645271
2024-05-17 08:46:04.505000+00:00,36874.981,12086.453099999999,38818.809,0.9499256146678792,0.32776838854506796
2024-05-17 08:56:04.487000+00:00,36821.987,11961.8235,38729.507,0.9507476302241596,0.32485545932108445
2024-05-17 09:06:04.486000+00:00,36792.979999999996,12042.6966,38726.637,0.9500690700305321,0.3273096280866622
2024-05-17 09:16:04.490000+00:00,36733.74799999999,11832.8158,38605.066,0.9515266208844195,0.3221238355530724
2024-05-17 09:26:04.478000+00:00,36521.768,11787.1191,38389.962,0.951336393612476,0.3227422916656171
2024-05-17 09:36:04.477000+00:00,36730.4117,11960.253200000001,38641.591,0.9505408744686521,0.3256226284008682
2024-05-17 09:46:04.449000+00:00,36780.251000000004,11995.731,38700.55,0.9503805759866462,0.32614597980856624
2024-05-17 09:56:04.439000+00:00,36818.164000000004,11988.785100000001,38734.516,0.9505259856609543,0.32562148128842056
2024-05-17 10:06:05.443000+00:00,37030.6085,11874.6424,38901.108,0.9519165495234738,0.3206710038264697
2024-05-17 10:16:04.423000+00:00,37291.587700000004,11778.548999999999,39118.679000000004,0.9532936349921223,0.31585002748488494
2024-05-17 10:26:04.411000+00:00,37156.498999999996,11842.7176,39009.741,0.9524928401857371,0.3187253352367779
2024-05-17 10:36:04.423000+00:00,37157.3634,11863.5083,39016.868,0.952341007996849,0.31927745174728944
2024-05-17 10:46:04.411000+00:00,37244.9017,11982.5814,39137.411,0.9516444943177259,0.3217240710290289
2024-05-17 10:56:04.390000+00:00,37209.4615,11848.0648,39062.0,0.952574407352414,0.31841537937870995
2024-05-17 11:06:04.384000+00:00,37178.7223,11962.8751,39066.383,0.9516806892514211,0.3217667084809958
2024-05-17 11:16:04.361000+00:00,36982.9965,11978.661100000001,38885.466,0.9510750494799265,0.3238964452217927
2024-05-17 11:26:04.340000+00:00,37004.8404,12114.9718,38949.357,0.95007577146909,0.327388840731225
2024-05-17 11:36:04.353000+00:00,36909.0063,12045.7182,38836.712,0.9503638284312019,0.32636257129469237
2024-05-17 11:46:04.328000+00:00,37056.5306,12158.4344,39011.619999999995,0.9498844344326127,0.32810503852187395
2024-05-17 11:56:04.321000+00:00,36802.867,11938.2252,38702.843,0.9509086192970371,0.3243830215727487
2024-05-17 12:06:04.309000+00:00,36665.89,12010.7248,38595.559,0.9500028228636357,0.32757216039212467
2024-05-17 12:16:05.308000+00:00,36632.5414,12065.663700000001,38580.718,0.9495038791139139,0.3293700966103324
2024-05-17 12:26:04.303000+00:00,36597.668,11886.2935,38491.801,0.9507912607154962,0.32478281129824993
2024-05-17 12:36:04.345000+00:00,36487.035,11928.2392,38400.651,0.9501670948234707,0.3269171967522162
2024-05-17 12:46:04.334000+00:00,36404.97,11832.5512,38292.7035,0.9507025274410306,0.32502570940176573
2024-05-17 12:56:04.322000+00:00,36152.9093,11612.5615,37984.7985,0.9517730968087142,0.32120683300029745
2024-05-17 13:06:04.316000+00:00,36389.5454,11759.2481,38255.525,0.9512232651362124,0.32314907951556876
2024-05-17 13:16:05.308000+00:00,36137.322400000005,11608.170900000001,37968.482,0.9517715878132815,0.3212238796087449
2024-05-17 13:26:05.287000+00:00,36285.4657,11739.9427,38150.455,0.9511148870963662,0.32354394448353463
2024-05-17 13:36:05.277000+00:00,36130.853,11613.6234,37964.695999999996,0.9516960968158419,0.32143230606816836
2024-05-17 13:46:05.275000+00:00,36012.761,11472.1492,37808.20300000001,0.9525118398248124,0.31855789118751543
2024-05-17 13:56:05.280000+00:00,35969.602,11424.365699999998,37752.39,0.9527768175736688,0.3176116794397669
2024-05-17 14:06:04.258000+00:00,36144.569,11344.9763,37895.059,0.95380690659434,0.3138777585091691
2024-05-17 14:16:04.234000+00:00,35975.6805,11422.5053,37756.748999999996,0.9528278109961217,0.31750630262574187
2024-05-17 14:26:04.244000+00:00,36114.756,11542.2208,37926.003,0.9522426077960287,0.31959847105155575
2024-05-17 14:36:05.237000+00:00,36076.856,11662.3911,37926.618,0.9512278685117665,0.32326517310710223
2024-05-17 14:46:05.218000+00:00,35935.8366,11641.375100000001,37787.193,0.9510057177308725,0.32394891009717025
2024-05-17 14:56:05.211000+00:00,35875.982299999996,11459.6941,37674.28,0.952267231118949,0.31942523564016817
2024-05-17 15:06:05.193000+00:00,35973.942,11313.9368,37722.85400000001,0.9536378663183861,0.3145036704623585
2024-05-17 15:16:05.197000+00:00,36025.3243,11492.9312,37826.745,0.9523770628427055,0.31902367080148675
2024-05-17 15:26:05.181000+00:00,36036.704,11566.363,37860.409,0.9518308161964124,0.3209606239238749
2024-05-17 15:36:05.224000+00:00,36025.058000000005,11486.2438,37823.80500000001,0.9524440494550984,0.3188403971480073
2024-05-17 15:46:06.225000+00:00,36056.096,11627.3193,37897.358,0.9514145022985506,0.32247859834852893
2024-05-17 15:56:06.204000+00:00,36133.1316,11633.4175,37972.81,0.9515527452406077,0.3219598464031277
2024-05-17 16:06:06.184000+00:00,36220.1946,11377.7939,37977.23700000001,0.9537343277500676,0.3141284586030358
2024-05-17 16:16:06.175000+00:00,36376.479999999996,11666.0615,38213.466,0.951928307157482,0.320703418802479
2024-05-17 16:26:06.167000+00:00,36471.2716,11765.4839,38334.464,0.9513964144640186,0.3225959332879416
2024-05-17 16:36:06.167000+00:00,36471.244,11797.4372,38345.03999999999,0.9511332886860988,0.32347230053353815
2024-05-17 16:46:06.170000+00:00,36212.4545,11817.311699999998,38104.889,0.9503361760219272,0.32633280077714694
2024-05-17 16:56:07.168000+00:00,36237.179,11803.818200000002,38124.65,0.9504921094357586,0.3257377788707008
2024-05-17 17:06:06.131000+00:00,36339.0305,11540.3442,38140.331000000006,0.9527717654049723,0.31757435576053683
2024-05-17 17:16:06.119000+00:00,36268.6253,11665.592999999999,38111.326,0.951649525393055,0.32164420083492934
2024-05-17 17:26:06.116000+00:00,36295.642,11729.794,38156.666,0.9512267659863155,0.3231736195766974
2024-05-17 17:36:07.097000+00:00,36417.3765,11923.5155,38333.123999999996,0.9500237053468432,0.32741280800389344
2024-05-17 17:46:07.052000+00:00,36440.229999999996,11927.3461,38356.452999999994,0.9500417048469002,0.3273125910566427
