element_id,from_bus,to_bus,x_from,y_from,x_to,y_to,B0_slots_ge_0p40,B3_slots_ge_0p40,B0_hours_ge_0p40,B3_hours_ge_0p40,B0_minus_B3_hours_ge_0p40,B0_slots_ge_0p50,B3_slots_ge_0p50,B0_hours_ge_0p50,B3_hours_ge_0p50,B0_minus_B3_hours_ge_0p50,B0_slots_ge_0p60,B3_slots_ge_0p60,B0_hours_ge_0p60,B3_hours_ge_0p60,B0_minus_B3_hours_ge_0p60,B0_slots_ge_0p70,B3_slots_ge_0p70,B0_hours_ge_0p70,B3_hours_ge_0p70,B0_minus_B3_hours_ge_0p70,B0_slots_ge_0p80,B3_slots_ge_0p80,B0_hours_ge_0p80,B3_hours_ge_0p80,B0_minus_B3_hours_ge_0p80
Line.ln5928544-3,n1137994,m1069484,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln6108172-1,l2860504,l2860493,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5532754-1,m1026783,m1026780,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5591834-1,p895111,l2895496,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln6347196-2,n1140819,m1026700,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5532741-1,m1089173,l2935551,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5804803-1,m1026344,m1026364,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln6169248-1,l2879070,l3216345,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5532786-2,m1069428,n1139257,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Line.ln5744339-1,l2991919,m1026361,,,,,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
