split,model,policy,cadence,variant,seed,stratum,value,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,hour,20,88,1647.5894444444439,0.7386363636363636,0.9318181818181818,0.031818181818181746,15.670530689179317,10.21598981219984,20.43197962439968,60.129960690379406,5.394314618399379,4.791867579649606,8887.615825287176,0.8235294117647058,
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,hour,21,88,1938.1527777777783,0.3977272727272727,0.9772727272727273,0.07727272727272727,18.923476550282356,10.026684964142165,20.05336992828433,57.814187093994164,8.022183512568796,7.179167777080001,15548.217258728306,0.9746835443037974,
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,hour,22,88,3076.1311111111113,0.6590909090909091,0.9204545454545454,0.020454545454545392,27.93650120929159,18.07984842867927,36.15969685735854,108.62462326280227,4.381144859116026,3.8422200103228734,13476.976003411315,0.8372093023255814,
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,hour,23,88,8598.41333333333,0.6022727272727273,0.8522727272727273,0.04772727272727273,55.0058816151495,48.653276490237545,97.30655298047509,214.98651445735567,2.3540844807174035,1.7816307772574393,20241.39138679359,0.7547169811320755,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,lead_band,6-11,528,245125.64361111115,0.30113636363636365,0.9204545454545454,0.020454545454545392,256.68534974841293,218.535881217117,437.071762434234,1549.3816087251262,2.2378308968655545,1.6669473841901195,548549.7388869992,0.9100642398286938,0.2962962962962963
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,lead_band,12-17,528,239461.85111111103,0.3371212121212121,0.9090909090909091,0.009090909090909038,281.2363129408397,218.49538100541383,436.99076201082767,1691.5984599747662,1.9236565419519351,1.4514012416346223,460642.356437809,0.8949671772428884,0.16666666666666666
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,lead_band,18-23,528,151420.78861111123,0.4318181818181818,0.9166666666666666,0.016666666666666607,212.31784054695444,142.13732920135703,284.27465840271407,1507.3716694335424,1.6256909442811498,1.3034681446851417,246163.40482099378,0.891358024691358,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,lead_band,24-29,528,36282.69166666665,0.5984848484848485,0.9166666666666666,0.016666666666666607,52.75982797577684,34.49630959132543,68.99261918265086,312.6076641171262,2.374492760601465,2.0048252529706687,86152.98869763507,0.8562091503267973,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,target_regime,positive_body,1503,213713.54499999998,0.26879574184963406,0.9534264803725881,0.053426480372588125,62.53814368232324,63.80827611366728,127.61655222733457,214.35400668078236,4.826419088198968,3.883594084547771,1031471.1329946689,0.9534264803725881,
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,target_regime,burst,132,458577.43000000005,0.0,0.18181818181818182,0.7181818181818183,2357.076175491504,1717.8444531817186,3435.688906363437,5477.609598464154,0.26492742620062215,0.01691128275570564,121489.73824359599,0.18181818181818182,0.18181818181818182
EXPOSED_EVALUATION,LGBM,fixed,28,causal_calibrated,20260924,target_regime,zero,477,0.0,1.0,1.0,0.09999999999999998,39.52780243295012,2.8422660738026115,5.684532147605223,12.25857069627352,,,188547.61760517204,,
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,0,88,24447.014166666664,0.375,0.6704545454545454,0.2295454545454546,131.45439127140625,131.29751585503178,262.59503171006355,444.2366455290162,1.0806442294199976,0.5457658713699887,26418.52478575726,0.6133333333333333,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,1,88,49650.393611111125,0.2159090909090909,0.5909090909090909,0.3090909090909091,335.84593149468077,262.81972761412385,525.6394552282477,1130.2473322878593,0.598559658400494,0.2339546024126072,29718.722639316744,0.5384615384615384,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,2,88,53488.27000000008,0.26136363636363635,0.7272727272727273,0.17272727272727273,390.08800265104344,289.25915138580496,578.5183027716099,1799.3820344438518,0.7545261544578131,0.42085433007690964,40358.29867170127,0.7,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,3,88,67247.63805555552,0.26136363636363635,0.7613636363636364,0.13863636363636367,550.0095251317074,367.0151555787773,734.0303111575546,2972.969660776432,0.5439965110747506,0.30933720492340155,36582.48048023983,0.7307692307692307,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,4,88,23495.575555555555,0.375,0.8068181818181818,0.09318181818181825,143.18932855441193,123.21613606395799,246.43227212791598,585.8043530820423,1.4876113362487313,0.9751495106784255,34952.28454813303,0.7763157894736842,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,5,88,26796.752222222218,0.3181818181818182,0.7954545454545454,0.10454545454545461,137.13163636551434,137.6076008050063,275.2152016100126,713.5852699523489,1.3496946106724492,0.7650627091754929,36167.43205785831,0.775,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,6,88,30397.644722222227,0.32954545454545453,0.8409090909090909,0.05909090909090908,193.59711207253295,158.17316489529847,316.34632979059694,857.3703589872276,1.194113234166934,0.7351580256257566,36298.229850310214,0.8205128205128205,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,7,88,30590.83138888888,0.36363636363636365,0.7840909090909091,0.11590909090909096,179.16175028226206,163.6915852200307,327.3831704400614,807.482334954329,1.2894824555958608,0.7759250415050014,39446.340378063374,0.7466666666666667,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,8,88,45891.03916666664,0.4431818181818182,0.7727272727272727,0.12727272727272732,319.48675394295964,250.57347456903472,501.14694913806943,1547.0999817557256,0.8610477514899246,0.48758620381009576,39514.37608799437,0.7333333333333333,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,9,88,87882.50722222216,0.2727272727272727,0.7840909090909091,0.11590909090909096,772.0817150509105,492.0161331028752,984.0322662057504,3499.1487534588714,0.44301215017443324,0.27182486956804475,38933.0184872368,0.7564102564102564,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,10,88,24617.18805555555,0.2840909090909091,0.7840909090909091,0.11590909090909096,161.498543169055,135.16250415201404,270.3250083040281,695.4270067082385,1.1236452226107334,0.6885956953362438,27660.985752735007,0.75,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,11,88,20082.640555555554,0.32954545454545453,0.8181818181818182,0.08181818181818179,143.42828298735196,111.3554240932301,222.7108481864602,812.8599946856212,1.186462344402876,0.7963036272276112,23827.296795344715,0.7866666666666666,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,12,88,21038.46277777778,0.375,0.7613636363636364,0.13863636363636367,145.7899759582613,117.44649377923139,234.89298755846278,723.1515431663239,1.0446286032554744,0.6499782572681125,21977.37998619229,0.7123287671232876,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,13,88,34391.95583333332,0.3409090909090909,0.8181818181818182,0.08181818181818179,300.2880546565791,193.87240422849956,387.7448084569991,2282.458156971954,0.5971714587215123,0.4058127318307852,20537.894433277484,0.7777777777777778,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,14,88,31460.753888888896,0.3977272727272727,0.8522727272727273,0.04772727272727273,264.1715551453563,176.87913601686452,353.75827203372904,1730.6928227761348,0.7116557703578917,0.4794138991841422,22389.227044837266,0.8169014084507042,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,15,88,24440.290555555483,0.4090909090909091,0.7727272727272727,0.12727272727272732,192.83044710084522,137.07811972901172,274.15623945802344,955.6502772363568,0.8820379636476979,0.5881417617978865,21557.264112580222,0.7058823529411765,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,16,88,7836.948333333334,0.5568181818181818,0.9204545454545454,0.020454545454545392,67.4937123280853,44.32714913000055,88.6542982600011,439.7109815772662,2.1996217684168067,1.8375370755453753,17238.322151957815,0.8870967741935484,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,17,88,32252.37722222244,0.5113636363636364,0.8295454545454546,0.07045454545454544,312.6186514577603,183.2206723245345,366.441344649069,1948.9848279663825,0.4101374875384185,0.32209780450174613,13227.90896106363,0.7457627118644068,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,18,88,14381.472222222226,0.5340909090909091,0.8181818181818182,0.08181818181818179,131.1957815016073,81.73777391578336,163.47554783156673,573.7573251741765,0.5416261531050551,0.3902484400455013,7789.381475709433,0.7090909090909091,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,19,88,6640.932777777766,0.6590909090909091,0.9318181818181818,0.031818181818181746,64.2711335913109,38.26428393691038,76.52856787382076,438.36883924167773,1.100049001830477,0.941710568587328,7305.351473417728,0.8571428571428571,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,20,88,1647.5894444444439,0.7386363636363636,0.9204545454545454,0.020454545454545392,15.161546930310637,10.21598981219984,20.43197962439968,60.129960690379406,4.249795217269874,3.734614601675855,7001.917741024326,0.7941176470588235,
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,21,88,1938.1527777777783,0.3977272727272727,0.9659090909090909,0.06590909090909092,14.277815978944732,10.026684964142165,20.05336992828433,57.814187093994164,4.969658215839166,4.220963170714749,9631.956875634838,0.9620253164556962,
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,22,88,3076.1311111111113,0.6590909090909091,0.8863636363636364,0.013636363636363669,24.996201645814153,18.07984842867927,36.15969685735854,108.62462326280227,2.390166303174221,1.9662250923947908,7352.464925923654,0.7674418604651163,
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,hour,23,88,8598.41333333333,0.6022727272727273,0.7727272727272727,0.12727272727272732,64.92649564627577,48.653276490237545,97.30655298047509,214.98651445735567,0.9654841457654944,0.6334224679131161,8301.631752071968,0.6226415094339622,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,lead_band,6-11,528,245125.64361111115,0.30113636363636365,0.7253787878787878,0.17462121212121218,281.286469244794,218.535881217117,437.071762434234,1549.3816087251262,0.8330329710708018,0.45561999850632723,204197.74318300642,0.6895074946466809,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,lead_band,12-17,528,239461.85111111103,0.3371212121212121,0.7973484848484849,0.10265151515151516,294.875692917512,218.49538100541383,436.99076201082767,1691.5984599747662,0.8589269914907998,0.5232187168670432,205680.24735168443,0.7658643326039387,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,lead_band,18-23,528,151420.78861111123,0.4318181818181818,0.8257575757575758,0.07424242424242422,213.8653994411479,142.13732920135703,284.27465840271407,1507.3716694335424,0.7722057041336037,0.5407277225726697,116927.9966899087,0.7728395061728395,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,lead_band,24-29,528,36282.69166666665,0.5984848484848485,0.8825757575757576,0.017424242424242453,52.47149588237725,34.49630959132543,68.99261918265086,312.6076641171262,1.3059313426658754,1.0389240547974494,47382.70424378195,0.7973856209150327,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,target_regime,positive_body,1503,213713.54499999998,0.26879574184963406,0.8176979374584165,0.08230206254158356,49.04480702518636,63.80827611366728,127.61655222733457,214.35400668078236,2.1304448662012168,1.3623216383569725,455304.92478291265,0.8176979374584165,
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,target_regime,burst,132,458577.43000000005,0.0,0.0,0.9,2762.0081163076156,1717.8444531817186,3435.688906363437,5477.609598464154,0.11662786429520357,0.0,53482.90627488322,0.0,0.0
EXPOSED_EVALUATION,LGBM,fixed,28,raw,20260924,target_regime,zero,477,0.0,1.0,1.0,0.09999999999999998,13.710872203477077,2.8422660738026115,5.684532147605223,12.25857069627352,,,65400.86041058566,,
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,0,88,24447.014166666664,0.42045454545454547,0.8636363636363636,0.036363636363636376,90.7089200405772,129.02032718709626,258.0406543741925,420.4308558205019,2.4409457381831725,1.623368951328579,59673.83504142864,0.84,0.0
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,1,88,49650.393611111125,0.3181818181818182,0.8636363636363636,0.036363636363636376,254.23395810167239,248.011979813571,496.023959627142,1115.7247453708626,1.8471325303674948,1.2130217133996604,91710.85718463379,0.8461538461538461,0.25
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,2,88,53488.27000000008,0.3522727272727273,0.9431818181818182,0.04318181818181821,402.9032550163496,274.63467151775507,549.2693430355101,1778.727248779552,3.177605398163521,2.622709565720182,169964.61549042817,0.9375,0.4444444444444444
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,3,88,67247.63805555552,0.42045454545454547,0.9545454545454546,0.054545454545454564,539.6734377397969,356.74588995758154,713.4917799151631,2963.2972206885775,1.663358637354249,1.3032373544471947,111856.93960138058,0.9487179487179487,0.5
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,4,88,23495.575555555555,0.5227272727272727,0.9318181818181818,0.031818181818181746,130.29581627733523,118.77724663404442,237.55449326808883,560.1184783775803,3.843076137590395,3.04677665137409,90295.28575650774,0.9210526315789473,0.16666666666666666
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,5,88,26796.752222222218,0.4090909090909091,0.9545454545454546,0.054545454545454564,163.5652875672495,134.23067759781668,268.46135519563336,702.5181910137081,3.7385728102167093,3.001860672253883,100181.60926011417,0.95,0.42857142857142855
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,6,88,30397.644722222227,0.4659090909090909,0.9431818181818182,0.04318181818181821,190.10052293155505,155.6762664218221,311.3525328436442,846.0260467302322,3.4458591753293653,2.7516068830113856,104746.00297447172,0.9358974358974359,0.4444444444444444
EXPOSED_EVALUATION,LGBM,rolling180,1,causal_calibrated,20260924,hour,7,88,30590.83138888888,0.4431818181818182,0.9545454545454546,0.054545454545454564,172.41386107622296,155.43801476141797,310.87602952283595,791.9598816788074,4.124013199366318,3.3075912002211614,126156.99242736722,0.9466666666666667,0.6
