split,model,policy,cadence,variant,seed,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh,positive_coverage,burst_coverage
EXPOSED_EVALUATION,TFT,weighted,1,raw,20260924,2112,672290.9750000001,0.4474431818181818,0.8934659090909091,0.006534090909090962,201.0625037913933,155.9311445032241,311.8622890064482,1384.3082713714389,1.6532954010587573,1.2196030891745195,1111495.577140808,0.8623853211009175,0.12121212121212122
EXPOSED_EVALUATION,TFT,weighted,1,raw,20260925,2112,672290.9750000001,0.44696969696969696,0.8977272727272727,0.002272727272727315,201.9844413923495,155.9099308169415,311.819861633883,1384.3542787002186,1.6734577672567101,1.2406454828490674,1125050.553970337,0.8678899082568807,0.14393939393939395
EXPOSED_EVALUATION,TFT,weighted,1,raw,20260926,2112,672290.9750000001,0.44886363636363635,0.9005681818181818,0.0005681818181817455,201.785765975782,155.83003892488904,311.6600778497781,1384.3146106898278,1.6866932447998242,1.251933274436713,1133948.6460723877,0.8715596330275229,0.09848484848484848
MAY_HISTORICAL,BURST_EXPERT,weighted,1,causal_calibrated,20260924,744,351588.466388889,0.5524193548387096,0.9112903225806451,0.011290322580645107,306.43129170487026,223.81645410243232,447.63290820486463,2589.304151211101,2.2520642904643027,1.7753002957503203,791799.8300935256,0.8967136150234741,0.3188405797101449
MAY_HISTORICAL,BURST_EXPERT,weighted,1,raw,20260924,744,351588.466388889,0.5524193548387096,0.8629032258064516,0.0370967741935484,311.04948880011693,223.81645410243232,447.63290820486463,2589.304151211101,1.4368710948425234,1.051399034458643,505187.3046342067,0.8403755868544601,0.15942028985507245
MAY_HISTORICAL,CURRENT_LGBM,fixed,28,PR63_frozen_calibration,20260924,744,351588.466388889,0.35080645161290325,0.8938172043010753,0.00618279569892477,310.6827938146074,228.0785042120908,456.1570084241816,2607.472409186387,2.455081111754042,1.9670120826172306,863178.2029419322,0.8763693270735524,0.36231884057971014
MAY_HISTORICAL,DEEPAR,weighted,1,causal_calibrated,20260924,744,351588.466388889,0.5725806451612904,0.9341397849462365,0.034139784946236484,320.8576732621736,227.86536625830507,455.73073251661015,2579.43207973029,2.880762582507498,2.371656574216578,1012842.8984143066,0.9233176838810642,0.42028985507246375
MAY_HISTORICAL,DEEPAR,weighted,1,causal_calibrated,20260925,744,351588.466388889,0.5483870967741935,0.9301075268817204,0.03010752688172036,315.2886005578638,226.48167700440638,452.96335400881276,2587.647434350981,2.7112715853748837,2.2073299042915657,953251.818665727,0.918622848200313,0.43478260869565216
MAY_HISTORICAL,DEEPAR,weighted,1,causal_calibrated,20260926,744,351588.466388889,0.5443548387096774,0.9301075268817204,0.03010752688172036,317.3921972219975,228.07667247013865,456.1533449402773,2571.1621964392943,3.025254280235415,2.494365772383123,1063644.512824392,0.918622848200313,0.4927536231884058
MAY_HISTORICAL,DEEPAR,weighted,1,raw,20260924,744,351588.466388889,0.5725806451612904,0.9086021505376344,0.008602150537634357,323.0404973064137,227.86536625830507,455.73073251661015,2579.43207973029,2.4390588582210255,1.9787423189565299,857544.963394165,0.8935837245696401,0.30434782608695654
MAY_HISTORICAL,DEEPAR,weighted,1,raw,20260925,744,351588.466388889,0.5483870967741935,0.907258064516129,0.007258064516128981,316.47155429724796,226.48167700440638,452.96335400881276,2587.647434350981,2.3386842870945657,1.8745045965154374,822254.4218673706,0.892018779342723,0.391304347826087
MAY_HISTORICAL,DEEPAR,weighted,1,raw,20260926,744,351588.466388889,0.5443548387096774,0.9166666666666666,0.016666666666666607,317.1046524259644,228.07667247013865,456.1533449402773,2571.1621964392943,2.6845087260724,2.1870862971114367,943842.3060073853,0.9029733959311425,0.4492753623188406
MAY_HISTORICAL,HURDLE,weighted,1,causal_calibrated,20260924,744,351588.466388889,0.5860215053763441,0.9153225806451613,0.015322580645161232,304.30913691210776,225.32287451752543,450.64574903505087,2581.9122136775195,2.1605748882908817,1.6884691200287085,759633.2114925362,0.9014084507042254,0.30434782608695654
MAY_HISTORICAL,HURDLE,weighted,1,raw,20260924,744,351588.466388889,0.5860215053763441,0.8817204301075269,0.018279569892473146,305.7860663800995,225.32287451752543,450.64574903505087,2581.9122136775195,1.5108904997724195,1.1068785161263373,531211.673696527,0.8622848200312989,0.10144927536231885
MAY_HISTORICAL,LGBM,expanding,1,causal_calibrated,20260924,744,351588.466388889,0.4852150537634409,0.9153225806451613,0.015322580645161232,299.7041033680904,222.29623176944185,444.5924635388837,2591.572123244061,2.22612749508321,1.7377217069011548,782680.7519824449,0.9014084507042254,0.3333333333333333
MAY_HISTORICAL,LGBM,expanding,1,raw,20260924,744,351588.466388889,0.4852150537634409,0.8723118279569892,0.027688172043010773,301.1663117903912,222.29623176944185,444.5924635388837,2591.572123244061,1.459427037833728,1.0507854897834092,513117.7140384395,0.8513302034428795,0.11594202898550725
MAY_HISTORICAL,LGBM,fixed,28,causal_calibrated,20260924,744,351588.466388889,0.35080645161290325,0.8924731182795699,0.007526881720430145,297.06046058203117,228.0785042120908,456.1570084241816,2607.472409186387,1.8274079076574183,1.3732798383015155,642495.5437202002,0.8748043818466353,0.2318840579710145
MAY_HISTORICAL,LGBM,fixed,28,raw,20260924,744,351588.466388889,0.35080645161290325,0.7943548387096774,0.10564516129032264,321.7947193493358,228.0785042120908,456.1570084241816,2607.472409186387,0.8196398776147422,0.5186290327561148,288175.9275617439,0.7605633802816901,0.0
MAY_HISTORICAL,LGBM,rolling180,1,causal_calibrated,20260924,744,351588.466388889,0.543010752688172,0.907258064516129,0.007258064516128981,301.45598552531567,224.67016185316095,449.3403237063219,2582.2584266631925,2.1171632091143544,1.6433610255306128,744370.1657874946,0.892018779342723,0.2608695652173913
