solve_id,variant,candidate_count,exact_best_candidate_id,exact_best_cheap_rank,recall_at_10,recall_at_20,recall_at_30,recall_at_50,recall_at_100,recall_at_200,absolute_regret_at_10,absolute_regret_at_20,absolute_regret_at_30,absolute_regret_at_50,absolute_regret_at_100,absolute_regret_at_200,cheap_screen_wallclock_seconds
B2/MESS03,S0,2161,MESS03:MOVE:STA08:STA11:40,193,False,False,False,False,False,True,0.0003702271550773961,0.0003702271550773961,0.0003702271550773961,0.0003702271550773961,3.9523961470278035e-05,0.0,0.05059370002709329
B2/MESS03,S1,2161,MESS03:MOVE:STA08:STA11:40,134,False,False,False,False,False,True,0.0003702271550773961,0.0003702271550773961,0.0003702271550773961,3.9523961470278035e-05,3.9523961470278035e-05,0.0,0.22719430015422404
B2/MESS03,S2,2161,MESS03:MOVE:STA08:STA11:40,134,False,False,False,False,False,True,0.0003702271550773961,0.0003702271550773961,0.0003702271550773961,3.9523961470278035e-05,3.9523961470278035e-05,0.0,0.26547859981656075
B2/MESS03,S3,2161,MESS03:MOVE:STA08:STA11:40,263,False,False,False,False,False,False,0.00025637901795366735,0.00025637901795366735,0.00025637901795366735,0.00025637901795366735,0.00025637901795366735,0.00017996739838427311,0.21966329985298216
B2/MESS03,S4,2161,MESS03:MOVE:STA08:STA11:40,671,False,False,False,False,False,False,0.00021519423459759324,0.0001799794885378736,0.0001799794885378736,0.00010084478422739407,0.00010084478422739407,0.00010082875554867643,7.674158099805936
B2/MESS04,S0,2160,MESS04:MOVE:STA06:IDC12:10,367,False,False,False,False,False,False,0.00823611956012471,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,0.05367540009319782
B2/MESS04,S1,2160,MESS04:MOVE:STA06:IDC12:10,314,False,False,False,False,False,False,0.00823611956012471,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,8.207890470846024e-06,0.2358853998593986
B2/MESS04,S2,2160,MESS04:MOVE:STA06:IDC12:10,314,False,False,False,False,False,False,0.00823611956012471,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,4.167780473890437e-05,8.207890470846024e-06,0.29004740016534925
B2/MESS04,S3,2160,MESS04:MOVE:STA06:IDC12:10,543,False,False,False,False,False,False,0.00018733454366581803,0.00018733454366581803,0.00018733454366581803,0.00018733454366581803,0.00018733454366581803,7.975256702341671e-05,0.22768609994091094
B2/MESS04,S4,2160,MESS04:MOVE:STA06:IDC12:10,20,False,True,True,True,True,True,7.290040251850538e-06,0.0,0.0,0.0,0.0,0.0,6.000123100122437
B3/MESS01,S0,2160,MESS01:MOVE:STA01:STA05:21,1137,False,False,False,False,False,False,4.3166025442298306e-05,4.3166025442298306e-05,4.3166025442298306e-05,4.3166025442298306e-05,2.463409745634415e-05,3.893158004975028e-06,0.05145840020850301
B3/MESS01,S1,2160,MESS01:MOVE:STA01:STA05:21,296,False,False,False,False,False,False,4.3166025442298306e-05,4.3166025442298306e-05,2.463409745634415e-05,2.463409745634415e-05,3.893158004975028e-06,3.893158004975028e-06,0.23693519993685186
B3/MESS01,S2,2160,MESS01:MOVE:STA01:STA05:21,296,False,False,False,False,False,False,4.3166025442298306e-05,4.3166025442298306e-05,2.463409745634415e-05,2.463409745634415e-05,3.893158004975028e-06,3.893158004975028e-06,0.2667324999347329
B3/MESS01,S3,2160,MESS01:MOVE:STA01:STA05:21,294,False,False,False,False,False,False,1.5340143860731459e-06,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,6.035507299937308
B3/MESS01,S4,2160,MESS01:MOVE:STA01:STA05:21,294,False,False,False,False,False,False,1.5340143860731459e-06,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,1.031213181512669e-08,0.22675670008175075
B3/MESS02,S0,2157,MESS02:MOVE:STA12:STA02:05,1225,False,False,False,False,False,False,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003043685054257006,0.0003043685054257006,0.051855500089004636
B3/MESS02,S1,2157,MESS02:MOVE:STA12:STA02:05,1153,False,False,False,False,False,False,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003043685054257006,0.0002906176701983343,0.22038240008987486
B3/MESS02,S2,2157,MESS02:MOVE:STA12:STA02:05,1153,False,False,False,False,False,False,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003102982852662972,0.0003043685054257006,0.0002906176701983343,0.27835640008561313
B3/MESS02,S3,2157,MESS02:MOVE:STA12:STA02:05,971,False,False,False,False,False,False,7.505565973831008e-05,7.505565973831008e-05,7.505565973831008e-05,7.505565973831008e-05,7.505565973831008e-05,7.505565973831008e-05,0.25474419980309904
B3/MESS02,S4,2157,MESS02:MOVE:STA12:STA02:05,1,True,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,0.0,10.58481359994039
B3/MESS03,S0,2161,MESS03:MOVE:STA08:STA02:06,1290,False,False,False,False,False,False,6.75823025323985e-05,4.281023889518565e-05,4.281023889518565e-05,4.281023889518565e-05,4.281023889518565e-05,4.2715910819779435e-05,0.09178650006651878
B3/MESS03,S1,2161,MESS03:MOVE:STA08:STA02:06,1201,False,False,False,False,False,False,6.75823025323985e-05,4.281023889518565e-05,4.281023889518565e-05,4.281023889518565e-05,4.2715910819779435e-05,4.2715910819779435e-05,0.6349614998325706
B3/MESS03,S2,2161,MESS03:MOVE:STA08:STA02:06,1201,False,False,False,False,False,False,6.75823025323985e-05,4.281023889518565e-05,4.281023889518565e-05,4.281023889518565e-05,4.2715910819779435e-05,4.2715910819779435e-05,0.6892880999948829
B3/MESS03,S3,2161,MESS03:MOVE:STA08:STA02:06,1014,False,False,False,False,False,False,6.576819103437659e-05,5.807575917826657e-05,5.807575917826657e-05,5.807575917826657e-05,4.477261822827261e-05,4.27615641108714e-05,0.6281966001261026
B3/MESS03,S4,2161,MESS03:MOVE:STA08:STA02:06,282,False,False,False,False,False,False,4.2590706126111044e-05,4.243365148859368e-05,4.243365148859368e-05,4.243365148859368e-05,4.243365148859368e-05,4.243365148859368e-05,10.790802600095049
B3/MESS04,S0,2160,MESS04:MOVE:STA06:IDC01:01,2146,False,False,False,False,False,False,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,0.09591960022225976
B3/MESS04,S1,2160,MESS04:MOVE:STA06:IDC01:01,2070,False,False,False,False,False,False,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,0.5887802001088858
B3/MESS04,S2,2160,MESS04:MOVE:STA06:IDC01:01,2070,False,False,False,False,False,False,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,3.444923977802272e-05,0.7322710000444204
B3/MESS04,S3,2160,MESS04:MOVE:STA06:IDC01:01,2070,False,False,False,False,False,False,3.428047473491569e-05,3.428047473491569e-05,3.428047473491569e-05,3.428047473491569e-05,3.428047473491569e-05,3.428047473491569e-05,0.5313660998363048
B3/MESS04,S4,2160,MESS04:MOVE:STA06:IDC01:01,37,False,False,False,True,True,True,3.44662151262054e-05,3.436706987325344e-05,3.436706987325344e-05,0.0,0.0,0.0,12.374975000042468
