case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds
B2,MESS03,MESS03:MOVE:STA08:STA02:56,STA08,STA02,56,60.0,3,2218.728454589844,2407.038927459717,32.559943280136984,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_01,False,0.4932897446066334,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.448944400064647
B2,MESS03,MESS03:MOVE:STA08:STA02:57,STA08,STA02,57,61.0,3,2270.114471435547,2458.42494430542,32.400894706688455,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_01,False,0.4932897430162029,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.315936399856582
B2,MESS03,MESS03:MOVE:STA08:STA02:58,STA08,STA02,58,62.0,3,2200.119583129883,2388.430055999756,32.62146084596987,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_01,False,0.4932897452219195,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.544870499987155
B2,MESS03,MESS03:MOVE:STA08:STA02:59,STA08,STA02,59,63.0,3,2291.015625,2479.326097869873,32.940769684331386,RL_47_25_01>RL_25_09_02>RL_09_14_01,False,0.4932897484149161,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.55162370018661
B2,MESS03,MESS03:MOVE:STA08:STA02:60,STA08,STA02,60,64.0,3,2251.48258972168,2439.793062591553,32.45678284069626,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_01,False,0.4932897435751028,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.352140599861741
B2,MESS03,MESS03:MOVE:STA08:STA02:61,STA08,STA02,61,65.0,3,2286.531311035156,2474.8417839050294,32.99013325883817,RL_47_25_01>RL_25_09_01>RL_09_14_01,False,0.4932897489088113,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.294281900161877
B2,MESS03,MESS03:MOVE:STA08:STA02:62,STA08,STA02,62,66.0,3,2314.823013305664,2503.133486175537,31.6797723255585,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897358052572,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.434807900106534
B2,MESS03,MESS03:MOVE:STA08:STA02:63,STA08,STA02,63,67.0,3,2330.521789550781,2518.8322624206544,32.21738773715726,RL_47_25_01>RL_25_09_02>RL_09_14_02,False,0.4932897411814665,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.478290900122374
B2,MESS03,MESS03:MOVE:STA08:STA02:64,STA08,STA02,64,68.0,3,2271.9781188964844,2460.288591766357,31.79357454869233,RL_47_20_01>RL_20_36_01>RL_36_09_01>RL_09_14_02,False,0.4932897369433898,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.569777800003067
B2,MESS03,MESS03:MOVE:STA08:STA02:65,STA08,STA02,65,69.0,3,2338.192749023437,2526.50322189331,32.79728614930072,RL_47_25_01>RL_25_09_02>RL_09_14_01,False,0.4932897469805445,0.4932894189041057,line.sw2::A,93,0.9499999999999637,1.0500000000000491,0.0,0.0,760.0,True,4.443885499844328
