case,mess_id,candidate_id,origin,destination,departure_slot,connection_ready_slot,travel_slots,q50_eta_seconds,safe_eta_seconds,safe_energy_kwh,route_link_ids,is_stay,objective,rho,binding_asset,binding_slot,Vmin_pu,Vmax_pu,post_arrival_sum_abs_p_kw_slots,post_arrival_sum_abs_q_kvar_slots,terminal_energy_kwh,exact_optimality_certificate,runtime_seconds,solve_id,selected_K,cheap_rank_move,fallback_level
B2,MESS01,MESS01:MOVE:STA01:STA10:00,STA01,STA10,0,3,3,1727.1063537597656,1824.6477432250977,41.4277892111006,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094652208321,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5823.55298669985,2791.5679724517563,760.0,True,1.4259734998922795,B2/MESS01,800,173.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:08,STA01,STA10,8,11,3,1723.1754760742188,1820.7168655395508,41.4772758995024,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094657161405,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5823.761351703647,2791.5679724517563,760.0,True,1.319346999982372,B2/MESS01,800,174.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:05,STA01,STA10,5,8,3,1721.5325622558594,1819.0739517211914,41.498069849783256,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094659239145,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5823.848905178513,2791.567972451756,760.0,True,1.5660608001053333,B2/MESS01,800,175.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:09,STA01,STA10,9,12,3,1715.1037902832031,1812.6451797485352,41.580073841081216,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094667441751,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5824.194185141873,2791.5679724517563,760.0,True,1.3316072998568416,B2/MESS01,800,176.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:04,STA01,STA10,4,7,3,1713.3063659667969,1810.847755432129,41.60318312789293,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.505309466974992,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5824.2914874021335,2791.5679724517563,760.0,True,1.456764099886641,B2/MESS01,800,177.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:07,STA01,STA10,7,10,3,1706.9629516601562,1804.5043411254883,41.68538875913224,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094677972139,0.5053090508429103,line.l10::A,33,0.9831107890891956,1.05,5794.705490718088,2848.655678797303,760.0,True,1.4317105999216437,B2/MESS01,800,178.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:02,STA01,STA10,2,5,3,1706.8260498046875,1804.3674392700195,41.68717395681562,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094678147899,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5824.645132997598,2791.5679724517568,760.0,True,1.3347521999385208,B2/MESS01,800,179.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:STA10:03,STA01,STA10,3,6,2,1699.3233947753906,1796.8647842407227,41.78574117180737,RL_43_28_01>RL_28_21_01>RL_21_24_01,False,0.5053094688005172,0.5053090508429103,line.sw2::A,68,0.9831107890891956,1.05,5825.060152850194,2791.5679724517563,760.0,True,1.291155599988997,B2/MESS01,800,180.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:22,STA01,IDC12,22,24,1,779.9689483642578,877.51033782959,4.851661437693529,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200437272858,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5668.682378248214,2818.63224279602,760.0,True,1.1235261999536306,B2/MESS01,800,292.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:21,STA01,IDC12,21,23,1,748.528190612793,846.0695800781251,4.87728665599752,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200439834827,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5668.790273904232,2818.6322427960204,760.0,True,1.060655000153929,B2/MESS01,800,280.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:20,STA01,IDC12,20,22,1,711.5505828857422,809.0919723510743,4.919200201877926,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.505320044402563,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5668.9667519921495,2818.63224279602,760.0,True,1.068740600021556,B2/MESS01,800,266.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:19,STA01,IDC12,19,21,1,652.4571151733398,749.998504638672,5.01973745716088,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200454078803,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.390066751235,2818.63224279602,760.0,True,1.388742399867624,B2/MESS01,800,252.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:16,STA01,IDC12,16,18,1,639.6380310058594,737.1794204711915,5.048262498292275,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200456929653,0.5053199951094284,line.l10::A,32,0.9546610128836962,1.05,5197.660559771513,17141.960726821628,760.0,True,0.7588522001169622,B2/MESS01,800,216.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:18,STA01,IDC12,18,20,1,626.1258392333984,723.6672286987306,5.081400896347227,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200460244596,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.6497022846515,2818.63224279602,760.0,True,1.2079624999314547,B2/MESS01,800,217.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:05,STA01,IDC12,5,7,1,625.0515518188477,722.5929412841798,5.084178804331311,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.505320046051521,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.66139873932,2818.6322427960204,760.0,True,1.2938502000179142,B2/MESS01,800,218.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:17,STA01,IDC12,17,19,1,622.0999603271484,719.6413497924806,5.091923693694051,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200461296323,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.6940087997955,2818.6322427960204,760.0,True,1.2568343000020832,B2/MESS01,800,219.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:14,STA01,IDC12,14,16,1,620.3148803710938,717.8562698364259,5.096688828837127,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.505320046177118,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.714072526714,2818.63224279602,760.0,True,1.2962636000011116,B2/MESS01,800,220.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:07,STA01,IDC12,7,9,1,618.390266418457,715.9316558837892,5.101896101156314,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200462288043,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.735997883848,2818.6322427960204,760.0,True,1.0353890000842512,B2/MESS01,800,221.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:15,STA01,IDC12,15,17,1,614.7405700683594,712.2819595336915,5.111971936164426,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200463300043,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.778422452303,2818.6322427960204,760.0,True,1.244721399853006,B2/MESS01,800,222.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:08,STA01,IDC12,8,10,1,614.1774291992188,711.7188186645509,5.113550430356159,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200463454028,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.785068743637,2818.6322427960204,760.0,True,1.2969727998133749,B2/MESS01,800,223.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:12,STA01,IDC12,12,14,1,613.8134155273438,711.3548049926759,5.114574142208833,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200463558608,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.789379109332,2818.63224279602,760.0,True,1.2090624999254942,B2/MESS01,800,224.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:13,STA01,IDC12,13,15,1,613.5229644775391,711.0643539428712,5.115392982813146,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200463641044,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.792826859245,2818.6322427960204,760.0,True,1.1335991998203099,B2/MESS01,800,225.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:11,STA01,IDC12,11,13,1,613.2590408325195,710.8004302978517,5.116138456651267,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200463714487,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.795965696458,2818.63224279602,760.0,True,1.081547599984333,B2/MESS01,800,226.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:10,STA01,IDC12,10,12,1,612.9842834472656,710.5256729125978,5.116916107022813,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.50532004637917,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.799240013812,2818.63224279602,760.0,True,1.190996700199321,B2/MESS01,800,227.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:09,STA01,IDC12,9,11,1,608.6107482910156,706.1521377563478,5.129503341779283,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200465049872,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.852238896997,2818.6322427960204,760.0,True,1.2214116998948157,B2/MESS01,800,228.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:06,STA01,IDC12,6,8,1,608.4778366088867,706.0192260742189,5.129892078363399,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.505320046508709,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.853875682613,2818.63224279602,760.0,True,1.1345056998543441,B2/MESS01,800,229.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:02,STA01,IDC12,2,4,1,607.222541809082,704.7639312744142,5.133582181407186,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200465453892,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.869412958588,2818.63224279602,760.0,True,1.170482600107789,B2/MESS01,800,230.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:03,STA01,IDC12,3,5,1,607.0095138549805,704.5509033203126,5.1342116927970824,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200465517395,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.872063532862,2818.63224279602,760.0,True,1.197379400022328,B2/MESS01,800,231.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
B2,MESS01,MESS01:MOVE:STA01:IDC12:04,STA01,IDC12,4,6,1,606.4886322021484,704.0300216674806,5.13575498375266,RL_43_14_01>RL_14_23_01>RL_23_12_01,False,0.5053200465672276,0.505319995109429,line.l10::A,72,0.9831107890891956,1.05,5669.878561600042,2818.63224279602,760.0,True,1.2489465998951346,B2/MESS01,800,232.0,K800_EXPLICIT_APR01_CERTIFICATION_FAILURE
