day,policy,job_uid,requested_GPU,migration_executed,interruption_seconds,interruption_GPUh,WAN_queue_seconds,restart_GPU_queue_seconds,migration_clock_shift_seconds,remaining_GPU_hours_at_H,source
2025-05-05,B1,8768014,2.0,True,19800.0,11.0,18000.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8775211,4.0,True,20700.0,23.0,18900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B1,8775212,4.0,True,20700.0,23.0,18900.0,0.0,-900.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B1/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8752790,4.0,True,2700.0,3.0,900.0,0.0,0.0,398.1177777777778,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8761593,4.0,True,3600.0,4.0,1800.0,0.0,0.0,0.2911111111111111,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765152,1.0,True,3600.0,1.0,1800.0,0.0,0.0,0.0,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765167,1.0,True,5400.0,1.5,3600.0,0.0,0.0,0.11972222222222222,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765182,1.0,True,6300.0,1.75,4500.0,0.0,0.0,0.23944444444444443,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765183,1.0,True,7200.0,2.0,5400.0,0.0,0.0,0.48944444444444446,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
2025-05-05,B3,8765184,1.0,True,8100.0,2.25,6300.0,0.0,0.0,0.7394444444444445,frozen_artifacts/v41r4_actual_eta95_qsafe_robust_v2_perf1/common_inputs/2025-05-05/B3/ACTUAL_JOB_REPLAY.json
