role,family,detector,threshold,tail_quantile,hard_feasible,normalized_deficit,N_hours,coverage,positive_coverage,burst_coverage,Q90_pinball,requirement_ratio,actual_GPUh,predicted_GPUh,N_burst,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
CALIBRATION,C2,D1_BASE71_BALANCED,0.02,0.5,False,0.9125616762140047,624,0.8894230769230769,0.8622754491017964,0.2894736842105263,288.99853068208523,1.8098498441099384,248575.1924999999,449883.77339572273,38,0.3684210526315789,0.09722222222222222,0.22184300341296928,0.09623882324917754,0.23076923076923078,144
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.02,0.75,False,1.3931926995347772,1392,0.8318965517241379,0.7513283740701382,0.1927710843373494,156.96428556114176,1.9653711776846674,329015.0525,646636.7012079076,83,0.24096385542168675,0.16806722689075632,0.07563025210084033,0.14858796848064423,0.08548850574712644,119
CALIBRATION,C2,D1_BASE71_BALANCED,0.02,0.75,False,1.2005646565847519,624,0.8894230769230769,0.8622754491017964,0.2894736842105263,308.3771035738088,2.4406834370516632,248575.1924999999,606693.3551966785,38,0.3684210526315789,0.09722222222222222,0.22184300341296928,0.09623882324917754,0.23076923076923078,144
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.02,0.9,False,1.6551366358874564,1392,0.8333333333333334,0.7534537725823592,0.21686746987951808,169.353875920196,2.5480155311860475,329015.0525,838335.4637639928,83,0.24096385542168675,0.16806722689075632,0.07563025210084033,0.14858796848064423,0.08548850574712644,119
CALIBRATION,C2,D1_BASE71_BALANCED,0.02,0.9,False,1.7078818334542751,624,0.8894230769230769,0.8622754491017964,0.2894736842105263,333.46266590370567,3.280142785818594,248575.1924999999,815362.1244123429,38,0.3684210526315789,0.09722222222222222,0.22184300341296928,0.09623882324917754,0.23076923076923078,144
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.05,0.5,False,1.8398841349018,1392,0.8175287356321839,0.7300743889479278,0.060240963855421686,155.50740843697884,1.2355436049489579,329015.0525,406512.44404832064,83,0.12048192771084337,0.2777777777777778,0.019862490450725745,0.14858796848064423,0.02586206896551724,36
CALIBRATION,C2,D1_BASE71_BALANCED,0.05,0.5,False,1.7248703798980038,624,0.8589743589743589,0.8243512974051896,0.07894736842105263,286.8963341959418,1.2569253895106802,248575.1924999999,312440.4706557547,38,0.10526315789473684,0.08333333333333333,0.07508532423208192,0.09623882324917754,0.07692307692307693,48
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.05,0.75,False,1.7758924677895176,1392,0.819683908045977,0.7332624867162593,0.0963855421686747,156.67150656882447,1.3632177328050652,329015.0525,448519.1539277895,83,0.12048192771084337,0.2777777777777778,0.019862490450725745,0.14858796848064423,0.02586206896551724,36
CALIBRATION,C2,D1_BASE71_BALANCED,0.05,0.75,False,1.7428773017436636,624,0.8589743589743589,0.8243512974051896,0.07894736842105263,292.05361973905656,1.455055975752554,248575.1924999999,361690.8192709663,38,0.10526315789473684,0.08333333333333333,0.07508532423208192,0.09623882324917754,0.07692307692307693,48
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.05,0.9,False,1.7545619120854234,1392,0.8204022988505747,0.7343251859723698,0.10843373493975904,159.46635688146856,1.5220851722894628,329015.0525,500788.93287028914,83,0.12048192771084337,0.2777777777777778,0.019862490450725745,0.14858796848064423,0.02586206896551724,36
CALIBRATION,C2,D1_BASE71_BALANCED,0.05,0.9,False,1.7745541029235974,624,0.8589743589743589,0.8243512974051896,0.07894736842105263,301.1260370115718,1.7662551529399972,248575.1924999999,439047.21464617655,38,0.10526315789473684,0.08333333333333333,0.07508532423208192,0.09623882324917754,0.07692307692307693,48
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.1,0.5,False,2.127259804988536,1392,0.8139367816091954,0.7247608926673751,0.0,160.06999179456105,1.10628039598934,329015.0525,363982.90256615344,83,0.012048192771084338,0.5,0.0007639419404125286,0.14858796848064423,0.0014367816091954023,2
CALIBRATION,C2,D1_BASE71_BALANCED,0.1,0.5,False,1.9541968694190566,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,282.74246174761566,1.043665088253463,248575.1924999999,259429.25021813397,38,0.02631578947368421,0.08333333333333333,0.01877133105802048,0.09623882324917754,0.019230769230769232,12
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.1,0.75,False,2.1059292492844417,1392,0.8146551724137931,0.7258235919234857,0.012048192771084338,159.95098380131043,1.1116262816807576,329015.0525,365741.77942757425,83,0.012048192771084338,0.5,0.0007639419404125286,0.14858796848064423,0.0014367816091954023,2
CALIBRATION,C2,D1_BASE71_BALANCED,0.1,0.75,False,1.9541968694190566,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,283.93045339080805,1.0734873234450166,248575.1924999999,266842.31807165465,38,0.02631578947368421,0.08333333333333333,0.01877133105802048,0.09623882324917754,0.019230769230769232,12
DEVELOPMENT,C2,D1_BASE71_BALANCED,0.1,0.9,False,2.1059292492844417,1392,0.8146551724137931,0.7258235919234857,0.012048192771084338,160.09124484136905,1.1175604590467494,329015.0525,367694.21310519037,83,0.012048192771084338,0.5,0.0007639419404125286,0.14858796848064423,0.0014367816091954023,2
CALIBRATION,C2,D1_BASE71_BALANCED,0.1,0.9,False,1.9611097013414707,624,0.8509615384615384,0.8143712574850299,0.02631578947368421,288.3856017013768,1.185325215144321,248575.1924999999,294642.44352960336,38,0.02631578947368421,0.08333333333333333,0.01877133105802048,0.09623882324917754,0.019230769230769232,12
DEVELOPMENT,C2,D2_EXTENDED_BALANCED,0.0025,0.5,False,1.3041556381974078,1392,0.8512931034482759,0.7800212539851222,0.2289156626506024,164.0984601893606,2.532008817073251,329015.0525,833069.0138798186,83,0.39759036144578314,0.08847184986595175,0.2597402597402597,0.10842641495754664,0.26795977011494254,373
CALIBRATION,C2,D2_EXTENDED_BALANCED,0.0025,0.5,False,0.5526315789473685,624,0.8942307692307693,0.8682634730538922,0.34210526315789475,284.3253692382603,1.9687529553625944,248575.1924999999,489383.1448642006,38,0.5263157894736842,0.11363636363636363,0.26621160409556316,0.10711396046266523,0.28205128205128205,176
