role,detector,threshold,detector_recall,precision,false_positive_rate,PR_AUC,gated_fraction,gated_hours
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.005,0.696969696969697,0.0812720848056537,0.5252525252525253,0.08263523813193738,0.5359848484848485,1132
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.01,0.4621212121212121,0.07644110275689223,0.37222222222222223,0.08263523813193738,0.3778409090909091,798
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.02,0.2727272727272727,0.0784313725490196,0.21363636363636362,0.08263523813193738,0.21732954545454544,459
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.05,0.12121212121212122,0.09467455621301775,0.07727272727272727,0.08263523813193738,0.08001893939393939,169
EXPOSED_EVALUATION,D1_BASE71_BALANCED,0.1,0.030303030303030304,0.09090909090909091,0.020202020202020204,0.08263523813193738,0.020833333333333332,44
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.0025,0.48484848484848486,0.08533333333333333,0.3464646464646465,0.09696108157337927,0.35511363636363635,750
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.005,0.3560606060606061,0.09591836734693877,0.22373737373737373,0.09696108157337927,0.23200757575757575,490
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.01,0.24242424242424243,0.11895910780669144,0.11969696969696969,0.09696108157337927,0.12736742424242425,269
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.02,0.11363636363636363,0.11538461538461539,0.05808080808080808,0.09696108157337927,0.061553030303030304,130
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.05,0.03787878787878788,0.13513513513513514,0.01616161616161616,0.09696108157337927,0.017518939393939392,37
EXPOSED_EVALUATION,D2_EXTENDED_BALANCED,0.1,0.007575757575757576,0.14285714285714285,0.0030303030303030303,0.09696108157337927,0.0033143939393939395,7
EXPOSED_EVALUATION,D0_OLD,0.1,0.1590909090909091,0.1242603550295858,0.07474747474747474,0.09369281399805587,0.08001893939393939,169
MAY_HISTORICAL,D1_BASE71_BALANCED,0.0025,1.0,0.0965034965034965,0.957037037037037,0.14487547565754075,0.9610215053763441,715
MAY_HISTORICAL,D1_BASE71_BALANCED,0.005,0.9855072463768116,0.10256410256410256,0.8814814814814815,0.14487547565754075,0.8911290322580645,663
MAY_HISTORICAL,D1_BASE71_BALANCED,0.01,0.9420289855072463,0.11245674740484429,0.76,0.14487547565754075,0.7768817204301075,578
MAY_HISTORICAL,D1_BASE71_BALANCED,0.02,0.7391304347826086,0.11409395973154363,0.5866666666666667,0.14487547565754075,0.6008064516129032,447
MAY_HISTORICAL,D1_BASE71_BALANCED,0.05,0.4492753623188406,0.12916666666666668,0.30962962962962964,0.14487547565754075,0.3225806451612903,240
MAY_HISTORICAL,D1_BASE71_BALANCED,0.1,0.18840579710144928,0.15476190476190477,0.10518518518518519,0.14487547565754075,0.11290322580645161,84
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.0025,0.9420289855072463,0.10483870967741936,0.8222222222222222,0.1533738911251752,0.8333333333333334,620
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.005,0.855072463768116,0.11324376199616124,0.6844444444444444,0.1533738911251752,0.7002688172043011,521
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.01,0.7536231884057971,0.12064965197215777,0.5614814814814815,0.1533738911251752,0.5793010752688172,431
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.02,0.5362318840579711,0.1189710610932476,0.4059259259259259,0.1533738911251752,0.41801075268817206,311
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.05,0.2898550724637681,0.136986301369863,0.18666666666666668,0.1533738911251752,0.19623655913978494,146
MAY_HISTORICAL,D2_EXTENDED_BALANCED,0.1,0.15942028985507245,0.19642857142857142,0.06666666666666667,0.1533738911251752,0.07526881720430108,56
MAY_HISTORICAL,D0_OLD,0.1,0.36231884057971014,0.14124293785310735,0.22518518518518518,0.15692526887763525,0.23790322580645162,177
