time,interval_index,validation_scope,B0_rho_max,B0_critical_element,B0_critical_phase,B0_critical_terminal,B1_rho_max,B1_critical_element,B1_critical_phase,B1_critical_terminal,B2_rho_max,B2_critical_element,B2_critical_phase,B2_critical_terminal,B3_rho_max,B3_critical_element,B3_critical_phase,B3_critical_terminal
2025-05-01T03:15:00,13,REALIZED_OPERATION_AC,0.5428638258635946,Line.tpx21459660c0,node1,t2,0.5425161114028765,Line.tpx21459660c0,node1,t2,0.5398228034229198,Line.tpx21459660c0,node1,t2,0.5466833620099664,Line.tpx21459660c0,node1,t2
2025-05-01T03:30:00,14,REALIZED_OPERATION_AC,0.5473012383578642,Line.tpx21459660c0,node1,t2,0.5469187377857286,Line.tpx21459660c0,node1,t2,0.5442083673031386,Line.tpx21459660c0,node1,t2,0.5499311579192945,Line.tpx21459660c0,node1,t2
2025-05-01T03:45:00,15,REALIZED_OPERATION_AC,0.5454641825638563,Line.tpx21459660c0,node1,t2,0.545083624506249,Line.tpx21459660c0,node1,t2,0.542383792194964,Line.tpx21459660c0,node1,t2,0.5492702854015706,Line.tpx21459660c0,node1,t2
2025-05-01T04:00:00,16,REALIZED_OPERATION_AC,0.5525124625526092,Line.tpx21459660c0,node1,t2,0.5521266481760477,Line.tpx21459660c0,node1,t2,0.5525841843295647,Line.tpx21459660c0,node1,t2,0.5547130496446395,Line.tpx21459660c0,node1,t2
2025-05-01T04:15:00,17,REALIZED_OPERATION_AC,0.5500906689659579,Line.tpx21459660c0,node1,t2,0.5497056464168514,Line.tpx21459660c0,node1,t2,0.5502338582865535,Line.tpx21459660c0,node1,t2,0.553997190699941,Line.tpx21459660c0,node1,t2
2025-05-01T04:30:00,18,REALIZED_OPERATION_AC,0.5576704703801295,Line.tpx21459660c0,node1,t2,0.5572732702440167,Line.tpx21459660c0,node1,t2,0.5569949039466924,Line.tpx21459660c0,node1,t2,0.5617341869097031,Line.tpx21459660c0,node1,t2
2025-05-01T04:45:00,19,REALIZED_OPERATION_AC,0.5682024840939698,Line.tpx21459660c0,node1,t2,0.5677065715109182,Line.tpx21459660c0,node1,t2,0.5675010653847653,Line.tpx21459660c0,node1,t2,0.5728251623489118,Line.tpx21459660c0,node1,t2
2025-05-01T05:00:00,20,REALIZED_OPERATION_AC,0.5838479015877852,Line.tpx21459660c0,node1,t2,0.583239591847499,Line.tpx21459660c0,node1,t2,0.5847904783435302,Line.tpx21459660c0,node1,t2,0.5900145021725814,Line.tpx21459660c0,node1,t2
2025-05-01T05:15:00,21,REALIZED_OPERATION_AC,0.5968141853245813,Line.tpx21459660c0,node1,t2,0.5963739734618253,Line.tpx21459660c0,node1,t2,0.5979305407016997,Line.tpx21459660c0,node1,t2,0.5994036719127477,Line.tpx21459660c0,node1,t2
2025-05-01T05:30:00,22,REALIZED_OPERATION_AC,0.6184425338776222,Line.tpx21459660c0,node1,t2,0.6179845960411793,Line.tpx21459660c0,node1,t2,0.6311088471634513,Line.ln5775442-1,node1,t2,0.6205714820463462,Line.tpx21459660c0,node1,t2
2025-05-01T05:45:00,23,REALIZED_OPERATION_AC,0.6344437865008764,Line.tpx21459660c0,node1,t2,0.6404307842839962,Line.tpx21459660c0,node1,t2,0.6426121647517523,Line.tpx21459660c0,node1,t2,0.6430556372921652,Line.tpx21459660c0,node1,t2
2025-05-01T06:00:00,24,REALIZED_OPERATION_AC,0.6692600158151435,Line.tpx21459660c0,node1,t2,0.6722055686482529,Line.tpx21459660c0,node1,t2,0.6737037083118119,Line.tpx21459660c0,node1,t2,0.678550475427319,Line.tpx21459660c0,node1,t2
2025-05-01T06:15:00,25,REALIZED_OPERATION_AC,0.7062144481876411,Line.tpx21459660c0,node1,t2,0.7043882812538887,Line.tpx21459660c0,node1,t2,0.709293174231362,Line.tpx21459660c0,node1,t2,0.7132840933062331,Line.tpx21459660c0,node1,t2
2025-05-01T06:30:00,26,REALIZED_OPERATION_AC,0.7447903563819903,Line.tpx21459660c0,node1,t2,0.7432161053021142,Line.tpx21459660c0,node1,t2,0.7413224505028316,Line.tpx21459660c0,node1,t2,0.748237213179049,Line.tpx21459660c0,node1,t2
2025-05-01T06:45:00,27,REALIZED_OPERATION_AC,0.7666253055678005,Line.tpx21459660c0,node1,t2,0.7650336173472554,Line.tpx21459660c0,node1,t2,0.7629877701703579,Line.tpx21459660c0,node1,t2,0.7704087751410204,Line.tpx21459660c0,node1,t2
2025-05-01T07:00:00,28,REALIZED_OPERATION_AC,0.7944945785046899,Line.tpx21459660c0,node1,t2,0.7991926769959047,Line.tpx21459660c0,node1,t2,0.7895507939265646,Line.tpx21459660c0,node1,t2,0.7987958355245086,Line.tpx21459660c0,node1,t2
2025-05-01T07:15:00,29,REALIZED_OPERATION_AC,0.8086020167501489,Line.tpx21459660c0,node1,t2,0.81348809323241,Line.tpx21459660c0,node1,t2,0.8033579401399946,Line.tpx21459660c0,node1,t2,0.8129126495031785,Line.tpx21459660c0,node1,t2
2025-05-01T07:30:00,30,REALIZED_OPERATION_AC,0.8051168872463722,Line.tpx21459660c0,node1,t2,0.8098797405174529,Line.tpx21459660c0,node1,t2,0.8012519358078456,Line.tpx21459660c0,node1,t2,0.8096996734441361,Line.tpx21459660c0,node1,t2
2025-05-01T07:45:00,31,REALIZED_OPERATION_AC,0.7867777819731102,Line.tpx21459660c0,node1,t2,0.7914239172535767,Line.tpx21459660c0,node1,t2,0.7914914820148133,Line.tpx21459660c0,node1,t2,0.7905364865898548,Line.tpx21459660c0,node1,t2
2025-05-01T08:00:00,32,REALIZED_OPERATION_AC,0.7510240078690886,Line.tpx21459660c0,node1,t2,0.7554606935129293,Line.tpx21459660c0,node1,t2,0.7505617152637233,Line.tpx21459660c0,node1,t2,0.7541772551158603,Line.tpx21459660c0,node1,t2
2025-05-01T08:15:00,33,REALIZED_OPERATION_AC,0.7176596968853822,Line.tpx21459660c0,node1,t2,0.7217977381589507,Line.tpx21459660c0,node1,t2,0.7280254759773728,Line.tpx21459660c0,node1,t2,0.7190777944622707,Line.tpx21459660c0,node1,t2
2025-05-01T08:30:00,34,REALIZED_OPERATION_AC,0.6612688463088234,Line.tpx21459660c0,node1,t2,0.665170701636823,Line.tpx21459660c0,node1,t2,0.668340830267853,Line.tpx21459660c0,node1,t2,0.6701159894896253,Line.tpx21459660c0,node1,t2
2025-05-01T08:45:00,35,REALIZED_OPERATION_AC,0.6308661710631,Line.tpx21459660c0,node1,t2,0.6302819353966164,Line.tpx21459660c0,node1,t2,0.6324884905124187,Line.tpx21459660c0,node1,t2,0.6318686598008355,Line.tpx21459660c0,node1,t2
2025-05-01T09:00:00,36,REALIZED_OPERATION_AC,0.5943373475781499,Line.tpx21459660c0,node1,t2,0.5894920016692798,Line.tpx21459660c0,node1,t2,0.5909757041357118,Line.tpx21459660c0,node1,t2,0.593205916489413,Line.tpx21459660c0,node1,t2
2025-05-01T09:15:00,37,REALIZED_OPERATION_AC,0.5676044732279132,Line.tpx21459660c0,node1,t2,0.5675513794499748,Line.tpx21459660c0,node1,t2,0.5671908648312759,Line.tpx21459660c0,node1,t2,0.5702250097559407,Line.tpx21459660c0,node1,t2
2025-05-01T09:30:00,38,REALIZED_OPERATION_AC,0.518945215060319,Line.tpx21459660c0,node1,t2,0.5188251726363929,Line.tpx21459660c0,node1,t2,0.5221314534321873,Line.tpx21459660c0,node1,t2,0.5264577597308512,Line.tpx21459660c0,node1,t2
2025-05-01T09:45:00,39,REALIZED_OPERATION_AC,0.48170402972864446,Line.tpx21459660c0,node1,t2,0.4811662621791753,Line.tpx21459660c0,node1,t2,0.48460354461109845,Line.tpx21459660c0,node1,t2,0.48823947154379943,Line.tpx21459660c0,node1,t2
2025-05-01T10:00:00,40,REALIZED_OPERATION_AC,0.44733079333331754,Line.tpx21459660c0,node1,t2,0.44686664333835696,Line.tpx21459660c0,node1,t2,0.44831595747727765,Line.tpx21459660c0,node1,t2,0.4653584229595314,Line.ln5775442-1,node1,t2
2025-05-01T10:15:00,41,REALIZED_OPERATION_AC,0.42136999173891426,Line.tpx21459660c0,node1,t2,0.42085827954804006,Line.tpx21459660c0,node1,t2,0.4223621273238616,Line.tpx21459660c0,node1,t2,0.4444074724936261,Line.ln5710794-3,node1,t1
2025-05-01T10:30:00,42,REALIZED_OPERATION_AC,0.39898016926209867,Line.tpx21459660c0,node1,t2,0.39847514182645233,Line.tpx21459660c0,node1,t2,0.4006772342986025,Line.tpx21459660c0,node1,t2,0.4036497822642923,Line.tpx21459660c0,node1,t2
2025-05-01T10:45:00,43,REALIZED_OPERATION_AC,0.38688374198582515,Line.tpx21459660c0,node1,t2,0.3917870830596011,Line.tpx21459660c0,node1,t2,0.38970549160487294,Line.tpx21459660c0,node1,t2,0.4169280840209093,Line.hvmv_sub_connector,node1,t1
2025-05-01T11:00:00,44,REALIZED_OPERATION_AC,0.36560974392549356,Line.tpx21459660c0,node1,t2,0.365235141137315,Line.tpx21459660c0,node1,t2,0.3680029458630473,Line.hvmv_sub_connector,node1,t2,0.3959558247142024,Line.hvmv_sub_connector,node1,t1
2025-05-01T11:15:00,45,REALIZED_OPERATION_AC,0.36188233735353703,Line.ln5775442-1,node1,t2,0.3592621621134978,Line.tpx21459660c0,node1,t2,0.36315011662431823,Line.tpx21459660c0,node1,t2,0.3588021687864817,Line.tpx21459660c0,node1,t2
2025-05-01T11:30:00,46,REALIZED_OPERATION_AC,0.3503243518843787,Line.ln5775442-1,node1,t2,0.34567949582689217,Line.tpx21459660c0,node1,t2,0.35392871027472045,Line.hvmv_sub_connector,node1,t2,0.3814984472281758,Line.ln5710794-3,node1,t1
2025-05-01T11:45:00,47,REALIZED_OPERATION_AC,0.3473571233405682,Line.ln5775442-1,node1,t2,0.3427616813228976,Line.tpx21459660c0,node1,t2,0.3513569083728842,Line.hvmv_sub_connector,node1,t1,0.34165239059485825,Line.tpx21459660c0,node1,t2
2025-05-01T12:00:00,48,REALIZED_OPERATION_AC,0.3494010655779849,Line.ln5775442-1,node1,t2,0.3442730168004779,Line.tpx21459660c0,node1,t2,0.3527968076943956,Line.hvmv_sub_connector,node1,t1,0.37943041466051713,Line.ln5775442-1,node1,t2
2025-05-01T12:15:00,49,REALIZED_OPERATION_AC,0.3447721709048161,Line.ln6261021-1,node2,t1,0.3376126954177126,Line.tpx21459660c0,node1,t2,0.34828559275647003,Line.ln5710794-3,node1,t1,0.3385002760261849,Line.ln5775442-1,node1,t2
2025-05-01T12:30:00,50,REALIZED_OPERATION_AC,0.3492669317883772,Line.ln6504019-5,node2,t2,0.3441595489517284,Line.tpx21459660c0,node1,t2,0.352847690389413,Line.ln5710794-3,node1,t1,0.3815456417266779,Line.ln5775442-1,node1,t2
2025-05-01T12:45:00,51,REALIZED_OPERATION_AC,0.350349911274748,Line.ln6504019-5,node2,t2,0.3486378162012034,Line.tpx21459660c0,node1,t2,0.35372839278590434,Line.ln5710794-3,node1,t1,0.3501751209206124,Line.tpx21459660c0,node1,t2
2025-05-01T13:00:00,52,REALIZED_OPERATION_AC,0.3596618251133404,Line.tpx21459660c0,node1,t2,0.3592730381383944,Line.tpx21459660c0,node1,t2,0.36203556802021425,Line.tpx21459660c0,node1,t2,0.38969201944608606,Line.ln5775442-1,node1,t2
2025-05-01T13:15:00,53,REALIZED_OPERATION_AC,0.37043980362608825,Line.tpx21459660c0,node1,t2,0.3700818843431074,Line.tpx21459660c0,node1,t2,0.3741585076057889,Line.ln5710794-3,node1,t1,0.3763795767805182,Line.hvmv_sub_connector,node1,t1
2025-05-01T13:30:00,54,REALIZED_OPERATION_AC,0.3867698199152807,Line.tpx21459660c0,node1,t2,0.38643605990143487,Line.tpx21459660c0,node1,t2,0.38861825109911446,Line.tpx21459660c0,node1,t2,0.3860863362853945,Line.tpx21459660c0,node1,t2
2025-05-01T13:45:00,55,REALIZED_OPERATION_AC,0.39061093770470917,Line.tpx21459660c0,node1,t2,0.3903357117084916,Line.tpx21459660c0,node1,t2,0.3932742720910342,Line.tpx21459660c0,node1,t2,0.3899784932654512,Line.tpx21459660c0,node1,t2
2025-05-01T14:00:00,56,REALIZED_OPERATION_AC,0.4115411997042032,Line.tpx21459660c0,node1,t2,0.4113288555941258,Line.tpx21459660c0,node1,t2,0.4088745223742538,Line.tpx21459660c0,node1,t2,0.4325625182115133,Line.ln5775442-1,node1,t2
2025-05-01T14:15:00,57,REALIZED_OPERATION_AC,0.425339784351871,Line.tpx21459660c0,node1,t2,0.4250950303627195,Line.tpx21459660c0,node1,t2,0.4240367095319766,Line.tpx21459660c0,node1,t2,0.43989366363923293,Line.ln5710794-3,node1,t1
2025-05-01T14:30:00,58,REALIZED_OPERATION_AC,0.4390684083548133,Line.tpx21459660c0,node1,t2,0.4384860015246258,Line.tpx21459660c0,node1,t2,0.4369183831399935,Line.tpx21459660c0,node1,t2,0.4415518786011846,Line.tpx21459660c0,node1,t2
2025-05-01T14:45:00,59,REALIZED_OPERATION_AC,0.45575386280792196,Line.tpx21459660c0,node1,t2,0.4548680416275906,Line.tpx21459660c0,node1,t2,0.45599209260392354,Line.tpx21459660c0,node1,t2,0.4648632857203371,Line.ln5775442-1,node1,t2
2025-05-01T15:00:00,60,REALIZED_OPERATION_AC,0.48504031603850284,Line.tpx21459660c0,node1,t2,0.4840779091025381,Line.tpx21459660c0,node1,t2,0.48672180292214606,Line.tpx21459660c0,node1,t2,0.48766475517598407,Line.tpx21459660c0,node1,t2
2025-05-01T15:15:00,61,REALIZED_OPERATION_AC,0.5178704479456729,Line.ln5775442-1,node1,t2,0.5173420892181694,Line.ln5775442-1,node1,t2,0.5170325738624902,Line.tpx21459660c0,node1,t2,0.518165460021965,Line.ln5775442-1,node1,t2
2025-05-01T15:30:00,62,REALIZED_OPERATION_AC,0.5454375599490656,Line.tpx21459660c0,node1,t2,0.5456794297879148,Line.ln5775442-1,node1,t2,0.5728701454644592,Line.ln5710794-3,node1,t1,0.5507186926000153,Line.tpx21459660c0,node1,t2
2025-05-01T15:45:00,63,REALIZED_OPERATION_AC,0.5803822687463067,Line.tpx21459660c0,node1,t2,0.5790993182399745,Line.tpx21459660c0,node1,t2,0.5866006641970885,Line.tpx21459660c0,node1,t2,0.5860065315294233,Line.tpx21459660c0,node1,t2
2025-05-01T16:00:00,64,REALIZED_OPERATION_AC,0.6234802744875202,Line.tpx21459660c0,node1,t2,0.6220183485299261,Line.tpx21459660c0,node1,t2,0.6274327088278222,Line.tpx21459660c0,node1,t2,0.6352841879948287,Line.ln5775442-1,node1,t2
2025-05-01T16:15:00,65,REALIZED_OPERATION_AC,0.6595608923277618,Line.tpx21459660c0,node1,t2,0.6574433979803991,Line.tpx21459660c0,node1,t2,0.6633098227813758,Line.tpx21459660c0,node1,t2,0.6639871961887026,Line.tpx21459660c0,node1,t2
2025-05-01T16:30:00,66,REALIZED_OPERATION_AC,0.7136168147118225,Line.tpx21459660c0,node1,t2,0.7118176993573495,Line.tpx21459660c0,node1,t2,0.7128621312873924,Line.tpx21459660c0,node1,t2,0.7147232879009499,Line.tpx21459660c0,node1,t2
2025-05-01T16:45:00,67,REALIZED_OPERATION_AC,0.7431725304319216,Line.tpx21459660c0,node1,t2,0.7413052674338448,Line.tpx21459660c0,node1,t2,0.741223604578836,Line.tpx21459660c0,node1,t2,0.7381754867177671,Line.tpx21459660c0,node1,t2
2025-05-01T17:00:00,68,REALIZED_OPERATION_AC,0.7768958688007996,Line.tpx21459660c0,node1,t2,0.7806249794318209,Line.tpx21459660c0,node1,t2,0.7772704782819506,Line.tpx21459660c0,node1,t2,0.7801773726903067,Line.tpx21459660c0,node1,t2
2025-05-01T17:15:00,69,REALIZED_OPERATION_AC,0.8021930458176576,Line.tpx21459660c0,node1,t2,0.800223383125768,Line.tpx21459660c0,node1,t2,0.8026438751887075,Line.tpx21459660c0,node1,t2,0.8057364785467869,Line.tpx21459660c0,node1,t2
2025-05-01T17:30:00,70,REALIZED_OPERATION_AC,0.8249542854795485,Line.tpx21459660c0,node1,t2,0.8229464882226094,Line.tpx21459660c0,node1,t2,0.8203910003231168,Line.tpx21459660c0,node1,t2,0.8303056550236999,Line.tpx21459660c0,node1,t2
2025-05-01T17:45:00,71,REALIZED_OPERATION_AC,0.8402044004411539,Line.tpx21459660c0,node1,t2,0.8390397671852756,Line.tpx21459660c0,node1,t2,0.836356496175803,Line.tpx21459660c0,node1,t2,0.8358612190120142,Line.tpx21459660c0,node1,t2
2025-05-01T18:00:00,72,REALIZED_OPERATION_AC,0.8490698587036601,Line.tpx21459660c0,node1,t2,0.8480473336246946,Line.tpx21459660c0,node1,t2,0.8399615701487783,Line.tpx21459660c0,node1,t2,0.833925645530799,Line.tpx21459660c0,node1,t2
2025-05-01T18:15:00,73,REALIZED_OPERATION_AC,0.8537462147791017,Line.tpx21459660c0,node1,t2,0.8525983586534733,Line.tpx21459660c0,node1,t2,0.8445239895097632,Line.tpx21459660c0,node1,t2,0.838356609744188,Line.tpx21459660c0,node1,t2
2025-05-01T18:30:00,74,REALIZED_OPERATION_AC,0.8520744436154328,Line.tpx21459660c0,node1,t2,0.8509116952356601,Line.tpx21459660c0,node1,t2,0.8423894129313386,Line.tpx21459660c0,node1,t2,0.8420708410184574,Line.tpx21459660c0,node1,t2
2025-05-01T18:45:00,75,REALIZED_OPERATION_AC,0.848630164744177,Line.tpx21459660c0,node1,t2,0.8475262693451524,Line.tpx21459660c0,node1,t2,0.8391539116722477,Line.tpx21459660c0,node1,t2,0.8387699787434959,Line.tpx21459660c0,node1,t2
2025-05-01T19:00:00,76,REALIZED_OPERATION_AC,0.8381702119162453,Line.tpx21459660c0,node1,t2,0.8370982362025418,Line.tpx21459660c0,node1,t2,0.8345469347077202,Line.tpx21459660c0,node1,t2,0.8360223349030088,Line.tpx21459660c0,node1,t2
2025-05-01T19:15:00,77,REALIZED_OPERATION_AC,0.8346261590592068,Line.tpx21459660c0,node1,t2,0.8335778727654947,Line.tpx21459660c0,node1,t2,0.8296076285998077,Line.tpx21459660c0,node1,t2,0.8325427332580801,Line.tpx21459660c0,node1,t2
2025-05-01T19:30:00,78,REALIZED_OPERATION_AC,0.836368688180039,Line.tpx21459660c0,node1,t2,0.8353292401601705,Line.tpx21459660c0,node1,t2,0.8414174467429256,Line.tpx21459660c0,node1,t2,0.8359059844946336,Line.tpx21459660c0,node1,t2
2025-05-01T19:45:00,79,REALIZED_OPERATION_AC,0.8293740916728146,Line.tpx21459660c0,node1,t2,0.8283302509869217,Line.tpx21459660c0,node1,t2,0.8322663525716274,Line.tpx21459660c0,node1,t2,0.8289598596834001,Line.tpx21459660c0,node1,t2
2025-05-01T20:00:00,80,REALIZED_OPERATION_AC,0.8166291725862468,Line.tpx21459660c0,node1,t2,0.8156037867768754,Line.tpx21459660c0,node1,t2,0.8186373502989887,Line.tpx21459660c0,node1,t2,0.8259226514489824,Line.tpx21459660c0,node1,t2
2025-05-01T20:15:00,81,REALIZED_OPERATION_AC,0.7968097346767299,Line.tpx21459660c0,node1,t2,0.7959957700174582,Line.tpx21459660c0,node1,t2,0.7983213052523829,Line.tpx21459660c0,node1,t2,0.8068218503247525,Line.tpx21459660c0,node1,t2
2025-05-01T20:30:00,82,REALIZED_OPERATION_AC,0.7927344861445293,Line.tpx21459660c0,node1,t2,0.7919004567066094,Line.tpx21459660c0,node1,t2,0.7947397691130201,Line.tpx21459660c0,node1,t2,0.802829809805777,Line.tpx21459660c0,node1,t2
2025-05-01T20:45:00,83,REALIZED_OPERATION_AC,0.7814101136452126,Line.tpx21459660c0,node1,t2,0.7807255545621513,Line.tpx21459660c0,node1,t2,0.7834672243125413,Line.tpx21459660c0,node1,t2,0.7915038089914245,Line.tpx21459660c0,node1,t2
2025-05-01T21:00:00,84,REALIZED_OPERATION_AC,0.7552054364741781,Line.tpx21459660c0,node1,t2,0.7545842796219673,Line.tpx21459660c0,node1,t2,0.759320523518061,Line.tpx21459660c0,node1,t2,0.767322172115966,Line.tpx21459660c0,node1,t2
2025-05-01T21:15:00,85,REALIZED_OPERATION_AC,0.7446455627726037,Line.tpx21459660c0,node1,t2,0.7442994741673533,Line.tpx21459660c0,node1,t2,0.7489564965010388,Line.tpx21459660c0,node1,t2,0.754917343730754,Line.tpx21459660c0,node1,t2
2025-05-01T21:30:00,86,REALIZED_OPERATION_AC,0.7403886306605384,Line.tpx21459660c0,node1,t2,0.7399261628680078,Line.tpx21459660c0,node1,t2,0.7417731057337724,Line.tpx21459660c0,node1,t2,0.7503200767203891,Line.tpx21459660c0,node1,t2
2025-05-01T21:45:00,87,REALIZED_OPERATION_AC,0.7192987930324306,Line.tpx21459660c0,node1,t2,0.7190025077719785,Line.tpx21459660c0,node1,t2,0.724487848026222,Line.tpx21459660c0,node1,t2,0.7309704374453115,Line.tpx21459660c0,node1,t2
2025-05-01T22:00:00,88,REALIZED_OPERATION_AC,0.7131096938469287,Line.tpx21459660c0,node1,t2,0.707635607302192,Line.tpx21459660c0,node1,t2,0.7130291035673942,Line.tpx21459660c0,node1,t2,0.7185361803700266,Line.tpx21459660c0,node1,t2
2025-05-01T22:15:00,89,REALIZED_OPERATION_AC,0.697322157657428,Line.tpx21459660c0,node1,t2,0.6910821601867776,Line.tpx21459660c0,node1,t2,0.6964683617506484,Line.tpx21459660c0,node1,t2,0.7010641999718858,Line.tpx21459660c0,node1,t2
2025-05-01T22:30:00,90,REALIZED_OPERATION_AC,0.6913869795606198,Line.tpx21459660c0,node1,t2,0.6853857189996962,Line.tpx21459660c0,node1,t2,0.6899756605609849,Line.tpx21459660c0,node1,t2,0.7237824867076607,Line.ln5775442-1,node1,t2
2025-05-01T22:45:00,91,REALIZED_OPERATION_AC,0.6781498028830802,Line.tpx21459660c0,node1,t2,0.6722205280986697,Line.tpx21459660c0,node1,t2,0.6766486687393112,Line.tpx21459660c0,node1,t2,0.6840974269622567,Line.tpx21459660c0,node1,t2
2025-05-01T23:00:00,92,REALIZED_OPERATION_AC,0.6842757165067707,Line.tpx21459660c0,node1,t2,0.6782010663896204,Line.tpx21459660c0,node1,t2,0.6842842512664238,Line.tpx21459660c0,node1,t2,0.6906121207376917,Line.tpx21459660c0,node1,t2
2025-05-01T23:15:00,93,REALIZED_OPERATION_AC,0.6875280831858434,Line.tpx21459660c0,node1,t2,0.6814782022039667,Line.tpx21459660c0,node1,t2,0.6859065390410458,Line.tpx21459660c0,node1,t2,0.6938970274104161,Line.tpx21459660c0,node1,t2
2025-05-01T23:30:00,94,REALIZED_OPERATION_AC,0.6709916481743936,Line.tpx21459660c0,node1,t2,0.6653924383708851,Line.tpx21459660c0,node1,t2,0.7085492070563183,Line.ln5775442-1,node1,t2,0.6780720938465442,Line.tpx21459660c0,node1,t2
2025-05-01T23:45:00,95,REALIZED_OPERATION_AC,0.6504046622568951,Line.tpx21459660c0,node1,t2,0.6452516518421293,Line.tpx21459660c0,node1,t2,0.6601036824352751,Line.tpx21459660c0,node1,t2,0.6587206366439251,Line.ln5775442-1,node1,t2
