section,metric,policy,scope,value,unit,source_file,verified
Runtime,runtime_min,B2,End-to-end runtime not recorded,NA,min,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/FINAL_AUTHORITY.json,false
Runtime,runtime_min,B3,End-to-end runtime not recorded,NA,min,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/FINAL_AUTHORITY.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/DEADLINE_ENFORCEMENT.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/DEADLINE_ENFORCEMENT.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3_M1/FINAL_AUTHORITY.json,false
Feasibility,overall_ac_feasible,B0,DAY_AHEAD_AC,true,boolean,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B0/DA_INDEPENDENT_CLEAN_96/AC_VALIDATION.json,true
Feasibility,overall_ac_feasible,B0,REALIZED_OPERATION_AC,true,boolean,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/AC_SUMMARY.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Feasibility,overall_ac_feasible,B1,DAY_AHEAD_AC,true,boolean,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/B1/DA_INDEPENDENT_CLEAN_96/AC_VALIDATION.json,true
Feasibility,overall_ac_feasible,B1,REALIZED_OPERATION_AC,true,boolean,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B1/FINAL_ACTUAL/AC_SUMMARY.json;independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B1/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Feasibility,overall_ac_feasible,B2,DAY_AHEAD_AC,true,boolean,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B2/independent_clean_exact/AC_VALIDATION.json,true
Feasibility,overall_ac_feasible,B2,REALIZED_OPERATION_AC,true,boolean,independent_screening/IEEE8500_QSAFE_V2_LEGACY_SHELL_20260913/B2/FINAL_ACTUAL/AC_SUMMARY.json;independent_screening/IEEE8500_QSAFE_V2_LEGACY_SHELL_20260913/B2/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Feasibility,overall_ac_feasible,B3,DAY_AHEAD_AC,true,boolean,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/B3/independent_clean_exact/AC_VALIDATION.json,true
Feasibility,overall_ac_feasible,B3,REALIZED_OPERATION_AC,true,boolean,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/AC_SUMMARY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/SLOT_EXTREMA.json,true
Heatmap,critical_time_B0,B0/B3,REALIZED_OPERATION_AC,2025-05-01T18:15:00,timestamp,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_scalability_20260910/audit/transformers.json;IEEE8500_scalability_20260910/audit/buses.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_OVERLAY_INVENTORY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_BusCoordinates.dss;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/AXES.json,true
Heatmap,B0_rho_max_at_time,B0/B3,REALIZED_OPERATION_AC,0.8537462147791017,pu,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_scalability_20260910/audit/transformers.json;IEEE8500_scalability_20260910/audit/buses.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_OVERLAY_INVENTORY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_BusCoordinates.dss;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/AXES.json,true
Heatmap,B3_rho_max_at_same_time,B0/B3,REALIZED_OPERATION_AC,0.838356609744188,pu,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_scalability_20260910/audit/transformers.json;IEEE8500_scalability_20260910/audit/buses.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_OVERLAY_INVENTORY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_BusCoordinates.dss;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/AXES.json,true
Heatmap,reduction_pct_at_same_time,B0/B3,REALIZED_OPERATION_AC,1.8025971616044725,percent,independent_screening/IEEE8500_MAY01_AIDC2X_HOST_REMAP_FULL4H_20260913/actual/B0/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/actual_B3_energy_exception_20260914/B3/FINAL_ACTUAL/OPENDSS_PHASE_ARRAYS.npz;IEEE8500_scalability_20260910/audit/lines.json;IEEE8500_scalability_20260910/audit/transformers.json;IEEE8500_scalability_20260910/audit/buses.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_OVERLAY_INVENTORY.json;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/PCC_BusCoordinates.dss;independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/AXES.json,true
Runtime,time_limit_min,B3,FINAL_AIDC_SEARCH_COMPONENT,240,min,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/DEADLINE_ENFORCEMENT.json,true
Energy,operating_floor_feasible,B3,REALIZED_OPERATION_AC,false,boolean,independent_screening/IEEE8500_MAY01_MESS6_B2B3_20260913/RESULT_WITH_ENERGY_EXCEPTION.json,true
