day,B1_B0_FRONTIER_SOURCE_READY,B3_B2_FRONTIER_SOURCE_READY,DA_workload_model_and_queue,DA_demand_PV_forecast,DA_weather_C1,actual_workload,realized_demand_PV,realized_weather_C1,engineering_MESS_route,feeder_and_native_state,scalar_s_reconstruction_inputs,SCATS_actual,SCATS_forecast,missing_required_count,diagnostic_missing_count
2025-03-02,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-03,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-04,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-05,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-06,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-07,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-08,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-09,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-10,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-11,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-12,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-13,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-14,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-15,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-16,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-17,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-18,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-19,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-20,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-21,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-22,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-23,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-24,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-25,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-26,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-27,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-28,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-29,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-30,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
2025-03-31,True,True,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,AVAILABLE,MISSING_NOT_REQUIRED,0,0
