model,mode,horizon_hours,role,metric,difference_to_LGBM,CI95_low,CI95_high,N_paired_days,block_length_days,bootstrap_draws,seed_aggregation
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,raw_Q90_pinball,13.306854749069384,3.299327624774854,24.02069692242388,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,mean_forecast_requirement,-58.019001035869366,-333.45112249134195,199.93746494579636,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,burst_mean_miss_GPUh,60.48225866420095,-226.7908673377547,362.3672450393648,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,calibrated_coverage,-0.02336567926455568,-0.035965696288730004,-0.01191479400749064,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,MAY_HISTORICAL,calibrated_Q90_pinball,43.5849131646584,24.508329694377224,63.62257549338252,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,MAY_HISTORICAL,raw_Q90_pinball,-27.216887225785346,-63.540839234548656,8.035644218051074,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,MAY_HISTORICAL,mean_forecast_requirement,947.8114124648573,585.7799507539761,1337.0242473277517,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,MAY_HISTORICAL,burst_mean_miss_GPUh,-334.7288891225103,-572.0388712409629,-57.80926859409143,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,2,MAY_HISTORICAL,calibrated_coverage,0.019209858644436337,-0.007128186541017317,0.04494382022471904,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,calibrated_Q90_pinball,68.22647031206833,28.210346237086753,114.00830149733892,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,raw_Q90_pinball,-26.889326923884028,-50.932846498554845,-5.794256555765967,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,mean_forecast_requirement,380.59768339337865,-139.27296800750463,932.8936758843773,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,burst_mean_miss_GPUh,1.5160635183054485,-395.3394793616357,373.93409130245414,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,EXPOSED_EVALUATION,calibrated_coverage,-0.013935652824541726,-0.034419425738870205,0.006785447063224819,88,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,MAY_HISTORICAL,calibrated_Q90_pinball,89.41704036195875,22.934780068156556,150.4767872086002,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,MAY_HISTORICAL,raw_Q90_pinball,-210.57882150303016,-339.7549647738242,-85.56983199463154,31,7,1000,mean per-seed daily metric before resampling
F3_DEEPAR,fixed,4,MAY_HISTORICAL,mean_forecast_requirement,2784.358537118142,2187.1686956098843,3364.6127061609645,31,7,1000,mean per-seed daily metric before resampling
