model,training_mode,horizon_hours,role,seed,N_days,N_windows,N_positive,N_zero,Q50_MAE,Q50_WAPE,unrepaired_raw_Q90_pinball,unrepaired_raw_coverage,raw_crossing_fraction,raw_Q90_pinball,calibrated_Q90_pinball,raw_coverage,calibrated_coverage,positive_coverage,zero_coverage,burst_threshold,N_burst,burst_coverage,burst_mean_miss_GPUh,burst_P90_miss_GPUh,mean_underprediction_GPUh,P90_underprediction_GPUh,mean_overprediction_GPUh,P90_overprediction_GPUh,mean_forecast_requirement,mean_raw_requirement,actionable_coverage,cap_activation,physical_cap_activation,historical_cap_activation,physical_oracle_coverage,log_space_Q90_pinball,calibration_days_min
F1_LGBM,fixed,2,EXPOSED_EVALUATION,20260925.0,88.0,7832.0,6675.0,1157.0,596.5926274743359,0.9116229310859757,375.5520240715152,0.8481869254341164,0.0,375.5520240715152,380.84071681516184,0.8481869254341164,0.9300306435137896,0.9179026217228464,1.0,1597.606,572.0,0.23601398601398602,3530.898127141287,11094.093422075146,262.75436879394135,0.0,1443.6178490061473,3130.603882837077,1835.2926385086537,768.2144501673383,0.9111338100102145,0.5098314606741573,0.5098314606741573,0.005745658835546476,0.9253064351378958,0.36236060110458795,84.0
F1_LGBM,fixed,2,MAY_HISTORICAL,20260925.0,31.0,2759.0,2602.0,157.0,896.367156284529,0.9139605765153344,609.1281552623167,0.7517216382747373,0.005799202609641174,609.0428551124272,564.4149145158146,0.7538963392533526,0.9017760057992025,0.895849346656418,1.0,1597.606,330.0,0.35454545454545455,3761.513211957148,10016.232236378979,454.5143869048231,0.0,1553.5196630147377,3391.1420879252505,2079.755627183171,785.3439194090239,0.8564697354113809,0.5451250453062704,0.5451250453062704,0.006886553098948894,0.876766944545125,0.33212802716737355,226.0
F1_LGBM,fixed,4,DEVELOPMENT,20260925.0,58.0,4698.0,3950.0,748.0,887.5419717263502,0.8831136308815712,561.529675344373,0.7266922094508302,0.011068539804171988,561.5167305950656,485.0592334725051,0.7266922094508302,0.8437633035334184,0.8141772151898734,1.0,3005.6439027777756,427.0,0.234192037470726,3094.6070314008425,7855.6945965734385,344.157740484164,642.2684631359509,1753.1726703675752,4150.833486560313,2414.0293931301826,947.7587225807723,0.8246062154108132,0.2960834397616007,0.2960834397616007,0.04086845466155811,0.9114516815666242,0.41978985328749446,0.0
F1_LGBM,fixed,4,EXPOSED_EVALUATION,20260925.0,88.0,7128.0,6403.0,725.0,1121.3828740199285,0.8482353956851473,711.1535529090194,0.7645903479236814,0.010381593714927048,710.5766620265784,614.0653351170577,0.7654320987654321,0.9151234567901234,0.9055130407621427,1.0,3005.6439027777756,677.0,0.24224519940915804,4274.102495944793,14907.185884236007,413.9632253742455,0.0,2414.9843228023688,4903.2636145411825,3323.0395839523167,1161.4659142135845,0.8937991021324355,0.5258136924803591,0.5258136924803591,0.0028058361391694723,0.9076879910213244,0.3149725602447446,84.0
F1_LGBM,fixed,4,MAY_HISTORICAL,20260925.0,31.0,2511.0,2463.0,48.0,1745.413991289246,0.8684152257982592,1285.283028619462,0.599362803663879,0.030266825965750695,1283.5941391756526,1016.1850836199538,0.6017522899243329,0.8757467144563919,0.8733252131546894,1.0,3005.6439027777756,359.0,0.27298050139275765,6110.70156801062,16383.012118890678,890.3926052707894,826.1733585654692,2148.317388762434,4369.040074161276,3267.8089258209516,992.3167587459734,0.8391079251294306,0.5093588211867782,0.5093588211867782,0.0,0.8594185583432895,0.28327113963609585,226.0
F1_LGBM,fixed,8,DEVELOPMENT,20260925.0,58.0,3770.0,3281.0,489.0,1672.6655636993355,0.8413287260020944,904.65283858287,0.673474801061008,0.041644562334217504,904.9480384149479,761.6247700599247,0.673474801061008,0.8294429708222811,0.8040231636696129,1.0,4917.22488888889,427.0,0.20374707259953162,4073.256546193732,7833.236181090343,567.4056922057159,1958.8421475210569,2509.596470747804,5605.0257454070625,3930.3144595765702,1910.8666009747692,0.8233421750663131,0.17771883289124668,0.17771883289124668,0.01830238726790451,0.9283819628647215,0.3714557745121246,0.0
F1_LGBM,fixed,8,EXPOSED_EVALUATION,20260925.0,88.0,5720.0,5235.0,485.0,2143.37569542196,0.7861559580348733,1308.7453507277205,0.6781468531468532,0.05891608391608392,1307.121984495142,974.2299062201722,0.6802447552447553,0.913986013986014,0.9060171919770775,1.0,4917.22488888889,793.0,0.4426229508196721,3989.298211030466,12742.496806299792,563.6751912046236,0.0,4669.2223413601105,8538.278622488719,6831.947266462793,2166.4507973061927,0.8786713286713287,0.5421328671328671,0.5421328671328671,0.013111888111888112,0.8961538461538462,0.26592917395947224,84.0
F1_LGBM,fixed,8,MAY_HISTORICAL,20260925.0,31.0,2015.0,2003.0,12.0,3527.9047648886117,0.8543374713403192,2258.4374414910494,0.6357320099255583,0.0,2258.4374414910494,1715.137619818125,0.6357320099255583,0.8883374689826301,0.8876684972541188,1.0,4917.22488888889,391.0,0.4833759590792839,6595.08064289441,18602.156956338105,1284.915431444022,457.6741600247149,5587.137315185054,10208.688831556838,8431.626110098905,2649.445284338017,0.8471464019851117,0.6734491315136476,0.6734491315136476,0.024317617866004962,0.8674937965260546,0.22514363210641677,226.0
F2_TFT,fixed,4,DEVELOPMENT,20260925.0,58.0,4698.0,3950.0,748.0,909.8552744719377,0.9053156026556918,443.77042750044683,0.852845182347098,0.0,443.77042750044683,436.61366270747277,0.852845182347098,0.8686675180928054,0.8437974683544304,1.0,3005.6439027777756,427.0,0.1608118657298985,3015.1775804915014,7333.558039775714,308.9638559454652,373.0120405720798,1585.461923565541,3275.218528549803,2281.512530866847,2029.6641826561972,0.856179934723996,0.38576699304668655,0.38576699304668655,0.0,0.9114516815666242,0.35852435990369586,0.0
F2_TFT,fixed,4,EXPOSED_EVALUATION,20260925.0,88.0,7128.0,6403.0,725.0,1191.8277568246249,0.9015212487369513,639.4430898384303,0.8795828656939767,0.0,639.4430898384303,632.0522283482078,0.8795828656939767,0.8980078563411897,0.8864594721224427,1.0,3005.6439027777756,677.0,0.13096996553421958,4927.876115129093,16035.869373667583,481.70396113329815,56.04250949898455,1985.1866332823947,3653.6483693854357,2825.5011586732894,2347.9607923274357,0.8872989150766929,0.5424616535727647,0.5424616535727647,0.0,0.9076879910213244,0.32264922066658475,84.0
F2_TFT,fixed,4,MAY_HISTORICAL,20260925.0,31.0,2511.0,2463.0,48.0,1833.396744157891,0.9121902628840682,1033.615745937094,0.8550378335324572,0.0,1033.615745937094,1000.4583136545807,0.8550378335324572,0.9003053232443913,0.8983624306401407,1.0,3005.6439027777756,359.0,0.35004642525533886,5635.299652725512,16544.581573267966,810.2776800744911,58.73625719230373,2712.0840158753886,4467.762749519566,3911.6904781302055,2769.7356407928164,0.8526483472720031,0.774990043807248,0.774990043807248,0.0,0.8594185583432895,0.28078617708471426,226.0
F3_DEEPAR,expanding,4,DEVELOPMENT,20260925.0,58.0,4698.0,3950.0,748.0,912.631389634032,0.9080778665470249,474.38737041848066,0.7848729956009649,0.0,474.38737041848066,461.5546881772978,0.7848729956009649,0.8588051653185752,0.8320675105485232,1.0,3005.6439027777756,427.0,0.3294301327088212,2639.5939139180314,6955.383794073699,291.55947841469606,478.0684309625323,1991.511576040714,4968.922048936286,2704.96656087279,1523.0788323629895,0.830211437491131,0.3052362707535121,0.3052362707535121,0.08769689229459345,0.9114516815666242,0.37180340670870243,0.0
F3_DEEPAR,expanding,4,EXPOSED_EVALUATION,20260925.0,88.0,7128.0,6403.0,725.0,1122.5910617433547,0.8491492919246794,657.3574669532667,0.8328189300411523,0.0,657.3574669532667,656.6470989187893,0.8328189300411523,0.9072671156004489,0.8967671404029361,1.0,3005.6439027777756,677.0,0.31462333825701627,4069.246343354929,14523.63917563874,403.373312446623,16.007706955685745,2936.1111771682868,6736.029397452819,3854.7563512458582,2016.50846828493,0.8791152263374485,0.5044893378226711,0.5044893378226711,0.03680321735877291,0.9076879910213244,0.32827912635613593,84.0
F3_DEEPAR,expanding,4,MAY_HISTORICAL,20260925.0,31.0,2511.0,2463.0,48.0,1729.3774952753047,0.860436409668412,1061.9944476121127,0.8152130625248905,0.0,1061.9944476121127,1104.2680220221157,0.8152130625248905,0.9113235098898181,0.9095953444309108,1.0,3005.6439027777756,359.0,0.5561745589600743,5005.075155555545,13839.315157631683,728.9425184856781,48.89765411678369,4482.1975538500565,10255.653463525961,5763.139177693686,2822.021340853662,0.8339307048984468,0.650604009026948,0.650604009026948,0.11801407141908933,0.8594185583432895,0.28746078994673696,226.0
F3_DEEPAR,fixed,1,DEVELOPMENT,20260925.0,58.0,5394.0,3626.0,1768.0,235.8914380441574,0.9806964859334308,158.4233211616695,0.8301198862934124,0.0,158.4233211616695,156.47874294869018,0.8301198862934124,0.8912989741688295,0.838297481154624,1.0,871.7389583333278,327.0,0.20591233435270132,1687.2748755838875,4085.242760575755,114.14868914274449,32.99624377712167,537.4492272022013,1324.2089083927283,663.8351391594446,333.896361312647,0.8756025213199852,0.27474972191323693,0.27474972191323693,0.026201952787047334,0.9323322209862811,0.4454508350755095,0.0
F3_DEEPAR,fixed,1,EXPOSED_EVALUATION,20260925.0,88.0,8184.0,6343.0,1841.0,311.7762260102604,0.9693409414707488,212.85343198239158,0.843108504398827,0.0,212.85343198239158,215.98087978818032,0.843108504398827,0.9095389377647441,0.8832834095328184,1.0,871.7389583333278,498.0,0.19544846050870146,2729.503800325921,6563.462547752103,173.35735036313474,0.0,599.5926446135903,1453.4299380324371,747.872617788253,385.8793265441218,0.893002606712284,0.3371619420006517,0.3371619420006517,0.013359400456174649,0.9309628543499512,0.39628022007639263,84.0
F3_DEEPAR,fixed,1,MAY_HISTORICAL,20260925.0,31.0,2883.0,2492.0,391.0,466.2440637550904,0.9722907595210343,320.5109491768024,0.837553474390103,0.0,320.5109491768024,328.44621119271824,0.837553474390103,0.912822291594404,0.899143927233815,1.0,871.7389583333278,267.0,0.3707865168539326,2634.665282392435,4659.189561900734,248.7930059803463,0.0,1045.3250581040659,2402.775183607482,1276.0635700255968,630.6601216550755,0.8714302231471848,0.5657301422129726,0.5657301422129726,0.02774887270204648,0.8980228928199793,0.39608286889919825,226.0
F3_DEEPAR,fixed,2,DEVELOPMENT,20260925.0,58.0,5162.0,3966.0,1196.0,469.3472467743413,0.9547035408135303,276.86724673356224,0.8027250419733952,0.0,276.86724673356224,278.0729187421032,0.8027250419733952,0.880795557277541,0.8448478735922004,1.0,1597.606,387.0,0.3359173126614987,2066.1320683540384,6361.965757150964,181.19879991684115,117.04230677377649,1149.939988169462,2893.2363747834784,1460.3568853876677,733.6652702416281,0.8554823711739635,0.3047914245124628,0.3047914245124628,0.06522019888931939,0.9244478884153429,0.4179275037927353,0.0
F3_DEEPAR,fixed,2,EXPOSED_EVALUATION,20260925.0,88.0,7832.0,6675.0,1157.0,616.4039863091249,0.9418956635637894,388.85887882058455,0.8251191692202928,0.0,388.85887882058455,394.74377737321225,0.8251191692202928,0.9066649642492339,0.8904868913857679,1.0,1597.606,572.0,0.23601398601398602,3701.1623182275584,11908.961520698658,282.4593294555786,0.0,1405.303808631915,3495.694571469107,1777.2736374727845,854.1648902472161,0.8882362955396662,0.4062819203268641,0.4062819203268641,0.029877425944841673,0.9253064351378958,0.36980780016749915,84.0
