model,mode,horizon_hours,role,Q90_pinball_ratio_to_same_H_LGBM,raw_Q90_pinball_ratio_to_same_H_LGBM,requirement_ratio_to_same_H_LGBM,coverage,positive_coverage,burst_coverage,N_zero,N_windows
SEASONAL,fixed,4,EXPOSED_EVALUATION,1.050835193176178,0.9789702850462884,0.890150405737157,0.8943602693602694,0.8823988755270967,0.21861152141802068,725.0,7128.0
SEASONAL,fixed,4,MAY_HISTORICAL,1.0337408706604378,0.9207297331052995,1.1590039572889932,0.8861011549183592,0.8838814453917986,0.3871866295264624,48.0,2511.0
SEASONAL,fixed,8,DEVELOPMENT,0.8226155563840902,0.7742982385795927,1.0910557806882226,0.8655172413793103,0.8454739408716855,0.26229508196721313,489.0,3770.0
SEASONAL,fixed,8,EXPOSED_EVALUATION,1.0906893553295605,0.9270089320450722,0.7949211029950447,0.8667832167832168,0.8544412607449857,0.31651954602774274,485.0,5720.0
SEASONAL,fixed,8,MAY_HISTORICAL,1.055949864622604,0.9620702102425545,0.8246505679916037,0.864516129032258,0.8637044433349975,0.35294117647058826,12.0,2015.0
TRIVIAL_CAP,fixed,1,DEVELOPMENT,1.0152738115502282,0.965533588275822,1.3064405706650277,0.9323322209862811,0.8993381136238279,0.0,1768.0,5394.0
TRIVIAL_CAP,fixed,1,EXPOSED_EVALUATION,1.0558466687099757,1.0276433739696136,1.0731924972198088,0.9309628543499511,0.9109254296074413,0.0,1841.0,8184.0
TRIVIAL_CAP,fixed,1,MAY_HISTORICAL,1.0444612203104366,0.9723311686141218,0.7615351742003056,0.8980228928199792,0.8820224719101124,0.0,391.0,2883.0
TRIVIAL_CAP,fixed,2,DEVELOPMENT,0.9711388391812001,0.9137937467103915,1.0911395363791268,0.9244478884153429,0.9016641452344932,0.0,1196.0,5162.0
TRIVIAL_CAP,fixed,2,EXPOSED_EVALUATION,1.0322963352244845,1.046833597141505,0.8500006850502302,0.9253064351378958,0.9123595505617977,0.0,1157.0,7832.0
TRIVIAL_CAP,fixed,2,MAY_HISTORICAL,1.0437349481077982,0.9674444820999168,0.7784213068256696,0.8811163465023559,0.8739431206764028,0.00909090909090909,157.0,2759.0
TRIVIAL_CAP,fixed,4,DEVELOPMENT,0.9523125394941381,0.8226433252376195,1.2924449092785948,0.9114516815666242,0.8946835443037975,0.02576112412177986,748.0,4698.0
TRIVIAL_CAP,fixed,4,EXPOSED_EVALUATION,1.0873515542306376,0.9396662347935585,0.9388994386546464,0.9076879910213244,0.8972356707793222,0.028064992614475627,725.0,7128.0
TRIVIAL_CAP,fixed,4,MAY_HISTORICAL,1.0398959871355486,0.8331732930601149,1.099744949470793,0.8769414575866189,0.8745432399512789,0.1392757660167131,48.0,2511.0
TRIVIAL_CAP,fixed,8,DEVELOPMENT,0.8648339238732177,0.7278638225059462,1.5876592227361528,0.9283819628647215,0.9177080158488266,0.36768149882903983,489.0,3770.0
TRIVIAL_CAP,fixed,8,EXPOSED_EVALUATION,1.0989897685786372,0.8191038876856054,0.9133559959737115,0.8961538461538462,0.8865329512893982,0.2509457755359395,485.0,5720.0
TRIVIAL_CAP,fixed,8,MAY_HISTORICAL,1.0864884715944934,0.8305067322899501,0.7963814319123826,0.8799007444168735,0.8791812281577633,0.38107416879795397,12.0,2015.0
TRIVIAL_TRAIN_MAX,fixed,1,DEVELOPMENT,9.480752843035896,9.01627246556805,26.094772774201402,1.0,1.0,1.0,1768.0,5394.0
TRIVIAL_TRAIN_MAX,fixed,1,EXPOSED_EVALUATION,7.4367256812811435,7.238079256086988,21.43588846423624,0.9975562072336266,0.9968469178622104,0.9598393574297188,1841.0,8184.0
TRIVIAL_TRAIN_MAX,fixed,1,MAY_HISTORICAL,5.126047149198714,4.772044493399242,15.21086207557318,0.9958376690946931,0.9951845906902087,0.9550561797752809,391.0,2883.0
TRIVIAL_TRAIN_MAX,fixed,2,DEVELOPMENT,7.477417843736225,7.035881370894232,15.464452527206747,1.0,1.0,1.0,1196.0,5162.0
TRIVIAL_TRAIN_MAX,fixed,2,EXPOSED_EVALUATION,5.637427829006056,5.716816626672121,12.046850841527219,0.9980847803881512,0.9977528089887641,0.9737762237762237,1157.0,7832.0
TRIVIAL_TRAIN_MAX,fixed,2,MAY_HISTORICAL,3.9369930743173023,3.648507803412227,10.63081468692159,0.9942007973903588,0.9938508839354343,0.9515151515151515,157.0,2759.0
TRIVIAL_TRAIN_MAX,fixed,4,DEVELOPMENT,4.4173280297760185,3.81585379628686,9.292211606155352,1.0,1.0,1.0,748.0,4698.0
TRIVIAL_TRAIN_MAX,fixed,4,EXPOSED_EVALUATION,3.4426592240451073,2.9750733496901933,6.75034749895002,0.9974747474747475,0.9971888177416836,0.9734121122599705,725.0,7128.0
TRIVIAL_TRAIN_MAX,fixed,4,MAY_HISTORICAL,2.24878411755732,1.7802986215025833,6.864438054256514,0.9876543209876543,0.9874137231019082,0.9136490250696379,48.0,2511.0
TRIVIAL_TRAIN_MAX,fixed,8,DEVELOPMENT,2.7450229396627828,2.310273492488904,5.8252077712377,1.0,1.0,1.0,489.0,3770.0
TRIVIAL_TRAIN_MAX,fixed,8,EXPOSED_EVALUATION,2.0830300033628877,1.5525330832943178,3.3511526714677156,0.9910839160839161,0.9902578796561604,0.935687263556116,485.0,5720.0
TRIVIAL_TRAIN_MAX,fixed,8,MAY_HISTORICAL,1.4728106966524754,1.1185047618726403,2.715359769797095,0.9722084367245658,0.9720419370943585,0.8567774936061381,12.0,2015.0
