N,coverage,GPU_coverage,underprediction_rate,positive_residual_mean_sec,positive_residual_P95_sec,positive_residual_max_sec,MAE_sec,WAPE,log_MAE,completion_slot_MAE,positive_error_sec,GPU_underprediction_sec,overreservation_GPU_hours,overreservation_P95_sec,track,role,u_hours,body,group,Q50_MAE_sec,Q50_WAPE,Q50_pinball,raw_Q90_MAE_sec,overconservative_warning,coverage_gate,GPU_gate,coverage_min,coverage_max
6,1.0,1.0,0.0,0.0,0.0,0.0,23385.16943359375,2.1827419277801328,2.495997070571985,25.833333333333332,0.0,0.0,99.44270128038194,73216.19262695312,PW,EXPOSED_EVALUATION,8,B0,2025-04-11,19280.897623697918,1.7996544249119115,9640.448811848959,23385.16943359375,True,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
361,0.7257617728531855,0.7214484679665738,0.2742382271468144,3336.0749680791205,12655.364990234375,18483.06396484375,9388.361703465851,1.3673003894504863,2.7325012703784126,10.484764542936288,1204323.0634765625,2418816.328125,1204.6510157606338,8563.93603515625,PW,EXPOSED_EVALUATION,8,B0,2025-04-12,6994.136172984116,1.0186106389212255,3497.068086492058,9388.361703465851,False,FAIL,FAIL,0.88,1.0
497,0.710261569416499,0.7813725490196078,0.289738430583501,2297.182988556338,12629.364990234375,19478.06396484375,6955.61515808873,1.1091488327332208,1.7746172731356027,7.790744466800805,1141699.9453125,1802846.0395507812,1262.5355923599668,8371.53603515625,PW,EXPOSED_EVALUATION,8,B0,2025-04-13,5523.293554478728,0.8807495037543672,2761.646777239364,6955.61515808873,False,FAIL,FAIL,0.88,1.0
199,0.5226130653266332,0.6370967741935484,0.47738693467336685,4208.324761012092,12645.764990234375,12832.38232421875,6687.585831014355,0.6801252185376798,1.856288868991048,7.663316582914573,837456.6274414062,1263841.2270507812,232.14442628330656,7224.154882812496,PW,EXPOSED_EVALUATION,8,B0,2025-04-14,7826.903529449923,0.795993443366849,3913.4517647249613,6687.585831014355,False,FAIL,FAIL,0.88,1.0
5,0.4,0.07339449541284404,0.6,3692.58427734375,11471.877734374997,13611.61865234375,11273.43193359375,0.6474295586870283,0.7700322980205193,12.4,18462.92138671875,336024.61328125,42.1158203125,23993.919140624996,PW,EXPOSED_EVALUATION,8,B0,2025-04-16,12388.72177734375,0.7114802945765566,6194.360888671875,11273.43193359375,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
6,0.3333333333333333,0.019801980198019802,0.6666666666666666,4167.565755208333,10216.5458984375,10356.0458984375,8237.217122395834,0.5532046422025408,1.0563170410551332,9.166666666666666,25005.39453125,301732.23046875,6.782752278645833,12219.4541015625,PW,EXPOSED_EVALUATION,8,B0,2025-04-17,10096.033528645834,0.6780412040729237,5048.016764322917,8237.217122395834,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
564,0.11879432624113476,0.1188997338065661,0.8812056737588653,4269.150581089318,11579.975683593755,17953.82568359375,4528.765260520557,0.3104345249459332,0.3488717387277297,5.210992907801418,2407800.927734375,4813663.466796875,81.34593288845485,1315.274316406251,PW,EXPOSED_EVALUATION,8,B0,2025-04-18,9645.915441634806,0.661201233788026,4822.957720817403,4528.765260520557,False,FAIL,FAIL,0.88,1.0
516,0.1298449612403101,0.16617790811339198,0.8701550387596899,4498.461518043696,12810.4931640625,20670.919799804688,4984.6491982622665,0.3446609657719196,0.42953150343057817,5.715116279069767,2321206.143310547,4263015.719482422,219.80864758968355,3055.17431640625,PW,EXPOSED_EVALUATION,8,B0,2025-04-19,9876.982064228649,0.6829387669559054,4938.491032114324,4984.6491982622665,False,FAIL,FAIL,0.88,1.0
86,0.4418604651162791,0.7156862745098039,0.5581395348837209,2010.2276653910792,7224.0458984375,10078.0458984375,4155.888917146727,0.4135935433294704,0.6958306424824322,4.5813953488372094,172879.5792236328,299355.78088378906,112.99399996598562,11554.759155273438,PW,EXPOSED_EVALUATION,8,B0,2025-04-20,6358.819601214209,0.6328289284653711,3179.4098006071044,4155.888917146727,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
131,0.11450381679389313,0.11450381679389313,0.8854961832061069,10932.077600377206,20034.919799804688,22117.919799804688,11353.204375332549,0.6843370787137366,1.0974194647669133,12.725190839694656,1432102.165649414,1432102.165649414,15.32433542198605,4265.5802001953125,PW,EXPOSED_EVALUATION,8,B0,2025-04-21,16087.400044171865,0.9697001821131525,8043.700022085933,11353.204375332549,False,FAIL,FAIL,0.88,1.0
1,0.0,0.0,1.0,1938.388671875,1938.388671875,1938.388671875,1938.388671875,0.08398564436200173,0.08772324233692963,2.0,1938.388671875,1938.388671875,0.0,0.0,PW,EXPOSED_EVALUATION,8,B0,2025-04-22,7514.837890625,0.3255995619854853,3757.4189453125,1938.388671875,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
1,0.0,0.0,1.0,1938.388671875,1938.388671875,1938.388671875,1938.388671875,0.08398564436200173,0.08772324233692963,2.0,1938.388671875,1938.388671875,0.0,0.0,PW,EXPOSED_EVALUATION,8,B0,2025-04-23,7514.837890625,0.3255995619854853,3757.4189453125,1938.388671875,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
511,0.4187866927592955,0.4187866927592955,0.5812133072407045,5439.08811039934,18499.419799804688,22117.919799804688,7838.924488929853,0.6829230160189288,1.5586488734514534,8.835616438356164,2779374.0244140625,2779374.0244140625,340.6434415080812,10425.7548828125,PW,EXPOSED_EVALUATION,8,B0,GPU_1,9829.685408019273,0.8563570697538642,4914.842704009637,7838.924488929853,False,FAIL,FAIL,0.88,1.0
1877,0.3745338305807139,0.37884314747264203,0.6254661694192861,3671.7667641494904,12649.364990234375,19478.06396484375,6265.239144001606,0.5570536023574563,1.1201671269202003,7.090570058604156,6891906.216308594,14045790.91796875,2841.392605658637,8551.93603515625,PW,EXPOSED_EVALUATION,8,B0,GPU_2_4,8343.652113656892,0.741849011650238,4171.826056828446,6265.239144001606,False,FAIL,FAIL,0.88,1.0
16,0.875,0.7176470588235294,0.125,364.1142578125,2912.9140625,2912.9140625,1671.2247009277344,0.6111628088965932,2.2533631472964646,1.5,5825.828125,559279.5,228.30133897569445,3786.883544921875,PW,EXPOSED_EVALUATION,8,B0,GPU_5_PLUS,1560.3275623321533,0.5706079950017017,780.1637811660767,1671.2247009277344,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
2404,0.7803660565723793,0.7703320739709684,0.21963394342762063,912.7325467314752,6448.6947437438375,11285.641847121613,8923.013869441786,0.7938885337588313,1.3833301956745858,9.81073211314476,2194209.0423424663,4221090.344827982,12485.596814026248,22004.973431661532,PW,EXPOSED_EVALUATION,8,B1,OVERALL,6197.470914892244,0.5513945366023064,3098.735457446122,8923.013869441786,False,FAIL,FAIL,0.9,0.95
31,0.5806451612903226,0.504950495049505,0.41935483870967744,1418.239716502419,4992.087219507754,9808.540669957943,9690.564840264506,0.6631512363094916,1.666873141152666,10.806451612903226,43965.43121157499,156244.64350638408,158.3486889243443,25338.25582810724,PW,EXPOSED_EVALUATION,8,B1,2025-04-10,11053.969074406103,0.7564526298158702,5526.984537203051,9690.564840264506,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
6,0.8333333333333334,0.8947368421052632,0.16666666666666666,1634.756778326324,7356.405502468458,9808.540669957943,12449.951087837486,1.162062576258127,2.4675130974623487,13.833333333333334,9808.540669957943,19617.081339915887,71.13562030981633,20842.509339263655,PW,EXPOSED_EVALUATION,8,B1,2025-04-11,7848.062290216236,0.7325281376014656,3924.031145108118,12449.951087837486,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
361,0.739612188365651,0.7381615598885793,0.26038781163434904,1383.3885239898877,5379.940256634227,9808.540669957943,16210.952509348008,2.360927537678086,3.201381609238657,17.750692520775623,499403.25716034946,998806.5143206989,3006.1802434140786,22156.423431661533,PW,EXPOSED_EVALUATION,8,B1,2025-04-12,10391.285957821276,1.5133640762663956,5195.642978910638,16210.952509348008,False,FAIL,FAIL,0.88,1.0
497,0.8953722334004024,0.9107843137254902,0.10462776659959759,475.93987876676874,6014.740707948241,9808.540669957943,14604.648152352887,2.32887071560076,2.3515652631533754,16.050301810865193,236542.11974708407,450021.8954815871,4585.097366467814,21943.223431661532,PW,EXPOSED_EVALUATION,8,B1,2025-04-13,8856.965586971777,1.4123399324248145,4428.482793485889,14604.648152352887,False,PASS,PASS,0.88,1.0
199,0.7738693467336684,0.7903225806451613,0.22613065326633167,1053.0404743131264,6638.097266387375,6654.397266387376,8267.566846645104,0.8408087537766223,2.0698915779077742,9.040201005025125,209555.05438831216,397097.4066111649,963.5566443470414,16034.550994844278,PW,EXPOSED_EVALUATION,8,B1,2025-04-14,7133.484960224945,0.7254730092596592,3566.7424801124725,8267.566846645104,False,FAIL,FAIL,0.88,1.0
5,0.4,0.07339449541284404,0.6,2778.549067808549,7121.0861421213485,7791.343730837456,8493.070424602727,0.4877542942813094,0.6246208554176469,9.4,13892.745339042744,185040.76569090819,31.747340871078777,19328.103391985445,PW,EXPOSED_EVALUATION,8,B1,2025-04-16,10430.021328868288,0.5989927597755813,5215.010664434144,8493.070424602727,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
6,0.3333333333333333,0.019801980198019802,0.6666666666666666,3877.1507307209504,7639.534652195577,7791.343730837456,9004.114925297637,0.6047088599931254,1.0963169119215153,10.0,23262.904384325702,181090.7573744204,8.544940324294478,15391.39258373006,PW,EXPOSED_EVALUATION,8,B1,2025-04-17,10802.387480289697,0.7254793472323504,5401.193740144849,9004.114925297637,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
564,0.776595744680851,0.7772848269742679,0.22340425531914893,675.6638948560593,4928.644743743848,10975.14474374384,4297.721700246481,0.2945971181143733,0.29997518432086206,4.76241134751773,381074.4366988174,754357.5296667975,1134.9114456889988,8293.95525625616,PW,EXPOSED_EVALUATION,8,B1,2025-04-18,3169.4660647509722,0.21725826699839357,1584.7330323754861,4297.721700246481,False,FAIL,FAIL,0.88,1.0
516,0.7771317829457365,0.7888563049853372,0.22286821705426357,715.1581300145907,5795.51757127717,10975.14474374384,4482.281672230929,0.30992502552666173,0.35756930608144577,4.953488372093023,369021.5950875288,670138.2142056567,1192.7744932459614,11211.85525625616,PW,EXPOSED_EVALUATION,8,B1,2025-04-19,3429.8775762738464,0.23715709388939762,1714.9387881369232,4482.281672230929,False,FAIL,FAIL,0.88,1.0
86,0.8953488372093024,0.9575163398692811,0.10465116279069768,337.1801173755729,2900.0175712771697,7791.343730837456,8369.0568910975,0.8328874912016156,1.0783866863926161,9.244186046511627,28997.490094299268,29990.06906927463,1225.4607104867382,19543.970213600533,PW,EXPOSED_EVALUATION,8,B1,2025-04-20,5511.614593503816,0.5485151924509872,2755.807296751908,8369.0568910975,False,INSUFFICIENT_SUPPORT,INSUFFICIENT_SUPPORT,0.88,1.0
