track,u_hours,body,classifier,role,N,tail_N,prevalence,ROC_AUC,PR_AUC,Brier,ECE,eta,selectivity_limit,recall,precision,specificity,FNR,FPR,GPU_recall,GPU_FNR,mass_capture,flagged_fraction
PW,8,B1,C0,DEVELOPMENT,4346,1490,0.3428439944776806,0.5,0.3428439944776806,0.2629785463358349,0.19410449867936128,,0.6,,,,,,,,,
PW,8,B1,C1,DEVELOPMENT,4346,1490,0.3428439944776806,0.9290572772733252,0.8603323655419327,0.1360179126762782,0.2087309098102646,,0.6,,,,,,,,,
PW,8,B1,C2,DEVELOPMENT,4346,1490,0.3428439944776806,0.9580782480777545,0.9360053894864757,0.07946602805606981,0.1290781612419254,,0.6,,,,,,,,,
PW,8,B1,C3,DEVELOPMENT,4346,1490,0.3428439944776806,0.9483745511627469,0.8939693944697116,0.12888215813291143,0.1346298189747185,,0.6,,,,,,,,,
PW,8,B2,C0,DEVELOPMENT,4346,1490,0.3428439944776806,0.5,0.3428439944776806,0.2629785463358349,0.19410449867936128,,0.6,,,,,,,,,
PW,8,B2,C1,DEVELOPMENT,4346,1490,0.3428439944776806,0.9290572772733252,0.8603323655419327,0.1360179126762782,0.2087309098102646,,0.6,,,,,,,,,
PW,8,B2,C2,DEVELOPMENT,4346,1490,0.3428439944776806,0.9580782480777545,0.9360053894864757,0.07946602805606981,0.1290781612419254,,0.6,,,,,,,,,
PW,8,B2,C3,DEVELOPMENT,4346,1490,0.3428439944776806,0.9483745511627469,0.8939693944697116,0.12888215813291143,0.1346298189747185,,0.6,,,,,,,,,
PW,8,B3,C0,DEVELOPMENT,4346,1490,0.3428439944776806,0.5,0.3428439944776806,0.2629785463358349,0.19410449867936128,,0.6,,,,,,,,,
PW,8,B3,C1,DEVELOPMENT,4346,1490,0.3428439944776806,0.9290572772733252,0.8603323655419327,0.1360179126762782,0.2087309098102646,,0.6,,,,,,,,,
PW,8,B3,C2,DEVELOPMENT,4346,1490,0.3428439944776806,0.9580782480777545,0.9360053894864757,0.07946602805606981,0.1290781612419254,,0.6,,,,,,,,,
PW,8,B3,C3,DEVELOPMENT,4346,1490,0.3428439944776806,0.9483745511627469,0.8939693944697116,0.12888215813291143,0.1346298189747185,,0.6,,,,,,,,,
PW,8,B0,C0,CALIBRATION,2634,466,0.17691723614274868,0.5,0.17691723614274868,0.14641151274927763,0.02817774034442938,,0.6,,,,,,,,,
PW,8,B0,C1,CALIBRATION,2634,466,0.17691723614274868,0.6343092266759577,0.32550219926405527,0.18905096649919798,0.2674201379639081,,0.6,,,,,,,,,
PW,8,B0,C2,CALIBRATION,2634,466,0.17691723614274868,0.8040781440539727,0.658482849002875,0.11978748320374431,0.14118619153442408,,0.6,,,,,,,,,
PW,8,B0,C3,CALIBRATION,2634,466,0.17691723614274868,0.8188041429770521,0.6390439074871892,0.11273553123211788,0.11062983009220301,,0.6,,,,,,,,,
PW,8,B1,C0,CALIBRATION,2634,466,0.17691723614274868,0.5,0.17691723614274868,0.14641151274927763,0.02817774034442938,,0.6,,,,,,,,,
PW,8,B1,C1,CALIBRATION,2634,466,0.17691723614274868,0.6343092266759577,0.32550219926405527,0.18905096649919798,0.2674201379639081,,0.6,,,,,,,,,
PW,8,B1,C2,CALIBRATION,2634,466,0.17691723614274868,0.8040781440539727,0.658482849002875,0.11978748320374431,0.14118619153442408,,0.6,,,,,,,,,
PW,8,B1,C3,CALIBRATION,2634,466,0.17691723614274868,0.8188041429770521,0.6390439074871892,0.11273553123211788,0.11062983009220301,,0.6,,,,,,,,,
PW,8,B2,C0,CALIBRATION,2634,466,0.17691723614274868,0.5,0.17691723614274868,0.14641151274927763,0.02817774034442938,,0.6,,,,,,,,,
PW,8,B2,C1,CALIBRATION,2634,466,0.17691723614274868,0.6343092266759577,0.32550219926405527,0.18905096649919798,0.2674201379639081,,0.6,,,,,,,,,
PW,8,B2,C2,CALIBRATION,2634,466,0.17691723614274868,0.8040781440539727,0.658482849002875,0.11978748320374431,0.14118619153442408,,0.6,,,,,,,,,
PW,8,B2,C3,CALIBRATION,2634,466,0.17691723614274868,0.8188041429770521,0.6390439074871892,0.11273553123211788,0.11062983009220301,,0.6,,,,,,,,,
PW,8,B3,C0,CALIBRATION,2634,466,0.17691723614274868,0.5,0.17691723614274868,0.14641151274927763,0.02817774034442938,,0.6,,,,,,,,,
PW,8,B3,C1,CALIBRATION,2634,466,0.17691723614274868,0.6343092266759577,0.32550219926405527,0.18905096649919798,0.2674201379639081,,0.6,,,,,,,,,
PW,8,B3,C2,CALIBRATION,2634,466,0.17691723614274868,0.8040781440539727,0.658482849002875,0.11978748320374431,0.14118619153442408,,0.6,,,,,,,,,
PW,8,B3,C3,CALIBRATION,2634,466,0.17691723614274868,0.8188041429770521,0.6390439074871892,0.11273553123211788,0.11062983009220301,,0.6,,,,,,,,,
PW,12,B0,C0,DEVELOPMENT,4346,1447,0.3329498389323516,0.5,0.3329498389323516,0.27480512044562283,0.2295884943945365,,0.6,,,,,,,,,
PW,12,B0,C1,DEVELOPMENT,4346,1447,0.3329498389323516,0.9413565862737023,0.876236613901039,0.11646175518833429,0.18524463122837959,,0.6,,,,,,,,,
PW,12,B0,C2,DEVELOPMENT,4346,1447,0.3329498389323516,0.9713308189822147,0.9512915232650723,0.060465693278186176,0.09282996323052967,,0.6,,,,,,,,,
PW,12,B0,C3,DEVELOPMENT,4346,1447,0.3329498389323516,0.8654971938230017,0.7371765408365153,0.13790754516723583,0.20896489508372887,,0.6,,,,,,,,,
PW,12,B1,C0,DEVELOPMENT,4346,1447,0.3329498389323516,0.5,0.3329498389323516,0.27480512044562283,0.2295884943945365,,0.6,,,,,,,,,
PW,12,B1,C1,DEVELOPMENT,4346,1447,0.3329498389323516,0.9413565862737023,0.876236613901039,0.11646175518833429,0.18524463122837959,,0.6,,,,,,,,,
PW,12,B1,C2,DEVELOPMENT,4346,1447,0.3329498389323516,0.9713308189822147,0.9512915232650723,0.060465693278186176,0.09282996323052967,,0.6,,,,,,,,,
PW,12,B1,C3,DEVELOPMENT,4346,1447,0.3329498389323516,0.8654971938230017,0.7371765408365153,0.13790754516723583,0.20896489508372887,,0.6,,,,,,,,,
PW,12,B2,C0,DEVELOPMENT,4346,1447,0.3329498389323516,0.5,0.3329498389323516,0.27480512044562283,0.2295884943945365,,0.6,,,,,,,,,
PW,12,B2,C1,DEVELOPMENT,4346,1447,0.3329498389323516,0.9413565862737023,0.876236613901039,0.11646175518833429,0.18524463122837959,,0.6,,,,,,,,,
