date,window_index,window_start,window_end,Y_k_GPUh,C_phys_k_GPUh,C_hist_k_GPUh,uncapped_prediction_GPUh,actionable_prediction_GPUh,physical_oracle_covered,historical_oracle_covered,uncapped_covered,actionable_covered,physical_prediction_cap_binding,historical_prediction_cap_binding
2025-05-01,69,2025-05-01T17:15:00+10:00,2025-05-01T21:15:00+10:00,104.61361111111111,3120.0,11093.820277777779,669.2689178974266,669.2689178974266,True,True,True,True,False,False
2025-05-01,70,2025-05-01T17:30:00+10:00,2025-05-01T21:30:00+10:00,111.65055555555556,3120.0,11093.820277777779,643.6512179170471,643.6512179170471,True,True,True,True,False,False
2025-05-01,71,2025-05-01T17:45:00+10:00,2025-05-01T21:45:00+10:00,111.65055555555556,3120.0,11093.820277777779,613.4714810067453,613.4714810067453,True,True,True,True,False,False
2025-05-01,72,2025-05-01T18:00:00+10:00,2025-05-01T22:00:00+10:00,15.645000000000001,3120.0,11093.820277777779,658.9593440146092,658.9593440146092,True,True,True,True,False,False
2025-05-01,73,2025-05-01T18:15:00+10:00,2025-05-01T22:15:00+10:00,15.645,3120.0,11093.820277777779,654.9432156592596,654.9432156592596,True,True,True,True,False,False
2025-05-01,74,2025-05-01T18:30:00+10:00,2025-05-01T22:30:00+10:00,17.921666666666667,3120.0,11093.820277777779,601.7082503326749,601.7082503326749,True,True,True,True,False,False
2025-05-01,75,2025-05-01T18:45:00+10:00,2025-05-01T22:45:00+10:00,17.921666666666667,3120.0,11093.820277777779,585.8600822554123,585.8600822554123,True,True,True,True,False,False
2025-05-01,76,2025-05-01T19:00:00+10:00,2025-05-01T23:00:00+10:00,25.2025,3120.0,11093.820277777779,592.5823252103309,592.5823252103309,True,True,True,True,False,False
2025-05-01,77,2025-05-01T19:15:00+10:00,2025-05-01T23:15:00+10:00,27.268055555555556,3120.0,11093.820277777779,618.3890474801636,618.3890474801636,True,True,True,True,False,False
2025-05-01,78,2025-05-01T19:30:00+10:00,2025-05-01T23:30:00+10:00,35.026944444444446,3120.0,11093.820277777779,629.3120415646537,629.3120415646537,True,True,True,True,False,False
2025-05-01,79,2025-05-01T19:45:00+10:00,2025-05-01T23:45:00+10:00,53.19055555555555,3120.0,11093.820277777779,661.7820606248429,661.7820606248429,True,True,True,True,False,False
2025-05-01,80,2025-05-01T20:00:00+10:00,2025-05-02T00:00:00+10:00,85.10638888888887,3120.0,11093.820277777779,719.7260702909496,719.7260702909496,True,True,True,True,False,False
2025-05-02,0,2025-05-02T00:00:00+10:00,2025-05-02T04:00:00+10:00,599.9069444444444,3120.0,11062.732222222225,1918.7410569186586,1918.7410569186586,True,True,True,True,False,False
2025-05-02,1,2025-05-02T00:15:00+10:00,2025-05-02T04:15:00+10:00,629.8852777777778,3120.0,11062.732222222225,1717.0010641447386,1717.0010641447386,True,True,True,True,False,False
2025-05-02,2,2025-05-02T00:30:00+10:00,2025-05-02T04:30:00+10:00,563.235,3120.0,11062.732222222225,1828.7314776732558,1828.7314776732558,True,True,True,True,False,False
2025-05-02,3,2025-05-02T00:45:00+10:00,2025-05-02T04:45:00+10:00,620.3861111111112,3120.0,11062.732222222225,2000.965723458805,2000.965723458805,True,True,True,True,False,False
2025-05-02,4,2025-05-02T01:00:00+10:00,2025-05-02T05:00:00+10:00,580.8875,3120.0,11062.732222222225,1950.1998266206867,1950.1998266206867,True,True,True,True,False,False
