split,model,seed,variant,regime,TRAIN_burst_threshold_GPUh,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
MAY_HISTORICAL,DEEPAR,20260925,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.10144927536231885,0.7985507246376812,2806.986623852914,1898.930454634569,3797.860909269138,8530.456754753455,0.20186846141292433,0.00876907522453605,53773.864974975586
MAY_HISTORICAL,DEEPAR,20260926,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.11594202898550725,0.7840579710144928,2744.7349099380576,1904.46353306838,3808.92706613676,8534.217631909569,0.2171504447438399,0.006397938157024585,57844.69061279297
MAY_HISTORICAL,LGBM,20260924,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.0,0.9,2976.012751401513,1905.1737287370104,3810.3474574740208,8536.953748445787,0.14347786744511568,0.0,38219.73683699524
MAY_HISTORICAL,LGBM,20260925,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.0,0.9,2976.012751401513,1905.1737287370104,3810.3474574740208,8536.953748445787,0.14347786744511568,0.0,38219.73683699524
MAY_HISTORICAL,LGBM,20260926,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.0,0.9,2976.012751401513,1905.1737287370104,3810.3474574740208,8536.953748445787,0.14347786744511568,0.0,38219.73683699524
MAY_HISTORICAL,SEASONAL,0,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.07246376811594203,0.827536231884058,3087.0496275764913,1908.5277576489539,3817.0555152979077,8539.794997398494,0.11485442422940158,0.00300053451483804,30595.003583333324
MAY_HISTORICAL,TFT,20260924,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.0,0.9,2937.3787389004483,1918.6754711558713,3837.3509423117425,8545.26840505939,0.1545970693910683,0.0,41181.677795410156
MAY_HISTORICAL,TFT,20260925,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.0,0.9,2850.623649828927,1917.7718061937662,3835.5436123875324,8544.043303401306,0.17956593213083152,0.0,47832.901290893555
MAY_HISTORICAL,TFT,20260926,raw,burst,860.3532222222221,28,69,266380.71444444463,0.0,0.043478260869565216,0.8565217391304348,2705.112175490818,1916.1797988400804,3832.3595976801607,8542.576536639986,0.22259680113287514,0.0010362707239636216,59295.49491882324
EXPOSED_EVALUATION,DEEPAR,20260924,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,61.88017642646256,2.930626134388881,5.861252268777762,14.51320706936467,,,295168.44155422633
EXPOSED_EVALUATION,DEEPAR,20260925,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,54.688338957934285,3.413025025641487,6.826050051282974,15.758361895980231,,,260863.37682934655
EXPOSED_EVALUATION,DEEPAR,20260926,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,56.3548075650864,2.8559103635465823,5.711820727093165,14.186257109360044,,,268812.43208546215
EXPOSED_EVALUATION,LGBM,20260924,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,61.88071202605543,2.8422660738026115,5.684532147605223,12.25857069627352,,,295170.9963642844
EXPOSED_EVALUATION,LGBM,20260925,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,61.88071202605543,2.8422660738026115,5.684532147605223,12.25857069627352,,,295170.9963642844
EXPOSED_EVALUATION,LGBM,20260926,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,61.88071202605543,2.8422660738026115,5.684532147605223,12.25857069627352,,,295170.9963642844
EXPOSED_EVALUATION,SEASONAL,0,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,67.59457051013277,7.645887491264851,15.291774982529702,30.779827026581184,,,322426.1013333333
EXPOSED_EVALUATION,TFT,20260924,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,58.220469239320906,7.493849929273753,14.987699858547506,15.801601392947862,,,277711.63827156066
EXPOSED_EVALUATION,TFT,20260925,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,54.38062710416054,6.086332401139681,12.172664802279362,13.043353057636699,,,259395.59128684577
EXPOSED_EVALUATION,TFT,20260926,calibrated,zero,860.3532222222221,76,477,0.0,1.0,1.0,0.09999999999999998,52.88096342336218,6.333003634926658,12.666007269853315,13.945721055676666,,,252242.1955294376
MAY_HISTORICAL,DEEPAR,20260924,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,57.666694777610815,5.768623604093279,11.537247208186558,19.119244716875578,,,60550.029516491355
MAY_HISTORICAL,DEEPAR,20260925,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,52.95066811357125,6.733286725871619,13.466573451743239,19.174274318938213,,,55598.201519249815
MAY_HISTORICAL,DEEPAR,20260926,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,69.0666969238685,7.396465030166188,14.792930060332376,22.378158899587184,,,72520.03177006193
MAY_HISTORICAL,LGBM,20260924,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,37.482094720812704,2.4197321455192604,4.839464291038521,8.429392601057794,,,39356.19945685335
MAY_HISTORICAL,LGBM,20260925,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,37.482094720812704,2.4197321455192604,4.839464291038521,8.429392601057794,,,39356.19945685335
MAY_HISTORICAL,LGBM,20260926,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,37.482094720812704,2.4197321455192604,4.839464291038521,8.429392601057794,,,39356.19945685335
MAY_HISTORICAL,SEASONAL,0,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,35.29565306878307,2.4774126984126985,4.954825396825397,14.087454116742624,,,37060.43572222222
MAY_HISTORICAL,TFT,20260924,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,43.05772673281716,9.308495766775948,18.616991533551897,19.101117529788237,,,45210.613069458006
MAY_HISTORICAL,TFT,20260925,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,39.977255156986296,7.643354388645717,15.286708777291434,16.199518461266543,,,41976.11791483561
MAY_HISTORICAL,TFT,20260926,calibrated,zero,860.3532222222221,29,105,0.0,1.0,1.0,0.09999999999999998,41.63280646291258,8.254605552128384,16.509211104256767,17.757401340858653,,,43714.446786058215
EXPOSED_EVALUATION,DEEPAR,20260924,calibrated,positive,860.3532222222221,83,1635,672290.9750000001,0.2434250764525994,0.9119266055045872,0.011926605504587129,280.7379462569809,196.41846211995662,392.83692423991323,1568.998395411126,3.1277941598292,2.597764563788699,2102787.785310879
EXPOSED_EVALUATION,DEEPAR,20260925,calibrated,positive,860.3532222222221,83,1635,672290.9750000001,0.26422018348623855,0.8941896024464832,0.005810397553516866,274.94863038691045,195.76667942405484,391.5333588481097,1567.9544424092742,2.6936123003776737,2.1929213744185807,1810891.2396928994
EXPOSED_EVALUATION,DEEPAR,20260926,calibrated,positive,860.3532222222221,83,1635,672290.9750000001,0.2434250764525994,0.891131498470948,0.008868501529052053,278.1598781887116,196.26205599477143,392.52411198954286,1569.0493834981605,2.8529513447736745,2.3441362133761388,1918013.441205455
