split,model,seed,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,LGBM,20260926,calibrated,88,2112,672290.9750000001,0.4171401515151515,0.9266098484848485,0.026609848484848486,225.7665628248271,153.41622525380333,306.83245050760667,1381.3020687670287,3.2820140120240104,2.763057563404878,2206468.400107284
EXPOSED_EVALUATION,SEASONAL,0,calibrated,88,2112,672290.9750000001,0.38920454545454547,0.9180871212121212,0.018087121212121193,229.57794924768524,154.31190209385522,308.62380418771045,1380.9677448642087,3.266696073659012,2.761244877429912,2196170.2883888893
EXPOSED_EVALUATION,TFT,20260924,calibrated,88,2112,672290.9750000001,0.4725378787878788,0.9166666666666666,0.016666666666666607,224.97597189136854,156.10607627857215,312.2121525571443,1383.567878052392,3.1800447741375955,2.6688016103567764,2137915.401748619
EXPOSED_EVALUATION,TFT,20260925,calibrated,88,2112,672290.9750000001,0.4597537878787879,0.915719696969697,0.015719696969696995,224.27132213671786,155.65325177131882,311.30650354263764,1383.651592956784,3.1096921097841483,2.6032705574333805,2090617.9404365923
EXPOSED_EVALUATION,TFT,20260926,calibrated,88,2112,672290.9750000001,0.4654356060606061,0.9142992424242424,0.014299242424242409,224.5339055570749,155.35743308607329,310.71486617214657,1383.1469313975474,3.12791647968668,2.6204973953412884,2102870.019847126
MAY_HISTORICAL,DEEPAR,20260924,calibrated,31,744,351588.466388889,0.3924731182795699,0.9274193548387096,0.02741935483870961,328.9504968252787,227.66848974908467,455.33697949816934,2604.5331983150413,3.1842250684216813,2.661898119410763,1119536.808443434
MAY_HISTORICAL,DEEPAR,20260925,calibrated,31,744,351588.466388889,0.4206989247311828,0.9005376344086021,0.0005376344086021057,315.8264461673501,227.12496911304976,454.2499382260995,2604.993970409261,2.492647753770966,2.0117065965201952,876386.2009960429
MAY_HISTORICAL,DEEPAR,20260926,calibrated,31,744,351588.466388889,0.385752688172043,0.9059139784946236,0.005913978494623606,321.6388367406409,228.20085235657555,456.4017047131511,2606.26353722512,2.7822953466628766,2.28468909009454,978222.9539741431
MAY_HISTORICAL,LGBM,20260924,calibrated,31,744,351588.466388889,0.35080645161290325,0.8938172043010753,0.00618279569892477,310.6827938146074,228.0785042120908,456.1570084241816,2607.472409186387,2.455081111754042,1.9670120826172306,863178.2029419322
MAY_HISTORICAL,LGBM,20260925,calibrated,31,744,351588.466388889,0.35080645161290325,0.8938172043010753,0.00618279569892477,310.6827938146074,228.0785042120908,456.1570084241816,2607.472409186387,2.455081111754042,1.9670120826172306,863178.2029419322
MAY_HISTORICAL,LGBM,20260926,calibrated,31,744,351588.466388889,0.35080645161290325,0.8938172043010753,0.00618279569892477,310.6827938146074,228.0785042120908,456.1570084241816,2607.472409186387,2.455081111754042,1.9670120826172306,863178.2029419322
MAY_HISTORICAL,SEASONAL,0,calibrated,31,744,351588.466388889,0.3279569892473118,0.8669354838709677,0.03306451612903227,318.75549832362617,228.75072645982684,457.5014529196537,2608.268992967448,2.217583732614525,1.7703471751240818,779676.8636388889
MAY_HISTORICAL,TFT,20260924,calibrated,31,744,351588.466388889,0.4220430107526882,0.8938172043010753,0.00618279569892477,311.71883118281045,232.29243556919639,464.58487113839277,2610.4636635630877,2.2667103338994052,1.7996707519675101,796949.2100435385
MAY_HISTORICAL,TFT,20260925,calibrated,31,744,351588.466388889,0.4166666666666667,0.9018817204301075,0.0018817204301074808,310.1460174188559,231.67217282455604,463.3443456491121,2610.0288714975754,2.352420780462578,1.8734819063570307,827084.0145041912
MAY_HISTORICAL,TFT,20260926,calibrated,31,744,351588.466388889,0.4260752688172043,0.8978494623655914,0.0021505376344086446,308.7762987155255,231.25034673025968,462.50069346051936,2609.474231308846,2.4515340117356224,1.9597853385494937,861931.0834863281
