split,target_hour,size,sum,mean,median,max
EXPOSED_EVALUATION,19,88,6640.932777777765,75.46514520202005,0.0,3452.8855555555456
EXPOSED_EVALUATION,20,88,1647.5894444444436,18.722607323232314,0.0,378.1922222222222
EXPOSED_EVALUATION,21,88,1938.152777777778,22.024463383838388,6.935694444444434,397.53999999999934
EXPOSED_EVALUATION,22,88,3076.1311111111113,34.956035353535356,0.0,578.4100000000001
EXPOSED_EVALUATION,23,88,8598.41333333333,97.70924242424239,1.3759722222222206,915.0452777777778
MAY_HISTORICAL,0,31,6095.72388888888,196.63625448028645,59.9175,1303.8086111111113
MAY_HISTORICAL,1,31,18482.389722222222,596.2061200716846,155.34833333333336,4834.523888888889
MAY_HISTORICAL,2,31,14630.000833333335,471.93551075268823,273.27888888888884,2508.4336111111115
MAY_HISTORICAL,3,31,62004.850833333425,2000.1564784946265,355.0422222222222,22394.646944444445
MAY_HISTORICAL,4,31,12654.550277777784,408.2112992831543,165.3294444444449,2551.7972222222234
MAY_HISTORICAL,5,31,15067.683888888887,486.0543189964157,140.7025,3411.1988888888877
MAY_HISTORICAL,6,31,26668.442777777764,860.2723476702505,256.4613888888889,11457.434166666651
MAY_HISTORICAL,7,31,27041.737222222248,872.3141039426531,178.48222222222222,12082.835833333358
MAY_HISTORICAL,8,31,15612.894166666667,503.64174731182794,111.83888888888886,6880.9913888888905
MAY_HISTORICAL,9,31,68438.87611111111,2207.7056810035842,64.00222222222222,57931.09111111111
MAY_HISTORICAL,10,31,9408.07138888889,303.48617383512544,199.70666666666673,1076.0411111111111
MAY_HISTORICAL,11,31,17820.732500000024,574.8623387096782,17.657500000000002,12262.906388888912
MAY_HISTORICAL,12,31,3772.9086111111105,121.70672939068099,14.50416666666666,1916.5594444444444
MAY_HISTORICAL,13,31,6479.509444444431,209.01643369175585,14.212777777777777,3246.2200000000034
MAY_HISTORICAL,14,31,15229.18472222222,491.264023297491,52.436944444444435,5352.308888888888
MAY_HISTORICAL,15,31,10071.150555555558,324.87582437275995,38.072500000000005,2897.2933333333335
MAY_HISTORICAL,16,31,5372.825277777778,173.31694444444446,15.395833333333332,2065.3591666666666
MAY_HISTORICAL,17,31,1354.9769444444441,43.708933691756265,1.1616666666666666,487.6738888888886
MAY_HISTORICAL,18,31,1610.1044444444444,51.93885304659498,0.018333333333333333,320.0466666666666
MAY_HISTORICAL,19,31,1081.161388888889,34.87617383512545,0.0,261.82500000000005
MAY_HISTORICAL,20,31,1395.5661111111108,45.01826164874551,4.696666666666667,403.86777777777763
MAY_HISTORICAL,21,31,198.18805555555554,6.393163082437275,0.09194444444444444,57.149166666666666
MAY_HISTORICAL,22,31,4177.870277777777,134.77000896057345,8.104722222222225,1866.492777777777
MAY_HISTORICAL,23,31,6919.066944444446,223.1957078853047,66.47,1584.5833333333333
TRAIN,0,167,30323.962777777775,181.58061543579507,21.263333333333332,5052.413611111111
TRAIN,1,167,28538.818611111114,170.89112940785097,39.72888888888889,6450.789444444444
TRAIN,2,167,59673.90916666665,357.3287974051895,60.121944444444445,7993.831944444425
TRAIN,3,167,36690.451111111106,219.70330006653356,48.08333333333333,5752.167777777778
TRAIN,4,167,21195.123888888884,126.91690951430469,47.72777777777778,3305.7355555555555
TRAIN,5,167,31629.098888888857,189.3958017298734,48.98111111111111,6585.481944444418
TRAIN,6,167,24896.408888888887,149.08029274783766,52.40444444444458,2606.6844444444437
TRAIN,7,167,39606.57861111111,237.16514138389886,54.098888888888894,5486.216666666665
TRAIN,8,167,48534.212499999994,290.62402694610773,54.306111111111186,5846.034444444447
TRAIN,9,167,30162.974722222218,180.61661510312706,16.489722222222223,6238.219722222221
TRAIN,10,167,15661.729722222219,93.78281270791747,13.156666666666666,2166.1949999999997
TRAIN,11,167,40521.45916666667,242.64346806387226,7.68,15578.127499999999
TRAIN,12,167,24333.195277777773,145.70775615435792,13.119722222222217,6529.682499999999
TRAIN,13,167,21460.13305555555,128.50379075182965,7.300000000000001,2503.9311111111097
TRAIN,14,167,24527.26111111111,146.8698270126414,8.2525,4645.361111111109
TRAIN,15,167,30662.010555555564,183.60485362608122,5.7347222222222225,4688.54888888889
TRAIN,16,167,24039.86611111111,143.95129407850965,5.235555555555556,3330.844444444442
TRAIN,17,167,14019.89166666667,83.95144710578845,1.808888888888889,3932.961111111113
TRAIN,18,167,6680.4974999999995,40.00297904191616,0.0,613.5361111111113
TRAIN,19,167,6378.016666666668,38.191716566866276,0.0,810.3866666666668
TRAIN,20,167,15822.99333333333,94.74846307385228,5.581111111111105,8755.987777777775
TRAIN,21,167,6657.359166666666,39.864426147704584,0.0,780.1033333333334
TRAIN,22,167,5367.960277777777,32.1434747172322,0.21388888888888888,577.2944444444444
TRAIN,23,167,8496.790833333334,50.87898702594811,9.229722222222222,895.0402777777781
