target_day,issue_time,label_matured_at,jobs,daily_GPUh,direct_GPUh,absolute_error,atomic_max_error,original_role,original_eligible,split,eligible,reason
2024-10-05,2024-10-04 08:00:00+00:00,2024-10-05 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-06,2024-10-05 08:00:00+00:00,2024-10-06 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-07,2024-10-06 08:00:00+00:00,2024-10-07 14:00:00+00:00,0,0.0,0.0,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-08,2024-10-07 08:00:00+00:00,2024-10-08 14:00:00+00:00,9,0.010555555555555556,0.010555555555555556,0.0,4.336808689942018e-19,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-09,2024-10-08 08:00:00+00:00,2024-10-13 12:56:42+00:00,1264,9317.922222222222,9317.922222222223,1.8189894035458565e-12,4.547473508864641e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-10,2024-10-09 08:00:00+00:00,2024-10-15 16:52:49+00:00,955,6087.8725,6087.8725,0.0,1.1368683772161603e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-11,2024-10-10 08:00:00+00:00,2024-10-15 16:15:54+00:00,459,6396.188055555558,6396.188055555555,2.7284841053187847e-12,2.7284841053187847e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-12,2024-10-11 08:00:00+00:00,2024-10-22 08:47:07+00:00,791,15136.18805555556,15136.188055555554,5.4569682106375694e-12,3.637978807091713e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-13,2024-10-12 08:00:00+00:00,2024-10-21 10:13:59+00:00,2436,7293.7424999999985,7293.7425,1.8189894035458565e-12,7.275957614183426e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-14,2024-10-13 08:00:00+00:00,2024-10-17 19:42:45+00:00,111,1606.5436111111112,1606.5436111111114,2.2737367544323206e-13,9.947598300641403e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-15,2024-10-14 08:00:00+00:00,2024-10-15 16:15:56+00:00,7,29.50916666666667,29.50916666666667,0.0,0.0,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-16,2024-10-15 08:00:00+00:00,2024-10-22 03:42:50+00:00,855,12226.387500000004,12226.3875,3.637978807091713e-12,5.4569682106375694e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-17,2024-10-16 08:00:00+00:00,2024-10-20 00:41:39+00:00,691,16919.642777777775,16919.642777777775,0.0,1.3642420526593924e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-18,2024-10-17 08:00:00+00:00,2024-10-21 10:14:24+00:00,555,6367.06611111111,6367.066111111111,9.094947017729282e-13,1.1368683772161603e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-19,2024-10-18 08:00:00+00:00,2024-10-22 10:40:38+00:00,257,2474.985833333333,2474.985833333333,0.0,2.2737367544323206e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-20,2024-10-19 08:00:00+00:00,2024-10-22 12:19:52+00:00,175,2081.314166666667,2081.3141666666666,4.547473508864641e-13,5.684341886080802e-14,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-21,2024-10-20 08:00:00+00:00,2024-10-23 20:04:10+00:00,763,4221.375000000002,4221.375,1.8189894035458565e-12,6.821210263296962e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-22,2024-10-21 08:00:00+00:00,2024-10-29 12:33:11+00:00,664,7040.217222222223,7040.2172222222225,9.094947017729282e-13,1.3642420526593924e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-23,2024-10-22 08:00:00+00:00,2024-10-30 03:53:55+00:00,877,11747.873055555552,11747.873055555556,3.637978807091713e-12,2.7284841053187847e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-24,2024-10-23 08:00:00+00:00,2024-10-27 12:26:44+00:00,347,2131.527222222222,2131.527222222222,0.0,1.1368683772161603e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-25,2024-10-24 08:00:00+00:00,2024-10-29 14:28:57+00:00,1270,11865.526944444451,11865.526944444444,7.275957614183426e-12,1.8189894035458565e-12,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-26,2024-10-25 08:00:00+00:00,2024-10-29 23:11:16+00:00,1197,12739.570833333326,12739.570833333333,7.275957614183426e-12,3.8198777474462986e-11,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-27,2024-10-26 08:00:00+00:00,2024-10-30 23:55:46+00:00,225,1981.0413888888888,1981.0413888888888,0.0,2.2737367544323206e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
2024-10-29,2024-10-28 08:00:00+00:00,2024-10-31 03:55:57+00:00,1213,2755.386944444444,2755.3869444444445,4.547473508864641e-13,2.5579538487363607e-13,DEVELOPMENT,True,DEVELOPMENT,True,eligible; issue-time features mature; labels before next-stage cutoff
