split,model,seed,target_day,variant,N_days,N_hours,actual_GPUh,Q50_coverage,Q90_coverage,calibration_error,Q90_pinball,Q50_pinball,Q50_MAE,Q50_RMSE,requirement_ratio,excess_reserve_proxy,Q90_sum_GPUh
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-14,raw,1,24,6433.959166666664,0.25,0.75,0.15000000000000002,220.0634377195569,132.54111705365827,265.08223410731654,745.4868378713581,0.33698846107104546,0.22417180716561175,2168.1699981689453
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-15,raw,1,24,2526.3483333333334,0.25,0.7083333333333334,0.19166666666666665,46.927747176770815,51.38498765519924,102.76997531039848,173.45619297024263,1.0810718106829693,0.5187724849219701,2731.1639671325684
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-16,raw,1,24,1498.9597222222228,0.5833333333333334,0.8333333333333334,0.06666666666666665,39.22483411577014,30.813759914283406,61.62751982856681,132.3642649503351,3.1819443471929536,2.5917828107711887,4769.606414794922
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-17,raw,1,24,3586.266666666667,0.2916666666666667,0.9166666666666666,0.016666666666666607,39.95756151764481,61.30146007662571,122.60292015325142,190.2036915664975,2.5575763751889893,1.669222577249823,9172.150901794434
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-18,raw,1,24,12229.519444444464,0.375,0.7083333333333334,0.19166666666666665,257.61162268462084,245.06662638436902,490.13325276873803,1165.7879110340532,1.303369735656589,0.7785864735443692,15939.585525512695
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-19,raw,1,24,3844.479166666667,0.5833333333333334,0.875,0.025000000000000022,107.0437952288875,78.21924720038972,156.43849440077943,305.87947579466584,5.967587848421158,5.139073310489809,22942.2671585083
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-20,raw,1,24,12587.682222222305,0.6666666666666666,0.9166666666666666,0.016666666666666607,424.3012561851815,259.5825389541648,519.1650779083296,2249.7313913478038,0.6447821365398434,0.48928765544838526,8116.312637329102
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-21,raw,1,24,0.0,1.0,1.0,0.09999999999999998,28.116384410858156,0.4299211393178363,0.8598422786356726,1.553656134014754,,,6747.932258605957
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-22,raw,1,24,0.0,1.0,1.0,0.09999999999999998,7.821011066436768,0.07308213536938031,0.14616427073876062,0.4265993553532947,,,1877.0426559448242
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-23,raw,1,24,0.0,1.0,1.0,0.09999999999999998,6.230343325932822,0.02116235780219237,0.04232471560438474,0.1621956135562829,,,1495.282398223877
EXPOSED_EVALUATION,DEEPAR,20260924,2024-12-24,raw,1,24,40.468888888888884,0.9166666666666666,1.0,0.09999999999999998,7.965743050433972,1.1114393921803545,2.222878784360709,6.928834318930373,48.24069240826253,47.24069240826253,1952.247220993042
