role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
MAY_HISTORICAL,PENDING,R3,R2,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R1,R0,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R1,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R0,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R0,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,coverage,0.005089778029124914,0.0009002341964284733,0.01099119499327253,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,GPU_coverage,0.004766060280593343,0.0005632216246643756,0.011229729417531083,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,long_under,-0.0055121727147450506,-0.01183338432955003,-0.0009775496033944755,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,missed_GPU_slots,-228.0,-479.025,-58.975000000000136,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,overreserved_GPUh,1088.9557307463256,470.9783964267335,1819.5364280541942,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,reserved_GPUh,1220.294168361579,521.3745677844184,2072.2545866762243,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,reserve_vs_requested,0.002382291110951673,0.0009887721472541355,0.004149539610142341,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q90,5.462220316145249,-12.431935879918456,19.524884446792328,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,MAE_bound_seconds,309.78330724347325,147.1453216915623,487.0069191485767,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,overreserve_vs_requested,0.0054266653792878206,0.0022552752857103175,0.009568068150606316,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,missed_slots_reduction,0.0055224531318122105,0.0010977696667200192,0.03798744102738265,0,31,7073,1,2000
MAY_HISTORICAL,RUNNING,R2,R1,coverage,0.005089778029124914,0.0,0.013707252586336828,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,GPU_coverage,0.004766060280593343,0.0,0.013715416505000225,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,long_under,-0.0055121727147450506,-0.014583036714300647,0.0,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,missed_GPU_slots,-228.0,-538.025,0.0,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,overreserved_GPUh,1088.9557307463256,12.46000145218568,2532.1202239641902,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,reserved_GPUh,1220.294168361579,14.121334979077801,2849.037104798521,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,reserve_vs_requested,0.002382291110951673,2.4178612803080203e-05,0.006193000187549079,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q90,5.462220316145249,-9.926022200145008,18.85899269383794,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,MAE_bound_seconds,309.78330724347325,3.397635939589236,656.3453839831102,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,overreserve_vs_requested,0.0054266653792878206,5.8843043005540886e-05,0.014429335240146954,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R2,R1,missed_slots_reduction,0.0055224531318122105,0.0,0.07325562136251094,0,31,7073,7,2000
MAY_HISTORICAL,RUNNING,R3,R1,coverage,0.003251802629718692,0.0002456808948012479,0.0074353170503083914,0,31,7073,1,2000
