role,arm,GPU_bucket,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,unscorable_N,query_N,MAE_bound_seconds
MAY_HISTORICAL,R0,>4 GPU,279,4858.0,0.5053763440860215,0.5611362700699877,235,0.574468085106383,49232.0,70757.47424251243,112864.40026739988,160607.08666666667,98471.23222222223,0.7027361158828891,0.7185598539361471,23029.813302828537,0,279,58985.925034069915
MAY_HISTORICAL,R1,1 GPU,5348,5348.0,0.8691099476439791,0.8691099476439791,5061,0.13752222880853587,1857.0,80498.0286943073,186837.39858476634,182642.91722222223,63318.55944444444,1.022965475071999,1.2713180685188532,13289.424380116554,0,5348,62932.38681635263
MAY_HISTORICAL,R1,2-4 GPU,1446,4691.0,0.876210235131397,0.8912811767213814,1235,0.1368421052631579,1325.0,137909.5001434658,265285.67583669425,168985.5338888889,38877.773888888885,1.569872105213009,3.5472581464567803,10841.153474137633,0,1446,92828.53949560496
MAY_HISTORICAL,R1,>4 GPU,279,4858.0,0.7347670250896058,0.778509674763277,235,0.31063829787234043,38104.0,53464.59754586602,98958.6503229127,160607.08666666667,98471.23222222223,0.6161536976777199,0.5429463645302139,20129.720772798068,0,279,54065.79792445841
MAY_HISTORICAL,R2,1 GPU,5348,5348.0,0.8734106207928197,0.8734106207928197,5061,0.13297767239675953,1723.0,81046.80578374032,187435.76405713445,182642.91722222223,63318.55944444444,1.0262416244101091,1.279984991680845,13296.32292003546,0,5348,63268.415115416305
MAY_HISTORICAL,R2,2-4 GPU,1446,4691.0,0.8852005532503457,0.901513536559369,1235,0.12631578947368421,1279.0,138333.63296530466,265747.6737220073,168985.5338888889,38877.773888888885,1.5726060545321074,3.558167537078039,10846.324393519273,0,1446,93091.22850030854
MAY_HISTORICAL,R2,>4 GPU,279,4858.0,0.7347670250896058,0.778509674763277,235,0.31063829787234043,38056.0,53580.6433653405,99118.58113359316,160607.08666666667,98471.23222222223,0.6171494869296126,0.544124838860794,20109.160713242334,0,279,54116.58533642673
MAY_HISTORICAL,R3,1 GPU,5348,5348.0,0.8713537771129394,0.8713537771129394,5061,0.13515115589804386,1804.0,80613.33189093781,186969.57675441835,182642.91722222223,63318.55944444444,1.0236891722821744,1.2731390700963083,13286.962569757045,0,5348,62998.643660966016
MAY_HISTORICAL,R3,2-4 GPU,1446,4691.0,0.8838174273858921,0.9002344915796205,1235,0.12793522267206478,1317.0,138057.22069162535,265448.01759429235,168985.5338888889,38877.773888888885,1.570832789561912,3.5510577608220917,10842.302330548824,0,1446,92915.72616968043
MAY_HISTORICAL,R3,>4 GPU,279,4858.0,0.7347670250896058,0.778509674763277,235,0.31063829787234043,38088.0,53494.44716237483,99006.56657554017,160607.08666666667,98471.23222222223,0.616452042250316,0.5432494948540171,20121.05998769899,0,279,54074.04604217411
