day,category,information_available_at_Dminus1_18AEST,forecast_issue_time,future_actual_used,namespace,status
2025-01-27,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-27,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-28,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-28,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-28,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-29,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-29,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-29,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-30,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-30,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-30,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-31,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-31,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-01-31,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-01,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-01,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-01,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-02,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-02,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-02,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-03,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-03,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-03,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-04,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-04,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-04,causal_rooftop_pv_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-05,gfs_d1_weather,False,,False,GFS_D1_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
2025-02-05,causal_grid_demand_forecast_vintage,False,,False,AEMO_DA_FORECAST,MISSING_RAW_SOURCE_NO_SUBSTITUTION
