day,option,site,idle_IT_kW,full_IT_kW,idle_PCC_P_mean_kW,full_PCC_P_max_kW,full_PCC_Q_max_kvar,full_PCC_apparent_max_kVA,idle_PCC_P_delta_mean_kW
2025-05-18,B75,AIDC12,50.4137770824216,315.51214904789816,55.39606764972939,379.88004773979696,124.860533566659,399.8737344629442,43.747493347275
2025-05-18,B80,AIDC01,17.915639789620897,112.1241521409886,22.89792952154939,117.1731492595485,38.51295171536408,123.3401571153142,11.249355219095015
2025-05-18,B80,AIDC02,5.832999001271921,36.50553790636839,10.815288730792451,41.48782776961775,13.6363895462716,43.67139765222921,2.4998567149473296
2025-05-18,B80,AIDC03,37.497850722462346,234.67845796951104,42.48014053745546,273.2505678131812,89.81311837129174,287.6321766454539,30.831566235001088
2025-05-18,B80,AIDC04,5.832999001271921,36.50553790636839,10.815288730792451,41.48782776961775,13.6363895462716,43.67139765222921,2.4998567149473296
2025-05-18,B80,AIDC05,54.58020494047297,341.58753326673275,59.56249641991977,414.2766541693912,136.16615137215973,436.0806885993592,46.24735097411585
2025-05-18,B80,AIDC06,19.58221093284145,122.55430582852244,24.564500665700677,127.95630159320912,42.057202491160695,134.6908437823254,12.915926363246294
2025-05-18,B80,AIDC07,14.165854717374664,88.65630634403752,19.148144447983316,93.63957858051351,30.77784109506193,98.56797745317212,10.832712432138194
2025-05-18,B80,AIDC08,21.66542486186713,135.5919979379397,26.647714596347463,143.0140214945415,47.00643568296408,150.54107525741213,14.999140293893086
2025-05-18,B80,AIDC09,6.249641787077057,39.11307632825184,11.231931516622469,44.09536626663774,14.493446003884056,46.41617501751341,2.91649950077735
2025-05-18,B80,AIDC10,44.58077808114968,279.0066111415298,49.56306810956979,331.7247987383664,109.03266863895846,349.1839986719647,37.914493807115406
2025-05-18,B80,AIDC11,11.665998002543844,73.01107581273678,16.648287732649425,77.99343360331204,25.6352019337317,82.0983511613811,8.332855716804305
2025-05-18,B80,AIDC12,47.0806347959805,294.6518416728305,52.06292499037726,352.3627625961217,115.81603932225846,370.9081711538123,40.41435068792288
2025-05-18,B85,AIDC01,17.08235421801062,106.9090752972217,22.064643949566573,111.91689862008673,36.78530567733676,117.80726170535443,10.41606964711219
2025-05-18,B85,AIDC02,5.416356215466784,33.89799948448493,10.398645944964182,38.88028929958468,12.77933309752932,40.92662031535229,2.0832139291190623
2025-05-18,B85,AIDC03,34.997994007631526,219.0332274382103,39.98028379205484,252.61260404508164,83.02974771746014,265.9080042579807,28.331709489600456
2025-05-18,B85,AIDC04,5.416356215466784,33.89799948448493,10.398645944964182,38.88028929958468,12.77933309752932,40.92662031535229,2.0832139291190623
2025-05-18,B85,AIDC05,50.83041986822674,318.1196874697817,55.81271049955596,383.3197083827565,125.99109534720913,403.4944298765858,42.497565053752034
2025-05-18,B85,AIDC06,18.748925361231173,117.33922898475552,23.731215093591004,122.49255687028482,40.261356445980574,128.93953354766822,12.08264079113662
2025-05-18,B85,AIDC07,13.749211931569528,86.04876792215404,18.73150166207828,91.03168733445206,29.92066869444643,95.82282877310745,10.41606964623316
2025-05-18,B85,AIDC08,20.415496504451724,127.76938267228934,25.397786237889168,133.69460037316145,43.94329009089828,140.73115828753836,13.749211935434788
2025-05-18,B85,AIDC09,5.832999001271921,36.50553790636839,10.815288730792451,41.48782776961775,13.6363895462716,43.67139765222921,2.4998567149473296
2025-05-18,B85,AIDC10,42.08092136631885,263.36138061022905,47.06321128801872,311.0868348806329,102.2492979556656,327.45982619013995,35.414636985564336
2025-05-18,B85,AIDC11,11.249355216738705,70.4035373908533,16.231644946779895,75.38587073599841,24.778137465991087,79.35354814315622,7.916212930934775
2025-05-18,B85,AIDC12,44.164135295344536,276.3990727196463,49.14642530255308,328.2851380954078,107.90210685840864,345.563303258324,37.4978510000987
2025-05-19,B75,AIDC01,19.165568147036307,119.94676740663895,24.147857885303,125.63083870691686,41.29285980325306,132.24298811254408,12.499283582169232
2025-05-19,B75,AIDC02,5.832999001271921,36.50553790636839,10.81528873138223,41.48782820311567,13.636389688755475,43.67139810854281,2.4998567151512816
2025-05-19,B75,AIDC03,39.997707437293165,250.32368850081176,44.979997493730274,295.07348099907864,96.98596306419444,310.6036642095565,33.33142319059651
2025-05-19,B75,AIDC04,5.832999001271921,36.50553790636839,10.81528873138223,41.48782820311567,13.636389688755475,43.67139810854281,2.4998567151512816
2025-05-19,B75,AIDC05,58.32999001271921,365.0553790636839,63.31228747430401,447.1825228433543,146.98178737239448,470.71844509826775,49.99714202759856
2025-05-19,B75,AIDC06,21.248782076062,132.98445951605626,26.231071818237336,140.94260425319905,46.325593760541366,148.360636055999,14.582497515103569
2025-05-19,B75,AIDC07,14.999140288984938,93.8713831878044,19.98143002261112,98.86377504649376,32.49495143576123,104.0671316278882,11.665998006380171
2025-05-19,B75,AIDC08,22.915353219282544,143.4146132035901,27.89764296576682,154.14883039222696,50.66627038183747,162.26192672865997,16.249068662633054
2025-05-19,B75,AIDC09,6.666284572882195,41.7206147501353,11.648574303133763,46.70290586138135,15.350502822300816,49.16095353829616,3.333142286902819
2025-05-19,B75,AIDC10,47.91392036759078,299.8669185165974,52.89621137772351,360.7569308863007,118.57506901543674,379.7441377750533,41.24763707458974
2025-05-19,B75,AIDC11,12.499283574154116,78.22615265650367,17.48157330623187,83.20914393022568,27.349523015405463,87.5885725581323,9.166141290000922
2025-05-19,B75,AIDC12,50.4137770824216,315.51214904789816,55.39606878318194,381.4990729559935,125.39268142110656,401.5779715326248,43.74749448004817
2025-05-19,B80,AIDC01,17.915639789620897,112.1241521409886,22.897929526132952,117.32074613583808,38.56146446257452,123.49552224825062,11.24935522299918
2025-05-19,B80,AIDC02,5.832999001271921,36.50553790636839,10.81528873138223,41.48782820311567,13.636389688755475,43.67139810854281,2.4998567151512816
2025-05-19,B80,AIDC03,37.497850722462346,234.67845796951104,42.48014066438982,274.3313389319732,90.16835065937504,288.7698304547086,30.83156636125605
2025-05-19,B80,AIDC04,5.832999001271921,36.50553790636839,10.81528873138223,41.48782820311567,13.636389688755475,43.67139810854281,2.4998567151512816
2025-05-19,B80,AIDC05,54.58020494047297,341.58753326673275,59.56249871631479,416.069309738815,136.75536876388966,437.9676944619105,46.24735326960936
2025-05-19,B80,AIDC06,19.58221093284145,122.55430582852244,24.564500671782003,128.53398467476202,42.24707773789788,135.2989312365916,12.915926368648238
2025-05-19,B80,AIDC07,14.165854717374664,88.65630634403752,19.14814445040926,93.64275183746688,30.778884094184157,98.57131772364936,10.83271243417831
2025-05-19,B80,AIDC08,21.66542486186713,135.5919979379397,26.64771460500678,144.2001510904498,47.39629762782137,151.78963272678925,14.999140301873013
2025-05-19,B80,AIDC09,6.249641787077057,39.11307632825184,11.23193151725547,44.09536694310297,14.493446226227425,46.41617572958207,2.916499501024522
2025-05-19,B80,AIDC10,44.58077808114968,279.0066111415298,49.563068531310286,333.1007414600441,109.48491914121044,350.6323594316254,37.91449422817652
2025-05-19,B80,AIDC11,11.665998002543844,73.01107581273678,16.64828773423667,77.99365367339283,25.63527426726928,82.09858281409771,8.332855718005725
2025-05-19,B80,AIDC12,47.0806347959805,294.6518416728305,52.06292563464245,353.84288352973635,116.3025315468801,372.4661931891962,40.41435133150869
2025-05-19,B85,AIDC01,17.08235421801062,106.9090752972217,22.06464395354581,111.98264080294264,36.80691408788126,117.87646400309752,10.416069650412048
2025-05-19,B85,AIDC02,5.416356215466784,33.89799948448493,10.39864594551369,38.88028957738232,12.779333188836988,40.92662060777086,2.0832139292827434
2025-05-19,B85,AIDC03,34.997994007631526,219.0332274382103,39.98028387513609,253.5891969131236,83.35073827041656,266.9359967506564,28.331709572002318
2025-05-19,B85,AIDC04,5.416356215466784,33.89799948448493,10.39864594551369,38.88028957738232,12.779333188836988,40.92662060777086,2.0832139292827434
2025-05-19,B85,AIDC05,50.83041986822674,318.1196874697817,55.81271171593554,384.95609663427575,126.52895015538492,405.2169438255534,42.49756626923011
2025-05-19,B85,AIDC06,18.748925361231173,117.33922898475552,23.73121509887061,122.80292482685176,40.36336946006097,129.26623665984394,12.082640795736838
2025-05-19,B85,AIDC07,13.749211931569528,86.04876792215404,18.731501664338637,91.0337219425574,29.921337437790925,95.8249704658499,10.416069648107683
2025-05-19,B85,AIDC08,20.415496504451724,127.76938267228934,25.39778624489394,134.5892494498393,44.23734702211523,141.67289415772558,13.749211941760176
2025-05-19,B85,AIDC09,5.832999001271921,36.50553790636839,10.81528873138223,41.48782820311567,13.636389688755475,43.67139810854281,2.4998567151512816
2025-05-19,B85,AIDC10,42.08092136631885,263.36138061022905,47.06321156408413,312.3585993903622,102.6673067355442,328.7985256740655,35.414637260950364
2025-05-19,B85,AIDC11,11.249355216738705,70.4035373908533,16.231644948258786,75.38601176834375,24.77818382108132,79.35369659825658,7.916212932027839
2025-05-19,B85,AIDC12,44.164135295344536,276.3990727196463,49.14642569553637,329.6437177817623,108.34865040693224,346.9933871386972,37.4978513924026
2025-05-20,B75,AIDC01,19.165568147036307,119.94676740663895,24.147857884800462,125.7714063683262,41.33906215926047,132.39095407192232,12.49928358172726
2025-05-20,B75,AIDC02,5.832999001271921,36.50553790636839,10.815288731329682,41.487828347543264,13.636389736226532,43.671398260571856,2.4998567151330406
2025-05-20,B75,AIDC03,39.997707437293165,250.32368850081176,44.97999747824131,299.5292183960779,98.45049312343916,315.29391410113465,33.33142317516811
2025-05-20,B75,AIDC04,5.832999001271921,36.50553790636839,10.815288731329682,41.487828347543264,13.636389736226532,43.671398260571856,2.4998567151330406
2025-05-20,B75,AIDC05,58.32999001271921,365.0553790636839,63.31228723530029,454.38189874682826,149.34810779907406,478.29673552297714,49.99714178867527
2025-05-20,B75,AIDC06,21.248782076062,132.98445951605626,26.23107181752448,141.42788755591752,46.485098668653634,148.87146058517635,14.582497514451273
2025-05-20,B75,AIDC07,14.999140288984938,93.8713831878044,19.981430022362108,98.86633627903495,32.495793272187186,104.06982766214207,11.665998006165468
2025-05-20,B75,AIDC08,22.915353219282544,143.4146132035901,27.89764296482465,155.2907217797498,51.04159193075687,163.46391766289452,16.24906866175145
2025-05-20,B75,AIDC09,6.666284572882195,41.7206147501353,11.648574303073206,46.70290621307697,15.350502937897575,49.16095390850208,3.3331422868765643
2025-05-20,B75,AIDC10,47.91392036759078,299.8669185165974,52.89621132436071,366.38570130670473,120.4251563843245,385.6691592702155,41.247637021287495
2025-05-20,B75,AIDC11,12.499283574154116,78.22615265650367,17.48157330606874,83.20932240867039,27.34958167843336,87.58876043017936,9.1661412898721
2025-05-20,B75,AIDC12,50.4137770824216,315.51214904789816,55.39606870539036,387.4986975455352,127.36466266072918,407.89336583740544,43.74749440231716
2025-05-20,B80,AIDC01,17.915639789620897,112.1241521409886,22.897929525725704,117.3712520848024,38.57806496521606,123.54868640505516,11.249355222652497
2025-05-20,B80,AIDC02,5.832999001271921,36.50553790636839,10.815288731329682,41.487828347543264,13.636389736226532,43.671398260571856,2.4998567151330406
2025-05-20,B80,AIDC03,37.497850722462346,234.67845796951104,42.48014065401605,278.4166448455907,91.51112577797434,293.0701524690429,30.83156635094284
2025-05-20,B80,AIDC04,5.832999001271921,36.50553790636839,10.815288731329682,41.487828347543264,13.636389736226532,43.671398260571856,2.4998567151330406
2025-05-20,B80,AIDC05,54.58020494047297,341.58753326673275,59.5624985735619,422.700382388321,138.9348969440686,444.9477709350748,46.24735312693691
2025-05-20,B80,AIDC06,19.58221093284145,122.55430582852244,24.564500671243024,128.71627169752205,42.30699258485947,135.4908123131811,12.91592636816982
2025-05-20,B80,AIDC07,14.165854717374664,88.65630634403752,19.14814445019296,93.64380775971132,30.7792311590422,98.57242922074876,10.83271243399632
2025-05-20,B80,AIDC08,21.66542486186713,135.5919979379397,26.647714604242395,144.85049012977325,47.61005373302428,152.47420013660343,14.999140301169186
2025-05-20,B80,AIDC09,6.249641787077057,39.11307632825184,11.231931517199058,44.09536716847945,14.49344630030509,46.41617596682048,2.916499501002416
2025-05-20,B80,AIDC10,44.58077808114968,279.0066111415298,49.56306849939008,338.2356032390681,111.1726665902661,356.0374770937559,37.91449419631687
2025-05-20,B80,AIDC11,11.665998002543844,73.01107581273678,16.64828773409503,77.99372698740869,25.63529836442098,82.098659986746,8.332855717898386
2025-05-20,B80,AIDC12,47.0806347959805,294.6518416728305,52.06292558766077,359.3481767897955,118.11203393580988,378.2612387261005,40.414351284587546
2025-05-20,B85,AIDC01,17.08235421801062,106.9090752972217,22.064643953191904,112.0051113809172,36.81429980969568,117.90011724307074,10.4160696501187
2025-05-20,B85,AIDC02,5.416356215466784,33.89799948448493,10.398645945464745,38.88028966993558,12.779333219257774,40.92662070519535,2.0832139292681044
2025-05-20,B85,AIDC03,34.997994007631526,219.0332274382103,39.98028386821405,257.3040713007256,84.5717584343574,270.846390842869,28.331709565140844
2025-05-20,B85,AIDC04,5.416356215466784,33.89799948448493,10.398645945464745,38.88028966993558,12.779333219257774,40.92662070519535,2.0832139292681044
2025-05-20,B85,AIDC05,50.83041986822674,318.1196874697817,55.81271163316888,391.0188660298139,128.52168608906317,411.59880634717257,42.49756618654386
2025-05-20,B85,AIDC06,18.748925361231173,117.33922898475552,23.731215098402064,122.90650967354912,40.39741615270779,129.37527334057802,12.082640795328862
2025-05-20,B85,AIDC07,13.749211931569528,86.04876792215404,18.731501664137053,91.03439927197743,29.92156006520526,95.82568344418678,10.416069647940413
2025-05-20,B85,AIDC08,20.415496504451724,127.76938267228934,25.397786244274037,134.8543074301145,44.32446736718251,141.95190255801526,13.749211941200832
2025-05-20,B85,AIDC09,5.832999001271921,36.50553790636839,10.815288731329682,41.487828347543264,13.636389736226532,43.671398260571856,2.4998567151330406
2025-05-20,B85,AIDC10,42.08092136631885,263.36138061022905,47.06321154252305,317.12302968834126,104.23329924472252,333.81371546141185,35.41463723944985
2025-05-20,B85,AIDC11,11.249355216738705,70.4035373908533,16.231644948126803,75.3860587532217,24.778199264263883,79.35374605602286,7.916212931930164
2025-05-20,B85,AIDC12,44.164135295344536,276.3990727196463,49.14642566562537,334.7168409806135,110.0161053660088,352.3335168216984,37.49785136255216
2025-05-21,B75,AIDC01,19.165568147036307,119.94676740663895,24.14785788997352,125.9008662316222,41.3816135585845,132.5272276122339,12.499283586288888
2025-05-21,B75,AIDC02,5.832999001271921,36.50553790636839,10.815288731859932,41.48782849147007,13.636389783532984,43.67139841207376,2.499856715317448
2025-05-21,B75,AIDC03,39.997707437293165,250.32368850081176,44.9799976584834,295.28168022840885,97.0543948415858,310.822821293062,33.33142335479878
2025-05-21,B75,AIDC04,5.832999001271921,36.50553790636839,10.815288731859932,41.48782849147007,13.636389783532984,43.67139841207376,2.499856715317448
2025-05-21,B75,AIDC05,58.32999001271921,365.0553790636839,63.31229126611301,447.4170528430331,147.0588736554765,470.9653187821401,49.99714581867508
2025-05-21,B75,AIDC06,21.248782076062,132.98445951605626,26.23107182490689,141.54127188219087,46.5223662944761,148.99081250756933,14.582497521222264
2025-05-21,B75,AIDC07,14.999140288984938,93.8713831878044,19.98143002490152,98.86888482364908,32.49663093829318,104.07251034068324,11.665998008359033
2025-05-21,B75,AIDC08,22.915353219282544,143.4146132035901,27.89764297463604,154.83182034206857,50.89075832234732,162.98086351796692,16.249068670951406
2025-05-21,B75,AIDC09,6.666284572882195,41.7206147501353,11.648574303684631,46.70290656355307,15.3505030530935,49.16095427742429,3.3331422871421434
2025-05-21,B75,AIDC10,47.91392036759078,299.8669185165974,52.89621201591649,360.97650022101766,118.6472379657429,379.9752633905449,41.24763771223186
2025-05-21,B75,AIDC11,12.499283574154116,78.22615265650367,17.481573307725505,83.20950024975878,27.34964013197236,87.58894763132503,9.16614129118302
2025-05-21,B75,AIDC12,50.4137770824216,315.51214904789816,55.39606976195412,381.7222328503013,125.46603053127896,401.8128766845277,43.74749545826948
2025-05-21,B80,AIDC01,17.915639789620897,112.1241521409886,22.89792952990456,117.42014252323771,38.594134475224976,123.60015002446076,11.249355226219928
2025-05-21,B80,AIDC02,5.832999001271921,36.50553790636839,10.815288731859932,41.48782849147007,13.636389783532984,43.67139841207376,2.499856715317448
2025-05-21,B80,AIDC03,37.497850722462346,234.67845796951104,42.48014077181862,274.5359476014213,90.23560227680444,288.9852080014961,30.831566468133985
2025-05-21,B80,AIDC04,5.832999001271921,36.50553790636839,10.815288731859932,41.48782849147007,13.636389783532984,43.67139841207376,2.499856715317448
2025-05-21,B80,AIDC05,54.58020494047297,341.58753326673275,59.56250071267287,416.2984538991076,136.83068480717242,438.2088988411659,46.24735526523492
2025-05-21,B80,AIDC06,19.58221093284145,122.55430582852244,24.564500676797465,128.8804542259584,42.360956772304576,135.66363602732463,12.91592637311284
2025-05-21,B80,AIDC07,14.165854717374664,88.65630634403752,19.14814445239545,93.64485937304586,30.77957680763006,98.57353618215356,10.832712435852962
2025-05-21,B80,AIDC08,21.66542486186713,135.5919979379397,26.647714612168937,144.83251945301225,47.60414705721363,152.45528363474975,14.999140308484307
2025-05-21,B80,AIDC09,6.249641787077057,39.11307632825184,11.23193151776845,44.09536739307445,14.493446374125895,46.41617620323626,2.916499501225965
2025-05-21,B80,AIDC10,44.58077808114968,279.0066111415298,49.56306889215335,333.3155233819733,109.55551454502836,350.8584456652351,37.91449458846872
2025-05-21,B80,AIDC11,11.665998002543844,73.01107581273678,16.648287735531934,77.99380004409704,25.63532237699322,82.0987368885232,8.332855718989446
2025-05-21,B80,AIDC12,47.0806347959805,294.6518416728305,52.06292618804732,354.0612560112565,116.37430711056425,372.6960589592174,40.414351884362695
2025-05-21,B85,AIDC01,17.08235421801062,106.9090752972217,22.06464395681648,112.02721434510832,36.82156470270264,117.92338352116666,10.416069653131853
2025-05-21,B85,AIDC02,5.416356215466784,33.89799948448493,10.398645945958544,38.88028976216792,12.779333249573078,40.92662080228202,2.0832139294160594
2025-05-21,B85,AIDC03,34.997994007631526,219.0332274382103,39.98028394518673,253.7902150173516,83.41680972612949,267.1475947551069,28.3317096415021
2025-05-21,B85,AIDC04,5.416356215466784,33.89799948448493,10.398645945958544,38.88028976216792,12.779333249573078,40.92662080228202,2.0832139294160594
2025-05-21,B85,AIDC05,50.83041986822674,318.1196874697817,55.81271276701824,385.1798549551821,126.60249595886836,405.45247890019175,42.49756731958031
2025-05-21,B85,AIDC06,18.748925361231173,117.33922898475552,23.7312151032199,123.00385215533822,40.429411079230526,129.47773911088234,12.08264079953527
2025-05-21,B85,AIDC07,13.749211931569528,86.04876792215404,18.731501666188223,91.03507398631636,29.921781833084,95.82639366980668,10.416069649645742
2025-05-21,B85,AIDC08,20.415496504451724,127.76938267228934,25.39778625067761,135.08302245459498,44.39964236034484,142.19265521536315,13.749211946992984
2025-05-21,B85,AIDC09,5.832999001271921,36.50553790636839,10.815288731859932,41.48782849147007,13.636389783532984,43.67139841207376,2.499856715317448
2025-05-21,B85,AIDC10,42.08092136631885,263.36138061022905,47.06321179937101,312.5697907526993,102.73672197949548,329.02083237126243,35.414637495686385
2025-05-21,B85,AIDC11,11.249355216738705,70.4035373908533,16.231644949464968,75.38610557390473,24.778214653478187,79.35379534095235,7.916212932922484
2025-05-21,B85,AIDC12,44.164135295344536,276.3990727196463,49.14642603155599,329.857901277093,108.41904911743912,347.2188434495716,37.49785172787136
2025-05-22,B75,AIDC01,19.165568147036307,119.94676740663895,24.147857877980424,125.6184764176314,41.28879651526131,132.22997517645413,12.499283575711608
2025-05-22,B75,AIDC02,5.832999001271921,36.50553790636839,10.815288730632153,41.4878277192154,13.63638952970515,43.6713975991741,2.49985671489034
2025-05-22,B75,AIDC03,39.997707437293165,250.32368850081176,44.97999723902952,302.37905966195655,99.38719064981628,318.29374701258587,33.3314229367607
2025-05-22,B75,AIDC04,5.832999001271921,36.50553790636839,10.815288730632153,41.4878277192154,13.63638952970515,43.6713975991741,2.49985671489034
2025-05-22,B75,AIDC05,58.32999001271921,365.0553790636839,63.31228183914377,459.5973610569674,151.06234736157626,483.7866958494394,49.99713639358848
2025-05-22,B75,AIDC06,21.248782076062,132.98445951605626,26.23107180778697,141.78242380236824,46.60162909757176,149.24465663407184,14.582497505518155
2025-05-22,B75,AIDC07,14.999140288984938,93.8713831878044,19.981430019017044,98.85675390531468,32.49264369825545,104.05974095296284,11.665998003275234
2025-05-22,B75,AIDC08,22.915353219282544,143.4146132035901,27.89764295187797,155.90165272847554,51.24239522296486,164.10700287207953,16.249068649609146
2025-05-22,B75,AIDC09,6.666284572882195,41.7206147501353,11.648574302268813,46.702904683035534,15.350502434997274,49.16095229793214,3.333142286527005
2025-05-22,B75,AIDC10,47.91392036759078,299.8669185165974,52.89621040329681,370.268780718892,121.70146286625771,389.75661128304415,41.247636101028
2025-05-22,B75,AIDC11,12.499283574154116,78.22615265650367,17.481573303887302,83.20854898419195,27.34932746610074,87.58794629914942,9.16614128814549
2025-05-22,B75,AIDC12,50.4137770824216,315.51214904789816,55.39606729648904,391.70764000003,128.74807514513415,412.32383157897897,43.74749299422021
2025-05-22,B80,AIDC01,17.915639789620897,112.1241521409886,22.897929520217875,117.25699961014614,38.5405119928192,123.4284206422591,11.249355217949065
