tensor_index,road_edge_id,from_node,to_node
290,RL_19_05_01,TN_19,TN_05
291,RL_19_05_02,TN_19,TN_05
292,RL_19_05_03,TN_19,TN_05
293,RL_19_05_04,TN_19,TN_05
294,RL_19_06_01,TN_19,TN_06
295,RL_19_08_01,TN_19,TN_08
296,RL_19_09_01,TN_19,TN_09
297,RL_19_10_01,TN_19,TN_10
298,RL_19_39_01,TN_19,TN_39
299,RL_19_43_01,TN_19,TN_43
300,RL_20_02_01,TN_20,TN_02
301,RL_20_02_02,TN_20,TN_02
302,RL_20_02_03,TN_20,TN_02
303,RL_20_04_01,TN_20,TN_04
304,RL_20_04_02,TN_20,TN_04
305,RL_20_04_03,TN_20,TN_04
306,RL_20_07_01,TN_20,TN_07
307,RL_20_07_02,TN_20,TN_07
308,RL_20_07_03,TN_20,TN_07
309,RL_20_07_04,TN_20,TN_07
310,RL_20_16_01,TN_20,TN_16
311,RL_20_34_01,TN_20,TN_34
312,RL_20_36_01,TN_20,TN_36
313,RL_20_39_01,TN_20,TN_39
314,RL_21_04_01,TN_21,TN_04
315,RL_21_06_01,TN_21,TN_06
316,RL_21_06_02,TN_21,TN_06
317,RL_21_09_01,TN_21,TN_09
318,RL_21_09_02,TN_21,TN_09
319,RL_21_09_03,TN_21,TN_09
320,RL_21_09_04,TN_21,TN_09
321,RL_21_13_01,TN_21,TN_13
322,RL_21_13_02,TN_21,TN_13
323,RL_21_14_01,TN_21,TN_14
324,RL_21_15_01,TN_21,TN_15
325,RL_21_15_02,TN_21,TN_15
326,RL_21_16_01,TN_21,TN_16
327,RL_21_24_01,TN_21,TN_24
328,RL_21_28_01,TN_21,TN_28
329,RL_21_31_01,TN_21,TN_31
330,RL_21_39_01,TN_21,TN_39
331,RL_21_40_01,TN_21,TN_40
332,RL_21_40_02,TN_21,TN_40
333,RL_21_44_01,TN_21,TN_44
334,RL_22_01_01,TN_22,TN_01
335,RL_22_02_01,TN_22,TN_02
336,RL_22_03_01,TN_22,TN_03
337,RL_22_04_01,TN_22,TN_04
338,RL_22_07_01,TN_22,TN_07
339,RL_22_07_02,TN_22,TN_07
340,RL_22_07_03,TN_22,TN_07
341,RL_22_11_01,TN_22,TN_11
342,RL_22_11_02,TN_22,TN_11
343,RL_22_13_01,TN_22,TN_13
344,RL_22_36_01,TN_22,TN_36
345,RL_22_44_01,TN_22,TN_44
346,RL_23_06_01,TN_23,TN_06
347,RL_23_08_01,TN_23,TN_08
348,RL_23_09_01,TN_23,TN_09
349,RL_23_12_01,TN_23,TN_12
350,RL_23_13_01,TN_23,TN_13
351,RL_23_27_01,TN_23,TN_27
352,RL_23_39_01,TN_23,TN_39
353,RL_23_41_01,TN_23,TN_41
354,RL_24_03_01,TN_24,TN_03
355,RL_24_08_01,TN_24,TN_08
356,RL_24_11_01,TN_24,TN_11
357,RL_24_11_02,TN_24,TN_11
358,RL_24_15_01,TN_24,TN_15
359,RL_24_17_01,TN_24,TN_17
360,RL_24_19_01,TN_24,TN_19
361,RL_24_28_01,TN_24,TN_28
362,RL_24_39_01,TN_24,TN_39
363,RL_24_39_02,TN_24,TN_39
364,RL_25_07_01,TN_25,TN_07
365,RL_25_09_01,TN_25,TN_09
366,RL_25_09_02,TN_25,TN_09
367,RL_25_16_01,TN_25,TN_16
368,RL_25_28_01,TN_25,TN_28
369,RL_25_37_01,TN_25,TN_37
370,RL_25_48_01,TN_25,TN_48
371,RL_26_03_01,TN_26,TN_03
372,RL_26_04_01,TN_26,TN_04
373,RL_26_04_02,TN_26,TN_04
374,RL_26_08_01,TN_26,TN_08
375,RL_26_11_01,TN_26,TN_11
376,RL_26_11_02,TN_26,TN_11
377,RL_26_11_03,TN_26,TN_11
378,RL_26_18_01,TN_26,TN_18
379,RL_26_36_01,TN_26,TN_36
380,RL_27_01_01,TN_27,TN_01
381,RL_27_04_01,TN_27,TN_04
382,RL_27_06_01,TN_27,TN_06
383,RL_27_10_01,TN_27,TN_10
384,RL_27_12_01,TN_27,TN_12
385,RL_27_13_01,TN_27,TN_13
386,RL_27_14_01,TN_27,TN_14
387,RL_27_35_01,TN_27,TN_35
388,RL_28_05_01,TN_28,TN_05
389,RL_28_05_02,TN_28,TN_05
390,RL_28_07_01,TN_28,TN_07
391,RL_28_09_01,TN_28,TN_09
392,RL_28_16_01,TN_28,TN_16
393,RL_28_16_02,TN_28,TN_16
394,RL_28_21_01,TN_28,TN_21
395,RL_28_48_01,TN_28,TN_48
396,RL_29_06_01,TN_29,TN_06
397,RL_29_10_01,TN_29,TN_10
398,RL_29_10_02,TN_29,TN_10
399,RL_29_14_01,TN_29,TN_14
400,RL_29_19_01,TN_29,TN_19
401,RL_30_04_01,TN_30,TN_04
402,RL_30_04_02,TN_30,TN_04
403,RL_30_08_01,TN_30,TN_08
404,RL_30_18_01,TN_30,TN_18
405,RL_30_25_01,TN_30,TN_25
406,RL_30_31_01,TN_30,TN_31
407,RL_30_44_01,TN_30,TN_44
408,RL_31_01_01,TN_31,TN_01
409,RL_31_04_01,TN_31,TN_04
410,RL_31_08_01,TN_31,TN_08
411,RL_31_13_01,TN_31,TN_13
412,RL_31_13_02,TN_31,TN_13
413,RL_31_21_01,TN_31,TN_21
414,RL_31_44_01,TN_31,TN_44
415,RL_32_02_01,TN_32,TN_02
416,RL_32_07_01,TN_32,TN_07
417,RL_32_17_01,TN_32,TN_17
418,RL_33_02_01,TN_33,TN_02
419,RL_33_03_01,TN_33,TN_03
420,RL_34_02_01,TN_34,TN_02
421,RL_34_02_02,TN_34,TN_02
422,RL_34_07_01,TN_34,TN_07
423,RL_35_01_01,TN_35,TN_01
424,RL_35_04_01,TN_35,TN_04
425,RL_35_06_01,TN_35,TN_06
426,RL_35_06_02,TN_35,TN_06
427,RL_35_08_01,TN_35,TN_08
428,RL_35_09_01,TN_35,TN_09
429,RL_35_10_01,TN_35,TN_10
430,RL_35_12_01,TN_35,TN_12
431,RL_35_12_02,TN_35,TN_12
432,RL_35_13_01,TN_35,TN_13
433,RL_35_14_01,TN_35,TN_14
434,RL_35_27_01,TN_35,TN_27
435,RL_35_27_02,TN_35,TN_27
436,RL_35_44_01,TN_35,TN_44
437,RL_35_46_01,TN_35,TN_46
438,RL_36_04_01,TN_36,TN_04
439,RL_36_09_01,TN_36,TN_09
440,RL_36_09_02,TN_36,TN_09
441,RL_36_09_03,TN_36,TN_09
442,RL_36_09_04,TN_36,TN_09
443,RL_36_13_01,TN_36,TN_13
444,RL_36_18_01,TN_36,TN_18
445,RL_36_20_01,TN_36,TN_20
446,RL_37_01_01,TN_37,TN_01
447,RL_37_02_01,TN_37,TN_02
448,RL_37_02_02,TN_37,TN_02
449,RL_37_06_01,TN_37,TN_06
450,RL_37_07_01,TN_37,TN_07
451,RL_37_09_01,TN_37,TN_09
452,RL_37_13_01,TN_37,TN_13
453,RL_37_14_01,TN_37,TN_14
454,RL_37_15_01,TN_37,TN_15
455,RL_38_05_01,TN_38,TN_05
456,RL_38_08_01,TN_38,TN_08
457,RL_39_04_01,TN_39,TN_04
458,RL_39_08_01,TN_39,TN_08
459,RL_39_08_02,TN_39,TN_08
460,RL_39_10_01,TN_39,TN_10
461,RL_39_10_02,TN_39,TN_10
462,RL_39_15_01,TN_39,TN_15
463,RL_39_16_01,TN_39,TN_16
464,RL_39_17_01,TN_39,TN_17
465,RL_39_21_01,TN_39,TN_21
466,RL_39_21_02,TN_39,TN_21
467,RL_39_21_03,TN_39,TN_21
468,RL_39_24_01,TN_39,TN_24
469,RL_39_30_01,TN_39,TN_30
470,RL_39_31_01,TN_39,TN_31
471,RL_39_35_01,TN_39,TN_35
472,RL_39_40_01,TN_39,TN_40
473,RL_39_40_02,TN_39,TN_40
474,RL_40_10_01,TN_40,TN_10
475,RL_40_27_01,TN_40,TN_27
476,RL_40_35_01,TN_40,TN_35
477,RL_40_35_02,TN_40,TN_35
478,RL_41_05_01,TN_41,TN_05
479,RL_41_14_01,TN_41,TN_14
480,RL_41_14_02,TN_41,TN_14
481,RL_41_45_01,TN_41,TN_45
482,RL_42_08_01,TN_42,TN_08
483,RL_42_22_01,TN_42,TN_22
484,RL_43_14_01,TN_43,TN_14
485,RL_43_14_02,TN_43,TN_14
486,RL_43_19_01,TN_43,TN_19
487,RL_43_28_01,TN_43,TN_28
488,RL_44_06_01,TN_44,TN_06
489,RL_44_08_01,TN_44,TN_08
490,RL_44_10_01,TN_44,TN_10
491,RL_44_11_01,TN_44,TN_11
492,RL_44_17_01,TN_44,TN_17
493,RL_44_21_01,TN_44,TN_21
494,RL_44_22_01,TN_44,TN_22
495,RL_44_30_01,TN_44,TN_30
496,RL_44_35_01,TN_44,TN_35
497,RL_44_38_01,TN_44,TN_38
498,RL_45_02_01,TN_45,TN_02
499,RL_45_07_01,TN_45,TN_07
500,RL_45_41_01,TN_45,TN_41
501,RL_46_05_01,TN_46,TN_05
502,RL_46_19_01,TN_46,TN_19
503,RL_46_29_01,TN_46,TN_29
504,RL_47_20_01,TN_47,TN_20
505,RL_47_25_01,TN_47,TN_25
506,RL_48_05_01,TN_48,TN_05
507,RL_48_16_01,TN_48,TN_16
508,RL_48_28_01,TN_48,TN_28
