role,state,candidate,reference,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.07289569069673782,-0.10557932993853857,-0.04010531811646799,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-6435.0,-10945.375,-2798.9500000000003,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,35816.657978372066,32281.540721520018,39332.22967795076,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,38066.675844330864,34307.20146147092,41796.50393368401,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,0.15403438728698737,0.13845791540947147,0.1723800999036885,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-239.4171668327308,-1502.7420680926928,849.8453800384912,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q95,-985.2639935250263,-2275.222229545382,89.7380020756764,1,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,coverage,0.0693892302132273,0.04377786785569515,0.08999271524540517,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,GPU_coverage,0.045497185741088186,0.035959974984365206,0.05707395498392287,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,long_under,-0.07289569069673782,-0.09358879882092852,-0.04684684684684684,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,missed_GPU_slots,-6435.0,-8648.0,-4306.0,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,overreserved_GPUh,35816.657978372066,34516.387589936494,37116.928366807726,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,reserved_GPUh,38066.675844330864,36989.52993469726,39143.82175396447,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,reserve_vs_requested,0.15403438728698737,0.14305404661088317,0.16651210278887252,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q90,-239.4171668327308,-1082.666210000718,850.6239537888596,7,2000,13,2767,0,0
EXPOSED_EVALUATION,RUNNING,R2,R1,pinball_Q95,-985.2639935250263,-1738.0369363429231,-47.51624244231516,7,2000,13,2767,0,0
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0658353744526089,0.054158816280769906,0.0805556316324164,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.05103668261562999,0.03577904080593237,0.06733572762932946,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,long_under,-0.15185185185185185,-0.18898666633103697,-0.11612842009777868,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,-27221.0,-46066.175,-12077.400000000003,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,398795.55014131474,138229.58948937207,722972.3443863314,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,422742.9936804536,149665.90011610137,759484.6718661789,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.1523690540983036,0.07546560829250433,0.2341239537739734,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,-151.92244125194566,-259.11549652141406,-4.925708537336079,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q95,-334.48658106592984,-433.14878700943757,-238.61056342056744,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,coverage,0.0658353744526089,0.04793031318467111,0.08246980919591043,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,GPU_coverage,0.05103668261562999,0.03123332325162365,0.06870940722569359,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,long_under,-0.15185185185185185,-0.19884075205582213,-0.09074669315911012,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,missed_GPU_slots,-27221.0,-41167.25,-13641.375000000004,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,overreserved_GPUh,398795.55014131474,36408.83735294605,976620.9344192013,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,reserved_GPUh,422742.9936804536,45396.712778031244,1024754.4973431947,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,reserve_vs_requested,0.1523690540983036,0.031892987493487,0.22053379589817107,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q90,-151.92244125194566,-291.9244485440416,258.6528825148667,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R1,pinball_Q95,-334.48658106592984,-439.7415072610404,-178.00418393995952,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,coverage,-0.05007545956109749,-0.09421840811278319,0.0010120572592097912,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,-0.04977446404634012,-0.09430611306000411,-0.006842283407113737,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.08798185941043082,0.008906494277533265,0.1883389446508457,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,151190.0,48952.35,271825.39999999985,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,-807041.6753883995,-1284089.2315210854,-388319.7787717467,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,-859990.8853939564,-1359437.7292131756,-413731.2921027276,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,-0.3099661016255383,-0.4146548497220311,-0.19303796956149447,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,749.1912103758505,-507.8480121404004,2279.9065185437753,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q95,1165.1615885361186,-107.72725100067133,2822.3233525009964,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,coverage,-0.05007545956109749,-0.08294659185450376,0.010078367198072792,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,GPU_coverage,-0.04977446404634012,-0.08838855099328596,-0.01025097682645012,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,long_under,0.08798185941043082,0.0015352616275164912,0.22198543656270373,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,missed_GPU_slots,151190.0,58931.950000000004,223487.175,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,overreserved_GPUh,-807041.6753883995,-1590877.453390409,-188451.61695076272,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,reserved_GPUh,-859990.8853939564,-1681366.5602175002,-208631.74457867155,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,reserve_vs_requested,-0.3099661016255383,-0.4241435288189222,-0.16059290586804986,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q90,749.1912103758505,-636.3611387987916,1891.1443381672163,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R1,R0,pinball_Q95,1165.1615885361186,-119.96445756060518,2344.8308148830843,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.015759914891511406,-0.030046808540052525,0.07070579404575167,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0012622185692898746,-0.03422700280121904,0.04106426707702737,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,long_under,-0.06386999244142103,-0.13856903409410806,0.03744849173152447,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,123969.0,29019.225000000002,238783.65,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,-408246.12524708477,-755424.1105338333,-95684.66766871235,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,-437247.8917135028,-800689.3430861166,-103171.845734263,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,-0.1575970475272347,-0.2853770915895672,-0.04084336854848856,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,597.2687691239048,-655.9845999640645,2141.3291478310807,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q95,830.6750074701888,-444.20167082613875,2521.861078890396,1,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,coverage,0.015759914891511406,-0.024127861013597974,0.06774227601766064,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,GPU_coverage,0.0012622185692898746,-0.02665542681136001,0.04223271239055755,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,long_under,-0.06386999244142103,-0.1353454976774283,0.058765332159000615,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,missed_GPU_slots,123969.0,36773.65,198002.425,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,overreserved_GPUh,-408246.12524708477,-726905.4536680175,-115898.09338449189,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,reserved_GPUh,-437247.8917135028,-771296.8292378377,-133961.86835247162,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,reserve_vs_requested,-0.1575970475272347,-0.2745291855651327,-0.07380682393024283,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q90,597.2687691239048,-665.3573255822508,1702.6178384995678,7,2000,29,40419,0,0
MAY_HISTORICAL,PENDING,R2,R0,pinball_Q95,830.6750074701888,-446.98192741668515,1963.1391486951131,7,2000,29,40419,0,0
MAY_HISTORICAL,RUNNING,R2,R1,coverage,0.09274706630849716,0.0537470867205357,0.13780358582797497,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,GPU_coverage,0.0796133449687857,0.044181895299114704,0.1292030587524556,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,long_under,-0.09921910886541113,-0.14895008777684715,-0.05753661130484806,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,missed_GPU_slots,-25775.0,-49645.85,-7799.850000000006,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,overreserved_GPUh,52803.40099925327,41132.295282318075,66196.16133033176,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,reserved_GPUh,73116.83430447464,54154.40436961529,92947.37844227975,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,reserve_vs_requested,0.14274065134503555,0.11222807418023713,0.17411218902542178,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q90,-4614.914342774951,-9933.697532602406,-1067.0146860267496,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q95,-5506.129513071917,-11210.328633082057,-1720.9703386085664,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,coverage,0.09274706630849716,0.03856454349037653,0.16856390880928554,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,GPU_coverage,0.0796133449687857,0.038648021575818495,0.13240596691271392,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,long_under,-0.09921910886541113,-0.18540399744993663,-0.04046110527121293,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,missed_GPU_slots,-25775.0,-53110.15,-5908.975,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,overreserved_GPUh,52803.40099925327,33251.47002714633,73401.55253398992,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,reserved_GPUh,73116.83430447464,47072.53011931288,97606.18385535988,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,reserve_vs_requested,0.14274065134503555,0.10298648276891845,0.17329937613659543,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q90,-4614.914342774951,-10643.43572839606,-116.63805427655618,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R1,pinball_Q95,-5506.129513071917,-12034.982167497665,-609.0187898288888,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,coverage,0.27880672981761623,0.2168851264927049,0.3401697053568127,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,GPU_coverage,0.2517956635564207,0.20269701305675927,0.2998437667187035,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,long_under,-0.2949012402388608,-0.3588168236824003,-0.2318718791673675,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,missed_GPU_slots,-94660.0,-129282.2,-58550.92500000007,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,overreserved_GPUh,143485.59416449047,111452.49161557475,177277.97104532935,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,reserved_GPUh,205153.03333827446,163119.89837673106,244999.9900227768,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,reserve_vs_requested,0.400505271907307,0.3108602338984143,0.49450804387003316,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,pinball_Q90,-17082.82902953169,-26993.685077023674,-8908.147158860796,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,pinball_Q95,-20240.010035483152,-30588.77247447057,-11659.296867521736,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,coverage,0.27880672981761623,0.2311182217283358,0.339049260762814,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,GPU_coverage,0.2517956635564207,0.20854403332412516,0.2903947931805573,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,long_under,-0.2949012402388608,-0.36155884010791256,-0.2444788967685334,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,missed_GPU_slots,-94660.0,-129696.475,-68238.52500000001,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,overreserved_GPUh,143485.59416449047,102328.06612855144,178198.97026638087,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,reserved_GPUh,205153.03333827446,149640.94790019796,259230.93271963004,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,reserve_vs_requested,0.400505271907307,0.2778194916146685,0.4973746467040677,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,pinball_Q90,-17082.82902953169,-40747.44570330175,-2689.981908682529,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R1,R0,pinball_Q95,-20240.010035483152,-45886.2995774769,-4812.242170994708,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,coverage,0.3715537961261134,0.3145506434205064,0.43059967808352445,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,GPU_coverage,0.3314090085252064,0.2833524731785416,0.3860396952831864,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,long_under,-0.39412034910427196,-0.45955384934948185,-0.33390952371711524,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,missed_GPU_slots,-120435.0,-161336.4,-90017.80000000002,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,overreserved_GPUh,196288.99516374373,163318.5655327004,228634.74715426323,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,reserved_GPUh,278269.8676427491,236445.41547872842,319882.5685600097,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,reserve_vs_requested,0.5432459232523426,0.4580072430190936,0.6327562044979038,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,pinball_Q90,-21697.743372306642,-34127.1106685588,-11541.09190146318,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,pinball_Q95,-25746.13954855507,-38920.9952901598,-15152.969468864696,1,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,coverage,0.3715537961261134,0.3208523029437312,0.46141848410243946,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,GPU_coverage,0.3314090085252064,0.287921989988277,0.37868788642830503,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,long_under,-0.39412034910427196,-0.49844924628171233,-0.33910906399838303,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,missed_GPU_slots,-120435.0,-174662.8,-79744.7,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,overreserved_GPUh,196288.99516374373,164607.83208841633,233191.52461730698,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,reserved_GPUh,278269.8676427491,222152.00886091808,343319.99397270207,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,reserve_vs_requested,0.5432459232523426,0.4306936041814369,0.6460141405382752,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,pinball_Q90,-21697.743372306642,-50072.135721800776,-3142.0706576160806,7,2000,31,7073,0,0
MAY_HISTORICAL,RUNNING,R2,R0,pinball_Q95,-25746.13954855507,-56447.83586030596,-5714.892692043576,7,2000,31,7073,0,0
