role,model,reference,effect,state,metric,delta,CI95_low,CI95_high,block_days,draws,N_days,N_pairs,candidate_unmatched,reference_unmatched
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,missed_GPU_slots,-33904.0,-42029.0,-25779.0,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,ALL,overreserved_GPUh,76908.46207729014,36976.91452586756,118853.68857458606,7,2000,13,2713,6506,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,Q90_pinball,106.91482373885536,-2260.707569195269,1784.353711458153,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,coverage,0.612237375598968,0.3664241535952239,0.8447460579163978,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,GPU_coverage,0.5636428827536751,0.31001445374712006,0.8063331954441297,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,missed_GPU_slots,-33904.0,-54776.15,-15495.600000000008,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,overreserved_GPUh,76908.46207729014,34741.926882462154,137782.46473001505,1,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,Q90_pinball,106.91482373885536,-2245.001301295793,1309.1061321924726,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,coverage,0.612237375598968,0.3374233128834356,0.862243058059863,7,2000,13,2713,3739,0
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,PR31_FROZEN_MOE,vs_frozen_production,PENDING,GPU_coverage,0.5636428827536751,0.29253194888178913,0.8057307622995135,7,2000,13,2713,3739,0
