role,model,stratum,value,major,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
EXPOSED_EVALUATION,MULTI_QUANTILE,elapsed,>8h,True,1331,0,0.8850488354620586,0.919925013390466,13700.454699924718,113616.89129483442,0.1149511645379414,4106.0,155034.10809581482,35560.17694444444,301873.63943012984
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,hardware,H100,True,9158,0,0.9048918977942783,0.8618101545253863,9147.534949156088,55463.89679407902,0.14351623002142033,21132.0,284514.0894105021,231322.305,641118.3103652502
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,hardware,OTHER,False,61,0,0.639344262295082,0.5944700460829493,8773.108475134974,33758.95627640385,0.36666666666666664,224.0,1578.3614939778245,471.12694444444446,6189.147072176199
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,standby_state,regular_PENDING,True,1163,0,0.823731728288908,0.811636201515827,13639.894076122433,52494.84106622737,0.3919694072657744,2948.0,44559.73050711192,50167.11777777778,180553.92250975422
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,standby_state,regular_RUNNING,True,1667,0,0.785242951409718,0.7764407853071564,21032.967233107665,84773.63419222947,0.23661599471249173,16317.0,117149.19222135717,49149.20777777778,263473.7615088593
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,standby_state,standby_PENDING,True,5289,0,0.9616184533938362,0.9381623071763917,5624.110756369892,52587.81429868361,0.06500160102465578,1448.0,111308.40033773966,121271.1875,175176.40961740288
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,standby_state,standby_RUNNING,True,1100,0,0.8845454545454545,0.8631705846895721,3306.5542752667798,26810.5136262089,0.1309278350515464,643.0,13075.127838271199,11205.91888888889,28103.363801410072
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,wall_bucket,1-6h,True,493,0,0.8154158215010142,0.7704918032786885,2276.889289181674,12683.913062018642,0.23037974683544304,1436.0,2388.2958247236197,907.8411111111111,5484.727001384004
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,wall_bucket,24-72h,True,4119,0,0.8963340616654528,0.817258064516129,7857.492512898819,50654.284075893826,0.14027595269382392,16343.0,78873.59571498814,141040.1675,171437.93411818764
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,wall_bucket,6-24h,True,3873,0,0.9700490575781048,0.980270737327189,4895.151172175262,47749.073690655925,0.05858585858585859,721.0,95989.86317991825,51342.438055555554,123297.64509665171
