model,role,issue_time,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh
MOE_POOLED,CALIBRATION,2025-04-03 08:00:00+00:00,999,0,0.8708708708708709,0.832226916113458,11628.510911400635,42552.02372017136,0.22831858407079647,8109.0,15372.69120610502,49058.060277777775,32138.499631810188
MOE_POOLED,CALIBRATION,2025-04-04 08:00:00+00:00,555,0,0.8792792792792793,0.8316151202749141,17605.66119200011,47979.03588537268,0.23508771929824562,2718.0,9712.41893500434,32512.698888888888,21979.00756374783
MOE_POOLED,CALIBRATION,2025-04-05 08:00:00+00:00,499,0,0.8777555110220441,0.8083889418493804,19067.975033359107,48041.98890448285,0.3065326633165829,4311.0,8143.63323946317,22919.916944444445,18919.814996190602
MOE_POOLED,CALIBRATION,2025-04-06 08:00:00+00:00,1218,0,0.9285714285714286,0.9379411764705883,9654.381867182941,40763.34816433761,0.28903654485049834,7794.0,32715.757566479577,28608.511388888888,42091.48763158375
MOE_POOLED,CALIBRATION,2025-04-07 08:00:00+00:00,499,0,0.9258517034068137,0.9552941176470588,11205.547424879058,29662.137512818605,0.11384615384615385,4849.0,21266.388362901474,23221.7775,30287.343208821614
MULTI_QUANTILE,DEVELOPMENT,2025-03-22 08:00:00+00:00,1202,0,0.8569051580698835,0.9027160493827161,5129.848647144259,31178.426768401485,0.288107202680067,3476.0,16423.479366616204,70137.45888888888,31122.244801840847
MULTI_QUANTILE,DEVELOPMENT,2025-03-23 08:00:00+00:00,590,0,0.7813559322033898,0.7149672033392963,7957.303864993278,38002.94451409596,0.4217687074829932,9984.0,11370.62637694458,31070.41888888889,21429.883826154106
MULTI_QUANTILE,DEVELOPMENT,2025-03-24 08:00:00+00:00,1129,0,0.8972542072630647,0.9183574879227053,3053.0503314182542,24137.90749387151,0.28019323671497587,1401.0,17004.169321549103,76825.83944444444,25687.65432772287
MULTI_QUANTILE,DEVELOPMENT,2025-03-25 08:00:00+00:00,604,0,0.5281456953642384,0.6291718170580964,9445.121575406092,31438.441233067435,0.4847161572052402,3988.0,7390.423870480363,21533.57,19872.432888736155
MULTI_QUANTILE,DEVELOPMENT,2025-03-26 08:00:00+00:00,840,0,0.9214285714285714,0.9230769230769231,3295.2538812149514,27335.063939241583,0.09041095890410959,333.0,11832.198088022114,14408.444444444445,28720.518949763922
MULTI_QUANTILE,DEVELOPMENT,2025-03-27 08:00:00+00:00,607,1,0.9324546952224053,0.9487485101311085,2933.74025198401,26203.32012275276,0.08385744234800839,120.0,12495.642716905799,16567.569722222222,27871.12457702938
MULTI_QUANTILE,DEVELOPMENT,2025-03-28 08:00:00+00:00,577,1,0.9376083188908145,0.9430051813471503,2414.3341259845206,22161.058138873428,0.07586206896551724,95.0,10571.120305854518,16341.030555555555,25339.65673595388
MULTI_QUANTILE,DEVELOPMENT,2025-03-29 08:00:00+00:00,1050,0,0.9380952380952381,0.8732289336316182,2783.9846486081674,25239.80773403433,0.12427184466019417,448.0,10519.307742256684,36349.87666666666,24429.610258839595
MULTI_QUANTILE,DEVELOPMENT,2025-03-30 08:00:00+00:00,285,0,0.9754385964912281,0.9435825105782792,4615.221031936575,45425.606367001725,0.03139013452914798,36.0,12018.395508107431,17849.686388888887,20460.255436833013
MULTI_QUANTILE,CALIBRATION,2025-04-02 08:00:00+00:00,423,0,0.8274231678486997,0.8408091468777484,7419.838492939108,39011.94934720015,0.27169811320754716,1680.0,16210.124269310223,32261.455,31766.01227140357
MULTI_QUANTILE,CALIBRATION,2025-04-03 08:00:00+00:00,999,0,0.8558558558558559,0.884127942063971,6095.610952664741,31991.825823094667,0.21238938053097345,4119.0,22523.86827697699,49058.060277777775,47074.39235477851
MULTI_QUANTILE,CALIBRATION,2025-04-04 08:00:00+00:00,555,0,0.8828828828828829,0.8943298969072165,5259.697571440353,37813.30819606524,0.22807017543859648,1323.0,17467.36878537286,32512.698888888888,39138.88838142519
MULTI_QUANTILE,CALIBRATION,2025-04-05 08:00:00+00:00,499,0,0.7955911823647295,0.8798856053384175,7490.163353687366,40997.481406038954,0.22613065326633167,733.0,15078.75135450607,22919.916944444445,34235.51360958665
MULTI_QUANTILE,CALIBRATION,2025-04-06 08:00:00+00:00,1218,0,0.6067323481116584,0.855,4589.139801404991,29468.478137553924,0.2691029900332226,2337.0,25414.668726111886,28608.511388888888,42243.815908877536
MULTI_QUANTILE,CALIBRATION,2025-04-07 08:00:00+00:00,499,0,0.5571142284569138,0.9023529411764706,9010.223726110811,48083.49886286283,0.68,2897.0,24364.566217527004,23221.7775,38078.393555297116
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-22 08:00:00+00:00,1202,0,0.7703826955074875,0.7590123456790123,4920.399814332593,22945.48900618989,0.4154103852596315,5337.0,10513.558983199058,70137.45888888888,24408.097393871485
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-23 08:00:00+00:00,590,0,0.6186440677966102,0.5778175313059034,8939.702957327534,37003.58166792484,0.46938775510204084,12554.0,10151.096785311194,31070.41888888889,19489.647204251865
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-24 08:00:00+00:00,1129,0,0.9185119574844995,0.9101449275362319,2527.442883833286,18101.633664823356,0.10144927536231885,2257.0,12439.375875897962,76825.83944444444,20907.817098687017
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-25 08:00:00+00:00,604,0,0.5347682119205298,0.61557478368356,9179.014828372627,33990.555017628205,0.4759825327510917,3927.0,8011.460056206013,21533.57,20514.271302279038
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-26 08:00:00+00:00,840,0,0.9761904761904762,0.9542124542124543,4455.471621122576,38182.75647096031,0.0273972602739726,1371.0,13946.9203544833,14408.444444444445,30531.53044230428
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-27 08:00:00+00:00,607,1,0.9901153212520593,0.9845053635280095,4147.3909284940055,39700.88003030638,0.012578616352201259,12.0,15214.950056807947,16567.569722222222,30615.625186502122
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-28 08:00:00+00:00,577,1,0.9965337954939342,0.9961139896373057,3782.0939014422806,36882.68164863742,0.004597701149425287,0.0,13648.555389694759,16341.030555555555,28436.130800532243
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-29 08:00:00+00:00,1050,0,0.9523809523809523,0.883668903803132,4314.276713044754,38167.38786005747,0.0970873786407767,167.0,14679.988896154533,36349.87666666666,28152.742577585173
MULTI_QUANTILE_HIERARCHICAL,DEVELOPMENT,2025-03-30 08:00:00+00:00,285,0,0.8736842105263158,0.8815232722143864,5162.956372626604,43911.81117479431,0.06726457399103139,546.0,11288.955095014819,17849.686388888887,19603.517841207235
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-02 08:00:00+00:00,423,0,0.7919621749408984,0.8126649076517151,7671.769544643841,36934.58897608695,0.3320754716981132,2366.0,16216.972378249226,32261.455,31568.713561881057
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-03 08:00:00+00:00,999,0,0.9039039039039038,0.9076644538322269,6664.256218733207,36792.443763200004,0.15575221238938053,4646.0,23235.06194890602,49058.060277777775,47649.55010442761
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-04 08:00:00+00:00,555,0,0.8900900900900901,0.8831615120274914,5249.649926114077,34340.04747094781,0.21403508771929824,1926.0,16106.866229392152,32512.698888888888,37547.07939970066
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-05 08:00:00+00:00,499,0,0.935871743486974,0.9418493803622497,7737.577366528884,41991.69100711531,0.16080402010050251,1117.0,14955.47508568794,22919.916944444445,33947.43926785472
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-06 08:00:00+00:00,1218,0,0.958128078817734,0.9738235294117648,4272.413340978388,33039.047186617594,0.16611295681063123,1330.0,32082.323076407883,28608.511388888888,49038.09409920532
MULTI_QUANTILE_HIERARCHICAL,CALIBRATION,2025-04-07 08:00:00+00:00,499,0,0.7995991983967936,0.9474509803921569,5420.072342638244,42390.867890012974,0.3076923076923077,892.0,24509.41024195354,23221.7775,38682.375891939875
