role,model,state,quantile,N,coverage,GPU_coverage,pinball_seconds,MAE_seconds,RMSE_seconds,predicted_GPUh,overreserved_GPUh
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.9,2767,0.8247199132634623,0.7989368355222014,13985.965334435825,61730.832377042396,111609.1668998986,291577.1253102693,130224.32005962836
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.95,2767,0.882544271774485,0.8564727954971857,7706.504443971089,67477.56903792868,123450.44057463926,333612.02702068666,159522.93689075642
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.99,2767,0.9494036863028551,0.9316760475297061,2749.0561248060008,85233.26747895352,144643.19976947177,386563.0722238683,204986.9028778116
MAY_HISTORICAL,MOE_POOLED,PENDING,0.5,40419,0.701526509809743,0.7137405700531306,5470.489797529047,10940.979595058094,23736.213274176072,602016.3076034944,292114.1927151765
MAY_HISTORICAL,MOE_POOLED,PENDING,0.9,40419,0.9581632400603677,0.9541002534221779,5562.006446016949,34240.96684581159,37115.73272103157,1516945.898737392,1099204.3478477749
MAY_HISTORICAL,MOE_POOLED,PENDING,0.95,40419,0.9596971721220218,0.9596090057827222,4429.499859269637,58506.39663146773,60007.09323270544,2272067.260930466,1821627.814537138
MAY_HISTORICAL,MOE_POOLED,PENDING,0.99,40419,0.9683564660184567,0.9760765550239234,1396.6900433625738,90474.46730471234,92790.42320179348,3286043.417851975,2801911.2200573236
MAY_HISTORICAL,MOE_POOLED,RUNNING,0.5,7073,0.19864272585890005,0.24850641068671545,32664.5161656612,65329.0323313224,148109.55100519888,133080.7870700243,19269.468971820406
MAY_HISTORICAL,MOE_POOLED,RUNNING,0.9,7073,0.6342428955181677,0.6391219708666175,41986.681616569054,62247.86423857776,138200.7481181277,267201.73683398776,86767.67089350382
MAY_HISTORICAL,MOE_POOLED,RUNNING,0.95,7073,0.7549837409868514,0.7817681412364905,36769.055011022785,73494.99259429677,135220.38065055653,380574.74029545096,169357.08910851268
MAY_HISTORICAL,MOE_POOLED,RUNNING,0.99,7073,0.8195956454121306,0.8362757602201786,29460.226545406058,93465.46492417523,139030.36445046164,532006.0534044986,291987.6175787311
MAY_HISTORICAL,MULTI_QUANTILE,PENDING,0.5,40419,0.4974888047700339,0.5277052083639103,5265.657469524956,10531.314939049911,24185.1578833631,428561.66123744193,155205.4984220104
MAY_HISTORICAL,MULTI_QUANTILE,PENDING,0.9,40419,0.8621440411687573,0.8872222385299556,3576.948853839603,18839.50087354675,35774.753732594996,1338883.0430929367,913441.1510067638
MAY_HISTORICAL,MULTI_QUANTILE,PENDING,0.95,40419,0.9279794156213662,0.9382589211455856,2512.1120749069537,21456.68222806662,42199.89096774616,1761626.0367733908,1312236.701148079
MAY_HISTORICAL,MULTI_QUANTILE,PENDING,0.99,40419,0.9898809965610232,0.9839042670815354,410.2373452916762,29314.29836069512,51038.35935723869,2224541.552260539,1741648.9590574745
MAY_HISTORICAL,MULTI_QUANTILE,RUNNING,0.5,7073,0.5243885197228899,0.5448076793985366,28198.640078051463,56397.28015610293,112229.82886029083,403851.1200134924,171799.17671020728
MAY_HISTORICAL,MULTI_QUANTILE,RUNNING,0.9,7073,0.8194542626890994,0.8153319460294018,15114.684675853256,68857.57598334705,119566.71772186634,554706.1214997787,280850.4447606413
MAY_HISTORICAL,MULTI_QUANTILE,RUNNING,0.95,7073,0.9122013289975965,0.8949452909981875,7194.292248303804,73887.19002254869,129063.43076522247,627822.9558042532,333653.8457598946
MAY_HISTORICAL,MULTI_QUANTILE,RUNNING,0.99,7073,0.9659267637494698,0.9620729005840102,2245.6337940694743,93382.65525566202,144266.67475011337,735711.4837615122,427631.9862788294
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.5,40419,0.5137930181350355,0.5668535532920421,5365.234636926632,10730.469273853265,24341.24203908451,434407.16266797157,159648.10789820738
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.9,40419,0.9142235087458869,0.9268206769014001,3779.4628443383053,22426.881703873045,40289.20616299978,1483656.7889453957,1050071.7008032992
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.95,40419,0.9614537717410129,0.9617714112386376,2548.844473437979,27558.283473628264,50828.97090951677,1967477.757588856,1509042.900203225
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PENDING,0.99,40419,0.9959919839679359,0.9894325887222238,445.9025972232909,38456.04447160104,62865.80624662969,2514140.1053766673,2024734.7521223729
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.5,7073,0.4593524671285169,0.43257031617104114,28087.719314022008,56175.438628044016,118788.0751874142,237691.4979893041,75821.4756671929
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.9,7073,0.8212922380885056,0.7937839833523528,17813.08026453,67453.49866806049,108576.11646630192,497114.65158515057,238394.25189570425
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.95,7073,0.8982044394175032,0.8744713700745117,8965.908836459465,69727.02252364345,113533.02683047108,577456.8106349834,292066.3809080026
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,RUNNING,0.99,7073,0.9290258730383147,0.9148821910451769,3834.8251723414987,83191.36681294368,131101.1768065286,683363.5925982526,380680.368551647
