role,model,reference,effect,state,missed_slots_reduction,N,unresolved_N,Q90_coverage,GPU_coverage,pinball,MAE_seconds,long_under,missed_GPU_slots,overreserved_GPUh,requested_overreserved_GPUh,Q90_sum_GPUh,reference_missed_GPU_slots,reference_pinball
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,PENDING,0.008815672306322297,6452,0,0.8860818350898946,0.8559584624403316,5344.083450990007,29142.24450139564,0.19144267690619857,11131.0,81702.48752382105,171438.30527777778,278501.38930905005,11230.0,8714.182415984065
EXPOSED_EVALUATION,MULTI_QUANTILE,MOE_POOLED,architecture_same_policy,RUNNING,0.8491886676607315,2767,0,0.8384531984098301,0.8858661663539712,8597.99070936692,64760.52484374127,0.15827627869512687,8597.0,169741.42404667707,60355.12666666666,352907.24648226576,57005.0,17254.7482143875
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,ALL,-0.08252230332522292,9219,0,0.9031348302418918,0.8586464525276762,9145.057455402395,55320.28020100188,0.1457007668461413,21356.0,286092.45090447995,231793.43194444446,647307.4574374266,19728.0,6320.714472134265
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,PENDING,0.6050669301949511,6452,0,0.9367637941723497,0.8906289255506239,7068.98924379584,52571.05548446374,0.11190345584201865,4396.0,155868.13084485158,171438.30527777778,355730.3321271571,11131.0,5344.083450990007
EXPOSED_EVALUATION,MULTI_QUANTILE_HIERARCHICAL,MULTI_QUANTILE,hierarchical_calibration,RUNNING,-0.9727812027451437,2767,0,0.8247199132634623,0.7989368355222014,13985.965334435827,61730.832377042396,0.19532823197744664,16960.0,130224.32005962836,60355.12666666666,291577.1253102693,8597.0,8597.99070936692
MAY_HISTORICAL,MOE_POOLED,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,ALL,-1.2299918975854807,47492,0,0.9099216710182768,0.9140292746246733,10986.745928062663,38412.04376948369,0.2164870198876575,344032.0,1185972.0187412787,2474000.1425,1784147.6355713797,154275.0,7201.805580505122
MAY_HISTORICAL,MOE_POOLED,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,PENDING,-7.927185863120934,40419,0,0.9581632400603677,0.9541002534221779,5562.006446016949,34240.96684581159,0.12781557067271354,155092.0,1099204.3478477749,2273332.5769444443,1516945.898737392,17373.0,2827.757643463754
MAY_HISTORICAL,MOE_POOLED,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,RUNNING,-0.38011132050663976,7073,0,0.6342428955181677,0.6391219708666175,41986.681616569054,62247.86423857776,0.3961108559179299,188940.0,86767.67089350382,200667.56555555554,267201.73683398776,136902.0,32197.51370538495
MAY_HISTORICAL,MULTI_QUANTILE,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,ALL,-0.36642359423108095,47492,0,0.8557862376821359,0.8780764829459086,5295.267843755854,26288.71011408448,0.2739233844441071,210805.0,1194291.5957674051,2474000.1425,1893589.1645927154,154275.0,7201.805580505122
MAY_HISTORICAL,MULTI_QUANTILE,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,PENDING,-8.702584470154838,40419,0,0.8621440411687573,0.8872222385299556,3576.948853839604,18839.50087354675,0.31398337112622826,168563.0,913441.1510067638,2273332.5769444443,1338883.0430929367,17373.0,2827.757643463754
MAY_HISTORICAL,MULTI_QUANTILE,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,RUNNING,0.6914435143387241,7073,0,0.8194542626890994,0.8153319460294018,15114.684675853257,68857.57598334705,0.19277292910733426,42242.0,280850.4447606413,200667.56555555554,554706.1214997787,136902.0,32197.51370538495
MAY_HISTORICAL,MULTI_QUANTILE_HIERARCHICAL,PR42_FROZEN_LGBM_NAIVE_REMAINING,vs_frozen_production,ALL,-0.2873958839734241,47492,0,0.9003832224374632,0.9098959845599413,5869.494344654481,29132.711354923704,0.19300642680026314,198613.0,1288465.9526990035,2474000.1425,1980771.4405305465,154275.0,7201.805580505122
