fold_id,model,threshold,prevalence,AUPRC,normalized_AP_skill,AUROC,Brier,Brier_skill,log_loss,calibration_slope,calibration_intercept,ECE,recall_at_precision_0_30,precision_at_recall_0_60,training_only_decision_threshold,confusion_matrix
1,H2,P80,0.23333333333333334,0.4556559954157208,0.28998608097702716,0.6211180124223603,0.2105315098580332,-0.17688421659770115,0.6122788301941001,2.0894599822513826,-0.6070366672559134,0.23422696997055978,1.0,0.30434782608695654,0.3895062805131729,"[7, 16, 0, 7]"
1,H4,P80,0.23333333333333334,0.40539894887720973,0.22443341157896923,0.5527950310559007,0.1942362122928087,-0.08579249107781273,0.5790234378079021,170.84314583998795,98.93431362756047,0.12416653778905176,0.5714285714285714,0.2692307692307692,0.3574297729318916,"[14, 9, 3, 4]"
1,H3,P80,0.23333333333333334,0.3394442392341552,0.13840552943585457,0.6677018633540373,0.18989851834858745,-0.06154451250763171,0.5515615434758183,0.44421020584994986,-0.6600962551371572,0.16115111842395033,1.0,0.35714285714285715,0.1066372142144517,"[7, 16, 0, 7]"
1,H5,P80,0.23333333333333334,0.36415181457198265,0.17063280161562955,0.6149068322981366,0.1943058604583331,-0.08618182864906698,0.5791749451602132,0.5191887202076576,-0.8853817376336783,0.18112855451267312,0.8571428571428571,0.3,0.3574093839544839,"[9, 14, 1, 6]"
1,H0,P90,0.2,0.2,0.0,0.5,0.16844411979547108,-0.052775748721693994,0.536452991247062,0.5364704099494337,-0.2542257463437372,0.09189189189189197,0.0,0.2,0.5,"[24, 0, 6, 0]"
1,H1,P90,0.2,0.35823693850009636,0.19779617312512043,0.6597222222222222,0.16943497194640794,-0.058968574665049456,0.5399963470930894,0.8463614863227611,0.5073067690982604,0.12716209800992606,0.6666666666666666,0.3076923076923077,0.09743858892836761,"[15, 9, 2, 4]"
1,H2,P90,0.2,0.24396825396825395,0.05496031746031742,0.5208333333333334,0.17304205248078178,-0.0815128280048858,0.5614605294767697,0.10486940108939863,-1.1678381738364645,0.11536889649273765,0.3333333333333333,0.24,0.22368932297379707,"[20, 4, 4, 2]"
1,H4,P90,0.2,0.3241411094352271,0.15517638679403387,0.4236111111111111,0.16291237173911635,-0.018202323369477025,0.5084985879328257,0.690912800552842,-0.6411413202601017,0.11787397986760717,0.16666666666666666,0.2222222222222222,0.25504649539576996,"[22, 2, 5, 1]"
1,H3,P90,0.2,0.2801767676767677,0.1002209595959596,0.6597222222222222,0.18015625682955572,-0.1259766051847231,0.535098978717516,0.40088337764627163,-0.5383361254427056,0.16267973867039068,1.0,0.375,0.054163931153500364,"[10, 14, 0, 6]"
1,H5,P90,0.2,0.21877610693400168,0.023470133667502086,0.4375,0.16296516712847095,-0.01853229455294314,0.5086378771883592,-208.72866234437572,-226.93737960318217,0.2190069303965497,0.16666666666666666,0.25,0.2540145784424843,"[22, 2, 5, 1]"
1,H0,P95,0.16666666666666666,0.16666666666666666,0.0,0.5,0.15157048940832724,-0.0913075237399561,0.5326033313097221,0.50113738868153,-0.1750881541628997,0.11261261261261263,0.0,0.16666666666666666,0.5,"[25, 0, 5, 0]"
1,H1,P95,0.16666666666666666,0.19685127674258107,0.0362215320910973,0.52,0.15571837763375954,-0.12117231896306868,0.5805410738406362,0.3995619413325983,-0.3045565583260866,0.13989870401109722,0.0,0.21739130434782608,0.5,"[25, 0, 5, 0]"
