fold_id,date,actual_GPU_h,selected_method,raw_mean_GPU_h,reconciled_mean_GPU_h,Q05_GPU_h,Q10_GPU_h,Q25_GPU_h,Q50_GPU_h,Q60_GPU_h,Q70_GPU_h,Q80_GPU_h,Q90_GPU_h,Q95_GPU_h,raw_crossing_count,mean_reconciliation_error_GPU_h
1,2024-11-15,526.8247222222224,BR-B,2081.980295633159,2367.299721850479,25.297916476212553,48.2480635697909,597.911775668689,1633.8589399010955,2326.5639915046377,3092.0343536483006,4791.405856280404,6227.129879986801,6227.129879986801,1,0.0
1,2024-11-16,1534.3700000000001,BR-B,2715.2081607738683,2136.4402974436666,0.0,1.0534992394799056,54.17396198599236,580.2635877034431,1199.2265703912028,1986.1167731131109,5169.627093273121,7184.390426376493,8661.702688245827,0,0.0
1,2024-11-17,1444.986666666667,BR-B,1608.920399582591,2894.5498772821375,0.06326011612070695,9.541662558567822,478.7395684422047,2078.508478560985,2266.6925039836087,3030.0401121700534,4621.245994420972,8336.843638704207,10893.90580160906,0,0.0
1,2024-11-18,2208.776944444445,BR-B,665.7406092274347,1812.3848972459332,0.3057357496812073,7.691300055467253,9.489507916467815,515.7644563425057,873.223524783201,1476.8293379309875,2951.787199914666,7156.888857693682,8699.806467013559,0,0.0
1,2024-11-19,66.29583333333333,BR-B,600.4071147863644,1533.2155470915668,0.0,0.7550390314547094,1.626333006337287,177.82703495910954,210.24272270718325,331.8371838352405,3091.6124303759,6534.276172200794,8643.401318165574,0,0.0
1,2024-11-20,2.4311111111111114,BR-B,4268.23643776869,2453.717875478378,0.4169045514699032,7.857695152997171,87.1338592272149,948.774254282906,1322.2207297223642,2486.426490998899,6402.8499923116515,7933.662208624535,8710.189131021803,0,0.0
1,2024-11-21,3559.4005555555555,BR-B,1452.4420039619029,2173.539680024653,0.8036040859360122,7.124083033402025,86.75013086675989,436.8610764903093,718.5087783864715,1862.572312995055,6040.026757428309,7570.956044155888,8653.783982173818,0,0.0
1,2024-11-22,2161.7783333333336,BR-B,2176.7885648433557,2528.9519564976144,104.02744868970504,118.06877106907774,562.1973478594266,1047.9237816294544,1047.9237816294544,2712.742185931442,6013.82479506929,7748.587193336842,8732.3169815821,1,0.0
1,2024-11-23,8080.208055555557,BR-B,3278.663849451369,2991.5734325060284,0.0,1.320037905321137,322.6271818516628,1967.643378693834,2425.2810228532835,3401.032078778967,6193.967031694727,8896.549054495092,9510.789448718846,0,0.0
1,2024-11-24,1132.5663888888892,BR-B,1896.6527026269207,2287.3246405983487,101.40080640673244,133.27658297667534,876.1301451779474,2070.1795987680803,2375.961977219596,3686.859153993345,3686.859153993345,4165.557143106818,5886.661983287101,1,0.0
1,2024-11-25,1913.0413888888888,BR-B,399.80011702452305,878.3801081703414,1.942178610212704e-22,1.942178610212704e-22,31.47117642330802,532.4403419216356,589.7054759539673,990.1177277410821,1666.767053847031,2123.5477130960376,3933.1161175064353,0,0.0
