day,case,slot,GRID_SAFETY_BLOCKED_nodeh,active_line_current_constraint,active_phase,active_voltage_constraint,active_transformer_constraint,active_rack_constraint_count,active_no_regret_constraint,no_regret_slack_pu,no_regret_dual_nodeh_per_pu,minimum_rack_slack_nodeh,minimum_service_slack_nodeh,voltage_slack,transformer_slack,lexicographic_phase_service_became_blocked,no_regret_margin_blocked_nodeh,physical_planning_current_blocked_nodeh,voltage_blocked_nodeh,transformer_blocked_nodeh,rack_blocked_nodeh,multiple_constraint_blocked_nodeh
2025-04-04,B1,48,0.414355468321033,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-464.2255777060712,0.01672421780062712,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.0038174328065917265,0.41053803551444124,0.0,0.0,0.0,0.0
2025-04-04,B1,49,0.8186162827738608,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-507.51409869610535,0.016607119609952953,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.013860403385268255,0.8047558793885925,0.0,0.0,0.0,0.0
2025-04-04,B1,50,0.9846781683458361,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,3,True,0.0,-464.01670816935336,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.05095278051207175,0.9337253878337644,0.0,0.0,4.440892098500626e-16,0.0
2025-04-04,B1,51,0.5138371032248883,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-464.18595214581296,0.01655411442433602,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.014092139943871734,0.49974496328101653,0.0,0.0,0.0,0.0
2025-04-04,B1,52,2.072530347704052,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,2,True,0.0,-464.03486947250576,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.03265141819374284,2.0398789295103095,0.0,0.0,4.440892098500626e-16,0.0
2025-04-04,B1,53,1.550713988380056,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,4,True,0.0,-453.40624283197053,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.05780446397946615,1.4929095244005899,0.0,0.0,0.0,0.0
2025-04-04,B1,54,0.09440750467174297,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,19,True,0.0,-452.3566647588763,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.09440750467174341,0.0,0.0,0.0,4.440892098500626e-16,0.0
2025-04-04,B1,55,1.7176856508840475,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,3,True,0.0,-463.9857322596251,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.04442165165153683,1.6732639992325105,0.0,0.0,4.440892098500626e-16,0.0
2025-04-04,B1,58,0.8148610958833125,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,2,True,0.0,-463.7885156627288,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.04656657388976687,0.7682945219935456,0.0,0.0,0.0,0.0
2025-04-04,B1,59,1.384160923467206,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,0,True,0.0,-463.7784225552821,0.019933465442036558,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.007536772091237251,1.376624151375969,0.0,0.0,0.0,0.0
2025-04-04,B1,60,1.45770216198835,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,1,True,0.0,-463.7436435804927,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.02274115005902172,1.4349610119293281,0.0,0.0,0.0,0.0
2025-04-04,B1,61,0.737329067794358,CONSERVATIVE_TOP5_PERCENT_BRANCH_ENVELOPE,ENVELOPE_MULTIPLE_PHASES,False,False,2,True,0.0,-463.5972689866124,0.0,0.0,NOT_MODELED_IN_V30_STAGE2,NOT_MODELED_IN_V30_STAGE2,PRIORITY_1_MAX_SERVICE,0.041318698070994864,0.6960103697233633,0.0,0.0,0.0,0.0
