day,rho_AIDC,candidate_max_abs_current_error_pu,anchor_max_abs_current_error_bound_pu,one_sided_candidate_minus_anchor_error_bound_pu,formula,April_rows_used,candidate_object,anchor_object,candidate_anchor_errors_treated_independently,candidate_anchor_correlation_or_cancellation_used
2025-02-27,1.0,0.00021775612725830062,0.00021775612725830062,0.00043551225451660125,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-02-28,1.0,0.00019445801441336785,0.00019445801441336785,0.0003889160288267357,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-01,1.0,0.00026438146271509644,0.00026438146271509644,0.0005287629254301929,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-02,1.0,0.00020802163477716407,0.00020802163477716407,0.00041604326955432813,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-03,1.0,0.0002959093214278119,0.0002959093214278119,0.0005918186428556238,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-04,1.0,0.00024975284224348915,0.00024975284224348915,0.0004995056844869783,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-05,1.0,0.000200378348396979,0.000200378348396979,0.000400756696793958,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-06,1.0,0.00020838933285630135,0.00020838933285630135,0.0004167786657126027,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-07,1.0,0.0002282916338464669,0.0002282916338464669,0.0004565832676929338,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-08,1.0,0.00019934372789837118,0.00019934372789837118,0.00039868745579674236,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-09,1.0,0.00016684811129830113,0.00016684811129830113,0.00033369622259660225,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-10,1.0,0.00018162907017382768,0.00018162907017382768,0.00036325814034765536,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-11,1.0,0.00017209925241418178,0.00017209925241418178,0.00034419850482836356,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-12,1.0,0.0001597873657653015,0.0001597873657653015,0.000319574731530603,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-13,1.0,0.0001844630605068176,0.0001844630605068176,0.0003689261210136352,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-14,1.0,0.0002304636932001225,0.0002304636932001225,0.000460927386400245,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-15,1.0,0.00013090000171797622,0.00013090000171797622,0.00026180000343595244,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-16,1.0,0.0001345858669706823,0.0001345858669706823,0.0002691717339413646,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-17,1.0,0.00020495296983993883,0.00020495296983993883,0.00040990593967987765,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-18,1.0,0.0003065264697809933,0.0003065264697809933,0.0006130529395619866,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
2025-03-19,1.0,0.0002517654285747878,0.0002517654285747878,0.0005035308571495756,2*max_abs_planning_minus_Fresh_current_error_pu,0,rho_AIDC=1.0 planning-current trajectory,same-day Fresh anchor trajectory,True,False
