day,case,slot,AIDC,rack,h_REC_nodeh,physical_rack_capacity_nodeh,actual_residual_occupancy_nodeh,actual_residual_capacity_nodeh,DA_flexible_occupancy_nodeh,scenario_recourse_demand_nodeh,scenario_recourse_demand_status,preApril_electrical_sensitivity_pu_per_kw,Apr04_realized_electrical_sensitivity_pu_per_kw,headroom_utilization_in_Actual,actual_recourse_received_nodeh,top5_grid_critical_slot,top10_grid_critical_slot,top_quartile_leverage_site_slot,bottom_quartile_leverage_site_slot,GRID_EFFECTIVE_HEADROOM_contribution_nodeh_pu_per_kw
2025-04-04,B1,0,AIDC09,AIDC09_LP04,2.3978772561313866,2.3978772561313866,2.177113093766596,0.22076416236479046,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003132198076757631,,0.09206649831649855,0.22076416236479046,False,False,False,False,0.0007510626529955594
2025-04-04,B1,0,AIDC10,AIDC10_LP01,0.1927657974885517,0.1927657974885517,0.17501852551859343,0.01774727196995826,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003144809171421459,,0.09206649831649864,0.01774727196995826,False,False,False,False,6.0621164787836894e-05
2025-04-04,B1,0,AIDC10,AIDC10_LP02,0.20310222953621296,0.20310222953621296,0.1844033184625401,0.018698911073672858,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003144809171421459,,0.09206649831649857,0.018698911073672858,False,False,False,False,6.387177541816288e-05
2025-04-04,B1,0,AIDC10,AIDC10_LP03,0.22884482946325338,0.22884482946325338,0.20777588735673536,0.021068942106518024,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003144809171421459,,0.09206649831649859,0.021068942106518024,False,False,False,False,7.196733185284189e-05
2025-04-04,B1,0,AIDC10,AIDC10_LP04,0.0,0.30225343564681345,0.2744260202226802,0.02782741542413325,0.30225343564681345,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003144809171421459,,,0.02782741542413325,False,False,False,False,0.0
2025-04-04,B1,0,AIDC11,AIDC11_LP01,0.12851053165903445,0.12851053165903445,0.11667901701239562,0.011831514646638827,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031471157920834325,,0.09206649831649853,0.011831514646638827,False,False,False,False,4.044375236331852e-05
2025-04-04,B1,0,AIDC11,AIDC11_LP02,0.13540148635747531,0.13540148635747531,0.1229355456416934,0.012465940715781915,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031471157920834325,,0.09206649831649864,0.012465940715781915,False,False,False,False,4.2612415598718e-05
2025-04-04,B1,0,AIDC11,AIDC11_LP03,0.1525632196421689,0.1525632196421689,0.13851725823782357,0.01404596140434533,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031471157920834325,,0.09206649831649848,0.01404596140434533,False,False,False,False,4.801341178269631e-05
2025-04-04,B1,0,AIDC11,AIDC11_LP04,0.20150229043120899,0.20150229043120899,0.18295068014845345,0.018551610282755537,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.00031471157920834325,,0.09206649831649871,0.018551610282755537,False,False,False,False,6.341510403570402e-05
2025-04-04,B1,0,AIDC12,AIDC12_LP01,0.2698721164839723,0.2698721164839723,0.24502593572603076,0.02484618075794154,0.0,,NOT_MATERIALIZED_PER_RACK_IN_FROZEN_V30_STAGE1,0.0003155316699832711,,0.09206649831649856,0.02484618075794154,False,False,False,False,8.515319959610764e-05
