role,arm,elapsed_regime,N,GPU_weight,coverage,GPU_coverage,long_N,long_under,missed_GPU_slots,overreserved_GPUh,reserved_GPUh,requested_reserved_GPUh,requested_overreserved_GPUh,reserve_vs_requested,overreserve_vs_requested,pinball_Q90,pinball_Q95,unscorable_N,query_N,MAE_bound_seconds,MAE_Q50_seconds
MAY_HISTORICAL,R0,<1h,684,1612.0,0.7807017543859649,0.8269230769230769,301,0.292358803986711,446.0,21068.194092001126,28220.940265428002,38974.39111111111,31441.35861111111,0.7240893176489566,0.670078998575965,3036.8022063163876,2014.0598595169454,0,684,22437.48196142385,
MAY_HISTORICAL,R0,1-2h,732,1433.0,0.6598360655737705,0.7885554780181437,651,0.38095238095238093,712.0,21178.063304851017,35529.750167922284,45576.45722222222,30462.338055555556,0.7795636680289983,0.6952212028580215,5183.436995252968,4190.341283629916,0,732,26256.405376474755,
MAY_HISTORICAL,R0,2-4h,1204,2224.0,0.7624584717607974,0.7823741007194245,1126,0.2531083481349911,2252.0,29155.833583643733,52847.423192394905,71310.07833333334,44547.120833333334,0.7410933268838072,0.6544942307882501,6146.642864883002,5280.235987347886,0,1204,26155.79577032786,
MAY_HISTORICAL,R0,4-8h,788,1396.0,0.565989847715736,0.6926934097421203,788,0.434010152284264,3013.0,17929.241391440435,33112.76477277779,44535.91027777778,27290.3425,0.7435070837499007,0.6569811790174651,7769.743931587177,7102.1512106212485,0,788,26220.97139862921,
MAY_HISTORICAL,R0,>8h,3665,8232.0,0.3937244201909959,0.39176384839650147,3665,0.606275579809004,130479.0,48033.51822421453,199842.20976298128,311838.7008333333,66926.40555555555,0.640851213236005,0.7177065289176773,56845.41599485194,59096.542442815764,0,3665,77672.80882228262,
MAY_HISTORICAL,R1,<1h,684,1612.0,0.8581871345029239,0.8604218362282878,301,0.26245847176079734,831.0,7116.446266870738,14070.875572938663,38974.39111111111,31441.35861111111,0.36102874661529305,0.22634029129885774,2702.2070610387145,1895.5824272221482,0,684,18310.408263142497,9605.022191290529
MAY_HISTORICAL,R1,1-2h,732,1433.0,0.674863387978142,0.7306350314026517,651,0.3655913978494624,3203.0,14522.332959721693,27682.625474839137,45576.45722222222,30462.338055555556,0.6073887081627225,0.47673073988072256,5869.8922659811815,5140.449474458194,0,732,23410.869196330143,16293.801425309073
MAY_HISTORICAL,R1,2-4h,1204,2224.0,0.9036544850498339,0.8745503597122302,1126,0.10301953818827708,1124.0,21698.569246726704,45729.60146286784,71310.07833333334,44547.120833333334,0.6412782390885678,0.48709251778378204,6255.803694394901,5084.170966892576,0,1204,31257.731028827002,16607.530191690366
MAY_HISTORICAL,R1,4-8h,788,1396.0,0.8578680203045685,0.8932664756446992,788,0.14213197969543148,1412.0,17682.21893608503,33624.04998406575,44535.91027777778,27290.3425,0.754987374780195,0.6479295353689691,6105.943607848229,4837.7097670722915,0,788,32503.62866811145,18434.03373104839
MAY_HISTORICAL,R1,>8h,3665,8232.0,0.8051841746248295,0.7920310981535471,3665,0.19481582537517053,35672.0,219830.87735123717,433598.9690050673,311838.7008333333,66926.40555555555,1.3904591311031997,3.2846658284786523,24124.862955750483,20419.43753945307,0,3665,107536.53257225949,94373.69162103294
MAY_HISTORICAL,R2,<1h,684,1612.0,0.8918128654970761,0.8573200992555832,301,0.19933554817275748,656.0,7382.183134173767,14413.57481866853,38974.39111111111,31441.35861111111,0.36982168053831127,0.2347921165074898,2477.489797418628,1576.0396219715558,0,684,19378.18240199041,9709.39709424257
MAY_HISTORICAL,R2,1-2h,732,1433.0,0.7636612021857924,0.7229588276343336,651,0.2642089093701997,3254.0,7797.969037457887,21331.988143516664,45576.45722222222,30462.338055555556,0.4680484057702403,0.2559872135630684,4088.042255200345,3209.7160035718407,0,732,22229.304536456755,15040.103897902905
MAY_HISTORICAL,R2,2-4h,1204,2224.0,0.9368770764119602,0.9069244604316546,1126,0.0674955595026643,815.0,18022.58439926674,42778.83799557328,71310.07833333334,44547.120833333334,0.5998989062332393,0.404573495707964,5232.387001230805,3852.4906538562072,0,1204,32543.11556045515,16612.738618216463
MAY_HISTORICAL,R2,4-8h,788,1396.0,0.9048223350253807,0.9018624641833811,788,0.09517766497461928,1180.0,15093.630428156272,31236.686991213544,44535.91027777778,27290.3425,0.7013820262432092,0.5530758885915877,5067.879347159302,3599.467940544238,0,788,33630.341200159615,18146.26448043861
MAY_HISTORICAL,R2,>8h,3665,8232.0,0.8485675306957708,0.8402575315840622,3665,0.15143246930422918,35381.0,223575.75938458444,441320.6367954013,311838.7008333333,66926.40555555555,1.415220867762887,3.340621052762118,21114.327087801532,17091.48150138141,0,3665,106594.18355832493,85252.26230005789
