issue_time,role,query_N,submit_start_not_after_issue,elapsed_computed_from_known_start_and_issue,R1_preprocessing_latest_mature_end,R1_preprocessing_source_sha256,portable_preprocessing_sha256,request_version_available_time,authority
2025-05-04 08:00:00+00:00,MAY_HISTORICAL,364,True,True,2025-05-04 07:59:22+00:00,6968a9e5c5e26401f786c060a5fb053ad4d94467a1f54c467bc79742c6429d62,bd85ce195afd05dbb8fa554dcbcf3407df5d3e952833d2431bdc55737f0809a4,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-05 08:00:00+00:00,MAY_HISTORICAL,364,True,True,2025-05-05 07:57:08+00:00,6a3746a10b26dd5954c00d2960398523a6dbcb1b4ebf99a01f4682a15e619d28,f3935ce1f84e4eca1cc3323506e98d856963cbfd18087f734bdffde30459bc48,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-06 08:00:00+00:00,MAY_HISTORICAL,430,True,True,2025-05-06 07:12:32+00:00,3d81a9c502b480d60815c3b1873c0572e60e76c400e46538d00acef1294de723,490e1d9d045541161b46a7c12ac0840f9a8b06985d8f364718185178e36a9f93,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-07 08:00:00+00:00,MAY_HISTORICAL,231,True,True,2025-05-07 07:36:50+00:00,c5f88f1c4731b78395f77b061afcada91f446bc63f24e138cf59a4a04d4e5535,4519c94183bd18abc631b5c89e78712311c486f39d3b2c5512ff5e0c320640be,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-08 08:00:00+00:00,MAY_HISTORICAL,348,True,True,2025-05-08 07:52:29+00:00,967cb6ada903f9b24cef1c6b5bb83b462d8f3f018657f44d0d1a435e2a1b7ac4,8f80160b7ab1c819dc7f5509dca446b9cddb3e400f88c6eb8f7f9baf8bf05298,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-09 08:00:00+00:00,MAY_HISTORICAL,366,True,True,2025-05-09 07:54:54+00:00,782c4c2a41be8864b876236a9d2d4e1017e3b56561971bfcdc2c43d84aabf9e4,1ecbf7900acf08db42eb3a69756d4b7032ddce638bbceee9f3a2a0e5655c157a,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-10 08:00:00+00:00,MAY_HISTORICAL,430,True,True,2025-05-10 07:30:11+00:00,72d04b7147bc57ca85316931f973efecef32a17bc399f6ebb861c90a9ef2da91,1afc0b0c2b32a3cbe1edc97438996d5f8dc0ab0e813b7cbd3be36e585c6ec672,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-11 08:00:00+00:00,MAY_HISTORICAL,160,True,True,2025-05-11 07:55:17+00:00,2992a470a780444989bc4f7c064856b7ae26d9fc20013ce17539938f84e81666,384cd2450a2a8aa86a891626e2b376272fa679ee18c8e03541b4d375dd146bb6,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-12 08:00:00+00:00,MAY_HISTORICAL,333,True,True,2025-05-12 07:54:36+00:00,2c055550a74376e7240636fefbb23d513c0ba446bfc7567257738f0a502deb39,8a362d45c9f269e3894ab94405787495cf3149999c54ab2cea58bdb66029cc0c,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
2025-05-13 08:00:00+00:00,MAY_HISTORICAL,311,True,True,2025-05-13 07:56:06+00:00,da51ac668f8d3bad92976f6ca38696e45c5d74016bc7cde1815d2e26f335e796,6f56cdd24a5bd94434837fd32db151e39e3d1f83377e1da8929939520cc2fe6e,UNOBSERVED,D1_SCHEDULER_REQUEST_STATE_PROXY_V1
