role,state,candidate,reference,metric,estimate,CI95_low,CI95_high,nonfinite_draws,N_days,N_pairs,block_days,draws
MAY_HISTORICAL,PENDING,R2,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R2,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q95,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R1,coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,GPU_coverage,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,long_under,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_GPU_slots,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,reserved_GPUh,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,reserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q90,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,pinball_Q95,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,MAE_bound_seconds,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,overreserve_vs_requested,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R1,missed_slots_reduction,0.0,0.0,0.0,0,29,40419,7,2000
MAY_HISTORICAL,PENDING,R3,R2,coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,GPU_coverage,0.0,0.0,0.0,0,29,40419,1,2000
MAY_HISTORICAL,PENDING,R3,R2,long_under,0.0,0.0,0.0,0,29,40419,1,2000
