issue_time,role,arm,N_train,N_censored,weight_normalizer,membership_sha256
2025-04-30 08:00:00+00:00,MAY_HISTORICAL,R3,59132,148,2.6585148075426814,46aaffefc3821dcaf932424e7e89b12cb370fc528a043d77e7c1620af6004c21
2025-05-01 08:00:00+00:00,MAY_HISTORICAL,R2,59150,0,2.627671316778623,a23feb60046164e3a0396bfbd12f170e6a513112be5f36814e3b1fd58822388b
2025-05-01 08:00:00+00:00,MAY_HISTORICAL,R3,59317,167,2.6612618715139407,874e03432b0f7df5b8b1ad55f15de88128828cc1f7dec5ccf8300461319c0e2f
2025-05-02 08:00:00+00:00,MAY_HISTORICAL,R2,59217,0,2.6118264560783464,7978369d080d5a4e0af996d168efd0c860ff2ca1a48ed01c03f6b29ee8c7ebe8
2025-05-02 08:00:00+00:00,MAY_HISTORICAL,R3,59388,171,2.613400446256253,1ec5182a8f193ff27dd3152b7b65be35b98d1647edaba9b70d2971e28bf1537e
2025-05-03 08:00:00+00:00,MAY_HISTORICAL,R2,59288,0,2.59319242393988,ee6799b90c5f756d3c450bce6677da266580ee83ec231039910a3477782d14d3
2025-05-03 08:00:00+00:00,MAY_HISTORICAL,R3,59439,151,2.6004998902955268,18c6cff3954bdc39e6623c46d089220a92f794f1bc1bba1378c14f6281e37c8b
2025-05-04 08:00:00+00:00,MAY_HISTORICAL,R2,59101,0,2.5722215549297123,d648610abe0b97d7d7e946c8b0b8cfbd6e6d0a2b63de81348554d7f1e09404d8
2025-05-04 08:00:00+00:00,MAY_HISTORICAL,R3,59350,249,2.5850991074305796,0be97de870023511dad7cb7ea2371deccd822734581183a153530797103299c1
2025-05-05 08:00:00+00:00,MAY_HISTORICAL,R2,59274,0,2.55691172526707,a1714de377a5847607d4eeef1fa780b8c4715785f371ab0f0e6da8d827f35e37
2025-05-05 08:00:00+00:00,MAY_HISTORICAL,R3,59538,264,2.542306503536044,9da291b66746b553b79fc9369621569473b24547e58b92c73352b3bfb3983a25
2025-05-06 08:00:00+00:00,MAY_HISTORICAL,R2,59353,0,2.534656477861821,5b88da3f6a620d7576f788cc6ca2f82221cc54b2aac97f658194732d7c50506f
2025-05-06 08:00:00+00:00,MAY_HISTORICAL,R3,59734,381,2.5329314376996166,d1b8a3b2c86900fa99ead7296fd0e1869c65e91b472ae187f54497267b209772
2025-05-07 08:00:00+00:00,MAY_HISTORICAL,R2,59321,0,2.5277164210348264,b82d2ea9b98c0297f1713f147a90c15dd9a1f52d94e19363fdcb30ebda71db8f
2025-05-07 08:00:00+00:00,MAY_HISTORICAL,R3,59492,171,2.5416403608693217,fac803c6b561333c6c1e44d24c2e458d6a5405846f06a01f5e138d0e62acdf7d
2025-05-08 08:00:00+00:00,MAY_HISTORICAL,R2,59327,0,2.611888044267318,d4d29c51e6c1000a7d15efb4413d734acdc70685a1bcfc025b1d936fe97e351e
2025-05-08 08:00:00+00:00,MAY_HISTORICAL,R3,59511,184,2.6069218936956573,6cd184e4dde3cf2313d298b25427763864d1a8bc1dd3770f7a11b1deff7a24e0
2025-05-09 08:00:00+00:00,MAY_HISTORICAL,R2,59324,0,2.600659591549248,cedab0ec237868915b315e352ce0e37666ebb2be241a410353c74200ca9f0a96
2025-05-09 08:00:00+00:00,MAY_HISTORICAL,R3,59581,257,2.588144321641493,a4050ac407f3015bdb0ce7bbc5586d8e104b49d42935dab3e96a92d12db890c4
2025-05-10 08:00:00+00:00,MAY_HISTORICAL,R2,59502,0,2.5945302273142383,e092806f0ea96e78e27b9a8c3b466255db8c4abbd4376cd1afe3dfa663eb659b
2025-05-10 08:00:00+00:00,MAY_HISTORICAL,R3,59808,306,2.579943414854334,f94d580c91526abf774a0f86ea71f7d141958a88f1cf849161f8a06b7d2ee91b
2025-05-11 08:00:00+00:00,MAY_HISTORICAL,R2,59630,0,2.56912974531028,14364528749195241a1568415b779b0f11b1f57c9eb4d68e8ab8dd20ce6efdfd
2025-05-11 08:00:00+00:00,MAY_HISTORICAL,R3,59758,128,2.5961810020346423,63bf74166333d2fb5950208573435739a7c480ca0966b93028103d0db262a5d4
2025-05-12 08:00:00+00:00,MAY_HISTORICAL,R2,59525,0,2.5546804108431123,526e1af08db005ae64b3f577c98613def7dd813e30f9abb343a030754beff6e2
2025-05-12 08:00:00+00:00,MAY_HISTORICAL,R3,59747,222,2.5640729884223417,75fdbf9675f19e08b012ea5dfa0a3cdec29938e99f3aa362f960c1ed43b3d713
2025-05-13 08:00:00+00:00,MAY_HISTORICAL,R2,59596,0,2.545846219504181,41636af06f58b342d8b50bb840e5cec73d6b04353cec9cf0eb0ffe58f01d19d1
2025-05-13 08:00:00+00:00,MAY_HISTORICAL,R3,59802,206,2.5634944595492115,3f35b57597b2fd983979b0de1bbbc5e98d31978ea37b34fa195d08e0a6fbee71
2025-05-14 08:00:00+00:00,MAY_HISTORICAL,R2,60079,0,2.515127529293471,2cfe852fd6a3f87b4469a1ab8d6d926237ee27c7f24711c823b6a102c8a68d34
2025-05-14 08:00:00+00:00,MAY_HISTORICAL,R3,60223,144,2.5332484276819933,c448acdb915cec0aac6650564a6b585da495a3350a40c03b592eacafaabed1ff
2025-05-15 08:00:00+00:00,MAY_HISTORICAL,R2,60484,0,2.537392622206662,c41e297e8ed095d9ed6145c998a8ac210cca830a58c0b2267dd41a601749d2a8
2025-05-15 08:00:00+00:00,MAY_HISTORICAL,R3,60680,196,2.554340161398945,5635be05fb62e9c912a4dfa023eb01ec1c976c050e25a8e05810566e96d932c4
2025-05-16 08:00:00+00:00,MAY_HISTORICAL,R2,60782,0,2.511550700731665,8f3cdb60c34fe32ec5af91348027316c7c842890168a306aeb28a9236834ea36
2025-05-16 08:00:00+00:00,MAY_HISTORICAL,R3,60933,151,2.5322817682977345,6fd7c7ef15a0e15d59dfc99d0a39606379f8843ddf514951a2ef2a5d57f868a5
2025-05-17 08:00:00+00:00,MAY_HISTORICAL,R2,60656,0,2.522208010719069,8e3f6a7a5129bc6a36745ee645609daf0783acb993f5a0324bcd919ad46414be
2025-05-17 08:00:00+00:00,MAY_HISTORICAL,R3,60797,141,2.581346095354021,cab1488e1d991d9bdc77c97c6d0f36c8f16410af63d3ab0e4de445f84dcf327d
2025-05-18 08:00:00+00:00,MAY_HISTORICAL,R2,60404,0,2.5146362153817563,1f4be2daa3d30614dcc6b60e0904c8a4a18903e52f98767ef751da275d0d4d3c
2025-05-18 08:00:00+00:00,MAY_HISTORICAL,R3,60543,139,2.584683807581472,73038d6936b4502086496a76852eacb89b97b9abe1602b524a7709833855fa4e
2025-05-19 08:00:00+00:00,MAY_HISTORICAL,R2,60385,0,2.5689319621630915,e3f975f852d15fc2a9fddcd9fd56e6de16ebebaa4eda60677a8d661be55c952a
2025-05-19 08:00:00+00:00,MAY_HISTORICAL,R3,60539,154,2.630301273870806,3cb40794199aa68433ad7f203839b495bcea9a21935b2ae576aed1ede28b1c44
2025-05-20 08:00:00+00:00,MAY_HISTORICAL,R2,60561,0,2.6289921964621263,b86c41932b60dfb4d7182a7a13cd7255b26a52f3307c6dafcf4ac2bff358e1ae
2025-05-20 08:00:00+00:00,MAY_HISTORICAL,R3,60673,112,2.6459724963952143,18127d9ec4b4a2390f2bd65aefa93068d7eb3080d199f0b9e1e990ba45af2712
2025-05-21 08:00:00+00:00,MAY_HISTORICAL,R2,60221,0,2.809493557327843,611f9187b5b52fd2ba109ce7246fe5e7a665b9de54876838fb114a4ca7694ade
2025-05-21 08:00:00+00:00,MAY_HISTORICAL,R3,60327,106,2.8361044641402713,c5db306932cfcc7d1d8ecdabf9a44f0d9cacb62e7f6866d18f30e24d6b46ea7c
2025-05-22 08:00:00+00:00,MAY_HISTORICAL,R2,60267,0,2.9631059365519166,0387175aba06003ca6dc95cbe3c1d913d347fef91f824c9c79cd6ed287c63c9e
2025-05-22 08:00:00+00:00,MAY_HISTORICAL,R3,60385,118,2.9820305640161813,b02c00430e27e9fbfef945493830c2690da48145258f74b63ae26a744edc3db7
2025-05-23 08:00:00+00:00,MAY_HISTORICAL,R2,60016,0,3.0792374031616525,f53ae73a6ac2f7afcabc0c30b22869941aa5efcbca0691d2187c0911893cc31d
2025-05-23 08:00:00+00:00,MAY_HISTORICAL,R3,60072,56,3.128192722237195,91f69e0f8d2486c40ab77b10a7a6e42c97de259006561bfae47031de6813fbe3
2025-05-24 08:00:00+00:00,MAY_HISTORICAL,R2,59611,0,3.1972840467517494,5ca1be62f405c5a57cada4879928123ed992101f4e5571699ef68fb96ba58603
2025-05-24 08:00:00+00:00,MAY_HISTORICAL,R3,59675,64,3.250839680733465,0fd6ea23924015506624bc346374c5eaa5b86150e09a3b1b16b80dc2fd5276c8
2025-05-25 08:00:00+00:00,MAY_HISTORICAL,R2,59523,0,3.3198322219005405,f64089fb820dcdb3fb54d6e78f9907581d7a0aeab94cdbdbdc575011745d60be
2025-05-25 08:00:00+00:00,MAY_HISTORICAL,R3,59604,81,3.3746444284558716,14f173e604b29409656d20d79f615efba37fb54de8ff4758d0721295d46f399c
2025-05-26 08:00:00+00:00,MAY_HISTORICAL,R2,59277,0,3.407693201336045,5a3bdec6db789750af4a22c0e7fae9eb9b469db70d2996b11da97820194a576b
2025-05-26 08:00:00+00:00,MAY_HISTORICAL,R3,59340,63,3.472035477451554,00c8b23af93030de387039ed151a0cfcf71713f95cdceae77bfaace03e80584e
2025-05-27 08:00:00+00:00,MAY_HISTORICAL,R2,59193,0,3.498440127651537,7c14bc43b067a9c95c5dec4ac5b01e38181e714bcd1e924501fab59c2cfa9563
2025-05-27 08:00:00+00:00,MAY_HISTORICAL,R3,59247,54,3.5960984720449454,6105271c479147384686ada65caeee6afd762776f902cde1b28ce1493d5cbfd0
2025-05-28 08:00:00+00:00,MAY_HISTORICAL,R2,58804,0,3.6861925418520203,299f5ed412ee991688fd439129a5758756b8215124bc9f1609b59bd088e12746
2025-05-28 08:00:00+00:00,MAY_HISTORICAL,R3,58884,80,3.7366464969730186,b6206c8b15668fd444799f671a1d60fc624adc0e0ed8c0d7beca04415914529e
2025-05-29 08:00:00+00:00,MAY_HISTORICAL,R2,58681,0,3.8563822848740226,dc0b47f1a9c6eeb0c12520c24a5e29b118e2805d26fe896dc33333b188af1d54
2025-05-29 08:00:00+00:00,MAY_HISTORICAL,R3,58811,130,3.8539534749818913,4a85b52634b8622f36e64b21919fe66b4407d694baa2dfa734b8e6a7d46751c6
2025-05-30 08:00:00+00:00,MAY_HISTORICAL,R2,58533,0,3.8645661226463277,0f98f78976358f8cd0543f1d3fe5da48063b967a7ef8ee7d4e184349229b9191
2025-05-30 08:00:00+00:00,MAY_HISTORICAL,R3,58682,149,3.882854323179203,0f4299a65ae2de9507044a5750392215f396bbffda77c6a42315caf277c28943
