role,model,reference,metric,delta,CI95_low,CI95_high,N_days,draws,block_observed_days
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.003822322362597566,-0.015614076957018467,0.023226688028037182,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2533333333333333,-0.34222522522522525,-0.16989496265412188,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,-2.346922885494016,-14.621401665706747,9.265955381150732,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,-0.006922848245659613,-0.054282055113668876,0.04278198030250451,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,predicted_high_risk_fraction,-0.2567204301075268,-0.34274193548387094,-0.17338709677419356,31,2000,1
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,Q90_pinball,3.808650953959159,-5.690963099238368,13.12230245840799,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,coverage,0.024193548387096753,0.010752688172043001,0.040322580645161255,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,positive_coverage,0.028169014084507005,0.012461059190031154,0.047770700636942665,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,burst_coverage,0.2028985507246377,0.11111111111111113,0.2923076923076923,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,requirement_ratio,0.7429170379492676,0.5980465929796207,0.9486613827840952,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,detector_recall,-0.28985507246376807,-0.44447791164658634,-0.13156816220880072,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,precision,0.003822322362597566,-0.006233623045354611,0.018066307834735854,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,false_positive_rate,-0.2533333333333333,-0.3922193399460621,-0.12771142062785112,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,pinball_minus_2pct_margin,-2.346922885494016,-11.339722380683549,6.580447768272607,31,2000,7
MAY_HISTORICAL,C1,C0 forecast / PR69 balanced detector matched0.01 gate,PR_AUC,-0.006922848245659613,-0.05166213111590315,0.03559394948727626,31,2000,7
