date,model,phase,reserve_nomination_GPU_h,reserve_shortfall_GPU_h,lower_boundary_MAE_GPU_h,upper_boundary_MAE_GPU_h,normalized_boundary_score,hausdorff_boundary_proxy_GPU_h,simultaneous_inner_coverage,nonempty_set,safe_width_GPU_h,reference_width_GPU_h,capture_ratio
2024-12-13,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6297.667857029196,6138.95312145108,12436.620978480276,9419.193269462205,True,False,0.0,27.08222222222231,0.0
2024-12-14,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6293.6280340633,6137.607582068162,1333.612791064635,9321.392014673089,True,False,0.0,3633.9200000000005,0.0
2024-12-15,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6258.124044984408,6186.95423448798,129.31279626216073,8304.05735609504,True,False,0.0,41796.44666666667,0.0
2024-12-16,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6293.893111754049,6137.465734891964,2163.6055594023746,9390.50075269418,True,False,0.0,768.3033333333333,0.0
2024-12-17,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6210.2007132662075,6168.850520755241,1119.6006542678429,7431.188906300218,True,False,0.0,388.8,0.0
2024-12-18,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6123.57605010212,6259.501861997524,66.44156892527026,8746.695064763604,True,False,0.0,17622.403333333335,0.0
2024-12-19,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6229.978978836818,6168.712269472132,263.79822778480536,7745.932912538833,True,False,0.0,20248.404444444463,0.0
2024-12-20,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6209.115460500688,6167.267080414908,1599.5327162813066,7363.126874229407,True,False,0.0,779.9727777777778,0.0
2024-12-21,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6216.382551023196,6153.714427119261,12370.096978142457,7448.635551154809,True,False,0.0,0.0,0.0
2024-12-22,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6211.913072870036,6154.155624570907,12366.068697440944,7340.484483747658,True,False,0.0,0.0,0.0
2024-12-23,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6192.801753736727,6158.618585927154,12351.42033966388,6878.03461980448,True,False,0.0,0.0,0.0
2024-12-24,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6167.366884060171,6190.570271112338,221.01018256298414,7058.602108767201,True,False,0.0,23004.51555555555,0.0
2024-12-25,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6195.592828103118,6163.317710719695,12358.910538822813,6946.558465058519,True,False,0.0,40.41333333333333,0.0
2024-12-26,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6105.449856264468,6281.626315420297,58.89844014999741,8826.085663254093,True,False,0.0,76135.6261111111,0.0
2024-12-27,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6240.362471110245,6221.322653892775,65.87227195924231,8099.3120510375975,True,False,0.0,69321.65722222223,0.0
2024-12-28,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6150.929861478016,6219.348498335433,117.57887242528493,7281.290974608582,True,False,0.0,20052.90833333334,0.0
2024-12-29,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6193.743062938171,6167.584315079261,1522.2914667658888,6962.702218117506,True,False,0.0,1505.0344444444443,0.0
2024-12-30,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6134.9937620449655,6246.143610300904,69.3381316438522,9016.951467813626,True,False,0.0,83853.38527777762,0.0
2024-12-31,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6193.191325142854,6289.372191605185,42.199626145458296,9274.216613661654,True,False,0.0,103024.17111111112,0.0
2025-01-01,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6231.976592110212,6235.369248605416,60.1942965638283,8919.212434871813,True,False,0.0,85375.84333333327,0.0
2025-01-02,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6090.839034493786,6413.9750316605205,27.713127406132266,11669.24395359679,True,False,0.0,150465.06000000006,0.0
2025-01-03,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6235.107250860693,6145.203588042341,258.6536838369971,7893.357631017661,True,False,0.0,14264.290555555555,0.0
2025-01-04,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6152.015283306484,6264.069056668482,62.711600286989324,9220.774443291275,True,False,0.0,78178.4244444445,0.0
2025-01-05,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6154.87830141344,6240.0409238320335,88.59539845419893,8519.33293232823,True,False,0.0,57562.86333333336,0.0
2025-01-06,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6220.938418763221,6163.3134329419145,12384.251851705136,7495.200736931708,True,False,0.0,36.92,0.0
2025-01-07,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6160.717869157611,6249.701059581576,83.17213579106964,8849.860974608579,True,False,0.0,68148.3438888888,0.0
2025-01-08,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6117.913500669342,6316.61354630362,40.82210299874441,9617.398086460184,True,False,0.0,112269.10499999998,0.0
2025-01-09,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6219.8919315062485,6227.9863813858765,52.72703226891794,8561.750391773145,True,False,0.0,88687.17888888894,0.0
2025-01-10,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6183.440857654627,6272.411843401438,38.75532718247273,9357.121603052225,True,False,0.0,123517.95555555561,0.0
2025-01-11,BL3_DIRECT_QUANTILE_LIGHTGBM,CALIBRATED_EVALUATION,0.0,0.0,6235.8319448525035,6223.9145474101315,60.38903517271726,8480.307304617232,True,False,0.0,84360.92000000007,0.0
