namespace,wetbulb_c,rh_pct,segment,it_lower_kw,it_upper_kw,pcc_slope,pcc_intercept_kw
FORECAST_DAYAHEAD_GFS,-5.0,20.0,15,279.65849574700064,298.30239546346735,1.292074865083946,-18.00177875258936
FORECAST_DAYAHEAD_GFS,-5.0,20.0,16,298.30239546346735,316.94629517993405,1.292074865083949,-18.00177875259027
FORECAST_DAYAHEAD_GFS,-5.0,20.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-18.001778752589303
FORECAST_DAYAHEAD_GFS,-5.0,20.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-18.001778752589303
FORECAST_DAYAHEAD_GFS,-5.0,20.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-18.001778752590383
FORECAST_DAYAHEAD_GFS,-5.0,20.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-18.001778752589246
FORECAST_DAYAHEAD_GFS,-5.0,20.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-18.001778752589246
FORECAST_DAYAHEAD_GFS,-5.0,20.0,22,410.1657937622676,428.8096934787343,1.292074865083949,-18.001778752590553
FORECAST_DAYAHEAD_GFS,-5.0,20.0,23,428.8096934787343,447.453593195201,1.2920748650839429,-18.001778752587825
FORECAST_DAYAHEAD_GFS,-5.0,50.0,0,0.0,18.64389971646671,1.0000021213545363,4.982291442247736
FORECAST_DAYAHEAD_GFS,-5.0,50.0,1,18.64389971646671,37.28779943293342,1.0000510840960701,4.981378585804734
FORECAST_DAYAHEAD_GFS,-5.0,50.0,2,37.28779943293342,55.93169914940013,1.0012219948600667,4.937717900082966
FORECAST_DAYAHEAD_GFS,-5.0,50.0,3,55.93169914940013,74.57559886586684,1.0253835892184673,3.5863188734590636
FORECAST_DAYAHEAD_GFS,-5.0,50.0,4,74.57559886586684,93.21949858233354,1.1762273729460984,-7.662946633222319
FORECAST_DAYAHEAD_GFS,-5.0,50.0,5,93.21949858233354,111.86339829880026,1.2818779870538817,-17.5116439052655
FORECAST_DAYAHEAD_GFS,-5.0,50.0,6,111.86339829880026,130.50729801526697,1.2916260432404845,-18.602094597106543
FORECAST_DAYAHEAD_GFS,-5.0,50.0,7,130.50729801526697,149.15119773173367,1.2920561848647283,-18.658231218250478
FORECAST_DAYAHEAD_GFS,-5.0,50.0,8,149.15119773173367,167.79509744820038,1.2920740894984613,-18.66090171581672
FORECAST_DAYAHEAD_GFS,-5.0,50.0,9,167.79509744820038,186.4389971646671,1.2920748328856224,-18.661026452537868
FORECAST_DAYAHEAD_GFS,-5.0,50.0,10,186.4389971646671,205.0828968811338,1.2920748637472435,-18.661032206347528
FORECAST_DAYAHEAD_GFS,-5.0,50.0,11,205.0828968811338,223.72679659760053,1.292074865028454,-18.661032469101883
FORECAST_DAYAHEAD_GFS,-5.0,50.0,12,223.72679659760053,242.37069631406723,1.292074865081644,-18.66103248100194
FORECAST_DAYAHEAD_GFS,-5.0,50.0,13,242.37069631406723,261.01459603053394,1.2920748650838514,-18.66103248153695
FORECAST_DAYAHEAD_GFS,-5.0,50.0,14,261.01459603053394,279.65849574700064,1.2920748650839429,-18.661032481560824
FORECAST_DAYAHEAD_GFS,-5.0,50.0,15,279.65849574700064,298.30239546346735,1.292074865083946,-18.661032481561676
FORECAST_DAYAHEAD_GFS,-5.0,50.0,16,298.30239546346735,316.94629517993405,1.292074865083949,-18.661032481562586
FORECAST_DAYAHEAD_GFS,-5.0,50.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-18.66103248156162
FORECAST_DAYAHEAD_GFS,-5.0,50.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-18.66103248156162
FORECAST_DAYAHEAD_GFS,-5.0,50.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-18.6610324815627
FORECAST_DAYAHEAD_GFS,-5.0,50.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-18.661032481561563
FORECAST_DAYAHEAD_GFS,-5.0,50.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-18.661032481561563
FORECAST_DAYAHEAD_GFS,-5.0,50.0,22,410.1657937622676,428.8096934787343,1.292074865083949,-18.66103248156287
FORECAST_DAYAHEAD_GFS,-5.0,50.0,23,428.8096934787343,447.453593195201,1.292074865083949,-18.66103248156287
FORECAST_DAYAHEAD_GFS,-5.0,80.0,0,0.0,18.64389971646671,1.0000014431996458,4.982290894613402
FORECAST_DAYAHEAD_GFS,-5.0,80.0,1,18.64389971646671,37.28779943293342,1.0000347567450976,4.981669800212799
FORECAST_DAYAHEAD_GFS,-5.0,80.0,2,37.28779943293342,55.93169914940013,1.0008332640348647,4.951895220546227
FORECAST_DAYAHEAD_GFS,-5.0,80.0,3,55.93169914940013,74.57559886586684,1.0180778550066882,3.9873759463557263
FORECAST_DAYAHEAD_GFS,-5.0,80.0,4,74.57559886586684,93.21949858233354,1.1531921120988893,-6.088850691611867
FORECAST_DAYAHEAD_GFS,-5.0,80.0,5,93.21949858233354,111.86339829880026,1.2774836946375998,-17.675249693875188
FORECAST_DAYAHEAD_GFS,-5.0,80.0,6,111.86339829880026,130.50729801526697,1.291415961595741,-19.233760421818957
FORECAST_DAYAHEAD_GFS,-5.0,80.0,7,130.50729801526697,149.15119773173367,1.292047408405679,-19.316168838824325
FORECAST_DAYAHEAD_GFS,-5.0,80.0,8,149.15119773173367,167.79509744820038,1.292073725051209,-19.320093998025413
FORECAST_DAYAHEAD_GFS,-5.0,80.0,9,167.79509744820038,186.4389971646671,1.292074817755548,-19.320277348456443
FORECAST_DAYAHEAD_GFS,-5.0,80.0,10,186.4389971646671,205.0828968811338,1.2920748631191223,-19.320285805995752
FORECAST_DAYAHEAD_GFS,-5.0,80.0,11,205.0828968811338,223.72679659760053,1.29207486500238,-19.32028619221967
FORECAST_DAYAHEAD_GFS,-5.0,80.0,12,223.72679659760053,242.37069631406723,1.2920748650805587,-19.320286209710332
FORECAST_DAYAHEAD_GFS,-5.0,80.0,13,242.37069631406723,261.01459603053394,1.2920748650838088,-19.320286210498068
FORECAST_DAYAHEAD_GFS,-5.0,80.0,14,261.01459603053394,279.65849574700064,1.29207486508394,-19.320286210532345
FORECAST_DAYAHEAD_GFS,-5.0,80.0,15,279.65849574700064,298.30239546346735,1.292074865083946,-19.320286210533993
FORECAST_DAYAHEAD_GFS,-5.0,80.0,16,298.30239546346735,316.94629517993405,1.292074865083949,-19.320286210534903
FORECAST_DAYAHEAD_GFS,-5.0,80.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-19.320286210533936
FORECAST_DAYAHEAD_GFS,-5.0,80.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-19.320286210533936
FORECAST_DAYAHEAD_GFS,-5.0,80.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-19.320286210535016
FORECAST_DAYAHEAD_GFS,-5.0,80.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-19.32028621053388
FORECAST_DAYAHEAD_GFS,-5.0,80.0,21,391.5218940458009,410.1657937622676,1.292074865083946,-19.32028621053388
FORECAST_DAYAHEAD_GFS,-5.0,80.0,22,410.1657937622676,428.8096934787343,1.292074865083949,-19.320286210535187
FORECAST_DAYAHEAD_GFS,-5.0,80.0,23,428.8096934787343,447.453593195201,1.292074865083949,-19.320286210535187
FORECAST_DAYAHEAD_GFS,-5.0,100.0,0,0.0,18.64389971646671,1.0000011163529627,4.9822906306745205
FORECAST_DAYAHEAD_GFS,-5.0,100.0,1,18.64389971646671,37.28779943293342,1.000026886458832,4.981810175405013
FORECAST_DAYAHEAD_GFS,-5.0,100.0,2,37.28779943293342,55.93169914940013,1.0006452693785615,4.958752037121386
FORECAST_DAYAHEAD_GFS,-5.0,100.0,3,55.93169914940013,74.57559886586684,1.0143125785355518,4.194316213170765
FORECAST_DAYAHEAD_GFS,-5.0,100.0,4,74.57559886586684,93.21949858233354,1.137611156061707,-5.000749045151778
FORECAST_DAYAHEAD_GFS,-5.0,100.0,5,93.21949858233354,111.86339829880026,1.2736529376964942,-17.682495715393955
FORECAST_DAYAHEAD_GFS,-5.0,100.0,6,111.86339829880026,130.50729801526697,1.2912240147181493,-19.64805610280625
FORECAST_DAYAHEAD_GFS,-5.0,100.0,7,130.50729801526697,149.15119773173367,1.292039371238105,-19.754466079144805
FORECAST_DAYAHEAD_GFS,-5.0,100.0,8,149.15119773173367,167.79509744820038,1.2920733912716025,-19.759540207887824
FORECAST_DAYAHEAD_GFS,-5.0,100.0,9,167.79509744820038,186.4389971646671,1.2920748038985899,-19.759777239770813
FORECAST_DAYAHEAD_GFS,-5.0,100.0,10,186.4389971646671,205.0828968811338,1.2920748625438556,-19.759788173535355
FORECAST_DAYAHEAD_GFS,-5.0,100.0,11,205.0828968811338,223.72679659760053,1.2920748649784948,-19.759788672838226
FORECAST_DAYAHEAD_GFS,-5.0,100.0,12,223.72679659760053,242.37069631406723,1.2920748650795708,-19.75978869545162
FORECAST_DAYAHEAD_GFS,-5.0,100.0,13,242.37069631406723,261.01459603053394,1.292074865083763,-19.759788696467695
FORECAST_DAYAHEAD_GFS,-5.0,100.0,14,261.01459603053394,279.65849574700064,1.29207486508394,-19.75978869651391
FORECAST_DAYAHEAD_GFS,-5.0,100.0,15,279.65849574700064,298.30239546346735,1.292074865083946,-19.759788696515557
FORECAST_DAYAHEAD_GFS,-5.0,100.0,16,298.30239546346735,316.94629517993405,1.292074865083949,-19.759788696516466
FORECAST_DAYAHEAD_GFS,-5.0,100.0,17,316.94629517993405,335.59019489640076,1.292074865083946,-19.7597886965155
FORECAST_DAYAHEAD_GFS,-5.0,100.0,18,335.59019489640076,354.23409461286747,1.292074865083946,-19.7597886965155
FORECAST_DAYAHEAD_GFS,-5.0,100.0,19,354.23409461286747,372.8779943293342,1.292074865083949,-19.75978869651658
FORECAST_DAYAHEAD_GFS,-5.0,100.0,20,372.8779943293342,391.5218940458009,1.292074865083946,-19.759788696515443
FORECAST_DAYAHEAD_GFS,-5.0,100.0,21,391.5218940458009,410.1657937622676,1.292074865083949,-19.759788696516637
FORECAST_DAYAHEAD_GFS,-5.0,100.0,22,410.1657937622676,428.8096934787343,1.2920748650839429,-19.75978869651408
FORECAST_DAYAHEAD_GFS,-5.0,100.0,23,428.8096934787343,447.453593195201,1.292074865083949,-19.759788696516807
FORECAST_DAYAHEAD_GFS,0.0,20.0,0,0.0,18.64389971646671,1.0000000467405519,4.982289766936021
FORECAST_DAYAHEAD_GFS,0.0,20.0,1,18.64389971646671,37.28779943293342,1.0000011258729375,4.982269647700043
FORECAST_DAYAHEAD_GFS,0.0,20.0,2,37.28779943293342,55.93169914940013,1.0000271157044622,4.9813005440748555
FORECAST_DAYAHEAD_GFS,0.0,20.0,3,55.93169914940013,74.57559886586684,1.0006507509606768,4.946419564545302
FORECAST_DAYAHEAD_GFS,0.0,20.0,4,74.57559886586684,93.21949858233354,1.014424692799188,3.919219603194705
FORECAST_DAYAHEAD_GFS,0.0,20.0,5,93.21949858233354,111.86339829880026,1.1381254717110225,-7.6121049812106065
FORECAST_DAYAHEAD_GFS,0.0,20.0,6,111.86339829880026,130.50729801526697,1.2737928325406924,-22.788317001847034
FORECAST_DAYAHEAD_GFS,0.0,20.0,7,130.50729801526697,149.15119773173367,1.2912311734248891,-25.064147752512696
FORECAST_DAYAHEAD_GFS,0.0,20.0,8,149.15119773173367,167.79509744820038,1.2920396713007136,-25.184736179055477
FORECAST_DAYAHEAD_GFS,0.0,20.0,9,167.79509744820038,186.4389971646671,1.2920734037336028,-25.190396315919287
FORECAST_DAYAHEAD_GFS,0.0,20.0,10,186.4389971646671,205.0828968811338,1.2920748044159533,-25.190657457732073
FORECAST_DAYAHEAD_GFS,0.0,20.0,11,205.0828968811338,223.72679659760053,1.292074862565333,-25.190669383175333
FORECAST_DAYAHEAD_GFS,0.0,20.0,12,223.72679659760053,242.37069631406723,1.292074864979387,-25.19066992326384
FORECAST_DAYAHEAD_GFS,0.0,20.0,13,242.37069631406723,261.01459603053394,1.2920748650796074,-25.19066994755434
FORECAST_DAYAHEAD_GFS,0.0,20.0,14,261.01459603053394,279.65849574700064,1.2920748650837661,-25.190669948639822
FORECAST_DAYAHEAD_GFS,0.0,20.0,15,279.65849574700064,298.30239546346735,1.29207486508394,-25.19066994868848
FORECAST_DAYAHEAD_GFS,0.0,20.0,16,298.30239546346735,316.94629517993405,1.292074865083946,-25.190669948690243
FORECAST_DAYAHEAD_GFS,0.0,20.0,17,316.94629517993405,335.59019489640076,1.292074865083949,-25.19066994869121
