issue_time,target_day,role,horizon,base_family,candidate,eligible_residual_days,eligible_residual_rows,order_statistic_k,q85_residual,delta,negative_q85_floored,base_upper_min,base_upper_mean,base_upper_max,final_upper_min,final_upper_mean,final_upper_max,library_first_day,library_last_day,latest_included_availability_ns,membership_SHA256,status
2024-11-05 08:00:00+00:00,2024-11-06,CALIBRATION,H4,B2_L0,R85_B2,59,4779,4063,0.83043968042172,0.83043968042172,False,427.91362013122045,1645.4200638125762,2729.566915496164,983.0682234274177,3776.426482086584,6263.814189532899,2024-09-01,2024-11-01,1730767592000000000,ed7fefb00eb8525584f2ba89a53ab212203a05bf0eba8d83d22d0f7685fd10ba,SUPPORTED
2024-11-06 08:00:00+00:00,2024-11-07,CALIBRATION,H24,B1,R85_B1,62,62,54,0.5135286404127459,0.5135286404127459,False,9903.824333333336,9903.824333333336,9903.824333333336,16551.72242469567,16551.72242469567,16551.72242469567,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
2024-11-06 08:00:00+00:00,2024-11-07,CALIBRATION,H24,B2_L0,R85_B2,62,62,54,0.5405230265548937,0.5405230265548937,False,8388.640158536058,8388.640158536058,8388.640158536058,14403.211898793472,14403.211898793472,14403.211898793472,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
2024-11-06 08:00:00+00:00,2024-11-07,CALIBRATION,H4,B1,R85_B1,62,5022,4270,0.3450918097603388,0.3450918097603388,False,448.7044444444443,1800.1858799725658,4160.087444444445,634.0364422525803,2542.4898124398383,5874.952971481747,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-06 08:00:00+00:00,2024-11-07,CALIBRATION,H4,B2_L0,R85_B2,62,5022,4270,0.7984928800588449,0.7984928800588449,False,357.74216175228963,821.6580472639985,1548.1002076906186,796.1929924684056,1827.101908270937,3441.3939025461673,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-07 08:00:00+00:00,2024-11-08,CALIBRATION,H24,B1,R85_B1,62,62,54,0.5135286404127459,0.5135286404127459,False,9590.050805555555,9590.050805555555,9590.050805555555,16027.35107445939,16027.35107445939,16027.35107445939,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
2024-11-07 08:00:00+00:00,2024-11-08,CALIBRATION,H24,B2_L0,R85_B2,62,62,54,0.5405230265548937,0.5405230265548937,False,7970.645992121491,7970.645992121491,7970.645992121491,13685.5557858112,13685.5557858112,13685.5557858112,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
2024-11-07 08:00:00+00:00,2024-11-08,CALIBRATION,H4,B1,R85_B1,62,5022,4270,0.3450918097603388,0.3450918097603388,False,240.4755833333333,1637.9508182441696,3209.9051944444436,339.9923945054775,2313.3945084432253,4533.182030620849,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-07 08:00:00+00:00,2024-11-08,CALIBRATION,H4,B2_L0,R85_B2,62,5022,4270,0.7984928800588449,0.7984928800588449,False,217.8213653507546,627.4872057714362,1149.974661161621,485.26249618365904,1395.6175423868756,2556.6835739210005,2024-09-01,2024-11-04,1730852865000000000,4f4f776511b15f1ce68221b501df051593a0fa51972d24c80bb7a7fb771b4b1b,SUPPORTED
2024-11-08 08:00:00+00:00,2024-11-09,CALIBRATION,H24,B1,R85_B1,62,62,54,0.5135286404127459,0.5135286404127459,False,7420.824944444445,7420.824944444445,7420.824944444445,12402.18899716691,12402.18899716691,12402.18899716691,2024-09-01,2024-11-04,1730852865000000000,1f77d726160874045f237d19ed585bcd00db6b122fd42d40695a501bfda566fe,SUPPORTED
