role,resolution,method,reference_resolution,reference_method,contrast,metric,delta,CI95_low,CI95_high,nonfinite_draws,draws,block_observed_days,N_days
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,positive_coverage,-0.013067800402774665,-0.03328532372748473,0.006982991540488686,0,2000,7,88
EXPOSED_EVALUATION,H3,AGGREGATED_H1,H1,DIRECT,RESOLUTION_EFFECT,normalized_Q50_pinball,-0.05623715975180221,-0.06814142718156878,-0.04429264449412037,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,0.0,-0.02840909090909094,0.03125,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.0,-0.03125,0.02840909090909094,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,0.029152431873839424,-0.02246118967853706,0.07783795434584526,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.04834987308869354,-0.1279977066375156,0.026364782004944784,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,high_load_coverage,0.0,0.0,0.0,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,positive_coverage,0.0,-0.03174855929633,0.033851393188854474,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q50_pinball,-0.12120596046513876,-0.15426909037843634,-0.08918803763322615,0,2000,1,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,Q90_coverage,0.0,-0.03125,0.03409090909090906,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,calibration_error,0.0,-0.03409090909090906,0.03125,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,normalized_Q90_pinball,0.029152431873839424,-0.015105209186470563,0.07492633204229633,0,2000,7,88
EXPOSED_EVALUATION,H6,DIRECT,H6,AGGREGATED_H1,SAME_TARGET_DIRECT_EFFECT,requirement_ratio,-0.04834987308869354,-0.1321086610744117,0.04395731499140545,0,2000,7,88
