role,resolution,method,stratum,N,coverage,Q90_pinball_GPUh,normalized_Q90_pinball
CALIBRATION,CUM,AGGREGATED_H1,positive,619,0.7479806138933764,3390.064547412527,1.942813557327765
CALIBRATION,CUM,AGGREGATED_H1,high_load,111,0.10810810810810811,16571.110476070593,9.34992212202211
CALIBRATION,H1,DIRECT,zero,123,1.0,22.371353699978325,0.15047371912890586
CALIBRATION,H1,DIRECT,positive,501,0.8143712574850299,344.23400971228597,2.315379408270397
CALIBRATION,H1,DIRECT,high_load,38,0.02631578947368421,3946.2844653113907,26.54341387649716
CALIBRATION,H3,DIRECT,zero,5,1.0,50.89459890188129,0.11410871961594685
CALIBRATION,H3,DIRECT,positive,203,0.8275862068965517,758.5600411417994,1.7007367562397886
CALIBRATION,H3,DIRECT,high_load,15,0.0,8873.668370812833,19.89529258383739
CALIBRATION,H6,DIRECT,positive,104,0.7692307692307693,1352.74728552449,1.516469959933621
CALIBRATION,H6,DIRECT,high_load,12,0.0,10444.574436411242,11.708678735930484
CALIBRATION,CUM,DIRECT,zero,5,1.0,151.76047624065467,1.0207680582479632
CALIBRATION,CUM,DIRECT,positive,619,0.715670436187399,3359.767817553015,1.8335850702728351
CALIBRATION,CUM,DIRECT,high_load,111,0.04504504504504504,16472.769915728844,8.674474963229686
EXPOSED_EVALUATION,H1,AGGREGATED_H1,zero,477,1.0,17.359133256204114,0.11676062955089918
EXPOSED_EVALUATION,H1,AGGREGATED_H1,positive,1635,0.8195718654434251,257.21752735101785,1.7300910121360344
EXPOSED_EVALUATION,H1,AGGREGATED_H1,high_load,132,0.007575757575757576,2645.808292992002,17.79617895670722
EXPOSED_EVALUATION,H3,AGGREGATED_H1,zero,89,1.0,39.591187688953084,0.08876579897938995
EXPOSED_EVALUATION,H3,AGGREGATED_H1,positive,615,0.8065040650406504,556.0270005875263,1.2466456260173544
EXPOSED_EVALUATION,H3,AGGREGATED_H1,high_load,67,0.0,4200.226792244609,9.417158435291482
EXPOSED_EVALUATION,H6,AGGREGATED_H1,zero,30,1.0,54.698280309296614,0.06131839984947086
EXPOSED_EVALUATION,H6,AGGREGATED_H1,positive,322,0.7732919254658385,914.3386692197755,1.025000855603174
EXPOSED_EVALUATION,H6,AGGREGATED_H1,high_load,35,0.0,6519.710743831068,7.308789746817277
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,zero,158,1.0,108.32113527021785,0.06936249304696178
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,positive,1954,0.7492323439099283,1721.534704113892,1.0384972507741155
EXPOSED_EVALUATION,CUM,AGGREGATED_H1,high_load,364,0.07142857142857142,7418.297084738863,4.404672978086592
EXPOSED_EVALUATION,H1,DIRECT,zero,477,1.0,17.359133256204114,0.11676062955089918
EXPOSED_EVALUATION,H1,DIRECT,positive,1635,0.8195718654434251,257.21752735101785,1.7300910121360344
EXPOSED_EVALUATION,H1,DIRECT,high_load,132,0.007575757575757576,2645.808292992002,17.79617895670722
EXPOSED_EVALUATION,H3,DIRECT,zero,89,1.0,63.50818722586425,0.1423891353077414
EXPOSED_EVALUATION,H3,DIRECT,positive,615,0.8048780487804879,567.6076717879699,1.2726101800464276
EXPOSED_EVALUATION,H3,DIRECT,high_load,67,0.04477611940298507,4198.050933532299,9.412280030567128
EXPOSED_EVALUATION,H6,DIRECT,zero,30,1.0,67.11209745891094,0.07523465826443412
EXPOSED_EVALUATION,H6,DIRECT,positive,322,0.7732919254658385,941.6099802320259,1.0555728067433678
EXPOSED_EVALUATION,H6,DIRECT,high_load,35,0.0,6709.967031091127,7.52207270617396
EXPOSED_EVALUATION,CUM,DIRECT,zero,158,1.0,115.83242189317701,0.12289970280819937
EXPOSED_EVALUATION,CUM,DIRECT,positive,1954,0.7313203684749232,1940.1114253865464,1.1216275144583048
EXPOSED_EVALUATION,CUM,DIRECT,high_load,364,0.06043956043956044,8502.306735769416,4.543969687127672
MAY_HISTORICAL,H1,AGGREGATED_H1,zero,105,1.0,40.15124019014965,0.2700644100520242
MAY_HISTORICAL,H1,AGGREGATED_H1,positive,639,0.8560250391236307,351.7550338148552,2.3659671591749314
MAY_HISTORICAL,H1,AGGREGATED_H1,high_load,69,0.07246376811594203,2745.374396740387,18.465878346879055
MAY_HISTORICAL,H3,AGGREGATED_H1,zero,8,1.0,114.47245180719312,0.25665404952300647
MAY_HISTORICAL,H3,AGGREGATED_H1,positive,240,0.8541666666666666,751.2154399796949,1.684269723336882
MAY_HISTORICAL,H3,AGGREGATED_H1,high_load,31,0.16129032258064516,4737.760125086884,10.622340157614815
MAY_HISTORICAL,H6,AGGREGATED_H1,zero,1,1.0,243.70042062124017,0.2731954231584433
MAY_HISTORICAL,H6,AGGREGATED_H1,positive,123,0.8536585365853658,1218.857956120571,1.3663760376102232
