day,rho_AIDC,status,coefficient_count,minimum_conservatism_kw,maximum_site_error_kw,maximum_aggregate_error_kw,site_error_threshold_kw,aggregate_error_threshold_kw
2025-01-17,0.25,PASS,1152,-2.842170943040401e-14,5.474935669269598e-06,5.479901878047144e-06,14.25,5.288087919579648
2025-01-17,0.5,PASS,1152,-2.842170943040401e-14,5.474935669269598e-06,5.479901878047144e-06,14.25,5.288087919579648
2025-01-17,1.0,PASS,1152,-2.842170943040401e-14,5.474935669269598e-06,5.479901878047144e-06,14.25,5.288087919579648
2025-01-18,0.1,PASS,1152,-1.4210854715202004e-14,5.792300065365907e-06,5.795363767546746e-06,14.25,5.288087919579648
2025-01-18,0.25,PASS,1152,-1.4210854715202004e-14,5.792300065365907e-06,5.795363767546746e-06,14.25,5.288087919579648
2025-01-18,0.5,PASS,1152,-1.4210854715202004e-14,5.792300065365907e-06,5.795363767546746e-06,14.25,5.288087919579648
2025-01-18,1.0,PASS,1152,-1.4210854715202004e-14,5.792300065365907e-06,5.795363767546746e-06,14.25,5.288087919579648
2025-01-19,0.1,PASS,1152,-1.4210854715202004e-14,6.36904712081332e-06,6.374619442084395e-06,14.25,5.288087919579648
2025-01-19,0.25,PASS,1152,-1.4210854715202004e-14,6.36904712081332e-06,6.374619442084395e-06,14.25,5.288087919579648
2025-01-19,0.5,PASS,1152,-1.4210854715202004e-14,6.36904712081332e-06,6.374619442084395e-06,14.25,5.288087919579648
2025-01-19,1.0,PASS,1152,-1.4210854715202004e-14,6.36904712081332e-06,6.374619442084395e-06,14.25,5.288087919579648
2025-01-20,0.1,PASS,1152,-1.4210854715202004e-14,5.7020637171945054e-06,5.707416677935839e-06,14.25,5.288087919579648
2025-01-20,0.25,PASS,1152,-1.4210854715202004e-14,5.7020637171945054e-06,5.707416677935839e-06,14.25,5.288087919579648
2025-01-20,0.5,PASS,1152,-1.4210854715202004e-14,5.7020637171945054e-06,5.707416677935839e-06,14.25,5.288087919579648
2025-01-20,1.0,PASS,1152,-1.4210854715202004e-14,5.7020637171945054e-06,5.707416677935839e-06,14.25,5.288087919579648
2025-01-21,0.1,PASS,1152,-1.4210854715202004e-14,3.6175507318603195e-06,3.619250414033104e-06,14.25,5.288087919579648
2025-01-21,0.25,PASS,1152,-1.4210854715202004e-14,3.6175507318603195e-06,3.619250414033104e-06,14.25,5.288087919579648
2025-01-21,0.5,PASS,1152,-1.4210854715202004e-14,3.6175507318603195e-06,3.619250414033104e-06,14.25,5.288087919579648
2025-01-21,1.0,PASS,1152,-1.4210854715202004e-14,3.6175507318603195e-06,3.619250414033104e-06,14.25,5.288087919579648
2025-01-22,0.1,PASS,1152,-1.4210854715202004e-14,6.44975430930117e-06,6.459131167702026e-06,14.25,5.288087919579648
2025-01-22,0.25,PASS,1152,-1.4210854715202004e-14,6.44975430930117e-06,6.459131167702026e-06,14.25,5.288087919579648
2025-01-22,0.5,PASS,1152,-1.4210854715202004e-14,6.44975430930117e-06,6.459131167702026e-06,14.25,5.288087919579648
2025-01-22,1.0,PASS,1152,-1.4210854715202004e-14,6.44975430930117e-06,6.459131167702026e-06,14.25,5.288087919579648
2025-01-23,0.1,PASS,1152,-1.4210854715202004e-14,5.8432478269310195e-06,5.854662971316316e-06,14.25,5.288087919579648
2025-01-23,0.25,PASS,1152,-1.4210854715202004e-14,5.8432478269310195e-06,5.854662971316316e-06,14.25,5.288087919579648
2025-01-23,0.5,PASS,1152,-1.4210854715202004e-14,5.8432478269310195e-06,5.854662971316316e-06,14.25,5.288087919579648
2025-01-23,1.0,PASS,1152,-1.4210854715202004e-14,5.8432478269310195e-06,5.854662971316316e-06,14.25,5.288087919579648
2025-01-24,0.1,PASS,1152,-1.4210854715202004e-14,6.658842011120214e-06,6.687733556276498e-06,14.25,5.288087919579648
2025-01-24,0.25,PASS,1152,-1.4210854715202004e-14,6.658842011120214e-06,6.687733556276498e-06,14.25,5.288087919579648
2025-01-24,0.5,PASS,1152,-1.4210854715202004e-14,6.658842011120214e-06,6.687733556276498e-06,14.25,5.288087919579648
2025-01-24,1.0,PASS,1152,-1.4210854715202004e-14,6.658842011120214e-06,6.687733556276498e-06,14.25,5.288087919579648
2025-01-25,0.1,PASS,1152,-1.4210854715202004e-14,5.2354356370187816e-06,5.2381642294818676e-06,14.25,5.288087919579648
2025-01-25,0.25,PASS,1152,-1.4210854715202004e-14,5.2354356370187816e-06,5.2381642294818676e-06,14.25,5.288087919579648
2025-01-25,0.5,PASS,1152,-1.4210854715202004e-14,5.2354356370187816e-06,5.2381642294818676e-06,14.25,5.288087919579648
2025-01-25,1.0,PASS,1152,-1.4210854715202004e-14,5.2354356370187816e-06,5.2381642294818676e-06,14.25,5.288087919579648
2025-01-26,0.1,PASS,1152,-1.4210854715202004e-14,3.882339299821069e-06,3.883757319300685e-06,14.25,5.288087919579648
2025-01-26,0.25,PASS,1152,-1.4210854715202004e-14,3.882339299821069e-06,3.883757319300685e-06,14.25,5.288087919579648
2025-01-26,0.5,PASS,1152,-1.4210854715202004e-14,3.882339299821069e-06,3.883757319300685e-06,14.25,5.288087919579648
2025-01-26,1.0,PASS,1152,-1.4210854715202004e-14,3.882339299821069e-06,3.883757319300685e-06,14.25,5.288087919579648
2025-01-27,0.1,PASS,1152,-1.4210854715202004e-14,4.410295211698667e-06,4.413216601051317e-06,14.25,5.288087919579648
2025-01-27,0.25,PASS,1152,-1.4210854715202004e-14,4.410295211698667e-06,4.413216601051317e-06,14.25,5.288087919579648
2025-01-27,0.5,PASS,1152,-1.4210854715202004e-14,4.410295211698667e-06,4.413216601051317e-06,14.25,5.288087919579648
2025-01-27,1.0,PASS,1152,-1.4210854715202004e-14,4.410295211698667e-06,4.413216601051317e-06,14.25,5.288087919579648
2025-01-28,0.1,PASS,1152,-1.4210854715202004e-14,5.998371136684e-06,6.009819104590974e-06,14.25,5.288087919579648
2025-01-28,0.25,PASS,1152,-1.4210854715202004e-14,5.998371136684e-06,6.009819104590974e-06,14.25,5.288087919579648
2025-01-28,0.5,PASS,1152,-1.4210854715202004e-14,5.998371136684e-06,6.009819104590974e-06,14.25,5.288087919579648
2025-01-28,1.0,PASS,1152,-1.4210854715202004e-14,5.998371136684e-06,6.009819104590974e-06,14.25,5.288087919579648
2025-01-29,0.1,PASS,1152,-1.4210854715202004e-14,6.776805619779225e-06,6.791224739899349e-06,14.25,5.288087919579648
2025-01-29,0.25,PASS,1152,-1.4210854715202004e-14,6.776805619779225e-06,6.791224739899349e-06,14.25,5.288087919579648
2025-01-29,0.5,PASS,1152,-1.4210854715202004e-14,6.776805619779225e-06,6.791224739899349e-06,14.25,5.288087919579648
2025-01-29,1.0,PASS,1152,-1.4210854715202004e-14,6.776805619779225e-06,6.791224739899349e-06,14.25,5.288087919579648
2025-01-30,0.1,PASS,1152,-1.4210854715202004e-14,6.328108057118698e-06,6.342504807577143e-06,14.25,5.288087919579648
2025-01-30,0.25,PASS,1152,-1.4210854715202004e-14,6.328108057118698e-06,6.342504807577143e-06,14.25,5.288087919579648
2025-01-30,0.5,PASS,1152,-1.4210854715202004e-14,6.328108057118698e-06,6.342504807577143e-06,14.25,5.288087919579648
2025-01-30,1.0,PASS,1152,-1.4210854715202004e-14,6.328108057118698e-06,6.342504807577143e-06,14.25,5.288087919579648
2025-01-31,0.1,PASS,1152,-1.4210854715202004e-14,5.009387017196332e-06,5.012955684335907e-06,14.25,5.288087919579648
2025-01-31,0.25,PASS,1152,-1.4210854715202004e-14,5.009387017196332e-06,5.012955684335907e-06,14.25,5.288087919579648
2025-01-31,0.5,PASS,1152,-1.4210854715202004e-14,5.009387017196332e-06,5.012955684335907e-06,14.25,5.288087919579648
2025-01-31,1.0,PASS,1152,-1.4210854715202004e-14,5.009387017196332e-06,5.012955684335907e-06,14.25,5.288087919579648
2025-02-01,0.1,PASS,1152,-1.4210854715202004e-14,4.404766798415949e-06,4.408105152009512e-06,14.25,5.288087919579648
2025-02-01,0.25,PASS,1152,-1.4210854715202004e-14,4.404766798415949e-06,4.408105152009512e-06,14.25,5.288087919579648
2025-02-01,0.5,PASS,1152,-1.4210854715202004e-14,4.404766798415949e-06,4.408105152009512e-06,14.25,5.288087919579648
2025-02-01,1.0,PASS,1152,-1.4210854715202004e-14,4.404766798415949e-06,4.408105152009512e-06,14.25,5.288087919579648
2025-02-02,0.1,PASS,1152,-1.4210854715202004e-14,4.978642849096104e-06,4.981491841249408e-06,14.25,5.288087919579648
2025-02-02,0.25,PASS,1152,-1.4210854715202004e-14,4.978642849096104e-06,4.981491841249408e-06,14.25,5.288087919579648
2025-02-02,0.5,PASS,1152,-1.4210854715202004e-14,4.978642849096104e-06,4.981491841249408e-06,14.25,5.288087919579648
2025-02-02,1.0,PASS,1152,-1.4210854715202004e-14,4.978642849096104e-06,4.981491841249408e-06,14.25,5.288087919579648
2025-02-03,0.1,PASS,1152,-1.4210854715202004e-14,3.165587294517991e-06,3.1658944550372325e-06,14.25,5.288087919579648
2025-02-03,0.25,PASS,1152,-1.4210854715202004e-14,3.165587294517991e-06,3.1658944550372325e-06,14.25,5.288087919579648
2025-02-03,0.5,PASS,1152,-1.4210854715202004e-14,3.165587294517991e-06,3.1658944550372325e-06,14.25,5.288087919579648
2025-02-03,1.0,PASS,1152,-1.4210854715202004e-14,3.165587294517991e-06,3.1658944550372325e-06,14.25,5.288087919579648
2025-02-04,0.1,PASS,1152,-1.4210854715202004e-14,3.3631482310170213e-06,3.3635185303637627e-06,14.25,5.288087919579648
2025-02-04,0.25,PASS,1152,-1.4210854715202004e-14,3.3631482310170213e-06,3.3635185303637627e-06,14.25,5.288087919579648
2025-02-04,0.5,PASS,1152,-1.4210854715202004e-14,3.3631482310170213e-06,3.3635185303637627e-06,14.25,5.288087919579648
2025-02-04,1.0,PASS,1152,-1.4210854715202004e-14,3.3631482310170213e-06,3.3635185303637627e-06,14.25,5.288087919579648
2025-02-05,0.1,PASS,1152,-2.842170943040401e-14,5.674429132795922e-06,5.679027587746077e-06,14.25,5.288087919579648
2025-02-05,0.25,PASS,1152,-2.842170943040401e-14,5.674429132795922e-06,5.679027587746077e-06,14.25,5.288087919579648
2025-02-05,0.5,PASS,1152,-2.842170943040401e-14,5.674429132795922e-06,5.679027587746077e-06,14.25,5.288087919579648
2025-02-05,1.0,PASS,1152,-2.842170943040401e-14,5.674429132795922e-06,5.679027587746077e-06,14.25,5.288087919579648
2025-02-06,0.1,PASS,1152,-1.4210854715202004e-14,3.017453877873777e-06,3.017842441721541e-06,14.25,5.288087919579648
2025-02-06,0.25,PASS,1152,-1.4210854715202004e-14,3.017453877873777e-06,3.017842441721541e-06,14.25,5.288087919579648
2025-02-06,0.5,PASS,1152,-1.4210854715202004e-14,3.017453877873777e-06,3.017842441721541e-06,14.25,5.288087919579648
2025-02-06,1.0,PASS,1152,-1.4210854715202004e-14,3.017453877873777e-06,3.017842441721541e-06,14.25,5.288087919579648
2025-02-07,0.1,PASS,1152,-1.4210854715202004e-14,4.412998336533747e-06,4.417211652452124e-06,14.25,5.288087919579648
2025-02-07,0.25,PASS,1152,-1.4210854715202004e-14,4.412998336533747e-06,4.417211652452124e-06,14.25,5.288087919579648
2025-02-07,0.5,PASS,1152,-1.4210854715202004e-14,4.412998336533747e-06,4.417211652452124e-06,14.25,5.288087919579648
2025-02-07,1.0,PASS,1152,-1.4210854715202004e-14,4.412998336533747e-06,4.417211652452124e-06,14.25,5.288087919579648
2025-02-08,0.1,PASS,1152,-7.105427357601002e-15,5.184379034517406e-06,5.190377041941474e-06,14.25,5.288087919579648
2025-02-08,0.25,PASS,1152,-7.105427357601002e-15,5.184379034517406e-06,5.190377041941474e-06,14.25,5.288087919579648
2025-02-08,0.5,PASS,1152,-7.105427357601002e-15,5.184379034517406e-06,5.190377041941474e-06,14.25,5.288087919579648
2025-02-08,1.0,PASS,1152,-7.105427357601002e-15,5.184379034517406e-06,5.190377041941474e-06,14.25,5.288087919579648
2025-02-09,0.1,PASS,1152,-1.4210854715202004e-14,3.130186236433019e-06,3.1312926189741574e-06,14.25,5.288087919579648
2025-02-09,0.25,PASS,1152,-1.4210854715202004e-14,3.130186236433019e-06,3.1312926189741574e-06,14.25,5.288087919579648
2025-02-09,0.5,PASS,1152,-1.4210854715202004e-14,3.130186236433019e-06,3.1312926189741574e-06,14.25,5.288087919579648
2025-02-09,1.0,PASS,1152,-1.4210854715202004e-14,3.130186236433019e-06,3.1312926189741574e-06,14.25,5.288087919579648
2025-02-10,0.1,PASS,1152,-1.4210854715202004e-14,3.0781463138396248e-06,3.0787909377494316e-06,14.25,5.288087919579648
2025-02-10,0.25,PASS,1152,-1.4210854715202004e-14,3.0781463138396248e-06,3.0787909377494316e-06,14.25,5.288087919579648
2025-02-10,0.5,PASS,1152,-1.4210854715202004e-14,3.0781463138396248e-06,3.0787909377494316e-06,14.25,5.288087919579648
2025-02-10,1.0,PASS,1152,-1.4210854715202004e-14,3.0781463138396248e-06,3.0787909377494316e-06,14.25,5.288087919579648
2025-02-11,0.1,PASS,1152,-1.4210854715202004e-14,2.9432640360482765e-06,2.943689655587889e-06,14.25,5.288087919579648
2025-02-11,0.25,PASS,1152,-1.4210854715202004e-14,2.9432640360482765e-06,2.943689655587889e-06,14.25,5.288087919579648
2025-02-11,0.5,PASS,1152,-1.4210854715202004e-14,2.9432640360482765e-06,2.943689655587889e-06,14.25,5.288087919579648
2025-02-11,1.0,PASS,1152,-1.4210854715202004e-14,2.9432640360482765e-06,2.943689655587889e-06,14.25,5.288087919579648
2025-02-12,0.1,PASS,1152,-1.4210854715202004e-14,3.0765761636075695e-06,3.076946681446202e-06,14.25,5.288087919579648
2025-02-12,0.25,PASS,1152,-1.4210854715202004e-14,3.0765761636075695e-06,3.076946681446202e-06,14.25,5.288087919579648
2025-02-12,0.5,PASS,1152,-1.4210854715202004e-14,3.0765761636075695e-06,3.076946681446202e-06,14.25,5.288087919579648
2025-02-12,1.0,PASS,1152,-1.4210854715202004e-14,3.0765761636075695e-06,3.076946681446202e-06,14.25,5.288087919579648
2025-02-13,0.1,PASS,1152,-1.4210854715202004e-14,4.590915111180038e-06,4.5926848990518465e-06,14.25,5.288087919579648
2025-02-13,0.25,PASS,1152,-1.4210854715202004e-14,4.590915111180038e-06,4.5926848990518465e-06,14.25,5.288087919579648
2025-02-13,0.5,PASS,1152,-1.4210854715202004e-14,4.590915111180038e-06,4.5926848990518465e-06,14.25,5.288087919579648
