job_uid,GPU,D1_state,B0_site,B1_site,B0_downstream,B1_downstream,B0_REFERENCE,TEMPORAL_ONLY,SPATIAL_ONLY_PENDING,JOINT_WITHOUT_RUNNING_MIGRATION,JOINT_B1,temporal,spatial,interaction,migration,total,B0_REFERENCE_start,B0_REFERENCE_finish,TEMPORAL_ONLY_start,TEMPORAL_ONLY_finish,SPATIAL_ONLY_PENDING_start,SPATIAL_ONLY_PENDING_finish,JOINT_WITHOUT_RUNNING_MIGRATION_start,JOINT_WITHOUT_RUNNING_MIGRATION_finish,JOINT_B1_start,JOINT_B1_finish
8632485,1,PENDING,AIDC01,AIDC10,False,True,0,0,0,0,0,0,0,0,0,0,0.0,26.26888888888889,1.0,27.26888888888889,0.0,26.26888888888889,1.0,27.26888888888889,1.0,27.26888888888889
8632486,1,PENDING,AIDC01,AIDC10,False,True,0,0,0,0,0,0,0,0,0,0,0.0,34.63666666666666,1.0,35.63666666666666,0.0,34.63666666666666,1.0,35.63666666666666,1.0,35.63666666666666
8632487,1,PENDING,AIDC01,AIDC10,False,True,0,0,0,0,0,0,0,0,0,0,0.0,22.467777777777776,1.0,23.467777777777776,0.0,22.467777777777776,1.0,23.467777777777776,1.0,23.467777777777776
8632488,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,46.303333333333335,0.0,46.303333333333335,0.0,46.303333333333335,0.0,46.303333333333335,0.0,46.303333333333335
8632489,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,35.715555555555554,0.0,35.715555555555554,0.0,35.715555555555554,0.0,35.715555555555554,0.0,35.715555555555554
8632490,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,48.01444444444444,0.0,48.01444444444444,0.0,48.01444444444444,0.0,48.01444444444444,0.0,48.01444444444444
8632491,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,47.79555555555555,0.0,47.79555555555555,0.0,47.79555555555555,0.0,47.79555555555555,0.0,47.79555555555555
8632492,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,16.613333333333333,0.0,16.613333333333333,0.0,16.613333333333333,0.0,16.613333333333333,0.0,16.613333333333333
8632493,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,40.29222222222222,0.0,40.29222222222222,0.0,40.29222222222222,0.0,40.29222222222222,0.0,40.29222222222222
8632494,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,5.503333333333333,0.0,5.503333333333333,0.0,5.503333333333333,0.0,5.503333333333333,0.0,5.503333333333333
8632495,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,8.858888888888888,0.0,8.858888888888888,0.0,8.858888888888888,0.0,8.858888888888888,0.0,8.858888888888888
8632496,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,10.721111111111112,0.0,10.721111111111112,0.0,10.721111111111112,0.0,10.721111111111112,0.0,10.721111111111112
8632497,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,4.428888888888889,0.0,4.428888888888889,0.0,4.428888888888889,0.0,4.428888888888889,0.0,4.428888888888889
8632498,1,PENDING,AIDC01,AIDC12,False,True,0,0,0,0,0,0,0,0,0,0,0.0,9.12111111111111,0.0,9.12111111111111,0.0,9.12111111111111,0.0,9.12111111111111,0.0,9.12111111111111
