day,case,slot,aidc_id,rack_id,h_REC_nodeh,derivation
2025-04-04,B0,1,AIDC12,AIDC12_LP03,0.11406252581646226,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,1,AIDC12,AIDC12_LP04,0.1506513841166554,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC01,AIDC01_LP01,0.29202954004154363,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC01,AIDC01_LP02,0.30768866388963434,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC01,AIDC01_LP03,0.34668728145618455,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC01,AIDC01_LP04,0.4578972667241833,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC02,AIDC02_LP01,0.5191636267405219,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC02,AIDC02_LP02,0.5470020691371277,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC02,AIDC02_LP03,0.6163329448109947,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC02,AIDC02_LP04,0.8140395852874371,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC03,AIDC03_LP01,0.5353874900761635,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC03,AIDC03_LP02,0.5640958837976631,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC03,AIDC03_LP03,0.6355933493363382,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC03,AIDC03_LP04,0.8394783223276695,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC04,AIDC04_LP01,0.235246018366799,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC04,AIDC04_LP02,0.24786031257776098,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC04,AIDC04_LP03,0.27927586561748197,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC04,AIDC04_LP04,0.36886168708336997,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC05,AIDC05_LP01,0.36503692505192964,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC05,AIDC05_LP02,0.3846108298620429,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC05,AIDC05_LP03,0.4333591018202307,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC05,AIDC05_LP04,0.5723715834052292,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC06,AIDC06_LP01,0.470492036733598,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC06,AIDC06_LP02,0.49572062515552195,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC06,AIDC06_LP03,0.5585517312349639,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC06,AIDC06_LP04,0.7377233741667399,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC07,AIDC07_LP01,0.14601477002077184,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC07,AIDC07_LP02,0.15384433194481717,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC07,AIDC07_LP03,0.17334364072809227,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC07,AIDC07_LP04,0.22894863336209165,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC08,AIDC08_LP01,0.4299323783944947,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC08,AIDC08_LP02,0.4529860885041839,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC08,AIDC08_LP03,0.510400719921605,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC08,AIDC08_LP04,0.6741265315661589,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC09,AIDC09_LP01,0.965319868470658,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC09,AIDC09_LP02,1.017081972301847,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC09,AIDC09_LP03,1.1459940692579433,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC09,AIDC09_LP04,1.513604853893828,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC10,AIDC10_LP01,0.12167897501730987,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC10,AIDC10_LP02,0.1282036099540143,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC10,AIDC10_LP03,0.14445303394007689,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC10,AIDC10_LP04,0.19079052780174302,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC11,AIDC11_LP01,0.08111931667820657,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC11,AIDC11_LP02,0.08546907330267621,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC11,AIDC11_LP03,0.0963020226267179,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC11,AIDC11_LP04,0.12719368520116203,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC12,AIDC12_LP01,0.1703505650242338,physical_capacity_minus_x_DA_allocation
2025-04-04,B0,2,AIDC12,AIDC12_LP02,0.17948505393561998,physical_capacity_minus_x_DA_allocation
