day,case,slot,da_authorized_nodeh,actual_available_nodeh,executed_original_rack_nodeh,executed_same_site_recourse_nodeh,executed_cross_site_recourse_nodeh,source_unavailable_nodeh,true_rack_capacity_limit_nodeh,grid_safety_blocked_nodeh,other_explicit_nodeh,terminal_backlog_nodeh,executed_total_nodeh,authorization_identity_error_nodeh
2025-04-04,B1,49,1.0675759738668007,0.9442731320648313,0.0,0.0,0.12565684929097087,0.12330284180196938,0.0,0.8186162827738608,0.0,84.13240231934456,0.12565684929097087,-4.440892098500626e-16
2025-04-04,B1,50,2.7010879925701525,1.5194923007660412,0.1073187414690088,0.0,0.42749539095119593,1.1815956918041113,4.440892098500626e-16,0.9846781683458361,0.0,83.59758818692436,0.5348141324202047,0.0
2025-04-04,B1,51,0.6416709671916365,0.6416709671916365,0.0,0.0,0.12783386396674826,0.0,0.0,0.5138371032248883,0.0,83.46975432295761,0.12783386396674826,0.0
2025-04-04,B1,52,2.407769326539208,2.4028082561270647,0.06330223989144312,0.0,0.2669756685315691,0.004961070412143442,4.440892098500626e-16,2.072530347704052,0.0,83.1394764145346,0.33027790842301225,0.0
2025-04-04,B1,53,2.225380776859134,2.159027049079763,0.21089792154502018,0.24623527195447661,0.15117986720021004,0.06635372777937087,0.0,1.550713988380056,0.0,82.5311633538349,0.6083130606997068,0.0
2025-04-04,B1,54,1.9929809243058414,1.9929809243058414,0.0,0.0,1.8985734196340989,0.0,4.440892098500626e-16,0.09440750467174297,0.0,80.63258993420081,1.8985734196340989,-8.881784197001252e-16
2025-04-04,B1,55,2.1701638735105777,2.1701638735105777,0.2875505979140711,0.0,0.1649276247124588,0.0,4.440892098500626e-16,1.7176856508840475,0.0,80.18011171157428,0.4524782226265299,0.0
2025-04-04,B1,56,4.890503587257278,4.890503587257278,1.025499860135167,0.3101733868477714,3.0400906419059517,0.0,0.5147396983683876,0.0,0.0,76.4654589337965,4.375763888888891,0.0
2025-04-04,B1,57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.01573671157428,0.0,0.0
2025-04-04,B1,58,1.2593749192897183,1.2593749192897183,0.04629418426405734,0.0,0.3982196391423485,0.0,0.0,0.8148610958833125,0.0,77.57122288816785,0.44451382340640583,0.0
2025-04-04,B1,59,1.4523002233264664,1.4523002233264664,0.0445202759677463,0.0,0.02361902389151395,0.0,0.0,1.384160923467206,0.0,77.50308358830861,0.06813929985926025,0.0
2025-04-04,B1,60,2.327221853176537,1.6622816028670222,0.019350414202103032,0.0,0.1852290266765693,0.664940250309515,0.0,1.45770216198835,0.0,77.29850414742992,0.20457944087867233,0.0
2025-04-04,B1,61,1.362978982528224,1.1467555073981273,0.031574772217710545,0.0,0.3778516673860586,0.21622347513009665,0.0,0.737329067794358,0.0,76.88907770782617,0.4094264396037691,2.220446049250313e-16
2025-04-04,B1,62,1.6122901157393312,1.6122901157393312,0.07799648495543174,0.0,0.43002937543343056,0.0,0.0,1.104264255350469,0.0,76.3810518474373,0.5080258603888623,0.0
2025-04-04,B1,63,0.7396546040553353,0.6022124194946582,0.18296090879663546,0.12801287397489997,0.2912386367231227,0.13744218456067714,0.0,0.0,0.0,75.77883942794264,0.6022124194946581,1.1102230246251565e-16
2025-04-04,B1,64,1.7341438628787222,1.6962180626868426,0.1827568133927076,0.0,0.3643151775092647,0.03792580019187963,0.0,1.1491460717848703,0.0,75.23176743704067,0.5470719909019723,0.0
